datetime,open,high,low,close,volume,amount,position,symbol
2012-02-14,2529.0,2537.6,2505.6,2519.6,292593,221352659580.0,19648,CFFEX.IF
2012-02-15,2520.4,2562.8,2515.4,2546.6,106560,81172994700.0,7791,CFFEX.IF
2012-02-16,2547.0,2565.0,2520.0,2544.0,326007,248783716680.0,38151,CFFEX.IF
2012-02-17,2559.4,2573.2,2531.8,2549.8,368700,282152482140.0,40822,CFFEX.IF
2012-02-20,2579.0,2586.0,2549.4,2552.4,299808,230796674400.0,46436,CFFEX.IF
2012-02-21,2557.0,2569.6,2525.6,2568.8,366212,280252181940.0,45210,CFFEX.IF
2012-02-22,2571.0,2606.0,2562.8,2595.8,367881,285192661560.0,44195,CFFEX.IF
2012-02-23,2595.0,2615.0,2590.2,2606.0,330608,258247191660.0,41308,CFFEX.IF
2012-02-24,2616.4,2658.6,2599.0,2658.4,370520,291655926300.0,41636,CFFEX.IF
2012-02-27,2664.6,2702.0,2660.2,2669.0,343970,276509878320.0,43560,CFFEX.IF
2012-02-28,2671.2,2685.0,2655.8,2668.0,330073,264490063320.0,48146,CFFEX.IF
2012-02-29,2659.4,2673.0,2646.0,2650.8,330380,263537824200.0,47967,CFFEX.IF
2012-03-01,2639.0,2662.0,2637.0,2639.0,278974,221783752620.0,49181,CFFEX.IF
2012-03-02,2645.4,2688.6,2645.4,2684.6,352776,282368233440.0,45940,CFFEX.IF
2012-03-05,2686.6,2696.6,2665.2,2668.8,260414,209529095820.0,44396,CFFEX.IF
2012-03-06,2665.2,2668.8,2624.0,2633.0,313051,247965822780.0,45175,CFFEX.IF
2012-03-07,2614.8,2637.0,2609.4,2613.0,291731,229475722680.0,45109,CFFEX.IF
2012-03-08,2620.8,2653.0,2618.8,2637.8,341684,270306283920.0,42732,CFFEX.IF
2012-03-09,2648.0,2667.8,2639.0,2665.0,329139,262164325500.0,41253,CFFEX.IF
2012-03-12,2665.2,2667.4,2640.8,2647.6,260531,207383965620.0,36456,CFFEX.IF
2012-03-13,2655.0,2681.2,2651.2,2676.8,277049,221757075780.0,28468,CFFEX.IF
2012-03-14,2691.0,2702.8,2598.0,2613.8,190387,152373656820.0,12961,CFFEX.IF
2012-03-15,2620.0,2631.4,2598.2,2600.4,323390,253796650860.0,48532,CFFEX.IF
2012-03-16,2605.2,2632.8,2586.0,2627.0,365726,286820322120.0,50080,CFFEX.IF
2012-03-19,2625.0,2634.6,2608.0,2629.4,282149,222028636200.0,48033,CFFEX.IF
2012-03-20,2633.6,2633.8,2595.0,2596.2,321056,251468247720.0,49421,CFFEX.IF
2012-03-21,2608.2,2620.0,2580.2,2601.6,360190,280973880000.0,51628,CFFEX.IF
2012-03-22,2599.0,2609.6,2580.6,2596.4,309414,240885850920.0,51083,CFFEX.IF
2012-03-23,2590.0,2591.2,2560.8,2571.0,290760,224858038200.0,53121,CFFEX.IF
2012-03-26,2568.2,2575.0,2558.2,2568.8,193913,149346587700.0,54606,CFFEX.IF
2012-03-27,2579.6,2580.6,2560.0,2564.8,209970,161945422380.0,55058,CFFEX.IF
2012-03-28,2558.6,2559.0,2484.6,2493.0,294714,223116269340.0,57628,CFFEX.IF
2012-03-29,2482.0,2486.0,2444.0,2464.0,318736,236248714260.0,54496,CFFEX.IF
2012-03-30,2467.2,2471.6,2450.6,2453.6,259901,192005094120.0,51249,CFFEX.IF
2012-04-05,2440.0,2519.0,2438.8,2511.4,361987,270365910180.0,47473,CFFEX.IF
2012-04-06,2513.8,2526.0,2504.0,2520.6,283250,213766538340.0,42485,CFFEX.IF
2012-04-09,2511.0,2524.8,2489.0,2501.0,326355,245523928800.0,39861,CFFEX.IF
2012-04-10,2498.0,2523.2,2460.8,2517.0,395486,295394534340.0,39295,CFFEX.IF
2012-04-11,2500.0,2545.0,2494.0,2521.4,411222,310786125360.0,34564,CFFEX.IF
