datetime,open,high,low,close,volume,amount,position,symbol
2015-04-17,3303.6,3341.6,3238.0,3254.0,271224,267552072720.0,37853,CFFEX.IH
2015-04-20,3258.0,3315.0,3143.6,3146.8,267213,260529433500.0,37975,CFFEX.IH
2015-04-21,3176.8,3242.2,3153.0,3234.0,239311,229320093480.0,37771,CFFEX.IH
2015-04-22,3250.0,3333.2,3229.8,3308.0,239676,235475715480.0,42623,CFFEX.IH
2015-04-23,3318.6,3348.2,3253.4,3267.8,246929,244348148280.0,39573,CFFEX.IH
2015-04-24,3248.8,3267.8,3170.0,3233.0,224297,217010195520.0,36034,CFFEX.IH
2015-04-27,3260.0,3358.0,3257.8,3357.6,259172,256955109420.0,45698,CFFEX.IH
2015-04-28,3339.0,3376.0,3265.0,3286.8,329692,327774721140.0,36374,CFFEX.IH
2015-04-29,3282.0,3325.6,3261.0,3295.2,242567,239786654460.0,39968,CFFEX.IH
2015-04-30,3315.2,3331.2,3247.2,3269.4,202408,200023304580.0,41181,CFFEX.IH
2015-05-04,3295.8,3301.8,3225.8,3273.2,189061,185146008420.0,40335,CFFEX.IH
2015-05-05,3279.6,3281.6,3141.2,3163.0,217674,210023333160.0,38274,CFFEX.IH
2015-05-06,3171.2,3257.4,3116.0,3153.0,261933,251113054620.0,36206,CFFEX.IH
2015-05-07,3159.6,3170.0,3103.0,3111.2,234619,220961867280.0,40498,CFFEX.IH
2015-05-08,3131.0,3149.0,3051.2,3099.8,215483,200658500700.0,37887,CFFEX.IH
2015-05-11,3112.0,3170.4,3078.0,3160.0,201465,188934831300.0,30050,CFFEX.IH
2015-05-12,3151.0,3194.6,3138.0,3175.0,189729,180330065880.0,23176,CFFEX.IH
2015-05-13,3200.0,3204.8,3112.4,3125.4,165986,157229484480.0,17535,CFFEX.IH
2015-05-14,3131.2,3158.4,3108.0,3129.4,106178,99736573380.0,10750,CFFEX.IH
2015-05-15,3115.2,3129.8,3021.0,3041.4,202862,187139213640.0,29113,CFFEX.IH
2015-05-18,3033.6,3049.0,2962.0,2969.4,177652,160675915020.0,30409,CFFEX.IH
