datetime,open,high,low,close,volume,amount,position,symbol
2022-07-25,6974.2,7015.8,6850.0,6878.6,22883,31699704832.0,18747,CFFEX.IM
2022-07-26,6898.0,6994.0,6844.8,6991.0,19269,26712005888.0,20386,CFFEX.IM
2022-07-27,6982.0,7074.4,6965.2,7066.2,19290,27113992704.0,21390,CFFEX.IM
2022-07-28,7110.0,7171.4,7072.4,7119.0,22464,31993809920.0,24584,CFFEX.IM
2022-07-29,7130.0,7152.0,7068.0,7087.0,25025,35560145152.0,25557,CFFEX.IM
2022-08-01,7070.2,7141.0,7004.4,7136.6,22084,31309930200.0,24149,CFFEX.IM
2022-08-02,7070.0,7075.0,6820.4,6948.2,37753,52450615920.0,31769,CFFEX.IM
2022-08-03,6990.0,7062.0,6860.8,6882.8,32325,45204820600.0,29243,CFFEX.IM
2022-08-04,6933.0,6942.8,6778.2,6890.8,35394,48615528480.0,30899,CFFEX.IM
2022-08-05,6903.4,7080.8,6903.4,7080.0,31492,43993596160.0,28786,CFFEX.IM
2022-08-08,7060.0,7145.0,7039.6,7132.2,20853,29596277000.0,26514,CFFEX.IM
2022-08-09,7120.0,7164.8,7084.4,7160.6,18871,26903698280.0,25359,CFFEX.IM
2022-08-10,7138.0,7202.0,7130.0,7168.4,21848,31324244560.0,26391,CFFEX.IM
2022-08-11,7201.4,7287.6,7179.6,7284.8,22671,32833462040.0,24871,CFFEX.IM
2022-08-12,7275.0,7306.0,7205.4,7222.4,19678,28577350400.0,23573,CFFEX.IM
2022-08-15,7210.0,7297.6,7206.0,7266.0,20698,30046053080.0,23063,CFFEX.IM
2022-08-16,7275.0,7361.4,7257.2,7311.0,21099,30856338920.0,20891,CFFEX.IM
2022-08-17,7317.0,7346.4,7263.8,7327.6,18274,26712226440.0,17086,CFFEX.IM
2022-08-18,7320.0,7370.4,7303.0,7358.8,14405,21120734240.0,10606,CFFEX.IM
2022-08-19,7319.0,7337.0,7183.2,7186.4,31515,45715101680.0,41807,CFFEX.IM
2022-08-22,7179.8,7252.8,7119.4,7232.4,27615,39756292400.0,41665,CFFEX.IM
2022-08-23,7224.0,7259.8,7208.6,7253.6,25221,36499230200.0,40321,CFFEX.IM
2022-08-24,7263.0,7277.0,6951.4,6969.8,43723,61845527520.0,45038,CFFEX.IM
2022-08-25,6995.0,6999.0,6865.0,6940.4,40047,55498285200.0,44392,CFFEX.IM
2022-08-26,6968.6,7032.0,6886.4,6911.6,34552,48143010160.0,44639,CFFEX.IM
2022-08-29,6810.0,6979.0,6805.0,6950.0,35892,49681137520.0,45432,CFFEX.IM
2022-08-30,6954.2,6965.4,6887.2,6941.0,30897,42825910040.0,43960,CFFEX.IM
2022-08-31,6918.4,6931.8,6699.0,6710.2,47768,64880654360.0,48827,CFFEX.IM
2022-09-01,6720.0,6787.2,6649.8,6682.6,38108,51232136280.0,43659,CFFEX.IM
2022-09-02,6706.4,6773.4,6669.8,6730.2,34760,46762576760.0,42659,CFFEX.IM
2022-09-05,6726.4,6810.8,6691.8,6747.2,30586,41273071960.0,38945,CFFEX.IM
