datetime,open,high,low,close,volume,amount,position,symbol
2013-09-09,94.156,94.156,93.858,93.906,11831,11115164260.0,2797,CFFEX.TF
2013-09-10,93.87,93.916,93.806,93.842,5375,5045538400.0,2708,CFFEX.TF
2013-09-11,93.718,93.78,93.494,93.598,8830,8265834240.0,3293,CFFEX.TF
2013-09-12,93.59,93.83,93.59,93.728,8379,7853823460.0,2871,CFFEX.TF
2013-09-13,93.7,93.846,93.678,93.764,6901,6470379480.0,3000,CFFEX.TF
2013-09-16,93.764,93.938,93.74,93.854,3850,3613286900.0,3189,CFFEX.TF
2013-09-17,93.87,94.558,93.842,94.234,22275,20989850800.0,5022,CFFEX.TF
2013-09-18,94.25,94.378,94.1,94.206,10692,10075168420.0,4465,CFFEX.TF
2013-09-23,94.55,94.592,94.27,94.35,7345,6931971460.0,4527,CFFEX.TF
2013-09-24,94.312,94.4,94.242,94.34,5063,4775094460.0,4493,CFFEX.TF
2013-09-25,94.35,94.55,94.35,94.42,8207,7751343140.0,4731,CFFEX.TF
2013-09-26,94.448,94.614,94.448,94.572,5405,5110685900.0,4752,CFFEX.TF
2013-09-27,94.55,94.552,94.3,94.346,4453,4202245240.0,4109,CFFEX.TF
2013-09-30,94.346,94.5,94.202,94.462,3515,3318843700.0,4094,CFFEX.TF
2013-10-08,94.52,94.546,94.402,94.412,2399,2265799480.0,3955,CFFEX.TF
2013-10-09,94.33,94.4,94.282,94.362,1869,1763010740.0,3802,CFFEX.TF
2013-10-10,94.362,94.446,94.28,94.35,1506,1420995120.0,3777,CFFEX.TF
2013-10-11,94.35,94.35,94.22,94.29,1730,1631101300.0,3691,CFFEX.TF
2013-10-14,94.278,94.28,93.982,94.118,2493,2346136800.0,3663,CFFEX.TF
2013-10-15,94.092,94.116,93.85,93.948,2242,2106231480.0,3742,CFFEX.TF
2013-10-16,93.856,94.1,93.84,94.012,3253,3056793740.0,4026,CFFEX.TF
2013-10-17,94.0,94.04,93.898,93.926,1616,1517933060.0,4071,CFFEX.TF
2013-10-18,93.924,93.946,93.812,93.886,1002,940656240.0,4101,CFFEX.TF
2013-10-21,93.886,93.948,93.814,93.858,1068,1002606620.0,3920,CFFEX.TF
2013-10-22,93.852,93.87,93.716,93.772,2021,1895330700.0,3656,CFFEX.TF
2013-10-23,93.76,93.85,93.686,93.812,1846,1731472160.0,3621,CFFEX.TF
2013-10-24,93.8,93.82,93.556,93.6,2129,1993989240.0,3818,CFFEX.TF
2013-10-25,93.6,93.688,93.506,93.688,2209,2067545920.0,3661,CFFEX.TF
2013-10-28,93.67,93.758,93.642,93.67,1640,1536616200.0,3648,CFFEX.TF
2013-10-29,93.658,93.768,93.504,93.504,2602,2436405020.0,3829,CFFEX.TF
2013-10-30,93.526,93.572,93.452,93.54,1873,1751414080.0,3774,CFFEX.TF
2013-10-31,93.538,93.756,93.52,93.74,2171,2033366280.0,3545,CFFEX.TF
2013-11-01,93.766,93.92,93.766,93.836,1713,1607463060.0,3433,CFFEX.TF
2013-11-04,93.85,93.86,93.544,93.632,2025,1897456880.0,3242,CFFEX.TF
2013-11-05,93.642,93.642,93.388,93.474,2428,2269782800.0,2526,CFFEX.TF
2013-11-06,93.484,93.514,93.338,93.362,1932,1804697740.0,2836,CFFEX.TF
2013-11-07,93.31,93.438,92.818,92.828,4139,3850825180.0,3275,CFFEX.TF
2013-11-08,92.8,92.8,91.718,92.292,3139,2903648660.0,2694,CFFEX.TF
2013-11-11,92.39,92.39,91.616,91.73,3901,3583258660.0,2717,CFFEX.TF
2013-11-12,91.77,92.374,91.77,92.096,5568,5132591560.0,2180,CFFEX.TF
2013-11-13,92.098,92.1,91.57,91.82,3586,3290534280.0,2422,CFFEX.TF
2013-11-14,91.8,91.906,91.406,91.63,3516,3222386840.0,2586,CFFEX.TF
2013-11-15,91.6,91.6,91.262,91.318,3633,3319395200.0,2721,CFFEX.TF
2013-11-18,91.344,91.484,90.966,91.342,3387,3091564820.0,2759,CFFEX.TF
2013-11-19,91.37,91.642,90.93,90.94,3584,3269642520.0,2946,CFFEX.TF
2013-11-20,90.89,91.194,90.8,91.092,3919,3568352300.0,3088,CFFEX.TF
2013-11-21,91.116,91.396,91.116,91.396,3405,3108476240.0,2805,CFFEX.TF
2013-11-22,91.4,91.788,91.3,91.604,2804,2567436220.0,2378,CFFEX.TF
2013-11-25,91.604,91.86,91.224,91.308,1858,1697708100.0,2025,CFFEX.TF
2013-11-26,91.344,91.4,91.11,91.374,1295,1181699060.0,1821,CFFEX.TF
2013-11-27,91.384,91.878,91.384,91.766,2363,2166281520.0,1520,CFFEX.TF
2013-11-28,91.846,91.97,91.556,91.888,1268,1163488840.0,1152,CFFEX.TF
2013-11-29,92.6,92.8,92.488,92.558,3391,3141386220.0,2069,CFFEX.TF
2013-12-02,92.506,92.588,92.03,92.072,2156,1987355860.0,2186,CFFEX.TF
2013-12-03,92.1,92.33,91.85,92.286,3309,3048867020.0,2221,CFFEX.TF
2013-12-04,92.302,92.634,92.042,92.1,3297,3045606420.0,2275,CFFEX.TF
2013-12-05,92.038,92.246,91.81,91.824,3606,3318160500.0,2521,CFFEX.TF
2013-12-06,91.84,91.966,91.756,91.918,1851,1700588160.0,2394,CFFEX.TF
2013-12-09,91.856,92.09,91.67,91.688,1850,1698065780.0,2552,CFFEX.TF
2013-12-10,91.66,91.67,91.3,91.308,3041,2780913100.0,3000,CFFEX.TF
2013-12-11,91.3,91.5,91.184,91.46,3850,3517603100.0,2970,CFFEX.TF
2013-12-12,91.55,91.888,91.504,91.782,4140,3795387500.0,2781,CFFEX.TF
2013-12-13,91.85,92.046,91.794,91.914,3247,2984616060.0,2682,CFFEX.TF
2013-12-16,91.878,91.878,91.45,91.452,1888,1729202740.0,2659,CFFEX.TF
2013-12-17,91.432,91.594,91.354,91.59,2268,2074334120.0,2735,CFFEX.TF
2013-12-18,91.55,91.59,91.256,91.436,2586,2364188220.0,2827,CFFEX.TF
2013-12-19,91.4,91.418,91.186,91.374,2991,2730436620.0,2906,CFFEX.TF
2013-12-20,91.496,91.5,91.266,91.386,1946,1778252780.0,2885,CFFEX.TF
2013-12-23,91.38,91.8,91.292,91.702,3675,3365081780.0,3006,CFFEX.TF
2013-12-24,91.746,91.998,91.586,91.65,3551,3259251340.0,2896,CFFEX.TF
2013-12-25,91.646,91.82,91.61,91.792,2038,1869693580.0,2872,CFFEX.TF
2013-12-26,91.79,91.84,91.616,91.67,1701,1560281180.0,2832,CFFEX.TF
2013-12-27,91.668,91.67,91.426,91.56,1881,1721782380.0,2809,CFFEX.TF
2013-12-30,91.56,91.894,91.56,91.798,1937,1777559960.0,2851,CFFEX.TF
2013-12-31,91.75,91.852,91.506,91.802,2990,2741672360.0,3318,CFFEX.TF
2014-01-02,91.796,91.796,91.338,91.35,2350,2151063380.0,3621,CFFEX.TF
2014-01-03,91.3,91.384,91.13,91.306,3186,2908038560.0,3704,CFFEX.TF
2014-01-06,91.3,91.4,91.152,91.22,2263,2066369760.0,3653,CFFEX.TF
2014-01-07,91.2,91.502,91.2,91.44,2733,2498012720.0,3719,CFFEX.TF
2014-01-08,91.486,91.742,91.402,91.696,2670,2445777420.0,3613,CFFEX.TF
2014-01-09,91.746,91.836,91.414,91.502,2759,2529032220.0,3645,CFFEX.TF
2014-01-10,91.456,91.75,91.456,91.542,2725,2496350200.0,3652,CFFEX.TF
2014-01-13,91.542,91.6,91.434,91.466,1421,1300374800.0,3648,CFFEX.TF
2014-01-14,91.458,91.54,91.436,91.482,1388,1269871420.0,3659,CFFEX.TF
2014-01-15,91.538,91.86,91.504,91.816,3614,3314820320.0,3662,CFFEX.TF
2014-01-16,91.84,91.848,91.618,91.64,1758,1612935760.0,3668,CFFEX.TF
2014-01-17,91.606,91.67,91.546,91.63,1525,1397008980.0,3662,CFFEX.TF
2014-01-20,91.61,91.784,91.56,91.782,1487,1363468160.0,3716,CFFEX.TF
2014-01-21,91.9,92.28,91.9,92.09,3202,2949182220.0,3658,CFFEX.TF
2014-01-22,92.15,92.376,92.122,92.222,2290,2112003200.0,3710,CFFEX.TF
2014-01-23,92.236,92.32,92.062,92.076,1854,1709056620.0,3615,CFFEX.TF
2014-01-24,92.058,92.198,91.994,92.198,1384,1274949660.0,3804,CFFEX.TF
2014-01-27,92.352,92.526,92.252,92.512,2890,2670643560.0,4094,CFFEX.TF
2014-01-28,92.53,92.53,92.25,92.334,1905,1759063700.0,4043,CFFEX.TF
2014-01-29,92.29,92.56,92.268,92.402,1258,1162009300.0,4180,CFFEX.TF
2014-01-30,92.402,92.402,92.2,92.254,716,660815620.0,4088,CFFEX.TF
2014-02-07,92.254,92.54,92.254,92.514,1126,1040919700.0,4194,CFFEX.TF
2014-02-10,92.52,92.696,92.32,92.33,1665,1539772200.0,4207,CFFEX.TF
2014-02-11,92.37,92.56,92.27,92.526,2336,2159643880.0,3880,CFFEX.TF
2014-02-12,92.58,92.62,92.42,92.448,1716,1587612620.0,3658,CFFEX.TF
2014-02-13,92.498,92.588,92.42,92.584,1271,1176060120.0,3610,CFFEX.TF
2014-02-14,92.62,92.686,92.452,92.536,1428,1321282000.0,3427,CFFEX.TF
2014-02-17,92.5,92.5,92.224,92.264,1527,1410306980.0,3218,CFFEX.TF
2014-02-18,92.2,92.204,91.912,91.918,2375,2187152040.0,2642,CFFEX.TF
2014-02-19,91.988,92.04,91.802,91.832,2105,1934259680.0,2332,CFFEX.TF
2014-02-20,91.816,91.934,91.756,91.892,1623,1490990100.0,1888,CFFEX.TF
2014-02-21,91.954,91.978,91.782,91.95,854,784965620.0,1404,CFFEX.TF
2014-02-24,91.968,92.186,91.968,92.08,538,495504620.0,1205,CFFEX.TF
2014-02-25,92.68,93.144,92.65,93.08,2054,1907747600.0,3445,CFFEX.TF
2014-02-26,93.102,93.128,92.844,92.886,1690,1570479660.0,3590,CFFEX.TF
2014-02-27,93.12,93.616,93.11,93.182,2508,2339362900.0,3872,CFFEX.TF
2014-02-28,93.182,93.246,92.998,93.238,2031,1891780420.0,3898,CFFEX.TF
2014-03-03,93.196,93.378,92.902,92.958,1786,1662706720.0,4164,CFFEX.TF
2014-03-04,92.906,93.078,92.566,92.61,2133,1979017880.0,4214,CFFEX.TF
2014-03-05,92.888,93.082,92.48,92.506,3598,3335377360.0,4816,CFFEX.TF
2014-03-06,92.456,92.716,92.382,92.692,2557,2367785660.0,4503,CFFEX.TF
2014-03-07,92.784,92.784,92.532,92.58,1307,1210996600.0,4519,CFFEX.TF
2014-03-10,92.65,92.846,92.596,92.724,1984,1839495580.0,4656,CFFEX.TF
2014-03-11,92.732,92.798,92.634,92.688,1539,1426594340.0,4692,CFFEX.TF
2014-03-12,92.746,92.788,92.502,92.738,1678,1555325480.0,4713,CFFEX.TF
2014-03-13,92.7,92.982,92.68,92.898,2142,1988148600.0,4758,CFFEX.TF
2014-03-14,92.898,93.04,92.866,92.972,1390,1292186560.0,4742,CFFEX.TF
2014-03-17,92.906,92.98,92.708,92.83,1113,1033700300.0,4737,CFFEX.TF
2014-03-18,92.798,92.868,92.55,92.6,1766,1636690940.0,4880,CFFEX.TF
2014-03-19,92.588,92.662,92.456,92.62,1724,1595770080.0,4941,CFFEX.TF
2014-03-20,92.556,92.742,92.51,92.628,1603,1485046380.0,4961,CFFEX.TF
2014-03-21,92.66,92.748,92.612,92.654,1069,990872160.0,4931,CFFEX.TF
2014-03-24,92.678,92.714,92.602,92.616,607,562372960.0,4941,CFFEX.TF
2014-03-25,92.632,92.67,92.478,92.648,1382,1279039520.0,4907,CFFEX.TF
2014-03-26,92.642,92.642,92.51,92.566,1063,983962700.0,4851,CFFEX.TF
2014-03-27,92.566,92.57,92.45,92.536,942,871476940.0,4783,CFFEX.TF
2014-03-28,92.512,92.58,92.5,92.53,520,481163500.0,4721,CFFEX.TF
2014-03-31,92.506,92.566,92.492,92.546,571,528283560.0,4616,CFFEX.TF
2014-04-01,92.546,92.546,92.366,92.408,1557,1439466000.0,4698,CFFEX.TF
2014-04-02,92.36,92.426,92.16,92.164,2082,1921480180.0,4811,CFFEX.TF
2014-04-03,92.1,92.1,91.948,91.978,2366,2177044380.0,5019,CFFEX.TF
2014-04-04,92.03,92.158,92.012,92.02,1214,1118048340.0,4931,CFFEX.TF
2014-04-08,92.084,92.096,91.92,92.03,1012,931063280.0,4943,CFFEX.TF
2014-04-09,92.096,92.11,91.99,92.1,1049,965620600.0,4875,CFFEX.TF
2014-04-10,92.098,92.268,92.07,92.258,1193,1099669980.0,4741,CFFEX.TF
2014-04-11,92.23,92.416,92.22,92.384,1270,1172785200.0,4505,CFFEX.TF
2014-04-14,92.384,92.608,92.33,92.566,1537,1421838260.0,4551,CFFEX.TF
2014-04-15,92.562,92.574,92.456,92.52,840,777192980.0,4523,CFFEX.TF
2014-04-16,92.52,92.576,92.446,92.47,1439,1331423540.0,4302,CFFEX.TF
2014-04-17,92.7,93.008,92.636,92.646,2990,2775497120.0,3818,CFFEX.TF
2014-04-18,92.68,92.86,92.672,92.746,1300,1205965180.0,3764,CFFEX.TF
2014-04-21,92.746,92.818,92.676,92.698,752,697462980.0,3815,CFFEX.TF
2014-04-22,92.7,92.7,92.2,92.518,1193,1104023500.0,3892,CFFEX.TF
2014-04-23,92.65,92.67,92.488,92.566,922,853323420.0,3783,CFFEX.TF
2014-04-24,92.558,92.568,92.486,92.512,493,456176420.0,3745,CFFEX.TF
2014-04-25,92.538,92.556,92.48,92.552,688,636638160.0,3664,CFFEX.TF
2014-04-28,92.578,92.598,92.5,92.558,584,540512360.0,3415,CFFEX.TF
2014-04-29,92.558,92.732,92.536,92.716,782,724572640.0,3456,CFFEX.TF
2014-04-30,92.716,92.832,92.716,92.824,891,826754480.0,3403,CFFEX.TF
2014-05-05,92.796,92.832,92.744,92.81,539,500235760.0,3359,CFFEX.TF
2014-05-06,92.8,92.998,92.774,92.964,1508,1401584500.0,3414,CFFEX.TF
2014-05-07,92.966,93.038,92.958,92.992,845,785899480.0,3404,CFFEX.TF
2014-05-08,92.972,93.07,92.95,93.05,803,746846700.0,3294,CFFEX.TF
2014-05-09,93.15,93.42,93.132,93.326,1869,1744284980.0,2971,CFFEX.TF
2014-05-12,93.15,93.35,93.082,93.282,1059,987673220.0,2707,CFFEX.TF
2014-05-13,93.262,93.394,93.1,93.15,900,839345780.0,2521,CFFEX.TF
2014-05-14,93.052,93.164,92.982,93.014,1093,1016883200.0,2004,CFFEX.TF
