datetime,open,high,low,close,volume,amount,position,symbol
2019-05-06,8820.0,8900.0,8620.0,8665.0,349204,15270691900.0,57284,CZCE.CJ
2019-05-07,8710.0,8720.0,8545.0,8615.0,301676,12998489500.0,70904,CZCE.CJ
2019-05-08,8620.0,8710.0,8595.0,8635.0,234442,10140407200.0,71964,CZCE.CJ
2019-05-09,8635.0,8690.0,8580.0,8620.0,203022,8771275000.0,70710,CZCE.CJ
2019-05-10,8655.0,8750.0,8620.0,8670.0,188466,8179070500.0,65566,CZCE.CJ
2019-05-13,8690.0,9115.0,8670.0,9115.0,617472,27745708400.0,103862,CZCE.CJ
2019-05-14,9125.0,9575.0,9125.0,9505.0,1242358,58548928900.0,88938,CZCE.CJ
2019-05-15,9505.0,9865.0,9385.0,9660.0,1200250,57523432100.0,111642,CZCE.CJ
2019-05-16,9680.0,9890.0,9620.0,9715.0,1310602,63906666000.0,128334,CZCE.CJ
2019-05-17,9750.0,9795.0,9625.0,9755.0,832474,40430389900.0,120310,CZCE.CJ
2019-05-20,9790.0,9915.0,9655.0,9755.0,846002,41353154400.0,121602,CZCE.CJ
2019-05-21,9775.0,9905.0,9700.0,9840.0,755190,37049679400.0,121068,CZCE.CJ
2019-05-22,9835.0,10305.0,9790.0,10305.0,1762678,89239914200.0,148766,CZCE.CJ
2019-05-23,10335.0,10415.0,10255.0,10350.0,1183050,61152000900.0,158296,CZCE.CJ
2019-05-24,10280.0,10730.0,10230.0,10720.0,1283538,67314902900.0,178858,CZCE.CJ
2019-05-27,10600.0,10935.0,10480.0,10560.0,1777008,95542343900.0,155792,CZCE.CJ
2019-05-28,10605.0,10690.0,10295.0,10405.0,2051420,107386602700.0,142748,CZCE.CJ
2019-05-29,10460.0,10645.0,10395.0,10550.0,1087784,57174991500.0,168440,CZCE.CJ
2019-05-30,10555.0,10745.0,10370.0,10530.0,1243232,65668106800.0,159160,CZCE.CJ
2019-05-31,10520.0,10590.0,10340.0,10485.0,908096,47407370600.0,151478,CZCE.CJ
2019-06-03,10435.0,10560.0,10000.0,10095.0,1052628,53838563000.0,140692,CZCE.CJ
2019-06-04,10145.0,10190.0,9955.0,10150.0,780736,39259216500.0,138258,CZCE.CJ
2019-06-05,10175.0,10210.0,10015.0,10100.0,569380,28753860700.0,136470,CZCE.CJ
2019-06-06,10030.0,10030.0,9625.0,9750.0,875070,42757695300.0,119610,CZCE.CJ
