datetime,open,high,low,close,volume,amount,position,symbol
2012-12-04,1309.0,1326.0,1296.0,1311.0,1373086,35994604600.0,168662,CZCE.FG
2012-12-05,1313.0,1345.0,1311.0,1331.0,1526540,40485230500.0,148090,CZCE.FG
2012-12-06,1333.0,1338.0,1320.0,1325.0,1005208,26739383600.0,166778,CZCE.FG
2012-12-07,1322.0,1340.0,1319.0,1331.0,903684,24017489700.0,136784,CZCE.FG
2012-12-10,1331.0,1344.0,1331.0,1336.0,631448,16885316100.0,148746,CZCE.FG
2012-12-11,1335.0,1337.0,1286.0,1293.0,1624386,42624965000.0,305548,CZCE.FG
2012-12-12,1289.0,1306.0,1283.0,1299.0,1755162,45460746300.0,223502,CZCE.FG
2012-12-13,1297.0,1312.0,1282.0,1289.0,1986856,51497688300.0,306244,CZCE.FG
2012-12-14,1287.0,1315.0,1283.0,1304.0,1926362,49976734300.0,239266,CZCE.FG
2012-12-17,1307.0,1335.0,1307.0,1327.0,1997146,52844025700.0,230150,CZCE.FG
2012-12-18,1328.0,1339.0,1316.0,1325.0,1888574,50064696400.0,239250,CZCE.FG
2012-12-19,1324.0,1353.0,1318.0,1351.0,2774384,74283228400.0,419230,CZCE.FG
2012-12-20,1348.0,1356.0,1342.0,1350.0,2593940,69976543200.0,391226,CZCE.FG
2012-12-21,1345.0,1354.0,1330.0,1336.0,1961266,52507654400.0,278578,CZCE.FG
2012-12-24,1336.0,1349.0,1334.0,1344.0,1234044,33143462800.0,279034,CZCE.FG
2012-12-25,1344.0,1363.0,1339.0,1352.0,1561036,42181318500.0,278818,CZCE.FG
2012-12-26,1351.0,1354.0,1344.0,1352.0,995884,26872117400.0,252746,CZCE.FG
2012-12-27,1358.0,1367.0,1349.0,1352.0,963506,26133260300.0,224072,CZCE.FG
2012-12-28,1353.0,1364.0,1343.0,1351.0,1175326,31809691500.0,189374,CZCE.FG
2012-12-31,1352.0,1365.0,1349.0,1363.0,500112,13572328600.0,136002,CZCE.FG
2013-01-04,1371.0,1425.0,1367.0,1425.0,1001748,28176864400.0,241454,CZCE.FG
2013-01-07,1440.0,1468.0,1433.0,1445.0,1558552,45130341800.0,217758,CZCE.FG
2013-01-08,1438.0,1470.0,1427.0,1457.0,2761400,80083641800.0,306490,CZCE.FG
2013-01-09,1459.0,1476.0,1452.0,1476.0,2100312,61356156900.0,444362,CZCE.FG
2013-01-10,1479.0,1484.0,1456.0,1463.0,2311352,67862599000.0,376812,CZCE.FG
2013-01-11,1462.0,1465.0,1428.0,1439.0,1916270,55332100200.0,311804,CZCE.FG
2013-01-14,1438.0,1502.0,1438.0,1502.0,1878770,55154481600.0,508076,CZCE.FG
2013-01-15,1520.0,1527.0,1490.0,1497.0,3006350,90481508800.0,387356,CZCE.FG
2013-01-16,1499.0,1515.0,1455.0,1500.0,4239926,126343580800.0,473158,CZCE.FG
2013-01-17,1503.0,1512.0,1491.0,1506.0,3961892,118895480500.0,538936,CZCE.FG
2013-01-18,1520.0,1521.0,1488.0,1496.0,3867610,116243860500.0,431672,CZCE.FG
2013-01-21,1495.0,1518.0,1484.0,1501.0,3225458,96924200200.0,478024,CZCE.FG
2013-01-22,1505.0,1508.0,1475.0,1490.0,3070314,91748235600.0,401292,CZCE.FG
2013-01-23,1492.0,1496.0,1472.0,1481.0,2053414,60862703900.0,401822,CZCE.FG
2013-01-24,1479.0,1489.0,1458.0,1467.0,2346462,69141543800.0,367110,CZCE.FG
2013-01-25,1470.0,1472.0,1459.0,1469.0,1305300,38267074400.0,315722,CZCE.FG
2013-01-28,1471.0,1496.0,1468.0,1491.0,1274788,37836929400.0,341564,CZCE.FG
2013-01-29,1487.0,1494.0,1483.0,1488.0,436820,13003531200.0,299958,CZCE.FG
2013-01-30,1585.0,1591.0,1578.0,1579.0,1240592,39328931600.0,390976,CZCE.FG
2013-01-31,1578.0,1601.0,1577.0,1585.0,2457828,78101339800.0,457056,CZCE.FG
2013-02-01,1585.0,1596.0,1580.0,1594.0,1459170,46310688400.0,405030,CZCE.FG
2013-02-04,1599.0,1649.0,1594.0,1632.0,2402600,78191458100.0,465844,CZCE.FG
2013-02-05,1628.0,1646.0,1624.0,1635.0,1865628,60947454900.0,476782,CZCE.FG
2013-02-06,1639.0,1652.0,1624.0,1629.0,1863392,61047794300.0,468858,CZCE.FG
2013-02-07,1631.0,1633.0,1606.0,1623.0,1279512,41401389000.0,397408,CZCE.FG
2013-02-08,1620.0,1635.0,1618.0,1634.0,706434,22999984000.0,350360,CZCE.FG
2013-02-18,1631.0,1643.0,1606.0,1607.0,1376256,44640083200.0,450892,CZCE.FG
2013-02-19,1606.0,1616.0,1597.0,1614.0,1627348,52356741500.0,512196,CZCE.FG
2013-02-20,1619.0,1622.0,1601.0,1610.0,1355640,43701322500.0,552484,CZCE.FG
2013-02-21,1591.0,1595.0,1549.0,1558.0,2360254,73900229500.0,502946,CZCE.FG
2013-02-22,1558.0,1569.0,1539.0,1553.0,2350730,73088790600.0,517796,CZCE.FG
2013-02-25,1550.0,1574.0,1532.0,1559.0,2320596,72347108800.0,538436,CZCE.FG
2013-02-26,1548.0,1564.0,1532.0,1536.0,2365400,73302333000.0,586884,CZCE.FG
2013-02-27,1548.0,1562.0,1543.0,1558.0,2115598,65778467700.0,564882,CZCE.FG
2013-02-28,1566.0,1587.0,1565.0,1582.0,1573926,49574345000.0,544704,CZCE.FG
2013-03-01,1580.0,1581.0,1550.0,1568.0,1843832,57722621900.0,519900,CZCE.FG
2013-03-04,1557.0,1564.0,1502.0,1518.0,2940802,89689286000.0,593688,CZCE.FG
2013-03-05,1524.0,1532.0,1504.0,1527.0,2793004,84887773400.0,596258,CZCE.FG
2013-03-06,1530.0,1541.0,1518.0,1525.0,2162826,66062189300.0,578546,CZCE.FG
2013-03-07,1521.0,1521.0,1508.0,1518.0,1751892,53080074100.0,566174,CZCE.FG
2013-03-08,1524.0,1528.0,1485.0,1504.0,2770430,83289050600.0,561120,CZCE.FG
2013-03-11,1503.0,1508.0,1483.0,1496.0,2231190,66785898300.0,572414,CZCE.FG
2013-03-12,1500.0,1505.0,1481.0,1487.0,2384956,71189817400.0,497148,CZCE.FG
2013-03-13,1493.0,1493.0,1438.0,1449.0,2935302,85623803300.0,494998,CZCE.FG
