datetime,open,high,low,close,volume,amount,position,symbol
2014-06-18,2858.0,2902.0,2833.0,2896.0,2118,61101300.0,2176,CZCE.MA
2014-06-19,2901.0,2929.0,2890.0,2901.0,3532,102786800.0,2956,CZCE.MA
2014-06-20,2905.0,2919.0,2896.0,2908.0,1504,43726500.0,2978,CZCE.MA
2014-06-23,2910.0,2950.0,2896.0,2910.0,2480,72379000.0,2896,CZCE.MA
2014-06-24,2906.0,2948.0,2903.0,2939.0,1690,49400700.0,2962,CZCE.MA
2014-06-25,2941.0,2991.0,2933.0,2987.0,4348,128917800.0,4192,CZCE.MA
2014-06-26,2990.0,3020.0,2970.0,3004.0,5220,156740000.0,3986,CZCE.MA
2014-06-27,3004.0,3008.0,2978.0,2987.0,2840,84942000.0,3986,CZCE.MA
2014-06-30,2983.0,3005.0,2966.0,2991.0,3020,90288200.0,4008,CZCE.MA
2014-07-01,2994.0,3002.0,2963.0,2977.0,3648,108715300.0,4204,CZCE.MA
2014-07-02,2982.0,2992.0,2911.0,2965.0,3150,93399800.0,4358,CZCE.MA
2014-07-03,2958.0,2975.0,2946.0,2962.0,1926,57079400.0,4800,CZCE.MA
2014-07-04,2961.0,2972.0,2951.0,2960.0,1454,43060700.0,4750,CZCE.MA
2014-07-07,2956.0,3013.0,2954.0,3012.0,4722,141007800.0,5804,CZCE.MA
2014-07-08,3013.0,3038.0,2996.0,3001.0,6078,183312600.0,6912,CZCE.MA
2014-07-09,3000.0,3003.0,2958.0,2958.0,3916,116614700.0,6010,CZCE.MA
2014-07-10,2956.0,2964.0,2931.0,2937.0,3352,98756800.0,5446,CZCE.MA
2014-07-11,2940.0,2958.0,2915.0,2919.0,2332,68494700.0,5516,CZCE.MA
2014-07-14,2919.0,2926.0,2825.0,2904.0,2114,61183700.0,5302,CZCE.MA
2014-07-15,2908.0,2920.0,2882.0,2900.0,1286,37294200.0,5498,CZCE.MA
2014-07-16,2905.0,2905.0,2873.0,2880.0,1120,32338600.0,5310,CZCE.MA
2014-07-17,2880.0,2932.0,2875.0,2912.0,2468,71858200.0,5454,CZCE.MA
2014-07-18,2915.0,2925.0,2842.0,2866.0,2680,77363300.0,5132,CZCE.MA
2014-07-21,2866.0,2879.0,2851.0,2863.0,1038,29768900.0,5094,CZCE.MA
2014-07-22,2866.0,2890.0,2851.0,2880.0,1494,42925700.0,4956,CZCE.MA
2014-07-23,2880.0,2897.0,2835.0,2873.0,1484,42742000.0,4870,CZCE.MA
2014-07-24,2875.0,2895.0,2850.0,2876.0,1074,30923000.0,4888,CZCE.MA
2014-07-25,2875.0,2896.0,2872.0,2892.0,940,27097500.0,5000,CZCE.MA
