datetime,open,high,low,close,volume,amount,position,symbol
2012-08-06,9810.0,10230.0,9810.0,10230.0,24,2404800.0,0,CZCE.OI
2012-09-20,10430.0,10430.0,10430.0,10430.0,2,208600.0,2,CZCE.OI
2012-09-26,10018.0,10794.0,10012.0,10794.0,8,818800.0,2,CZCE.OI
2012-10-10,10130.0,10130.0,10130.0,10130.0,2,202600.0,4,CZCE.OI
2012-10-11,10180.0,10180.0,10180.0,10180.0,2,203600.0,6,CZCE.OI
2012-10-15,10100.0,10132.0,10034.0,10120.0,28,2831700.0,32,CZCE.OI
2012-10-16,10180.0,10180.0,10180.0,10180.0,2,203600.0,30,CZCE.OI
2012-10-17,10122.0,10168.0,10122.0,10122.0,6,608200.0,30,CZCE.OI
2012-10-18,10152.0,10152.0,10152.0,10152.0,2,203000.0,28,CZCE.OI
2012-10-23,10152.0,10152.0,10150.0,10150.0,12,1218000.0,36,CZCE.OI
2012-10-24,10100.0,10114.0,10100.0,10104.0,6,606400.0,38,CZCE.OI
2012-10-26,9896.0,10050.0,9896.0,10050.0,8,800800.0,36,CZCE.OI
2012-10-29,10090.0,10090.0,10000.0,10050.0,10,1004800.0,46,CZCE.OI
2012-11-01,10192.0,10192.0,10016.0,10016.0,6,607900.0,50,CZCE.OI
2012-11-02,10020.0,10084.0,9848.0,9982.0,70,6992300.0,90,CZCE.OI
2012-11-05,9872.0,9990.0,9756.0,9990.0,40,3949900.0,106,CZCE.OI
2012-11-06,9850.0,9850.0,9850.0,9850.0,2,197000.0,106,CZCE.OI
2012-11-07,9862.0,9918.0,9862.0,9902.0,8,791700.0,104,CZCE.OI
2012-11-08,9900.0,9900.0,9900.0,9900.0,2,198000.0,106,CZCE.OI
2012-11-09,9852.0,9852.0,9850.0,9850.0,4,394000.0,106,CZCE.OI
2012-11-12,9652.0,9748.0,9600.0,9746.0,8,774900.0,110,CZCE.OI
2012-11-13,9600.0,9600.0,9590.0,9590.0,6,575600.0,110,CZCE.OI
2012-11-14,9680.0,9680.0,9670.0,9670.0,4,387000.0,112,CZCE.OI
2012-11-15,9750.0,9750.0,9750.0,9750.0,4,390000.0,112,CZCE.OI
2012-11-16,9538.0,9680.0,9538.0,9620.0,8,769200.0,116,CZCE.OI
2012-11-19,9650.0,9700.0,9650.0,9700.0,204,19787000.0,316,CZCE.OI
2012-11-21,9750.0,9750.0,9750.0,9750.0,8,780000.0,310,CZCE.OI
2012-11-22,9780.0,9780.0,9620.0,9700.0,8,774400.0,310,CZCE.OI
2012-11-23,9660.0,9780.0,9660.0,9780.0,6,583200.0,310,CZCE.OI
2012-11-26,9800.0,9800.0,9708.0,9724.0,204,19869400.0,300,CZCE.OI
2012-11-27,9760.0,9760.0,9710.0,9746.0,40,3896600.0,282,CZCE.OI
2012-11-28,9708.0,9760.0,9708.0,9742.0,44,4286200.0,276,CZCE.OI
2012-11-29,9748.0,9756.0,9676.0,9756.0,32,3115600.0,294,CZCE.OI
2012-11-30,9738.0,9738.0,9738.0,9738.0,4,389500.0,294,CZCE.OI
2012-12-03,9774.0,9810.0,9774.0,9810.0,22,2154100.0,294,CZCE.OI
2012-12-04,9796.0,9802.0,9768.0,9802.0,6,587300.0,300,CZCE.OI
2012-12-05,9878.0,9906.0,9806.0,9890.0,18,1777200.0,306,CZCE.OI
2012-12-06,9942.0,9942.0,9930.0,9930.0,6,596200.0,304,CZCE.OI
2012-12-12,9614.0,9880.0,9614.0,9834.0,10,981400.0,304,CZCE.OI
2012-12-13,9878.0,9878.0,9840.0,9840.0,4,394400.0,304,CZCE.OI
2012-12-14,9904.0,9980.0,9868.0,9920.0,24,2376000.0,308,CZCE.OI
2012-12-17,9904.0,9954.0,9904.0,9954.0,6,596000.0,308,CZCE.OI
2012-12-18,9996.0,9998.0,9862.0,9862.0,14,1390500.0,310,CZCE.OI
2012-12-19,9838.0,9878.0,9838.0,9878.0,12,1183500.0,318,CZCE.OI
2012-12-20,9872.0,9872.0,9762.0,9868.0,32,3151700.0,342,CZCE.OI
2012-12-21,9840.0,9896.0,9812.0,9892.0,82,8079800.0,364,CZCE.OI
2012-12-24,9980.0,9980.0,9890.0,9908.0,26,2581400.0,374,CZCE.OI
2012-12-25,9898.0,9966.0,9880.0,9922.0,20,1985200.0,380,CZCE.OI
2012-12-26,9958.0,9964.0,9906.0,9908.0,108,10718700.0,440,CZCE.OI
2012-12-27,9926.0,10018.0,9920.0,10014.0,196,19566400.0,536,CZCE.OI
2012-12-28,9984.0,10060.0,9888.0,9900.0,1322,131389300.0,1410,CZCE.OI
2012-12-31,9908.0,9966.0,9830.0,9854.0,468,46302400.0,1446,CZCE.OI
2013-01-04,9930.0,10018.0,9780.0,10000.0,456,45463400.0,1504,CZCE.OI
2013-01-07,9968.0,10160.0,9870.0,9882.0,1152,114481000.0,2094,CZCE.OI
2013-01-08,9814.0,9916.0,9814.0,9852.0,258,25452600.0,2088,CZCE.OI
2013-01-09,9876.0,9894.0,9852.0,9888.0,308,30397000.0,2132,CZCE.OI
2013-01-10,9900.0,10044.0,9900.0,9978.0,2000,200059700.0,2910,CZCE.OI
2013-01-11,9966.0,10026.0,9924.0,9940.0,1564,155977700.0,3394,CZCE.OI
2013-01-14,10026.0,10086.0,9972.0,9998.0,362,36206700.0,3430,CZCE.OI
2013-01-15,10012.0,10070.0,9986.0,9992.0,1584,158816600.0,4080,CZCE.OI
2013-01-16,10034.0,10034.0,9970.0,9984.0,980,97897700.0,4706,CZCE.OI
