datetime,open,high,low,close,volume,amount,position,symbol
2020-10-13,5932.0,6042.0,5900.0,6042.0,538024,16161113900.0,77665,CZCE.PF
2020-10-14,6054.0,6138.0,5992.0,6104.0,309822,9392300300.0,89404,CZCE.PF
2020-10-15,6126.0,6270.0,6112.0,6266.0,559919,17364780100.0,167776,CZCE.PF
2020-10-16,6224.0,6454.0,6224.0,6454.0,1300979,41249797900.0,251716,CZCE.PF
2020-10-19,6462.0,6596.0,6432.0,6596.0,1458246,47657131500.0,316768,CZCE.PF
2020-10-20,6602.0,6618.0,6482.0,6564.0,1388290,45437721400.0,306556,CZCE.PF
2020-10-21,6536.0,6586.0,6488.0,6500.0,794840,25970132300.0,288029,CZCE.PF
2020-10-22,6530.0,6546.0,6274.0,6274.0,1221706,38914600900.0,224512,CZCE.PF
2020-10-23,6252.0,6314.0,6214.0,6238.0,646077,20254942300.0,174759,CZCE.PF
2020-10-26,6236.0,6326.0,6228.0,6254.0,479646,15045935200.0,172231,CZCE.PF
2020-10-27,6218.0,6286.0,6136.0,6144.0,453060,14071405900.0,170317,CZCE.PF
2020-10-28,6150.0,6206.0,6126.0,6178.0,356361,10979502900.0,163360,CZCE.PF
2020-10-29,6130.0,6176.0,6052.0,6058.0,315482,9645378400.0,152349,CZCE.PF
2020-10-30,6008.0,6102.0,5990.0,6016.0,237954,7190493200.0,138240,CZCE.PF
2020-11-02,6010.0,6172.0,6008.0,6094.0,380653,11638811900.0,142514,CZCE.PF
2020-11-03,6118.0,6162.0,6074.0,6076.0,195213,5978457200.0,145515,CZCE.PF
2020-11-04,6110.0,6114.0,6026.0,6066.0,157732,4795438400.0,139596,CZCE.PF
2020-11-05,6080.0,6100.0,5966.0,5982.0,159705,4817791200.0,147914,CZCE.PF
2020-11-06,5990.0,6004.0,5854.0,5888.0,263988,7817627600.0,149173,CZCE.PF
2020-11-09,5880.0,5926.0,5858.0,5902.0,153150,4513622300.0,145719,CZCE.PF
2020-11-10,6038.0,6124.0,5944.0,6006.0,334924,10091084700.0,137063,CZCE.PF
2020-11-11,6022.0,6112.0,6002.0,6066.0,217347,6599081200.0,140201,CZCE.PF
2020-11-12,6080.0,6136.0,6038.0,6048.0,194634,5923393000.0,148000,CZCE.PF
2020-11-13,6040.0,6070.0,5934.0,5956.0,168873,5059661200.0,145772,CZCE.PF
2020-11-16,5904.0,5990.0,5894.0,5964.0,175421,5208388800.0,145686,CZCE.PF
2020-11-17,5990.0,6032.0,5940.0,5968.0,158023,4730715800.0,147265,CZCE.PF
2020-11-18,5960.0,6024.0,5922.0,6000.0,149577,4473876600.0,147703,CZCE.PF
2020-11-19,6030.0,6032.0,5974.0,5994.0,105680,3170465100.0,146178,CZCE.PF
2020-11-20,6000.0,6050.0,5972.0,6006.0,149135,4487926400.0,141034,CZCE.PF
2020-11-23,6002.0,6080.0,5990.0,6040.0,108810,3279933000.0,143354,CZCE.PF
2020-11-24,6048.0,6108.0,6026.0,6100.0,162979,4948036100.0,149334,CZCE.PF
2020-11-25,6094.0,6144.0,6066.0,6100.0,142038,4336137900.0,145102,CZCE.PF
2020-11-26,6100.0,6130.0,6046.0,6064.0,101462,3091096600.0,144093,CZCE.PF
2020-11-27,6054.0,6100.0,6040.0,6096.0,77786,2360499200.0,140693,CZCE.PF
2020-11-30,6104.0,6130.0,6006.0,6016.0,121528,3691879200.0,132433,CZCE.PF
2020-12-01,6030.0,6062.0,6012.0,6030.0,62963,1900379300.0,133521,CZCE.PF
2020-12-02,6036.0,6052.0,5942.0,5946.0,103446,3096226700.0,130763,CZCE.PF
2020-12-03,5944.0,6014.0,5908.0,5988.0,108400,3237600300.0,133235,CZCE.PF
2020-12-04,5990.0,6098.0,5964.0,6092.0,169067,5105574900.0,123153,CZCE.PF
2020-12-07,6106.0,6250.0,6072.0,6248.0,183565,5656276500.0,127385,CZCE.PF
2020-12-08,6244.0,6286.0,6168.0,6182.0,167934,5233841300.0,124591,CZCE.PF
2020-12-09,6200.0,6264.0,6150.0,6192.0,126151,3917919300.0,120890,CZCE.PF
2020-12-10,6198.0,6240.0,6160.0,6166.0,101269,3140531400.0,117503,CZCE.PF
2020-12-11,6184.0,6270.0,6160.0,6228.0,137450,4266534100.0,116593,CZCE.PF
2020-12-14,6222.0,6362.0,6222.0,6344.0,168282,5308540800.0,121355,CZCE.PF
2020-12-15,6362.0,6362.0,6200.0,6278.0,109640,3448133300.0,112146,CZCE.PF
2020-12-16,6290.0,6312.0,6246.0,6270.0,60191,1889931300.0,108722,CZCE.PF
2020-12-17,6282.0,6338.0,6268.0,6338.0,77862,2454778000.0,113180,CZCE.PF
2020-12-18,6338.0,6392.0,6284.0,6318.0,95235,3019558400.0,110392,CZCE.PF
2020-12-21,6320.0,6336.0,6208.0,6266.0,84230,2641065100.0,102287,CZCE.PF
2020-12-22,6266.0,6304.0,6162.0,6216.0,112532,3512871500.0,92204,CZCE.PF
2020-12-23,6238.0,6262.0,6130.0,6226.0,92850,2883928300.0,90039,CZCE.PF
2020-12-24,6260.0,6290.0,6216.0,6290.0,54709,1711849700.0,92485,CZCE.PF
2020-12-25,6284.0,6340.0,6262.0,6304.0,90907,2866595800.0,94324,CZCE.PF
2020-12-28,6322.0,6328.0,6232.0,6256.0,84325,2645609600.0,93098,CZCE.PF
2020-12-29,6282.0,6286.0,6162.0,6184.0,79914,2486247900.0,96048,CZCE.PF
2020-12-30,6186.0,6282.0,6180.0,6282.0,85557,2669590300.0,90496,CZCE.PF
2020-12-31,6286.0,6450.0,6252.0,6422.0,154007,4900646900.0,110849,CZCE.PF
2021-01-04,6400.0,6560.0,6400.0,6538.0,81076,2631668100.0,119217,CZCE.PF
2021-01-05,6522.0,6696.0,6514.0,6594.0,242893,8021169300.0,130278,CZCE.PF
2021-01-06,6610.0,6746.0,6580.0,6714.0,199265,6649267200.0,131341,CZCE.PF
2021-01-07,6702.0,6866.0,6666.0,6848.0,166757,5643800600.0,144270,CZCE.PF
2021-01-08,6844.0,6910.0,6724.0,6804.0,177939,6071475000.0,134523,CZCE.PF
2021-01-11,6814.0,6818.0,6548.0,6572.0,231048,7701323500.0,115681,CZCE.PF
2021-01-12,6576.0,6662.0,6512.0,6646.0,115900,3817233800.0,113051,CZCE.PF
2021-01-13,6660.0,6772.0,6626.0,6726.0,152543,5113056700.0,113824,CZCE.PF
2021-01-14,6712.0,6738.0,6592.0,6596.0,140959,4692820200.0,106915,CZCE.PF
2021-01-15,6582.0,6682.0,6546.0,6576.0,133221,4404182200.0,112056,CZCE.PF
2021-01-18,6576.0,6652.0,6534.0,6626.0,107559,3548812500.0,112937,CZCE.PF
2021-01-19,6626.0,6784.0,6602.0,6644.0,188263,6299147500.0,116695,CZCE.PF
2021-01-20,6656.0,6712.0,6608.0,6658.0,105982,3532683100.0,116012,CZCE.PF
2021-01-21,6662.0,6728.0,6610.0,6614.0,131373,4388949400.0,116341,CZCE.PF
2021-01-22,6614.0,6656.0,6476.0,6494.0,153163,5031927400.0,115097,CZCE.PF
2021-01-25,6456.0,6538.0,6456.0,6512.0,90273,2934163400.0,107240,CZCE.PF
2021-01-26,6512.0,6580.0,6440.0,6454.0,75969,2480175900.0,104809,CZCE.PF
2021-01-27,6468.0,6548.0,6440.0,6538.0,80911,2625234500.0,105251,CZCE.PF
2021-01-28,6508.0,6546.0,6424.0,6458.0,92218,2987484000.0,102132,CZCE.PF
2021-01-29,6470.0,6624.0,6466.0,6618.0,109238,3575278200.0,99181,CZCE.PF
2021-02-01,6632.0,6766.0,6602.0,6724.0,124583,4168090400.0,105670,CZCE.PF
2021-02-02,6750.0,6808.0,6710.0,6748.0,122483,4141935400.0,101117,CZCE.PF
2021-02-03,6782.0,6832.0,6668.0,6706.0,144204,4872742300.0,101606,CZCE.PF
2021-02-04,6724.0,6798.0,6690.0,6792.0,87938,2966375600.0,103148,CZCE.PF
2021-02-05,6786.0,6820.0,6738.0,6776.0,84605,2869451700.0,102138,CZCE.PF
2021-02-08,6794.0,7036.0,6790.0,7004.0,197240,6842483600.0,124557,CZCE.PF
2021-02-09,7008.0,7118.0,6982.0,7098.0,155634,5483600500.0,119320,CZCE.PF
2021-02-10,7096.0,7144.0,7040.0,7144.0,117712,4175012100.0,122182,CZCE.PF
2021-02-18,7350.0,7734.0,7350.0,7734.0,171281,6520107000.0,142055,CZCE.PF
2021-02-19,7702.0,7762.0,7490.0,7594.0,266154,10152001300.0,136019,CZCE.PF
2021-02-22,7594.0,8078.0,7530.0,8024.0,298198,11728881600.0,144433,CZCE.PF
2021-02-23,7998.0,8236.0,7908.0,7968.0,326422,13167666800.0,134002,CZCE.PF
2021-02-24,7970.0,8142.0,7910.0,8040.0,259723,10444105300.0,143096,CZCE.PF
2021-02-25,8158.0,8526.0,8070.0,8506.0,403889,16846908000.0,143864,CZCE.PF
2021-02-26,8508.0,8578.0,8260.0,8362.0,355427,14959088500.0,140089,CZCE.PF
2021-03-01,8304.0,8400.0,7928.0,8046.0,522283,21242565800.0,116235,CZCE.PF
2021-03-02,8016.0,8062.0,7712.0,7824.0,371043,14622546600.0,110290,CZCE.PF
2021-03-03,7880.0,7998.0,7726.0,7788.0,290389,11425774900.0,107125,CZCE.PF
2021-03-04,7836.0,7840.0,7580.0,7720.0,344548,13276428200.0,111244,CZCE.PF
2021-03-05,7700.0,7874.0,7616.0,7780.0,416678,16165218700.0,111700,CZCE.PF
2021-03-08,7832.0,8090.0,7808.0,7920.0,340200,13515248900.0,105385,CZCE.PF
2021-03-09,7900.0,7900.0,7600.0,7600.0,248490,9658228800.0,101209,CZCE.PF
2021-03-10,7640.0,7684.0,7306.0,7370.0,332635,12456722700.0,105526,CZCE.PF
2021-03-11,7418.0,7596.0,7354.0,7578.0,266319,9917473300.0,100833,CZCE.PF
2021-03-12,7578.0,7692.0,7502.0,7548.0,277590,10539366600.0,103289,CZCE.PF
2021-03-15,7540.0,7618.0,7384.0,7436.0,250308,9382173400.0,101413,CZCE.PF
2021-03-16,7394.0,7468.0,7136.0,7162.0,284911,10412581300.0,112908,CZCE.PF
