datetime,open,high,low,close,volume,amount,position,symbol
2025-07-23,6600.0,6661.0,6540.0,6578.0,20996,2769429600.0,6668,CZCE.PL
2025-07-24,6594.0,6622.0,6564.0,6601.0,7405,976028700.0,6140,CZCE.PL
2025-07-25,6630.0,6694.0,6598.0,6657.0,9663,1283892700.0,5838,CZCE.PL
2025-07-28,6648.0,6674.0,6550.0,6570.0,6292,829974300.0,5580,CZCE.PL
2025-07-29,6569.0,6594.0,6548.0,6573.0,3081,405173600.0,5230,CZCE.PL
2025-07-30,6598.0,6605.0,6562.0,6570.0,2669,351607300.0,4992,CZCE.PL
2025-07-31,6574.0,6588.0,6530.0,6545.0,2343,307442700.0,4700,CZCE.PL
2025-08-01,6555.0,6555.0,6462.0,6474.0,3454,449299800.0,4575,CZCE.PL
2025-08-04,6480.0,6494.0,6416.0,6481.0,2137,276442800.0,4486,CZCE.PL
2025-08-05,6464.0,6520.0,6454.0,6512.0,1971,255619000.0,4461,CZCE.PL
2025-08-06,6510.0,6555.0,6473.0,6494.0,1922,249831400.0,4426,CZCE.PL
2025-08-07,6501.0,6511.0,6470.0,6480.0,1118,145069100.0,4534,CZCE.PL
2025-08-08,6462.0,6496.0,6443.0,6451.0,1187,153379600.0,4747,CZCE.PL
2025-08-11,6462.0,6505.0,6451.0,6491.0,1288,166880700.0,4453,CZCE.PL
2025-08-12,6517.0,6560.0,6476.0,6513.0,1450,188789500.0,4291,CZCE.PL
2025-08-13,6513.0,6528.0,6486.0,6507.0,753,97996300.0,4234,CZCE.PL
2025-08-14,6520.0,6526.0,6471.0,6488.0,917,119054700.0,4211,CZCE.PL
2025-08-15,6480.0,6505.0,6476.0,6492.0,789,102463100.0,4132,CZCE.PL
2025-08-18,6506.0,6529.0,6449.0,6451.0,1369,177057600.0,4036,CZCE.PL
2025-08-19,6444.0,6463.0,6395.0,6404.0,1965,252524500.0,4233,CZCE.PL
2025-08-20,6404.0,6456.0,6360.0,6446.0,2110,270285800.0,4234,CZCE.PL
2025-08-21,6446.0,6493.0,6425.0,6472.0,2524,326195300.0,4586,CZCE.PL
2025-08-22,6461.0,6493.0,6450.0,6470.0,1399,181122800.0,4614,CZCE.PL
2025-08-25,6493.0,6514.0,6463.0,6491.0,1900,246643800.0,4714,CZCE.PL
2025-08-26,6500.0,6501.0,6460.0,6467.0,1117,144818500.0,4744,CZCE.PL
2025-08-27,6460.0,6474.0,6441.0,6444.0,803,103747700.0,4820,CZCE.PL
2025-08-28,6451.0,6461.0,6422.0,6450.0,1066,137305900.0,4897,CZCE.PL
2025-08-29,6462.0,6466.0,6403.0,6409.0,1066,136978400.0,5095,CZCE.PL
2025-09-01,6420.0,6427.0,6362.0,6423.0,5133,656428600.0,6835,CZCE.PL
2025-09-02,6423.0,6443.0,6386.0,6405.0,4421,567497900.0,8146,CZCE.PL
2025-09-03,6391.0,6439.0,6390.0,6415.0,3620,464808500.0,8961,CZCE.PL
2025-09-04,6414.0,6414.0,6354.0,6392.0,3174,404853400.0,9624,CZCE.PL
2025-09-05,6378.0,6425.0,6367.0,6408.0,2036,260539800.0,9659,CZCE.PL
2025-09-08,6381.0,6413.0,6366.0,6410.0,2166,276747100.0,9923,CZCE.PL
2025-09-09,6430.0,6430.0,6376.0,6402.0,2586,330727000.0,9998,CZCE.PL
2025-09-10,6405.0,6430.0,6392.0,6408.0,2801,359251700.0,10329,CZCE.PL
2025-09-11,6400.0,6422.0,6389.0,6409.0,3245,415748600.0,10779,CZCE.PL
2025-09-12,6400.0,6420.0,6364.0,6420.0,3192,407402400.0,11270,CZCE.PL
2025-09-15,6428.0,6556.0,6409.0,6442.0,3952,508508200.0,11540,CZCE.PL
2025-09-16,6441.0,6483.0,6432.0,6445.0,2856,368872500.0,11649,CZCE.PL
2025-09-17,6453.0,6464.0,6437.0,6462.0,4435,572029800.0,11883,CZCE.PL
2025-09-18,6466.0,6474.0,6409.0,6424.0,5229,673767200.0,11808,CZCE.PL
2025-09-19,6424.0,6462.0,6388.0,6388.0,3844,492894300.0,11906,CZCE.PL
2025-09-22,6384.0,6405.0,6327.0,6346.0,5467,696801700.0,12191,CZCE.PL
2025-09-23,6319.0,6348.0,6310.0,6327.0,4195,531216800.0,12207,CZCE.PL
2025-09-24,6337.0,6369.0,6327.0,6357.0,2754,349442000.0,12184,CZCE.PL
2025-09-25,6358.0,6384.0,6358.0,6372.0,1438,183252100.0,12287,CZCE.PL
2025-09-26,6366.0,6401.0,6350.0,6365.0,2531,322757200.0,12193,CZCE.PL
2025-09-29,6376.0,6406.0,6353.0,6365.0,3287,419083000.0,12396,CZCE.PL
2025-09-30,6371.0,6372.0,6320.0,6320.0,2996,380083400.0,12100,CZCE.PL
2025-10-09,6329.0,6329.0,6155.0,6210.0,4594,571387300.0,12716,CZCE.PL
2025-10-10,6231.0,6242.0,6188.0,6205.0,5404,670655100.0,12673,CZCE.PL
2025-10-13,6205.0,6219.0,6144.0,6177.0,6804,842323700.0,11754,CZCE.PL
2025-10-14,6188.0,6188.0,6071.0,6084.0,8094,988943500.0,11641,CZCE.PL
2025-10-15,6081.0,6108.0,6039.0,6079.0,11714,1425497900.0,11623,CZCE.PL
2025-10-16,6093.0,6124.0,6040.0,6106.0,8559,1041918500.0,11511,CZCE.PL
2025-10-17,6115.0,6117.0,6001.0,6007.0,9061,1096146100.0,11788,CZCE.PL
2025-10-20,6029.0,6099.0,6016.0,6026.0,6946,842540900.0,11229,CZCE.PL
2025-10-21,6028.0,6080.0,5989.0,6035.0,10123,1221093900.0,11282,CZCE.PL
2025-10-22,6039.0,6112.0,6031.0,6084.0,5624,682619100.0,10672,CZCE.PL
2025-10-23,6064.0,6188.0,6064.0,6154.0,10211,1252459200.0,10340,CZCE.PL
2025-10-24,6180.0,6180.0,6121.0,6125.0,8525,1048168300.0,10501,CZCE.PL
2025-10-27,6150.0,6170.0,6116.0,6152.0,5914,726756100.0,11083,CZCE.PL
2025-10-28,6152.0,6168.0,6097.0,6112.0,10576,1296927500.0,10769,CZCE.PL
2025-10-29,6100.0,6144.0,6083.0,6132.0,38900,4755477800.0,10244,CZCE.PL
2025-10-30,6127.0,6136.0,6072.0,6078.0,12890,1575365000.0,9063,CZCE.PL
2025-10-31,6077.0,6092.0,5993.0,6009.0,23828,2880113900.0,7956,CZCE.PL
2025-11-03,6019.0,6065.0,6005.0,6029.0,4861,586897700.0,6793,CZCE.PL
2025-11-04,6058.0,6070.0,5991.0,6026.0,30239,3650750800.0,10646,CZCE.PL
2025-11-05,6003.0,6023.0,5948.0,5977.0,35389,4225521400.0,11942,CZCE.PL
2025-11-06,5956.0,5977.0,5850.0,5852.0,43935,5174658000.0,14448,CZCE.PL
2025-11-07,5862.0,5884.0,5846.0,5858.0,46578,5460100500.0,14268,CZCE.PL
2025-11-10,5868.0,5908.0,5830.0,5892.0,51745,6074979200.0,15114,CZCE.PL
2025-11-11,5882.0,5925.0,5868.0,5869.0,27692,3264689800.0,14559,CZCE.PL
2025-11-12,5922.0,5922.0,5881.0,5896.0,37361,4408790100.0,13949,CZCE.PL
2025-11-13,5887.0,5918.0,5863.0,5918.0,43999,5181837600.0,14206,CZCE.PL
2025-11-14,5935.0,5977.0,5907.0,5917.0,22586,2680947500.0,14187,CZCE.PL
2025-11-17,5931.0,5931.0,5886.0,5913.0,17771,2099963500.0,14240,CZCE.PL
2025-11-18,5929.0,5937.0,5813.0,5816.0,24646,2898816900.0,14093,CZCE.PL
2025-11-19,5830.0,5867.0,5803.0,5840.0,20334,2374620300.0,14124,CZCE.PL
2025-11-20,5824.0,5893.0,5780.0,5871.0,35666,4164198400.0,14170,CZCE.PL
2025-11-21,5871.0,5902.0,5793.0,5807.0,29864,3495745700.0,14225,CZCE.PL
2025-11-24,5820.0,5918.0,5758.0,5881.0,33053,3855375900.0,13425,CZCE.PL
2025-11-25,5881.0,5885.0,5835.0,5838.0,14343,1683161700.0,13469,CZCE.PL
2025-11-26,5835.0,5860.0,5786.0,5820.0,51585,6016360200.0,14286,CZCE.PL
2025-11-27,5823.0,5839.0,5788.0,5798.0,22527,2615350500.0,14820,CZCE.PL
2025-11-28,5797.0,5975.0,5797.0,5940.0,24936,2924011100.0,15393,CZCE.PL
2025-12-01,5930.0,6013.0,5930.0,5965.0,44123,5273806200.0,16288,CZCE.PL
2025-12-02,5935.0,5967.0,5913.0,5959.0,37433,4441787700.0,16238,CZCE.PL
2025-12-03,5955.0,5963.0,5849.0,5921.0,40100,4750625600.0,15816,CZCE.PL
2025-12-04,5927.0,5940.0,5866.0,5885.0,46463,5476060100.0,16109,CZCE.PL
2025-12-05,5896.0,5899.0,5759.0,5818.0,38850,4539006500.0,15515,CZCE.PL
2025-12-08,5832.0,5840.0,5782.0,5819.0,35894,4165334100.0,16023,CZCE.PL
2025-12-09,5800.0,5836.0,5775.0,5787.0,25554,2965933000.0,16803,CZCE.PL
2025-12-10,5804.0,5804.0,5715.0,5738.0,60730,6969822400.0,17562,CZCE.PL
2025-12-11,5744.0,5800.0,5729.0,5749.0,22659,2614517900.0,17774,CZCE.PL
2025-12-12,5736.0,5765.0,5659.0,5675.0,42232,4812157700.0,18642,CZCE.PL
2025-12-15,5680.0,5800.0,5675.0,5738.0,16634,1915535700.0,18034,CZCE.PL
2025-12-16,5718.0,5759.0,5716.0,5744.0,15871,1820745600.0,18077,CZCE.PL
2025-12-17,5753.0,5757.0,5722.0,5744.0,35149,4038057700.0,17869,CZCE.PL
2025-12-18,5750.0,5794.0,5737.0,5770.0,31970,3694050500.0,17498,CZCE.PL
2025-12-19,5783.0,5783.0,5695.0,5695.0,26724,3057411600.0,17923,CZCE.PL
2025-12-22,5703.0,5712.0,5628.0,5647.0,42432,4809074100.0,18456,CZCE.PL
2025-12-23,5660.0,5747.0,5599.0,5632.0,25172,2854142300.0,18284,CZCE.PL
2025-12-24,5627.0,5760.0,5618.0,5758.0,24928,2837842600.0,17231,CZCE.PL
2025-12-25,5773.0,5830.0,5745.0,5772.0,32448,3752076300.0,17727,CZCE.PL
2025-12-26,5772.0,5806.0,5709.0,5793.0,24473,2809922700.0,16906,CZCE.PL
2025-12-29,5812.0,5838.0,5762.0,5781.0,26198,3039687300.0,15891,CZCE.PL
2025-12-30,5775.0,5825.0,5750.0,5793.0,26102,3021060300.0,15932,CZCE.PL
2025-12-31,5783.0,5870.0,5783.0,5835.0,18178,2119398600.0,15260,CZCE.PL
2026-01-05,5831.0,5878.0,5790.0,5821.0,8886,1035601600.0,15636,CZCE.PL
2026-01-06,5844.0,5918.0,5831.0,5894.0,20137,2364296800.0,17636,CZCE.PL
2026-01-07,5904.0,5983.0,5887.0,5954.0,36453,4321014000.0,18111,CZCE.PL
2026-01-08,5992.0,6007.0,5941.0,5963.0,10529,1258631500.0,17638,CZCE.PL
2026-01-09,5973.0,6020.0,5945.0,6003.0,19713,2360965800.0,17634,CZCE.PL
2026-01-12,5996.0,6073.0,5950.0,6071.0,27537,3315137500.0,18006,CZCE.PL
2026-01-13,6080.0,6090.0,5980.0,6014.0,22746,2739278300.0,17345,CZCE.PL
2026-01-14,6020.0,6100.0,6014.0,6082.0,12209,1477987300.0,18118,CZCE.PL
2026-01-15,6098.0,6159.0,6060.0,6122.0,15157,1852537400.0,18686,CZCE.PL
2026-01-16,6102.0,6135.0,6040.0,6050.0,18833,2290089700.0,18114,CZCE.PL
2026-01-19,6080.0,6090.0,6030.0,6035.0,12857,1560226600.0,17517,CZCE.PL
2026-01-20,6037.0,6048.0,5940.0,5963.0,21968,2627145700.0,16444,CZCE.PL
2026-01-21,5950.0,6008.0,5945.0,5993.0,19201,2294895700.0,15665,CZCE.PL
2026-01-22,6007.0,6135.0,6007.0,6132.0,16232,1971525700.0,13947,CZCE.PL
2026-01-23,6106.0,6217.0,6106.0,6203.0,19615,2422318100.0,13547,CZCE.PL
2026-01-26,6222.0,6332.0,6206.0,6320.0,19458,2441289300.0,13811,CZCE.PL
2026-01-27,6288.0,6323.0,6206.0,6248.0,18887,2362215700.0,12160,CZCE.PL
2026-01-28,6268.0,6357.0,6226.0,6281.0,22962,2899464100.0,9682,CZCE.PL
