datetime,open,high,low,close,volume,amount,position,symbol
2012-01-20,2218.0,2218.0,2204.0,2204.0,6,663900.0,6,CZCE.PM
2012-01-30,2220.0,2220.0,2200.0,2219.0,8,883900.0,12,CZCE.PM
2012-01-31,2206.0,2210.0,2198.0,2200.0,48,5287600.0,46,CZCE.PM
2012-02-01,2207.0,2207.0,2200.0,2204.0,36,3963600.0,74,CZCE.PM
2012-02-02,2198.0,2202.0,2198.0,2202.0,4,440000.0,74,CZCE.PM
2012-02-03,2200.0,2211.0,2200.0,2206.0,26,2868400.0,80,CZCE.PM
2012-02-06,2222.0,2225.0,2208.0,2220.0,96,10637000.0,124,CZCE.PM
2012-02-07,2223.0,2223.0,2204.0,2208.0,52,5754100.0,146,CZCE.PM
2012-02-08,2216.0,2216.0,2206.0,2215.0,48,5305700.0,176,CZCE.PM
2012-02-09,2213.0,2213.0,2205.0,2205.0,62,6853500.0,218,CZCE.PM
2012-02-10,2200.0,2207.0,2200.0,2200.0,28,3081100.0,226,CZCE.PM
2012-02-13,2206.0,2208.0,2206.0,2208.0,4,441400.0,226,CZCE.PM
2012-02-14,2203.0,2208.0,2201.0,2206.0,26,2862900.0,244,CZCE.PM
2012-02-15,2201.0,2201.0,2191.0,2199.0,14,1539300.0,254,CZCE.PM
2012-02-16,2203.0,2203.0,2196.0,2200.0,6,659900.0,250,CZCE.PM
2012-02-17,2201.0,2204.0,2200.0,2200.0,22,2421200.0,266,CZCE.PM
2012-02-20,2209.0,2209.0,2200.0,2203.0,36,3964000.0,286,CZCE.PM
2012-02-21,2204.0,2204.0,2201.0,2201.0,12,1321200.0,294,CZCE.PM
2012-02-22,2203.0,2206.0,2202.0,2204.0,18,1983200.0,304,CZCE.PM
2012-02-23,2203.0,2203.0,2201.0,2201.0,22,2421800.0,314,CZCE.PM
2012-02-24,2202.0,2202.0,2201.0,2201.0,4,440300.0,316,CZCE.PM
2012-02-27,2200.0,2202.0,2200.0,2201.0,14,1540500.0,322,CZCE.PM
2012-02-28,2200.0,2203.0,2200.0,2201.0,134,14746700.0,402,CZCE.PM
2012-02-29,2202.0,2238.0,2202.0,2238.0,396,43758700.0,676,CZCE.PM
2012-03-01,2218.0,2229.0,2213.0,2223.0,120,13326600.0,702,CZCE.PM
2012-03-02,2228.0,2242.0,2221.0,2242.0,312,34873400.0,738,CZCE.PM
2012-03-05,2249.0,2252.0,2240.0,2240.0,112,12577500.0,742,CZCE.PM
2012-03-06,2241.0,2249.0,2236.0,2241.0,94,10546100.0,742,CZCE.PM
2012-03-07,2235.0,2235.0,2226.0,2229.0,44,4906100.0,744,CZCE.PM
2012-03-08,2236.0,2236.0,2213.0,2221.0,196,21764000.0,738,CZCE.PM
2012-03-09,2221.0,2238.0,2221.0,2238.0,72,8028100.0,738,CZCE.PM
2012-03-12,2237.0,2268.0,2140.0,2233.0,218,24312200.0,740,CZCE.PM
2012-03-13,2240.0,2252.0,2240.0,2252.0,98,10998900.0,742,CZCE.PM
2012-03-14,2248.0,2248.0,2233.0,2233.0,98,10978200.0,740,CZCE.PM
2012-03-15,2233.0,2240.0,2226.0,2240.0,80,8938100.0,740,CZCE.PM
2012-03-16,2249.0,2250.0,2244.0,2249.0,76,8537900.0,740,CZCE.PM
2012-03-19,2260.0,2296.0,2248.0,2264.0,228,25805800.0,768,CZCE.PM
2012-03-20,2257.0,2258.0,2250.0,2253.0,56,6308200.0,766,CZCE.PM
2012-03-21,2258.0,2258.0,2258.0,2258.0,6,677400.0,766,CZCE.PM
2012-03-22,2260.0,2268.0,2255.0,2257.0,20,2258600.0,766,CZCE.PM
2012-03-23,2265.0,2280.0,2265.0,2274.0,132,15003600.0,782,CZCE.PM
2012-03-26,2278.0,2286.0,2278.0,2286.0,56,6395700.0,796,CZCE.PM
2012-03-27,2292.0,2292.0,2283.0,2285.0,36,4116100.0,810,CZCE.PM
2012-03-28,2280.0,2286.0,2276.0,2284.0,46,5241400.0,806,CZCE.PM
2012-03-29,2280.0,2287.0,2274.0,2275.0,28,3188900.0,804,CZCE.PM
2012-03-30,2265.0,2281.0,2265.0,2279.0,72,8192000.0,820,CZCE.PM
2012-04-05,2292.0,2294.0,2287.0,2294.0,64,7331100.0,820,CZCE.PM
2012-04-06,2293.0,2295.0,2292.0,2295.0,8,917200.0,828,CZCE.PM
2012-04-09,2296.0,2300.0,2293.0,2296.0,38,4361000.0,828,CZCE.PM
2012-04-10,2300.0,2300.0,2291.0,2300.0,44,5052000.0,836,CZCE.PM
