datetime,open,high,low,close,volume,amount,position,symbol
2024-09-02,6622.0,6624.0,6360.0,6376.0,159115,15435325000.0,33748,CZCE.PR
2024-09-03,6378.0,6444.0,6332.0,6386.0,130244,12455274600.0,36159,CZCE.PR
2024-09-04,6338.0,6366.0,6238.0,6290.0,125894,11897555100.0,39747,CZCE.PR
2024-09-05,6290.0,6350.0,6216.0,6226.0,87080,8204392400.0,38031,CZCE.PR
2024-09-06,6242.0,6298.0,6158.0,6220.0,159227,14841643500.0,40265,CZCE.PR
2024-09-09,6228.0,6228.0,6040.0,6090.0,146204,13427662400.0,50279,CZCE.PR
2024-09-10,6080.0,6094.0,5914.0,5914.0,168541,15224996700.0,53283,CZCE.PR
2024-09-11,5912.0,6374.0,5736.0,6002.0,501473,44163301900.0,63054,CZCE.PR
2024-09-12,6000.0,6076.0,5880.0,6048.0,360488,32331563200.0,61361,CZCE.PR
2024-09-13,6086.0,6160.0,6012.0,6092.0,258605,23590839400.0,49785,CZCE.PR
2024-09-18,6118.0,6136.0,5932.0,5962.0,137773,12369389300.0,52748,CZCE.PR
2024-09-19,5954.0,6088.0,5904.0,6074.0,205770,18474190700.0,49976,CZCE.PR
2024-09-20,6078.0,6112.0,6034.0,6078.0,122032,11111780300.0,49150,CZCE.PR
2024-09-23,6062.0,6068.0,5986.0,5998.0,117181,10581713800.0,49532,CZCE.PR
2024-09-24,5992.0,6186.0,5974.0,6170.0,141100,12867290300.0,44441,CZCE.PR
2024-09-25,6188.0,6380.0,6172.0,6182.0,153709,14437939500.0,34310,CZCE.PR
2024-09-26,6146.0,6258.0,6130.0,6184.0,121938,11330015800.0,32456,CZCE.PR
2024-09-27,6206.0,6312.0,6172.0,6294.0,95044,8876608400.0,27141,CZCE.PR
2024-09-30,6290.0,6560.0,6262.0,6516.0,107451,10336257800.0,20891,CZCE.PR
2024-10-08,6800.0,6820.0,6546.0,6574.0,82640,8260009800.0,20160,CZCE.PR
2024-10-09,6568.0,6578.0,6474.0,6504.0,90380,8839264900.0,23211,CZCE.PR
2024-10-10,6474.0,6510.0,6384.0,6448.0,74052,7158221600.0,24769,CZCE.PR
2024-10-11,6462.0,6532.0,6446.0,6508.0,60933,5933954800.0,23289,CZCE.PR
2024-10-14,6516.0,6572.0,6446.0,6472.0,60198,5872127100.0,19425,CZCE.PR
2024-10-15,6452.0,6486.0,6320.0,6320.0,60819,5835114100.0,19740,CZCE.PR
2024-10-16,6316.0,6372.0,6270.0,6306.0,48803,4635465900.0,19629,CZCE.PR
2024-10-17,6298.0,6328.0,6188.0,6190.0,48997,4599204100.0,21492,CZCE.PR
2024-10-18,6218.0,6300.0,6190.0,6260.0,45148,4230724600.0,18348,CZCE.PR
2024-10-21,6244.0,6244.0,6168.0,6218.0,37226,3465682000.0,18624,CZCE.PR
2024-10-22,6236.0,6324.0,6222.0,6284.0,38686,3645992300.0,17423,CZCE.PR
2024-10-23,6324.0,6362.0,6272.0,6304.0,33319,3155667800.0,17426,CZCE.PR
2024-10-24,6272.0,6318.0,6236.0,6284.0,21502,2025278400.0,17277,CZCE.PR
2024-10-25,6280.0,6336.0,6234.0,6284.0,30113,2835607300.0,16677,CZCE.PR
2024-10-28,6304.0,6326.0,6150.0,6270.0,32182,3019946600.0,16383,CZCE.PR
2024-10-29,6240.0,6264.0,6138.0,6160.0,33086,3076699900.0,18499,CZCE.PR
2024-10-30,6202.0,6210.0,6140.0,6178.0,20231,1872669900.0,18113,CZCE.PR
2024-10-31,6196.0,6228.0,6160.0,6208.0,15416,1432464100.0,17285,CZCE.PR
2024-11-01,6214.0,6296.0,6198.0,6240.0,21090,1976377800.0,16576,CZCE.PR
