datetime,open,high,low,close,volume,amount,position,symbol
2023-09-18,9450.0,9468.0,9290.0,9346.0,123567,5790769900.0,35656,CZCE.PX
2023-09-19,9370.0,9436.0,9290.0,9326.0,98362,4604986900.0,38861,CZCE.PX
2023-09-20,9358.0,9564.0,9254.0,9310.0,217136,10219670300.0,47627,CZCE.PX
2023-09-21,9344.0,9346.0,9132.0,9134.0,100829,4656923000.0,45964,CZCE.PX
2023-09-22,9172.0,9280.0,9162.0,9218.0,85025,3920751600.0,42487,CZCE.PX
2023-09-25,9254.0,9300.0,9066.0,9130.0,85762,3930917500.0,42236,CZCE.PX
2023-09-26,9120.0,9130.0,8890.0,8930.0,81098,3658391800.0,46773,CZCE.PX
2023-09-27,8950.0,9040.0,8912.0,8980.0,48233,2164577000.0,41127,CZCE.PX
2023-09-28,9018.0,9166.0,8968.0,9006.0,60168,2729410100.0,33209,CZCE.PX
2023-10-09,8746.0,8826.0,8586.0,8620.0,53455,2319863200.0,43936,CZCE.PX
2023-10-10,8640.0,8650.0,8488.0,8500.0,52618,2254425200.0,47778,CZCE.PX
2023-10-11,8506.0,8526.0,8404.0,8458.0,74368,3144793600.0,53859,CZCE.PX
2023-10-12,8438.0,8462.0,8292.0,8390.0,83094,3476337800.0,60530,CZCE.PX
2023-10-13,8436.0,8486.0,8316.0,8404.0,91310,3835163900.0,62214,CZCE.PX
2023-10-16,8502.0,8518.0,8402.0,8444.0,90508,3830548500.0,63872,CZCE.PX
2023-10-17,8460.0,8506.0,8280.0,8362.0,81194,3408849000.0,66189,CZCE.PX
2023-10-18,8332.0,8498.0,8332.0,8420.0,86598,3652292000.0,66680,CZCE.PX
2023-10-19,8402.0,8466.0,8318.0,8400.0,78807,3308086300.0,66750,CZCE.PX
2023-10-20,8388.0,8530.0,8350.0,8410.0,90202,3809596600.0,63958,CZCE.PX
2023-10-23,8406.0,8432.0,8234.0,8318.0,81920,3409009300.0,65595,CZCE.PX
2023-10-24,8336.0,8544.0,8298.0,8530.0,89732,3768965200.0,65482,CZCE.PX
2023-10-25,8500.0,8590.0,8406.0,8460.0,164517,6977421200.0,67143,CZCE.PX
2023-10-26,8480.0,8564.0,8464.0,8510.0,71013,3018920100.0,65909,CZCE.PX
2023-10-27,8474.0,8596.0,8430.0,8554.0,91193,3874884900.0,63537,CZCE.PX
2023-10-30,8552.0,8668.0,8520.0,8630.0,72051,3096755700.0,65204,CZCE.PX
2023-10-31,8614.0,8688.0,8506.0,8638.0,84397,3633089400.0,64595,CZCE.PX
2023-11-01,8624.0,8668.0,8566.0,8596.0,56331,2427102700.0,62918,CZCE.PX
2023-11-02,8650.0,8650.0,8500.0,8564.0,47360,2028955000.0,61475,CZCE.PX
