datetime,open,high,low,close,volume,amount,position,symbol
2012-07-26,2764.0,2764.0,2764.0,2764.0,2,110600.0,2,CZCE.RI
2012-07-27,2765.0,2765.0,2765.0,2765.0,2,110600.0,2,CZCE.RI
2012-08-06,2815.0,2855.0,2815.0,2855.0,4,226800.0,0,CZCE.RI
2012-08-20,2865.0,2865.0,2865.0,2865.0,2,114600.0,2,CZCE.RI
2012-09-11,2830.0,2830.0,2830.0,2830.0,2,113200.0,0,CZCE.RI
2012-09-24,2768.0,2782.0,2768.0,2780.0,10,555100.0,32,CZCE.RI
2012-09-25,2755.0,2765.0,2740.0,2759.0,26,1429600.0,50,CZCE.RI
2012-09-26,2740.0,2767.0,2740.0,2742.0,10,551100.0,56,CZCE.RI
2012-09-27,2769.0,2770.0,2763.0,2763.0,6,332100.0,54,CZCE.RI
2012-09-28,2769.0,2770.0,2769.0,2770.0,6,332300.0,54,CZCE.RI
2012-10-08,2673.0,2750.0,2673.0,2750.0,20,1096500.0,74,CZCE.RI
2012-10-09,2753.0,2753.0,2753.0,2753.0,6,330400.0,80,CZCE.RI
2012-10-10,2755.0,2755.0,2741.0,2753.0,16,878200.0,94,CZCE.RI
2012-10-11,2756.0,2756.0,2746.0,2748.0,14,770600.0,102,CZCE.RI
2012-10-12,2749.0,2752.0,2741.0,2741.0,20,1098600.0,118,CZCE.RI
2012-10-15,2747.0,2748.0,2747.0,2747.0,16,879200.0,128,CZCE.RI
2012-10-16,2749.0,2749.0,2749.0,2749.0,2,110000.0,130,CZCE.RI
2012-10-17,2749.0,2749.0,2749.0,2749.0,2,110000.0,132,CZCE.RI
2012-10-18,2753.0,2753.0,2753.0,2753.0,2,110100.0,134,CZCE.RI
2012-10-24,2740.0,2740.0,2740.0,2740.0,2,109600.0,134,CZCE.RI
2012-10-29,2765.0,2765.0,2735.0,2735.0,4,220000.0,134,CZCE.RI
2012-10-30,2735.0,2760.0,2730.0,2730.0,8,438200.0,132,CZCE.RI
2012-11-02,2730.0,2749.0,2725.0,2749.0,14,766400.0,126,CZCE.RI
2012-11-05,2737.0,2737.0,2732.0,2732.0,12,656700.0,126,CZCE.RI
2012-11-06,2750.0,2750.0,2750.0,2750.0,2,110000.0,126,CZCE.RI
2012-11-08,2659.0,2849.0,2659.0,2740.0,8,440100.0,126,CZCE.RI
2012-11-09,2760.0,2765.0,2754.0,2765.0,30,1655600.0,136,CZCE.RI
2012-11-12,2750.0,2750.0,2741.0,2750.0,12,658900.0,138,CZCE.RI
2012-11-13,2750.0,2754.0,2735.0,2735.0,48,2633400.0,134,CZCE.RI
2012-11-14,2739.0,2759.0,2731.0,2740.0,56,3068400.0,152,CZCE.RI
2012-11-15,2760.0,2765.0,2752.0,2752.0,10,551600.0,158,CZCE.RI
