datetime,open,high,low,close,volume,amount,position,symbol
2012-12-31,2399.0,2399.0,2336.0,2340.0,237194,5609497400.0,39290,CZCE.RM
2013-01-04,2322.0,2380.0,2316.0,2370.0,193882,4580427800.0,38458,CZCE.RM
2013-01-07,2365.0,2457.0,2360.0,2455.0,406060,9900212700.0,64538,CZCE.RM
2013-01-08,2470.0,2500.0,2438.0,2480.0,899582,22287597700.0,77626,CZCE.RM
2013-01-09,2488.0,2514.0,2472.0,2478.0,696804,17405586900.0,94100,CZCE.RM
2013-01-10,2473.0,2490.0,2459.0,2462.0,591086,14621973200.0,96660,CZCE.RM
2013-01-11,2465.0,2525.0,2463.0,2509.0,1621470,40667104000.0,165614,CZCE.RM
2013-01-14,2527.0,2548.0,2505.0,2541.0,1299760,32860471700.0,150852,CZCE.RM
2013-01-15,2549.0,2618.0,2542.0,2562.0,1674334,43262744500.0,178192,CZCE.RM
2013-01-16,2565.0,2595.0,2542.0,2586.0,1070868,27542536600.0,192280,CZCE.RM
2013-01-17,2602.0,2612.0,2565.0,2571.0,815406,21070087000.0,162682,CZCE.RM
2013-01-18,2580.0,2612.0,2561.0,2573.0,947392,24491648800.0,147836,CZCE.RM
2013-01-21,2575.0,2591.0,2562.0,2573.0,568840,14655483900.0,137418,CZCE.RM
2013-01-22,2574.0,2595.0,2574.0,2591.0,543526,14056621600.0,146734,CZCE.RM
2013-01-23,2591.0,2604.0,2573.0,2576.0,411626,10663114700.0,132690,CZCE.RM
2013-01-24,2569.0,2569.0,2486.0,2493.0,771526,19427350000.0,152044,CZCE.RM
2013-01-25,2500.0,2518.0,2493.0,2504.0,595570,14935974000.0,135610,CZCE.RM
2013-01-28,2513.0,2524.0,2484.0,2521.0,554936,13910218100.0,130358,CZCE.RM
2013-01-29,2521.0,2528.0,2506.0,2515.0,375244,9442753700.0,125532,CZCE.RM
2013-01-30,2518.0,2538.0,2516.0,2531.0,301474,7622996000.0,119080,CZCE.RM
2013-01-31,2542.0,2550.0,2533.0,2537.0,174358,4427661900.0,112210,CZCE.RM
2013-02-01,2530.0,2532.0,2477.0,2521.0,639604,15990293300.0,118036,CZCE.RM
2013-02-04,2521.0,2579.0,2520.0,2561.0,496364,12710341200.0,107596,CZCE.RM
2013-02-05,2558.0,2614.0,2549.0,2586.0,986224,25557145300.0,118240,CZCE.RM
2013-02-06,2600.0,2609.0,2576.0,2579.0,308816,8002092300.0,107738,CZCE.RM
2013-02-07,2576.0,2586.0,2563.0,2567.0,172970,4451043000.0,86022,CZCE.RM
2013-02-08,2572.0,2602.0,2572.0,2586.0,137230,3552172700.0,73776,CZCE.RM
2013-02-18,2442.0,2478.0,2428.0,2473.0,178628,4390974400.0,102578,CZCE.RM
2013-02-19,2508.0,2557.0,2488.0,2541.0,972538,24663950800.0,243906,CZCE.RM
2013-02-20,2556.0,2562.0,2543.0,2544.0,651684,16633122700.0,261522,CZCE.RM
2013-02-21,2535.0,2584.0,2517.0,2582.0,1543014,39383775000.0,382436,CZCE.RM
2013-02-22,2580.0,2639.0,2565.0,2572.0,2491154,64763505600.0,401248,CZCE.RM
2013-02-25,2550.0,2560.0,2496.0,2503.0,1683260,42483484900.0,259826,CZCE.RM
2013-02-26,2496.0,2538.0,2482.0,2498.0,1923248,48268320600.0,240828,CZCE.RM
2013-02-27,2518.0,2538.0,2494.0,2514.0,1649002,41471701900.0,255540,CZCE.RM
2013-02-28,2530.0,2538.0,2485.0,2486.0,1532204,38407840300.0,302016,CZCE.RM
2013-03-01,2495.0,2515.0,2475.0,2504.0,1848742,46159782800.0,273402,CZCE.RM
2013-03-04,2497.0,2513.0,2480.0,2496.0,1036422,25879023600.0,263026,CZCE.RM
2013-03-05,2513.0,2530.0,2508.0,2520.0,906504,22833707100.0,286496,CZCE.RM
2013-03-06,2519.0,2526.0,2480.0,2497.0,1362960,34055497800.0,286186,CZCE.RM
2013-03-07,2497.0,2506.0,2485.0,2495.0,617866,15416126200.0,275398,CZCE.RM
2013-03-08,2506.0,2510.0,2491.0,2493.0,555146,13887265700.0,281428,CZCE.RM
2013-03-11,2495.0,2495.0,2438.0,2439.0,1262590,31023726900.0,359568,CZCE.RM
2013-03-12,2445.0,2445.0,2406.0,2409.0,825834,20046635400.0,336730,CZCE.RM
2013-03-13,2412.0,2435.0,2388.0,2431.0,1206208,29156092500.0,314546,CZCE.RM
2013-03-14,2415.0,2450.0,2401.0,2442.0,1392024,33801764100.0,318818,CZCE.RM
2013-03-15,2453.0,2464.0,2433.0,2449.0,1384360,33872952200.0,326162,CZCE.RM
2013-03-18,2428.0,2445.0,2370.0,2426.0,893778,21635987100.0,307992,CZCE.RM
2013-03-19,2434.0,2446.0,2419.0,2421.0,763568,18558952600.0,321104,CZCE.RM
2013-03-20,2416.0,2430.0,2410.0,2426.0,544530,13192817900.0,309114,CZCE.RM
2013-03-21,2431.0,2457.0,2431.0,2449.0,583242,14274639900.0,272138,CZCE.RM
2013-03-22,2454.0,2456.0,2418.0,2418.0,530536,12906680000.0,284996,CZCE.RM
2013-03-25,2421.0,2430.0,2404.0,2409.0,562204,13580717900.0,300540,CZCE.RM
2013-03-26,2407.0,2424.0,2404.0,2421.0,348862,8429578300.0,267862,CZCE.RM
2013-03-27,2427.0,2435.0,2413.0,2424.0,237050,5739458300.0,264100,CZCE.RM
2013-03-28,2428.0,2431.0,2386.0,2388.0,469982,11292104400.0,268856,CZCE.RM
2013-03-29,2350.0,2378.0,2340.0,2365.0,390982,9236294300.0,231440,CZCE.RM
2013-04-01,2363.0,2367.0,2321.0,2328.0,365128,8549491200.0,242052,CZCE.RM
2013-04-02,2336.0,2350.0,2323.0,2340.0,417420,9750956700.0,239100,CZCE.RM
2013-04-03,2330.0,2337.0,2304.0,2334.0,440064,10207774800.0,218542,CZCE.RM
2013-04-08,2320.0,2363.0,2311.0,2353.0,478260,11214458800.0,223902,CZCE.RM
2013-04-09,2356.0,2368.0,2345.0,2350.0,342182,8058562300.0,238802,CZCE.RM
2013-04-10,2354.0,2375.0,2350.0,2371.0,409600,9689061000.0,228552,CZCE.RM
2013-04-11,2368.0,2375.0,2355.0,2370.0,294566,6967079100.0,226988,CZCE.RM
2013-04-12,2378.0,2410.0,2375.0,2409.0,768530,18370333300.0,294338,CZCE.RM
2013-04-15,2403.0,2430.0,2392.0,2417.0,1442540,34811705600.0,390282,CZCE.RM
2013-04-16,2393.0,2435.0,2372.0,2430.0,1568516,37888611800.0,405208,CZCE.RM
2013-04-17,2437.0,2443.0,2402.0,2411.0,1104508,26734771700.0,360612,CZCE.RM
2013-04-18,2403.0,2423.0,2396.0,2415.0,1036706,25000371200.0,338810,CZCE.RM
2013-04-19,2420.0,2426.0,2397.0,2403.0,710028,17129744900.0,321126,CZCE.RM
2013-04-22,2399.0,2424.0,2385.0,2409.0,835978,20172504400.0,336216,CZCE.RM
2013-04-23,2406.0,2417.0,2382.0,2393.0,637962,15299951000.0,312922,CZCE.RM
2013-04-24,2388.0,2391.0,2334.0,2344.0,944866,22261613500.0,298738,CZCE.RM
2013-04-25,2343.0,2348.0,2317.0,2340.0,550706,12835707100.0,260554,CZCE.RM
2013-04-26,2352.0,2363.0,2325.0,2342.0,394992,9252970100.0,241220,CZCE.RM
2013-05-02,2330.0,2355.0,2321.0,2347.0,323828,7578392600.0,253028,CZCE.RM
2013-05-03,2345.0,2351.0,2310.0,2328.0,922030,21461948500.0,301506,CZCE.RM
2013-05-06,2338.0,2343.0,2321.0,2342.0,560294,13070878200.0,265608,CZCE.RM
2013-05-07,2332.0,2356.0,2332.0,2343.0,387610,9088872200.0,249474,CZCE.RM
2013-05-08,2345.0,2362.0,2338.0,2356.0,353412,8315798900.0,244316,CZCE.RM
2013-05-09,2355.0,2365.0,2345.0,2350.0,253098,5957161400.0,244076,CZCE.RM
2013-05-10,2357.0,2365.0,2348.0,2355.0,275738,6495325000.0,243342,CZCE.RM
2013-05-13,2350.0,2362.0,2330.0,2339.0,457152,10731661800.0,242494,CZCE.RM
2013-05-14,2350.0,2356.0,2337.0,2351.0,255474,5997239000.0,225052,CZCE.RM
2013-05-15,2351.0,2387.0,2351.0,2373.0,734810,17443903100.0,245466,CZCE.RM
2013-05-16,2376.0,2383.0,2356.0,2372.0,465412,11028602400.0,232168,CZCE.RM
2013-05-17,2378.0,2390.0,2376.0,2387.0,284280,6773230500.0,212248,CZCE.RM
2013-05-20,2398.0,2406.0,2388.0,2391.0,165486,3968423500.0,206016,CZCE.RM
2013-05-21,2398.0,2408.0,2385.0,2394.0,150392,3604868100.0,200796,CZCE.RM
2013-05-22,2396.0,2406.0,2391.0,2399.0,109214,2619827700.0,204662,CZCE.RM
2013-05-23,2408.0,2412.0,2386.0,2389.0,137214,3295390900.0,207054,CZCE.RM
2013-05-24,2388.0,2388.0,2352.0,2378.0,142710,3388274400.0,192412,CZCE.RM
2013-05-27,2365.0,2395.0,2365.0,2395.0,103906,2479330800.0,191910,CZCE.RM
2013-05-28,2401.0,2402.0,2389.0,2394.0,56858,1361204900.0,190488,CZCE.RM
2013-05-29,2172.0,2232.0,2168.0,2207.0,354888,7828180600.0,190040,CZCE.RM
2013-05-30,2207.0,2219.0,2198.0,2217.0,195686,4324411500.0,191326,CZCE.RM
2013-05-31,2220.0,2240.0,2210.0,2231.0,220796,4915452000.0,208178,CZCE.RM
2013-06-03,2238.0,2288.0,2237.0,2268.0,334240,7574514500.0,212480,CZCE.RM
2013-06-04,2270.0,2277.0,2252.0,2260.0,298972,6776054000.0,212852,CZCE.RM
2013-06-05,2263.0,2333.0,2261.0,2311.0,823550,19035020300.0,287456,CZCE.RM
2013-06-06,2299.0,2303.0,2276.0,2278.0,349718,8009704500.0,280604,CZCE.RM
2013-06-07,2284.0,2294.0,2246.0,2261.0,347012,7852258300.0,228728,CZCE.RM
2013-06-13,2269.0,2278.0,2226.0,2228.0,218032,4889035900.0,219126,CZCE.RM
2013-06-14,2223.0,2264.0,2222.0,2260.0,329560,7413754200.0,250438,CZCE.RM
2013-06-17,2248.0,2292.0,2232.0,2280.0,674092,15282764700.0,329232,CZCE.RM
2013-06-18,2286.0,2305.0,2271.0,2273.0,675696,15445157600.0,358558,CZCE.RM
2013-06-19,2271.0,2281.0,2253.0,2262.0,504842,11439200600.0,354028,CZCE.RM
2013-06-20,2262.0,2286.0,2254.0,2257.0,463138,10512816400.0,369386,CZCE.RM
2013-06-21,2235.0,2242.0,2205.0,2207.0,658966,14655357400.0,373394,CZCE.RM
2013-06-24,2198.0,2216.0,2176.0,2181.0,521148,11453814900.0,383298,CZCE.RM
2013-06-25,2200.0,2225.0,2193.0,2221.0,692078,15281064900.0,374198,CZCE.RM
2013-06-26,2222.0,2237.0,2209.0,2223.0,701566,15589826600.0,409188,CZCE.RM
2013-06-27,2230.0,2240.0,2220.0,2237.0,609248,13586082500.0,422020,CZCE.RM
2013-06-28,2231.0,2244.0,2212.0,2214.0,493996,10992566000.0,420078,CZCE.RM
2013-07-01,2190.0,2199.0,2180.0,2189.0,433806,9497813200.0,436906,CZCE.RM
2013-07-02,2180.0,2235.0,2178.0,2229.0,701860,15501393700.0,501588,CZCE.RM
2013-07-03,2229.0,2252.0,2221.0,2238.0,880818,19698543700.0,545610,CZCE.RM
2013-07-04,2239.0,2245.0,2220.0,2225.0,633774,14156010900.0,550450,CZCE.RM
2013-07-05,2225.0,2234.0,2215.0,2231.0,539822,12020706700.0,526912,CZCE.RM
2013-07-08,2220.0,2224.0,2189.0,2199.0,495380,10925570600.0,531586,CZCE.RM
2013-07-09,2215.0,2256.0,2215.0,2253.0,851624,19070712700.0,507024,CZCE.RM
2013-07-10,2262.0,2270.0,2246.0,2256.0,662694,14954491300.0,468790,CZCE.RM
2013-07-11,2264.0,2286.0,2252.0,2270.0,763076,17347810100.0,491366,CZCE.RM
2013-07-12,2274.0,2298.0,2268.0,2270.0,858772,19635006800.0,512116,CZCE.RM
2013-07-15,2242.0,2265.0,2242.0,2262.0,514986,11612326600.0,543884,CZCE.RM
2013-07-16,2275.0,2288.0,2266.0,2288.0,680744,15499677500.0,592146,CZCE.RM
2013-07-17,2301.0,2307.0,2280.0,2284.0,670470,15353374900.0,604312,CZCE.RM
2013-07-18,2279.0,2298.0,2271.0,2296.0,490838,11199539800.0,645476,CZCE.RM
2013-07-19,2286.0,2326.0,2281.0,2281.0,1698634,39179851200.0,814724,CZCE.RM
2013-07-22,2292.0,2295.0,2261.0,2270.0,1038912,23632746500.0,772586,CZCE.RM
2013-07-23,2283.0,2323.0,2277.0,2313.0,1570038,36186988900.0,814214,CZCE.RM
2013-07-24,2290.0,2316.0,2287.0,2308.0,1196206,27565045600.0,872826,CZCE.RM
2013-07-25,2293.0,2301.0,2281.0,2287.0,785910,18010345000.0,874642,CZCE.RM
2013-07-26,2258.0,2262.0,2201.0,2213.0,1604576,35703431000.0,807588,CZCE.RM
2013-07-29,2213.0,2221.0,2200.0,2216.0,777502,17202468600.0,815316,CZCE.RM
2013-07-30,2230.0,2233.0,2213.0,2217.0,722316,16059878700.0,829018,CZCE.RM
2013-07-31,2202.0,2220.0,2190.0,2216.0,796918,17598841100.0,824444,CZCE.RM
2013-08-01,2214.0,2230.0,2212.0,2222.0,620626,13798410300.0,823812,CZCE.RM
2013-08-02,2212.0,2239.0,2211.0,2238.0,671568,14932556400.0,821190,CZCE.RM
2013-08-05,2230.0,2273.0,2230.0,2249.0,2023300,45653991600.0,995574,CZCE.RM
2013-08-06,2247.0,2256.0,2241.0,2244.0,1200742,26993688600.0,1027258,CZCE.RM
2013-08-07,2233.0,2236.0,2200.0,2203.0,1235538,27448067900.0,1031212,CZCE.RM
2013-08-08,2208.0,2240.0,2203.0,2229.0,1091438,24278953000.0,962886,CZCE.RM
2013-08-09,2245.0,2252.0,2230.0,2233.0,906784,20331376400.0,986630,CZCE.RM
2013-08-12,2236.0,2257.0,2235.0,2253.0,812798,18265314500.0,989596,CZCE.RM
2013-08-13,2278.0,2317.0,2277.0,2306.0,1148674,26436765700.0,929288,CZCE.RM
2013-08-14,2301.0,2339.0,2298.0,2304.0,1556108,36082669100.0,999468,CZCE.RM
2013-08-15,2320.0,2387.0,2320.0,2358.0,2065448,48705919000.0,993408,CZCE.RM
2013-08-16,2396.0,2416.0,2360.0,2367.0,1716010,40933517400.0,977810,CZCE.RM
2013-08-19,2398.0,2410.0,2376.0,2388.0,1298504,31045199700.0,980950,CZCE.RM
2013-08-20,2430.0,2433.0,2366.0,2389.0,1679058,40187132900.0,943650,CZCE.RM
2013-08-21,2390.0,2409.0,2373.0,2402.0,1417200,33904003800.0,987282,CZCE.RM
2013-08-22,2395.0,2427.0,2392.0,2424.0,1819998,43821691800.0,1040404,CZCE.RM
2013-08-23,2424.0,2427.0,2407.0,2423.0,1265250,30577744600.0,1010782,CZCE.RM
2013-08-26,2503.0,2514.0,2496.0,2514.0,696194,17471595000.0,938034,CZCE.RM
2013-08-27,2540.0,2550.0,2517.0,2546.0,1407532,35666290000.0,823856,CZCE.RM
2013-08-28,2533.0,2541.0,2483.0,2492.0,1295226,32644808600.0,828766,CZCE.RM
2013-08-29,2500.0,2504.0,2426.0,2458.0,1912436,47118672700.0,773648,CZCE.RM
2013-08-30,2449.0,2456.0,2413.0,2433.0,1536850,37394308500.0,817358,CZCE.RM
2013-09-02,2433.0,2484.0,2433.0,2482.0,1132060,27921338400.0,800330,CZCE.RM
2013-09-03,2500.0,2508.0,2427.0,2473.0,2029154,49920713900.0,807620,CZCE.RM
2013-09-04,2453.0,2463.0,2430.0,2440.0,1618944,39567052100.0,859432,CZCE.RM
2013-09-05,2422.0,2444.0,2403.0,2410.0,1597560,38689443100.0,854954,CZCE.RM
2013-09-06,2430.0,2445.0,2415.0,2444.0,1094544,26589638100.0,825840,CZCE.RM
2013-09-09,2442.0,2457.0,2406.0,2408.0,1481744,35948586400.0,931136,CZCE.RM
2013-09-10,2385.0,2393.0,2367.0,2375.0,1576638,37520638100.0,927366,CZCE.RM
2013-09-11,2390.0,2405.0,2371.0,2404.0,1487444,35516840800.0,936358,CZCE.RM
2013-09-12,2401.0,2418.0,2392.0,2401.0,1424494,34229781600.0,940432,CZCE.RM
2013-09-13,2445.0,2450.0,2410.0,2418.0,1456184,35303294200.0,919702,CZCE.RM
2013-09-16,2392.0,2397.0,2357.0,2361.0,1047532,24932126300.0,895408,CZCE.RM
2013-09-17,2350.0,2378.0,2346.0,2377.0,1076168,25455655700.0,874416,CZCE.RM
2013-09-18,2370.0,2393.0,2363.0,2384.0,767598,18227362500.0,823776,CZCE.RM
2013-09-23,2357.0,2409.0,2352.0,2384.0,1449098,34606293100.0,858734,CZCE.RM
2013-09-24,2385.0,2426.0,2376.0,2421.0,1979580,47622417100.0,977022,CZCE.RM
2013-09-25,2421.0,2445.0,2414.0,2427.0,2661518,64664721300.0,1005502,CZCE.RM
2013-09-26,2430.0,2442.0,2418.0,2437.0,1134892,27588914000.0,944796,CZCE.RM
2013-09-27,2437.0,2494.0,2425.0,2488.0,1892182,46686802000.0,930038,CZCE.RM
2013-09-30,2481.0,2518.0,2450.0,2483.0,1329634,32950431000.0,857524,CZCE.RM
2013-10-08,2486.0,2546.0,2486.0,2536.0,1196240,30197312900.0,864092,CZCE.RM
2013-10-09,2530.0,2545.0,2523.0,2543.0,1533578,38863470700.0,968274,CZCE.RM
2013-10-10,2541.0,2556.0,2498.0,2503.0,1998192,50513933300.0,957836,CZCE.RM
2013-10-11,2498.0,2501.0,2461.0,2470.0,1763974,43701658900.0,971236,CZCE.RM
2013-10-14,2456.0,2489.0,2452.0,2470.0,1507618,37334878700.0,953592,CZCE.RM
2013-10-15,2474.0,2480.0,2399.0,2414.0,2704874,65839477300.0,884756,CZCE.RM
2013-10-16,2410.0,2425.0,2394.0,2412.0,2612010,63045252600.0,868126,CZCE.RM
2013-10-17,2427.0,2434.0,2398.0,2411.0,1940842,46860249400.0,903800,CZCE.RM
