datetime,open,high,low,close,volume,amount,position,symbol
2012-12-31,5274.0,5386.0,5233.0,5273.0,145038,7699505300.0,8804,CZCE.RS
2013-01-04,5273.0,5357.0,5256.0,5346.0,83848,4462571100.0,13298,CZCE.RS
2013-01-07,5333.0,5530.0,5333.0,5440.0,205756,11220651900.0,22276,CZCE.RS
2013-01-08,5460.0,5465.0,5380.0,5413.0,96738,5242799800.0,18808,CZCE.RS
2013-01-09,5422.0,5497.0,5422.0,5440.0,100380,5486687900.0,19830,CZCE.RS
2013-01-10,5460.0,5478.0,5425.0,5447.0,54266,2958227700.0,19510,CZCE.RS
2013-01-11,5460.0,5520.0,5426.0,5432.0,91932,5032216400.0,22176,CZCE.RS
2013-01-14,5447.0,5485.0,5404.0,5465.0,76848,4188599900.0,22410,CZCE.RS
2013-01-15,5483.0,5551.0,5427.0,5432.0,142592,7816766600.0,23262,CZCE.RS
2013-01-16,5431.0,5465.0,5411.0,5444.0,62770,3414038500.0,20802,CZCE.RS
2013-01-17,5462.0,5465.0,5410.0,5417.0,41752,2266377300.0,20310,CZCE.RS
2013-01-18,5424.0,5478.0,5420.0,5434.0,64614,3521071200.0,19986,CZCE.RS
2013-01-21,5444.0,5465.0,5416.0,5430.0,41540,2257367200.0,19674,CZCE.RS
2013-01-22,5423.0,5443.0,5405.0,5428.0,22418,1216362500.0,18444,CZCE.RS
2013-01-23,5440.0,5510.0,5417.0,5470.0,181816,9967331000.0,27594,CZCE.RS
2013-01-24,5470.0,5479.0,5318.0,5351.0,152728,8208263800.0,26634,CZCE.RS
2013-01-25,5368.0,5388.0,5348.0,5380.0,66802,3588554100.0,20234,CZCE.RS
2013-01-28,5385.0,5412.0,5366.0,5388.0,25804,1389620100.0,17934,CZCE.RS
2013-01-29,5382.0,5396.0,5356.0,5381.0,18820,1012154500.0,17592,CZCE.RS
2013-01-30,5384.0,5418.0,5369.0,5405.0,18566,1002225900.0,17028,CZCE.RS
2013-01-31,5427.0,5427.0,5401.0,5426.0,10950,593083300.0,16536,CZCE.RS
2013-02-01,5426.0,5439.0,5390.0,5418.0,17856,966516500.0,15362,CZCE.RS
2013-02-04,5420.0,5470.0,5416.0,5434.0,18392,1000592500.0,14964,CZCE.RS
2013-02-05,5431.0,5457.0,5407.0,5413.0,19468,1057932500.0,15420,CZCE.RS
2013-02-06,5421.0,5427.0,5401.0,5402.0,9298,503438200.0,15440,CZCE.RS
2013-02-07,5404.0,5444.0,5383.0,5396.0,17536,949878600.0,14252,CZCE.RS
2013-02-08,5399.0,5419.0,5393.0,5402.0,5814,314284700.0,13390,CZCE.RS
2013-02-18,5360.0,5399.0,5360.0,5383.0,4656,250815800.0,13622,CZCE.RS
2013-02-19,5411.0,5471.0,5407.0,5424.0,27170,1476927900.0,12956,CZCE.RS
2013-02-20,5447.0,5450.0,5416.0,5424.0,17728,962767200.0,13330,CZCE.RS
2013-02-21,5420.0,5462.0,5380.0,5421.0,48002,2603098900.0,15722,CZCE.RS
