datetime,open,high,low,close,volume,amount,position,symbol
2019-12-09,1564.0,1591.0,1556.0,1572.0,167478,5261901200.0,31568,CZCE.SA
2019-12-10,1572.0,1634.0,1570.0,1634.0,221672,7150195400.0,68176,CZCE.SA
2019-12-11,1649.0,1674.0,1637.0,1649.0,459154,15204839400.0,66020,CZCE.SA
2019-12-12,1642.0,1654.0,1625.0,1630.0,245622,8066150400.0,70048,CZCE.SA
2019-12-13,1633.0,1639.0,1623.0,1630.0,132320,4320105400.0,69386,CZCE.SA
2019-12-16,1634.0,1659.0,1626.0,1632.0,277650,9119656300.0,77498,CZCE.SA
2019-12-17,1629.0,1636.0,1578.0,1623.0,223740,7258893200.0,70596,CZCE.SA
2019-12-18,1623.0,1650.0,1622.0,1628.0,195192,6385485700.0,71800,CZCE.SA
2019-12-19,1628.0,1641.0,1623.0,1626.0,130952,4276296400.0,74830,CZCE.SA
2019-12-20,1626.0,1630.0,1611.0,1611.0,134436,4355957200.0,84124,CZCE.SA
2019-12-23,1610.0,1616.0,1596.0,1601.0,113058,3631981600.0,83368,CZCE.SA
2019-12-24,1603.0,1614.0,1600.0,1604.0,62084,1994785200.0,83068,CZCE.SA
2019-12-25,1602.0,1610.0,1599.0,1603.0,57878,1857168200.0,88032,CZCE.SA
2019-12-26,1602.0,1617.0,1602.0,1609.0,55730,1795256200.0,85764,CZCE.SA
2019-12-27,1609.0,1629.0,1607.0,1608.0,102264,3311347800.0,86076,CZCE.SA
2019-12-30,1609.0,1636.0,1608.0,1633.0,79116,2568048500.0,80286,CZCE.SA
2019-12-31,1633.0,1643.0,1629.0,1633.0,79146,2587735700.0,73396,CZCE.SA
2020-01-02,1633.0,1641.0,1618.0,1625.0,26179,853870400.0,34862,CZCE.SA
2020-01-03,1626.0,1634.0,1620.0,1629.0,23178,754290500.0,33974,CZCE.SA
2020-01-06,1629.0,1646.0,1628.0,1638.0,40966,1341260400.0,33327,CZCE.SA
2020-01-07,1636.0,1640.0,1624.0,1627.0,19256,627954800.0,32570,CZCE.SA
2020-01-08,1626.0,1638.0,1624.0,1630.0,19972,651508600.0,32306,CZCE.SA
2020-01-09,1629.0,1635.0,1621.0,1632.0,27286,888924600.0,29476,CZCE.SA
2020-01-10,1633.0,1675.0,1633.0,1658.0,173405,5759545200.0,39616,CZCE.SA
2020-01-13,1659.0,1661.0,1646.0,1653.0,30481,1008327000.0,37522,CZCE.SA
2020-01-14,1657.0,1660.0,1648.0,1653.0,23832,788100700.0,36145,CZCE.SA
2020-01-15,1654.0,1691.0,1652.0,1665.0,129730,4345734800.0,39110,CZCE.SA
2020-01-16,1667.0,1679.0,1665.0,1668.0,34266,1145481400.0,36492,CZCE.SA
2020-01-17,1674.0,1684.0,1667.0,1677.0,40310,1352541800.0,37576,CZCE.SA
2020-01-20,1678.0,1680.0,1658.0,1667.0,31571,1052632500.0,33031,CZCE.SA
2020-01-21,1668.0,1674.0,1655.0,1655.0,17726,589732200.0,32381,CZCE.SA
2020-01-22,1657.0,1657.0,1631.0,1642.0,33941,1114189700.0,26024,CZCE.SA
2020-01-23,1644.0,1651.0,1591.0,1615.0,24597,798424600.0,22223,CZCE.SA
2020-02-03,1517.0,1546.0,1509.0,1519.0,30443,927159400.0,18012,CZCE.SA
2020-02-04,1528.0,1570.0,1528.0,1561.0,19994,620279000.0,18788,CZCE.SA
2020-02-05,1558.0,1569.0,1551.0,1560.0,18788,585980600.0,21591,CZCE.SA
2020-02-06,1562.0,1577.0,1561.0,1574.0,13995,438878500.0,19533,CZCE.SA
2020-02-07,1574.0,1609.0,1571.0,1574.0,10599,334236500.0,19840,CZCE.SA
2020-02-10,1573.0,1577.0,1562.0,1568.0,6875,215979300.0,20067,CZCE.SA
2020-02-11,1569.0,1581.0,1564.0,1579.0,10022,315455700.0,19745,CZCE.SA
2020-02-12,1578.0,1588.0,1572.0,1578.0,9233,291897000.0,20825,CZCE.SA
2020-02-13,1579.0,1587.0,1573.0,1581.0,8057,254602800.0,21245,CZCE.SA
2020-02-14,1580.0,1583.0,1572.0,1578.0,5604,176738400.0,20935,CZCE.SA
2020-02-17,1578.0,1588.0,1577.0,1586.0,7310,231350500.0,21231,CZCE.SA
2020-02-18,1590.0,1595.0,1581.0,1583.0,5105,161813900.0,20735,CZCE.SA
2020-02-19,1583.0,1590.0,1583.0,1587.0,4483,142212300.0,20201,CZCE.SA
2020-02-20,1588.0,1590.0,1565.0,1586.0,12495,395194700.0,21448,CZCE.SA
2020-02-21,1580.0,1588.0,1570.0,1579.0,15823,499396500.0,22350,CZCE.SA
2020-02-24,1575.0,1590.0,1567.0,1587.0,16435,519108200.0,23054,CZCE.SA
2020-02-25,1585.0,1637.0,1584.0,1605.0,55706,1798329200.0,26495,CZCE.SA
2020-02-26,1604.0,1607.0,1577.0,1581.0,25077,799133200.0,23636,CZCE.SA
2020-02-27,1582.0,1585.0,1567.0,1575.0,14567,458843300.0,23227,CZCE.SA
2020-02-28,1564.0,1574.0,1542.0,1565.0,16218,507519200.0,23638,CZCE.SA
2020-03-02,1564.0,1592.0,1563.0,1587.0,15366,486676400.0,24188,CZCE.SA
2020-03-03,1589.0,1600.0,1568.0,1571.0,17940,567494500.0,26232,CZCE.SA
2020-03-04,1578.0,1580.0,1569.0,1574.0,6538,205876900.0,26030,CZCE.SA
2020-03-05,1574.0,1575.0,1550.0,1556.0,22192,692446100.0,30653,CZCE.SA
2020-03-06,1555.0,1558.0,1544.0,1553.0,15316,475460300.0,30629,CZCE.SA
2020-03-09,1506.0,1538.0,1501.0,1527.0,28000,851653200.0,28458,CZCE.SA
2020-03-10,1530.0,1549.0,1529.0,1539.0,12592,387438900.0,27834,CZCE.SA
2020-03-11,1538.0,1600.0,1534.0,1542.0,17821,551235200.0,29006,CZCE.SA
2020-03-12,1542.0,1542.0,1521.0,1522.0,11058,338090100.0,28249,CZCE.SA
2020-03-13,1518.0,1528.0,1512.0,1518.0,12744,386972300.0,27301,CZCE.SA
2020-03-16,1523.0,1527.0,1505.0,1505.0,12752,386960000.0,26933,CZCE.SA
2020-03-17,1498.0,1504.0,1485.0,1486.0,18207,543260700.0,26308,CZCE.SA
2020-03-18,1483.0,1498.0,1465.0,1466.0,20790,614093000.0,24613,CZCE.SA
2020-03-19,1470.0,1470.0,1417.0,1441.0,30540,880089300.0,18124,CZCE.SA
2020-03-20,1449.0,1461.0,1438.0,1450.0,10459,303231200.0,18107,CZCE.SA
2020-03-23,1428.0,1437.0,1414.0,1427.0,16260,464217400.0,17809,CZCE.SA
2020-03-24,1436.0,1436.0,1409.0,1424.0,10593,301823100.0,17939,CZCE.SA
2020-03-25,1430.0,1436.0,1416.0,1419.0,8409,239569200.0,19100,CZCE.SA
2020-03-26,1415.0,1415.0,1390.0,1396.0,17336,485211200.0,19349,CZCE.SA
2020-03-27,1397.0,1398.0,1373.0,1383.0,17010,471334000.0,17179,CZCE.SA
2020-03-30,1378.0,1378.0,1336.0,1339.0,16340,442776100.0,15509,CZCE.SA
2020-03-31,1341.0,1385.0,1338.0,1365.0,17787,484380400.0,14244,CZCE.SA
2020-04-01,1358.0,1376.0,1358.0,1371.0,9293,254403900.0,13715,CZCE.SA
2020-04-02,1375.0,1395.0,1366.0,1385.0,14396,397831900.0,13511,CZCE.SA
2020-04-03,1390.0,1390.0,1358.0,1371.0,10470,287435600.0,12316,CZCE.SA
2020-04-07,1385.0,1394.0,1365.0,1372.0,17635,486555400.0,14424,CZCE.SA
2020-04-08,1375.0,1385.0,1366.0,1371.0,13159,362363500.0,14944,CZCE.SA
2020-04-09,1381.0,1387.0,1372.0,1384.0,11607,320443200.0,15957,CZCE.SA
2020-04-10,1380.0,1382.0,1354.0,1360.0,15982,438726200.0,14764,CZCE.SA
2020-04-13,1360.0,1371.0,1333.0,1335.0,21407,579087300.0,14757,CZCE.SA
2020-04-14,1338.0,1350.0,1322.0,1347.0,17725,472998800.0,13995,CZCE.SA
2020-04-15,1342.0,1388.0,1339.0,1388.0,27746,764947100.0,17123,CZCE.SA
2020-04-16,1410.0,1429.0,1353.0,1355.0,94765,2647529500.0,16569,CZCE.SA
2020-04-17,1352.0,1369.0,1345.0,1356.0,25382,689641600.0,14278,CZCE.SA
2020-04-20,1465.0,1518.0,1465.0,1494.0,66396,1985286900.0,22265,CZCE.SA
2020-04-21,1488.0,1496.0,1466.0,1475.0,37925,1120910900.0,17617,CZCE.SA
2020-04-22,1470.0,1474.0,1448.0,1467.0,24142,707051000.0,16069,CZCE.SA
2020-04-23,1470.0,1498.0,1464.0,1481.0,37329,1108632100.0,18384,CZCE.SA
2020-04-24,1478.0,1487.0,1467.0,1479.0,19080,563860600.0,16657,CZCE.SA
2020-04-27,1473.0,1491.0,1473.0,1477.0,22680,673012800.0,18012,CZCE.SA
2020-04-28,1473.0,1476.0,1450.0,1451.0,20400,595811100.0,16044,CZCE.SA
2020-04-29,1460.0,1473.0,1438.0,1443.0,21238,616328000.0,16713,CZCE.SA
