datetime,open,high,low,close,volume,amount,position,symbol
2023-09-18,2858.0,2922.0,2836.0,2904.0,283416,24518822800.0,32473,CZCE.SH
2023-09-19,2913.0,3086.0,2898.0,3040.0,515904,46783520600.0,46067,CZCE.SH
2023-09-20,3058.0,3148.0,3038.0,3113.0,598941,55700885300.0,59971,CZCE.SH
2023-09-21,3116.0,3118.0,3033.0,3049.0,432914,39855268000.0,52380,CZCE.SH
2023-09-22,3061.0,3106.0,3051.0,3070.0,326405,30140076500.0,51010,CZCE.SH
2023-09-25,3078.0,3094.0,2930.0,2945.0,323538,29127110600.0,53987,CZCE.SH
2023-09-26,2946.0,2970.0,2870.0,2902.0,291703,25534199000.0,51323,CZCE.SH
2023-09-27,2908.0,2943.0,2860.0,2888.0,242500,21156719000.0,44508,CZCE.SH
2023-09-28,2898.0,2905.0,2797.0,2800.0,218744,18765284200.0,44124,CZCE.SH
2023-10-09,2795.0,2839.0,2750.0,2779.0,111355,9299202500.0,47212,CZCE.SH
2023-10-10,2783.0,2783.0,2626.0,2720.0,344386,27835453100.0,58555,CZCE.SH
2023-10-11,2716.0,2743.0,2657.0,2704.0,304232,24642198200.0,61771,CZCE.SH
2023-10-12,2695.0,2765.0,2677.0,2749.0,217512,17664840100.0,63391,CZCE.SH
2023-10-13,2752.0,2765.0,2666.0,2682.0,232766,18871924200.0,70131,CZCE.SH
2023-10-16,2706.0,2713.0,2641.0,2658.0,232274,18624408800.0,80874,CZCE.SH
2023-10-17,2650.0,2655.0,2561.0,2569.0,298316,23313683300.0,103956,CZCE.SH
2023-10-18,2571.0,2604.0,2563.0,2584.0,206359,16000432800.0,101662,CZCE.SH
2023-10-19,2570.0,2578.0,2506.0,2527.0,383008,29130833300.0,108959,CZCE.SH
2023-10-20,2525.0,2572.0,2504.0,2533.0,299451,22800123400.0,107147,CZCE.SH
2023-10-23,2531.0,2582.0,2519.0,2545.0,305841,23366088500.0,113158,CZCE.SH
2023-10-24,2543.0,2596.0,2525.0,2583.0,300187,23055327800.0,106394,CZCE.SH
2023-10-25,2587.0,2609.0,2555.0,2557.0,209723,16227121100.0,102488,CZCE.SH
2023-10-26,2551.0,2578.0,2525.0,2552.0,236277,18067872700.0,108706,CZCE.SH
2023-10-27,2539.0,2581.0,2538.0,2571.0,164847,12659793700.0,105619,CZCE.SH
2023-10-30,2572.0,2611.0,2557.0,2594.0,200479,15538749100.0,100535,CZCE.SH
2023-10-31,2590.0,2638.0,2582.0,2621.0,204110,15963434100.0,92551,CZCE.SH
2023-11-01,2625.0,2629.0,2566.0,2574.0,175771,13702414900.0,93459,CZCE.SH
2023-11-02,2579.0,2588.0,2554.0,2579.0,140797,10865890800.0,95755,CZCE.SH
2023-11-03,2590.0,2636.0,2590.0,2620.0,163153,12793411000.0,79174,CZCE.SH
2023-11-06,2635.0,2689.0,2626.0,2684.0,188287,14996317300.0,73703,CZCE.SH
2023-11-07,2687.0,2700.0,2632.0,2642.0,158264,12683307000.0,66734,CZCE.SH
2023-11-08,2638.0,2668.0,2636.0,2665.0,98689,7862285600.0,64082,CZCE.SH
2023-11-09,2656.0,2656.0,2552.0,2631.0,157454,12379303000.0,63188,CZCE.SH
2023-11-10,2641.0,2752.0,2635.0,2682.0,351128,28433167700.0,63569,CZCE.SH
2023-11-13,2678.0,2695.0,2622.0,2630.0,170541,13616537600.0,60127,CZCE.SH
2023-11-14,2643.0,2677.0,2637.0,2672.0,90160,7187900700.0,59208,CZCE.SH
2023-11-15,2670.0,2701.0,2651.0,2665.0,92573,7438236600.0,59778,CZCE.SH
2023-11-16,2655.0,2684.0,2644.0,2677.0,58632,4698481600.0,57267,CZCE.SH
2023-11-17,2680.0,2719.0,2665.0,2686.0,99120,8008786200.0,55430,CZCE.SH
2023-11-20,2690.0,2696.0,2657.0,2677.0,60545,4868252700.0,55261,CZCE.SH
2023-11-21,2683.0,2704.0,2600.0,2612.0,94270,7485259300.0,55889,CZCE.SH
