datetime,open,high,low,close,volume,amount,position,symbol
2014-08-11,6444.0,6518.0,6414.0,6450.0,84570,2734249000.0,25638,CZCE.SM
2014-08-12,6422.0,6500.0,6404.0,6414.0,93996,3031120300.0,31852,CZCE.SM
2014-08-13,6410.0,6456.0,6388.0,6424.0,43002,1381313500.0,28278,CZCE.SM
2014-08-14,6416.0,6466.0,6352.0,6396.0,84352,2702708400.0,28028,CZCE.SM
2014-08-15,6400.0,6426.0,6386.0,6412.0,28828,923545300.0,22570,CZCE.SM
2014-08-18,6418.0,6478.0,6398.0,6404.0,38498,1240091400.0,19164,CZCE.SM
2014-08-19,6394.0,6408.0,6364.0,6386.0,22378,714127000.0,18616,CZCE.SM
2014-08-20,6376.0,6410.0,6354.0,6386.0,14756,470206300.0,18918,CZCE.SM
2014-08-21,6398.0,6406.0,6360.0,6370.0,6248,199281400.0,17696,CZCE.SM
2014-08-22,6366.0,6398.0,6366.0,6392.0,12830,409731500.0,11538,CZCE.SM
2014-08-25,6396.0,6448.0,6380.0,6436.0,24326,781475000.0,11352,CZCE.SM
2014-08-26,6426.0,6446.0,6412.0,6442.0,7344,236250500.0,10202,CZCE.SM
2014-08-27,6484.0,6484.0,6398.0,6398.0,10064,323564300.0,7906,CZCE.SM
2014-08-28,6392.0,6410.0,6366.0,6378.0,8966,286216500.0,8070,CZCE.SM
2014-08-29,6374.0,6392.0,6366.0,6372.0,3956,126237400.0,6908,CZCE.SM
2014-09-01,6370.0,6388.0,6368.0,6378.0,5250,167470600.0,8340,CZCE.SM
2014-09-02,6368.0,6368.0,6306.0,6344.0,5886,186796900.0,9830,CZCE.SM
2014-09-03,6326.0,6352.0,6324.0,6340.0,4738,150280200.0,11636,CZCE.SM
2014-09-04,6340.0,6360.0,6318.0,6342.0,3934,124777100.0,11500,CZCE.SM
2014-09-05,6328.0,6352.0,6328.0,6330.0,2184,69251800.0,12372,CZCE.SM
2014-09-09,6324.0,6326.0,6268.0,6298.0,6712,211450000.0,14830,CZCE.SM
2014-09-10,6282.0,6310.0,6156.0,6300.0,4424,139144200.0,14596,CZCE.SM
2014-09-11,6300.0,6300.0,6264.0,6264.0,1676,52662500.0,14664,CZCE.SM
