datetime,open,high,low,close,volume,amount,position,symbol
2006-01-09,4739.0,4756.0,4703.0,4720.0,5686,268629000.0,4042,CZCE.SR
2006-01-10,4687.0,4750.0,4650.0,4745.0,7306,344895200.0,4572,CZCE.SR
2006-01-11,4750.0,4755.0,4689.0,4710.0,10420,491213300.0,5386,CZCE.SR
2006-01-12,4700.0,4705.0,4664.0,4668.0,7120,332861600.0,5812,CZCE.SR
2006-01-13,4665.0,4678.0,4628.0,4632.0,6104,283743000.0,5444,CZCE.SR
2006-01-16,4707.0,4834.0,4694.0,4833.0,25198,1208356300.0,8428,CZCE.SR
2006-01-17,4833.0,4873.0,4822.0,4847.0,27966,1355344200.0,10160,CZCE.SR
2006-01-18,4884.0,5018.0,4861.0,4990.0,50598,2515519200.0,12956,CZCE.SR
2006-01-19,5000.0,5100.0,4982.0,5025.0,63804,3204665200.0,14278,CZCE.SR
2006-01-20,5112.0,5204.0,5110.0,5201.0,52894,2724296300.0,16972,CZCE.SR
2006-01-23,5356.0,5356.0,5356.0,5356.0,810,43383600.0,16402,CZCE.SR
2006-01-24,5490.0,5678.0,5450.0,5678.0,60356,3381638600.0,18344,CZCE.SR
2006-01-25,5670.0,5811.0,5586.0,5712.0,66760,3810447800.0,16722,CZCE.SR
2006-02-06,6246.0,6246.0,6220.0,6246.0,11592,723900400.0,28308,CZCE.SR
2006-02-07,6110.0,6110.0,5995.0,5995.0,5760,347394700.0,27338,CZCE.SR
2006-02-08,5669.0,5669.0,5669.0,5669.0,1246,70635700.0,26712,CZCE.SR
2006-02-09,5625.0,5880.0,5500.0,5650.0,71618,4079198500.0,25758,CZCE.SR
2006-02-10,5468.0,5585.0,5468.0,5468.0,44930,2476378000.0,27038,CZCE.SR
2006-02-13,5380.0,5428.0,5275.0,5308.0,73322,3918558700.0,26410,CZCE.SR
2006-02-14,5370.0,5445.0,5357.0,5433.0,56860,3076824100.0,25742,CZCE.SR
2006-02-15,5420.0,5470.0,5386.0,5401.0,49602,2691992300.0,23328,CZCE.SR
2006-02-16,5390.0,5433.0,5353.0,5364.0,39906,2155034200.0,21138,CZCE.SR
2006-02-17,5300.0,5339.0,5184.0,5280.0,27488,1446043700.0,17312,CZCE.SR
2006-02-20,5280.0,5354.0,5256.0,5338.0,16214,863721200.0,14804,CZCE.SR
2006-02-21,5631.0,5710.0,5535.0,5701.0,44782,2515979100.0,19194,CZCE.SR
2006-02-22,5700.0,5813.0,5666.0,5767.0,96272,5542569700.0,25896,CZCE.SR
2006-02-23,5850.0,5880.0,5666.0,5680.0,106372,6149743000.0,25738,CZCE.SR
2006-02-24,5549.0,5630.0,5549.0,5550.0,68856,3841782900.0,23502,CZCE.SR
2006-02-27,5595.0,5595.0,5430.0,5431.0,73610,4059156200.0,25542,CZCE.SR
2006-02-28,5293.0,5332.0,5293.0,5293.0,37680,1998149200.0,18828,CZCE.SR
2006-03-01,5350.0,5389.0,5140.0,5150.0,100676,5320005500.0,25544,CZCE.SR
2006-03-02,5130.0,5293.0,5125.0,5276.0,107750,5623473700.0,23286,CZCE.SR
2006-03-03,5281.0,5335.0,5255.0,5330.0,110584,5859434600.0,22598,CZCE.SR
2006-03-06,5349.0,5386.0,5281.0,5322.0,105108,5616201300.0,23148,CZCE.SR
2006-03-07,5374.0,5397.0,5212.0,5229.0,143748,7625152300.0,27492,CZCE.SR
2006-03-08,5200.0,5216.0,5100.0,5117.0,118248,6087848300.0,28136,CZCE.SR
2006-03-09,5052.0,5168.0,5023.0,5151.0,136790,6995979500.0,28396,CZCE.SR
2006-03-10,5100.0,5158.0,5060.0,5106.0,153960,7877157100.0,29272,CZCE.SR
2006-03-13,5148.0,5148.0,5090.0,5109.0,86158,4411211100.0,29752,CZCE.SR
2006-03-14,5132.0,5137.0,5052.0,5063.0,79334,4040650800.0,31354,CZCE.SR
2006-03-15,5048.0,5097.0,5037.0,5055.0,95048,4816744000.0,31632,CZCE.SR
2006-03-16,5070.0,5147.0,5050.0,5143.0,133418,6803951300.0,35682,CZCE.SR
2006-03-17,5128.0,5235.0,5104.0,5219.0,143092,7373225300.0,37406,CZCE.SR
2006-03-20,5190.0,5250.0,5056.0,5081.0,187560,9646995900.0,36004,CZCE.SR
2006-03-21,5100.0,5142.0,5053.0,5110.0,161424,8236576600.0,34464,CZCE.SR
2006-03-22,5158.0,5229.0,5155.0,5210.0,162930,8467738200.0,38626,CZCE.SR
2006-03-23,5169.0,5179.0,5120.0,5146.0,99436,5124167900.0,35496,CZCE.SR
2006-03-24,5162.0,5198.0,5158.0,5174.0,58858,3048247000.0,32820,CZCE.SR
2006-03-27,5221.0,5238.0,5165.0,5175.0,41246,2140060700.0,31762,CZCE.SR
2006-03-28,5201.0,5217.0,5103.0,5122.0,41522,2136398800.0,29746,CZCE.SR
2006-03-29,5166.0,5185.0,5117.0,5124.0,36212,1863634700.0,28334,CZCE.SR
2006-03-30,5110.0,5113.0,5048.0,5050.0,109910,5577739300.0,26724,CZCE.SR
2006-03-31,5060.0,5083.0,5026.0,5071.0,89438,4523238000.0,27226,CZCE.SR
2006-04-03,5027.0,5040.0,4890.0,4911.0,107400,5318616500.0,27826,CZCE.SR
2006-04-04,4950.0,4985.0,4922.0,4964.0,105990,5249772000.0,30028,CZCE.SR
2006-04-05,4912.0,4924.0,4779.0,4822.0,106424,5159427200.0,34022,CZCE.SR
2006-04-06,4828.0,4860.0,4798.0,4840.0,92794,4483957800.0,33828,CZCE.SR
2006-04-07,4830.0,4850.0,4805.0,4816.0,49364,2382845300.0,34022,CZCE.SR
2006-04-10,4718.0,4735.0,4637.0,4644.0,70596,3301071600.0,35002,CZCE.SR
2006-04-11,4620.0,4676.0,4618.0,4670.0,67610,3143447700.0,33186,CZCE.SR
2006-04-12,4668.0,4750.0,4653.0,4737.0,77592,3653866300.0,34648,CZCE.SR
2006-04-13,4698.0,4698.0,4574.0,4586.0,96110,4433565100.0,35602,CZCE.SR
2006-04-14,4555.0,4571.0,4511.0,4518.0,87460,3968667300.0,33764,CZCE.SR
2006-04-17,4495.0,4585.0,4428.0,4571.0,126578,5717625600.0,37034,CZCE.SR
2006-04-18,4615.0,4698.0,4568.0,4698.0,87742,4075109200.0,38566,CZCE.SR
2006-04-19,4897.0,4900.0,4820.0,4875.0,89788,4368499400.0,37280,CZCE.SR
2006-04-20,4811.0,4826.0,4755.0,4760.0,87964,4206497000.0,38568,CZCE.SR
2006-04-21,4660.0,4680.0,4595.0,4617.0,84764,3940719400.0,40154,CZCE.SR
2006-04-24,4672.0,4835.0,4672.0,4769.0,162164,7732715700.0,46076,CZCE.SR
2006-04-25,4667.0,4766.0,4650.0,4702.0,173134,8168884900.0,45854,CZCE.SR
2006-04-26,4650.0,4750.0,4632.0,4738.0,146258,6890262500.0,44990,CZCE.SR
2006-04-27,4749.0,4790.0,4730.0,4773.0,104794,4993187900.0,42124,CZCE.SR
2006-04-28,4757.0,4780.0,4733.0,4778.0,71906,3423312200.0,41342,CZCE.SR
2006-05-08,4808.0,4847.0,4750.0,4763.0,86242,4124463400.0,43876,CZCE.SR
2006-05-09,4735.0,4779.0,4730.0,4746.0,53534,2548400800.0,38328,CZCE.SR
2006-05-10,4800.0,4806.0,4750.0,4762.0,26654,1270780700.0,34146,CZCE.SR
2006-05-11,4830.0,5039.0,4822.0,5039.0,79124,3920574000.0,48154,CZCE.SR
2006-05-12,5090.0,5253.0,4950.0,5023.0,144872,7384905600.0,48504,CZCE.SR
2006-05-15,5040.0,5300.0,5040.0,5257.0,223626,11553651100.0,64276,CZCE.SR
2006-05-16,5000.0,5125.0,4960.0,4960.0,178426,8974823600.0,51758,CZCE.SR
2006-05-17,5030.0,5062.0,4880.0,4979.0,189474,9427315800.0,51140,CZCE.SR
2006-05-18,4900.0,4926.0,4830.0,4836.0,136346,6623565700.0,47646,CZCE.SR
2006-05-19,4686.0,4759.0,4680.0,4719.0,104826,4952566100.0,45450,CZCE.SR
2006-05-22,4740.0,4810.0,4722.0,4758.0,158756,7576400200.0,48256,CZCE.SR
2006-05-23,4800.0,4928.0,4800.0,4881.0,151990,7387077600.0,49292,CZCE.SR
2006-05-24,4988.0,5010.0,4900.0,4908.0,242500,11985690200.0,55056,CZCE.SR
2006-05-25,4828.0,4855.0,4764.0,4806.0,102456,4926717400.0,49572,CZCE.SR
2006-05-26,4830.0,4883.0,4827.0,4875.0,158692,7714272400.0,53752,CZCE.SR
2006-05-29,4781.0,4854.0,4759.0,4846.0,141476,6797225300.0,58012,CZCE.SR
2006-05-30,4852.0,4903.0,4780.0,4786.0,162300,7858898700.0,58770,CZCE.SR
2006-05-31,4814.0,4839.0,4775.0,4776.0,175416,8429124900.0,62942,CZCE.SR
2006-06-01,4640.0,4682.0,4612.0,4612.0,96884,4499694800.0,62502,CZCE.SR
2006-06-02,4586.0,4630.0,4511.0,4627.0,169216,7734427000.0,55290,CZCE.SR
2006-06-05,4675.0,4679.0,4609.0,4644.0,133800,6207070400.0,59176,CZCE.SR
2006-06-06,4650.0,4656.0,4559.0,4561.0,147256,6762349800.0,63982,CZCE.SR
2006-06-07,4521.0,4555.0,4480.0,4530.0,170980,7732142500.0,66582,CZCE.SR
2006-06-08,4580.0,4590.0,4515.0,4520.0,120672,5493058500.0,67506,CZCE.SR
2006-06-09,4477.0,4495.0,4445.0,4460.0,154738,6916180700.0,69182,CZCE.SR
2006-06-12,4480.0,4490.0,4380.0,4393.0,138956,6173839200.0,76166,CZCE.SR
2006-06-13,4361.0,4370.0,4265.0,4265.0,121186,5213330100.0,70698,CZCE.SR
2006-06-14,4112.0,4205.0,4043.0,4195.0,284632,11683590100.0,55318,CZCE.SR
2006-06-15,4179.0,4230.0,4090.0,4138.0,216920,9032843700.0,58606,CZCE.SR
2006-06-16,4230.0,4270.0,4168.0,4204.0,230428,9687157700.0,61606,CZCE.SR
2006-06-19,4180.0,4180.0,4060.0,4067.0,186816,7683632800.0,66888,CZCE.SR
2006-06-20,4000.0,4136.0,3975.0,4128.0,250062,10152626200.0,65486,CZCE.SR
2006-06-21,4200.0,4215.0,4141.0,4175.0,265154,11085667000.0,62710,CZCE.SR
2006-06-22,4298.0,4325.0,4265.0,4305.0,215298,9255406100.0,61910,CZCE.SR
2006-06-23,4237.0,4254.0,4200.0,4200.0,200004,8456897600.0,63886,CZCE.SR
2006-06-26,4179.0,4312.0,4166.0,4296.0,338584,14446549300.0,70926,CZCE.SR
2006-06-27,4358.0,4371.0,4230.0,4258.0,386116,16516554700.0,74368,CZCE.SR
2006-06-28,4200.0,4256.0,4192.0,4201.0,245880,10390015000.0,75316,CZCE.SR
2006-06-29,4220.0,4233.0,4159.0,4168.0,208030,8737377200.0,76850,CZCE.SR
2006-06-30,4211.0,4276.0,4205.0,4272.0,331500,14064602600.0,78074,CZCE.SR
2006-07-03,4287.0,4288.0,4239.0,4255.0,271162,11561872700.0,80082,CZCE.SR
2006-07-04,4280.0,4299.0,4183.0,4194.0,324326,13708461000.0,85902,CZCE.SR
2006-07-05,4181.0,4206.0,4138.0,4172.0,232126,9666671800.0,82380,CZCE.SR
2006-07-06,4236.0,4299.0,4194.0,4271.0,428484,18220446800.0,91472,CZCE.SR
2006-07-07,4300.0,4314.0,4227.0,4228.0,297738,12690428100.0,89766,CZCE.SR
2006-07-10,4185.0,4195.0,4123.0,4128.0,238726,9912595300.0,87772,CZCE.SR
2006-07-11,4080.0,4159.0,4051.0,4146.0,369554,15223980600.0,86080,CZCE.SR
2006-07-12,4139.0,4150.0,4113.0,4136.0,245008,10122155100.0,84148,CZCE.SR
2006-07-13,4083.0,4125.0,4083.0,4118.0,167042,6863351300.0,81210,CZCE.SR
2006-07-14,4136.0,4149.0,4120.0,4148.0,140620,5813696800.0,79844,CZCE.SR
2006-07-17,4100.0,4122.0,4075.0,4088.0,158668,6505371300.0,86104,CZCE.SR
2006-07-18,4040.0,4049.0,3996.0,4014.0,236274,9490141400.0,94824,CZCE.SR
2006-07-19,4015.0,4038.0,3975.0,3995.0,226520,9063026900.0,90812,CZCE.SR
2006-07-20,3955.0,3974.0,3888.0,3890.0,238426,9367686000.0,102600,CZCE.SR
2006-07-21,3870.0,3918.0,3847.0,3910.0,308452,11992491400.0,94122,CZCE.SR
2006-07-24,3909.0,3918.0,3858.0,3860.0,221444,8622128100.0,98500,CZCE.SR
2006-07-25,3885.0,3893.0,3852.0,3864.0,264052,10220910600.0,105574,CZCE.SR
2006-07-26,3826.0,3898.0,3825.0,3870.0,271184,10491797900.0,94942,CZCE.SR
2006-07-27,3855.0,3893.0,3838.0,3870.0,164996,6376364000.0,95322,CZCE.SR
2006-07-28,3850.0,3889.0,3845.0,3888.0,137214,5309280900.0,90666,CZCE.SR
2006-07-31,3892.0,3974.0,3891.0,3967.0,262580,10357113400.0,98466,CZCE.SR
2006-08-01,3960.0,3966.0,3872.0,3877.0,196926,7690594100.0,93650,CZCE.SR
2006-08-02,3888.0,3920.0,3875.0,3892.0,155022,6041327400.0,88872,CZCE.SR
2006-08-03,3855.0,3872.0,3818.0,3830.0,189920,7293052800.0,86566,CZCE.SR
2006-08-04,3819.0,3850.0,3817.0,3834.0,110902,4257730000.0,89508,CZCE.SR
2006-08-07,3840.0,3842.0,3739.0,3742.0,168334,6352464600.0,100712,CZCE.SR
2006-08-08,3730.0,3847.0,3724.0,3832.0,327300,12454685400.0,95902,CZCE.SR
2006-08-09,3824.0,3865.0,3770.0,3806.0,414186,15823382200.0,90386,CZCE.SR
2006-08-10,3799.0,3830.0,3781.0,3801.0,199480,7588169400.0,89592,CZCE.SR
2006-08-11,3772.0,3803.0,3731.0,3733.0,187230,7048694000.0,99558,CZCE.SR
2006-08-14,3680.0,3680.0,3614.0,3614.0,128586,4675641200.0,102522,CZCE.SR
2006-08-15,3442.0,3556.0,3442.0,3488.0,343658,12060645500.0,84600,CZCE.SR
2006-08-16,3510.0,3534.0,3493.0,3495.0,221942,7792038500.0,80858,CZCE.SR
2006-08-17,3476.0,3521.0,3476.0,3511.0,192996,6764572000.0,79232,CZCE.SR
2006-08-18,3470.0,3559.0,3470.0,3558.0,238494,8404606600.0,74192,CZCE.SR
2006-08-21,3548.0,3550.0,3426.0,3433.0,272642,9493199500.0,86306,CZCE.SR
2006-08-22,3446.0,3462.0,3393.0,3419.0,274432,9387439600.0,80278,CZCE.SR
2006-08-23,3421.0,3442.0,3343.0,3360.0,295072,10008398800.0,81006,CZCE.SR
2006-08-24,3400.0,3405.0,3339.0,3383.0,430474,14537615100.0,84482,CZCE.SR
2006-08-25,3367.0,3388.0,3354.0,3383.0,225412,7610362800.0,82922,CZCE.SR
2006-08-28,3395.0,3415.0,3362.0,3370.0,202538,6845917900.0,87298,CZCE.SR
2006-08-29,3358.0,3364.0,3280.0,3283.0,222046,7361064900.0,95978,CZCE.SR
2006-08-30,3270.0,3286.0,3228.0,3255.0,322846,10519745800.0,87920,CZCE.SR
2006-08-31,3225.0,3285.0,3210.0,3272.0,344162,11171315900.0,93068,CZCE.SR
2006-09-01,3302.0,3376.0,3297.0,3376.0,185572,6218803800.0,82012,CZCE.SR
2006-09-04,3370.0,3445.0,3309.0,3343.0,553748,18594342600.0,67792,CZCE.SR
2006-09-05,3362.0,3427.0,3336.0,3385.0,383046,12953010800.0,69854,CZCE.SR
2006-09-06,3395.0,3412.0,3341.0,3370.0,312164,10531580500.0,71640,CZCE.SR
2006-09-07,3381.0,3395.0,3358.0,3375.0,227680,7691740900.0,68396,CZCE.SR
2006-09-08,3360.0,3477.0,3315.0,3470.0,428834,14673061800.0,77376,CZCE.SR
2006-09-11,3518.0,3526.0,3374.0,3398.0,389716,13368363000.0,72706,CZCE.SR
2006-09-12,3368.0,3403.0,3344.0,3351.0,274430,9222443000.0,73056,CZCE.SR
2006-09-13,3345.0,3374.0,3301.0,3338.0,320684,10695221100.0,72990,CZCE.SR
2006-09-14,3430.0,3445.0,3388.0,3424.0,306858,10478720800.0,74246,CZCE.SR
