datetime,open,high,low,close,volume,amount,position,symbol
2006-12-19,8860.0,8958.0,8806.0,8906.0,49070,2183903800.0,7488,CZCE.TA
2006-12-20,8944.0,8970.0,8906.0,8958.0,25586,1144530600.0,8882,CZCE.TA
2006-12-21,8940.0,8948.0,8884.0,8912.0,19414,865244400.0,8080,CZCE.TA
2006-12-22,8904.0,8928.0,8824.0,8924.0,9954,442190000.0,7556,CZCE.TA
2006-12-25,8918.0,9140.0,8912.0,9098.0,34790,1578410700.0,12402,CZCE.TA
2006-12-26,9120.0,9166.0,9062.0,9158.0,37246,1696256600.0,12826,CZCE.TA
2006-12-27,9082.0,9126.0,9008.0,9016.0,35680,1616320600.0,14362,CZCE.TA
2006-12-28,9000.0,9006.0,8850.0,8856.0,31982,1424298000.0,14786,CZCE.TA
2006-12-29,8850.0,8934.0,8780.0,8898.0,32032,1421810300.0,11230,CZCE.TA
2007-01-04,8690.0,8772.0,8530.0,8734.0,34012,1481286100.0,12090,CZCE.TA
2007-01-05,8660.0,8804.0,8612.0,8782.0,39672,1735591400.0,14180,CZCE.TA
2007-01-08,8806.0,8838.0,8738.0,8746.0,36112,1585116200.0,13160,CZCE.TA
2007-01-09,8726.0,8820.0,8714.0,8776.0,31030,1361095100.0,14548,CZCE.TA
2007-01-10,8790.0,8814.0,8740.0,8744.0,30790,1352587400.0,13634,CZCE.TA
2007-01-11,8690.0,8782.0,8690.0,8730.0,22192,971038100.0,12134,CZCE.TA
2007-01-12,8720.0,8752.0,8646.0,8670.0,18030,783200400.0,12126,CZCE.TA
2007-01-15,8720.0,8770.0,8680.0,8696.0,15790,688617400.0,12264,CZCE.TA
2007-01-16,8700.0,8740.0,8616.0,8626.0,18982,823884600.0,12838,CZCE.TA
2007-01-17,8584.0,8636.0,8472.0,8490.0,24356,1038629100.0,15778,CZCE.TA
2007-01-18,8530.0,8530.0,8356.0,8376.0,31146,1314948200.0,17806,CZCE.TA
2007-01-19,8344.0,8382.0,8254.0,8340.0,46434,1936026100.0,16076,CZCE.TA
2007-01-22,8370.0,8386.0,8102.0,8130.0,60500,2481729300.0,23064,CZCE.TA
2007-01-23,8060.0,8186.0,8056.0,8162.0,59258,2409687900.0,19874,CZCE.TA
2007-01-24,8220.0,8312.0,8180.0,8254.0,54764,2263891800.0,16034,CZCE.TA
2007-01-25,8258.0,8292.0,8214.0,8260.0,34288,1416226800.0,16720,CZCE.TA
2007-01-26,8252.0,8290.0,8232.0,8282.0,20720,856362600.0,15900,CZCE.TA
2007-01-29,8306.0,8336.0,8200.0,8214.0,30214,1251826800.0,17898,CZCE.TA
2007-01-30,8170.0,8216.0,8112.0,8184.0,29624,1211332500.0,19232,CZCE.TA
2007-01-31,8280.0,8314.0,8238.0,8272.0,28588,1182783200.0,19512,CZCE.TA
2007-02-01,8280.0,8318.0,8266.0,8300.0,25678,1064978800.0,19524,CZCE.TA
2007-02-02,8280.0,8350.0,8198.0,8202.0,40384,1672702300.0,18166,CZCE.TA
2007-02-05,8250.0,8268.0,8156.0,8188.0,33256,1363408300.0,18694,CZCE.TA
2007-02-06,8180.0,8248.0,8180.0,8230.0,23772,976914500.0,18668,CZCE.TA
2007-02-07,8248.0,8298.0,8224.0,8284.0,26354,1089875600.0,18036,CZCE.TA
2007-02-08,8246.0,8294.0,8218.0,8262.0,27676,1142858500.0,19166,CZCE.TA
2007-02-09,8300.0,8380.0,8292.0,8318.0,42568,1774451600.0,21070,CZCE.TA
2007-02-12,8282.0,8354.0,8280.0,8348.0,26526,1105096700.0,17214,CZCE.TA
2007-02-13,8302.0,8410.0,8302.0,8394.0,23384,976720600.0,18556,CZCE.TA
2007-02-14,8420.0,8460.0,8382.0,8446.0,45670,1924044000.0,24160,CZCE.TA
2007-02-15,8420.0,8446.0,8398.0,8422.0,20394,858551100.0,22202,CZCE.TA
2007-02-16,8420.0,8440.0,8402.0,8438.0,8254,347807100.0,20386,CZCE.TA
2007-02-26,8500.0,8550.0,8420.0,8432.0,27276,1153635000.0,21758,CZCE.TA
2007-02-27,8414.0,8444.0,8384.0,8416.0,14760,621200800.0,20952,CZCE.TA
2007-02-28,8372.0,8432.0,8342.0,8422.0,12848,539357700.0,19798,CZCE.TA
2007-03-01,8452.0,8484.0,8416.0,8480.0,15096,637983400.0,18472,CZCE.TA
2007-03-02,8470.0,8540.0,8462.0,8536.0,20208,859685300.0,20282,CZCE.TA
2007-03-05,8500.0,8530.0,8454.0,8478.0,14890,632566600.0,18530,CZCE.TA
2007-03-06,8466.0,8498.0,8440.0,8498.0,8448,357891700.0,17126,CZCE.TA
2007-03-07,8500.0,8530.0,8484.0,8504.0,9808,417340300.0,18134,CZCE.TA
2007-03-08,8530.0,8530.0,8480.0,8498.0,9336,396980100.0,18318,CZCE.TA
2007-03-09,8490.0,8500.0,8426.0,8450.0,9674,409140900.0,17682,CZCE.TA
2007-03-12,8430.0,8450.0,8364.0,8386.0,17350,728617900.0,18530,CZCE.TA
2007-03-13,8400.0,8424.0,8382.0,8394.0,10530,442494100.0,19408,CZCE.TA
2007-03-14,8384.0,8398.0,8348.0,8380.0,9498,397435200.0,18620,CZCE.TA
2007-03-15,8390.0,8410.0,8380.0,8380.0,6878,288777900.0,19612,CZCE.TA
2007-03-16,8356.0,8386.0,8330.0,8384.0,8728,364667700.0,20206,CZCE.TA
2007-03-19,8388.0,8414.0,8366.0,8380.0,8786,368601900.0,20502,CZCE.TA
2007-03-20,8388.0,8388.0,8350.0,8366.0,7246,303139200.0,20678,CZCE.TA
2007-03-21,8370.0,8388.0,8360.0,8364.0,7860,329112800.0,21636,CZCE.TA
2007-03-22,8374.0,8402.0,8372.0,8384.0,10436,437571700.0,21618,CZCE.TA
2007-03-23,8410.0,8438.0,8408.0,8418.0,13450,566442900.0,20846,CZCE.TA
2007-03-26,8428.0,8428.0,8384.0,8388.0,6506,273321100.0,20314,CZCE.TA
2007-03-27,8408.0,8408.0,8312.0,8322.0,10646,444505500.0,21160,CZCE.TA
2007-03-28,8344.0,8382.0,8304.0,8366.0,13022,543399000.0,20588,CZCE.TA
2007-03-29,8368.0,8372.0,8332.0,8336.0,4688,195643200.0,19756,CZCE.TA
2007-03-30,8370.0,8412.0,8368.0,8376.0,13172,552520700.0,18564,CZCE.TA
2007-04-02,8300.0,8502.0,8300.0,8498.0,18026,762320800.0,16694,CZCE.TA
2007-04-03,8496.0,8598.0,8494.0,8570.0,21584,922344200.0,16590,CZCE.TA
2007-04-04,8560.0,8610.0,8538.0,8546.0,15186,651180000.0,15544,CZCE.TA
2007-04-05,8550.0,8574.0,8516.0,8550.0,5138,219470300.0,14188,CZCE.TA
2007-04-06,8684.0,8724.0,8636.0,8662.0,21424,930919100.0,20762,CZCE.TA
2007-04-09,8690.0,8720.0,8640.0,8690.0,17772,771820200.0,25258,CZCE.TA
2007-04-10,8612.0,8672.0,8612.0,8660.0,14506,627766900.0,24980,CZCE.TA
2007-04-11,8670.0,8708.0,8650.0,8682.0,16956,735984400.0,29048,CZCE.TA
2007-04-12,8694.0,8796.0,8686.0,8780.0,39296,1721597400.0,38948,CZCE.TA
2007-04-13,8818.0,8908.0,8800.0,8862.0,38900,1721641500.0,41320,CZCE.TA
2007-04-16,8882.0,8998.0,8882.0,8962.0,35982,1613684500.0,36852,CZCE.TA
2007-04-17,8950.0,8978.0,8904.0,8916.0,15640,698624200.0,37544,CZCE.TA
2007-04-18,8948.0,8996.0,8698.0,8844.0,43728,1938168100.0,38150,CZCE.TA
2007-04-19,8854.0,8870.0,8672.0,8776.0,23884,1046445400.0,37918,CZCE.TA
2007-04-20,8754.0,8850.0,8752.0,8788.0,19726,868562600.0,38466,CZCE.TA
2007-04-23,8828.0,8874.0,8802.0,8818.0,10930,483002200.0,37510,CZCE.TA
2007-04-24,8928.0,8930.0,8870.0,8878.0,11392,506255200.0,38640,CZCE.TA
2007-04-25,8822.0,8884.0,8822.0,8850.0,7848,347270900.0,38430,CZCE.TA
2007-04-26,8900.0,8940.0,8870.0,8922.0,17128,763119000.0,39216,CZCE.TA
2007-04-27,8920.0,8958.0,8880.0,8888.0,16610,741132900.0,35448,CZCE.TA
2007-04-30,8922.0,8922.0,8882.0,8886.0,11454,509631500.0,30440,CZCE.TA
2007-05-08,8780.0,8838.0,8762.0,8802.0,5448,239885900.0,28702,CZCE.TA
2007-05-09,8802.0,8840.0,8750.0,8782.0,4684,205673900.0,26690,CZCE.TA
2007-05-10,8704.0,8764.0,8704.0,8744.0,3474,151859000.0,25972,CZCE.TA
2007-05-11,8756.0,8756.0,8596.0,8630.0,10822,467478100.0,21672,CZCE.TA
2007-05-14,8644.0,8800.0,8604.0,8786.0,6572,286016300.0,20668,CZCE.TA
2007-05-15,8942.0,9010.0,8904.0,8976.0,15338,688055300.0,25890,CZCE.TA
2007-05-16,9008.0,9008.0,8910.0,8946.0,11816,528487000.0,26642,CZCE.TA
