datetime,open,high,low,close,volume,amount,position,symbol
2015-05-19,436.0,437.6,436.0,437.0,12,524200.0,84,CZCE.ZC
2015-05-20,436.8,437.0,434.8,435.8,16,697500.0,84,CZCE.ZC
2015-05-21,438.0,446.8,437.8,443.2,74,3263700.0,122,CZCE.ZC
2015-05-22,439.2,443.8,439.2,441.4,68,3005000.0,154,CZCE.ZC
2015-05-25,439.2,441.8,439.2,440.2,12,528400.0,154,CZCE.ZC
2015-05-26,441.0,447.8,439.2,441.4,336,14874800.0,338,CZCE.ZC
2015-05-27,440.0,444.2,438.8,440.8,176,7750200.0,456,CZCE.ZC
2015-05-28,440.8,441.0,439.6,439.8,86,3782100.0,524,CZCE.ZC
2015-05-29,441.4,442.6,439.8,442.6,26,1148800.0,544,CZCE.ZC
2015-06-01,443.0,443.0,440.2,440.8,34,1498200.0,552,CZCE.ZC
2015-06-02,440.6,442.6,440.2,440.2,24,1057300.0,566,CZCE.ZC
2015-06-03,442.2,442.2,440.0,440.0,16,706000.0,572,CZCE.ZC
2015-06-04,440.8,441.0,438.6,440.0,20,880000.0,588,CZCE.ZC
2015-06-05,440.8,440.8,438.0,438.4,28,1228000.0,592,CZCE.ZC
2015-06-08,438.0,438.4,437.4,438.0,222,9721700.0,612,CZCE.ZC
2015-06-09,438.0,438.0,438.0,438.0,2,87600.0,614,CZCE.ZC
2015-06-10,439.0,439.0,437.0,439.0,32,1403100.0,620,CZCE.ZC
2015-06-11,440.0,440.0,437.2,437.4,8,350700.0,626,CZCE.ZC
2015-06-12,437.0,437.0,428.0,428.0,164,7092600.0,694,CZCE.ZC
2015-06-15,430.0,430.6,428.8,428.8,54,2320700.0,692,CZCE.ZC
2015-06-16,425.0,428.0,425.0,426.8,178,7597700.0,716,CZCE.ZC
2015-06-17,425.0,426.0,421.6,422.6,70,2969200.0,746,CZCE.ZC
2015-06-18,422.0,422.4,420.4,421.8,30,1265900.0,746,CZCE.ZC
2015-06-19,418.0,422.6,414.4,420.8,62,2607400.0,762,CZCE.ZC
2015-06-24,428.0,428.0,421.2,421.2,42,1774800.0,786,CZCE.ZC
2015-06-25,423.0,423.0,419.2,420.0,62,2606200.0,804,CZCE.ZC
2015-06-26,419.6,420.4,419.0,420.0,194,8143900.0,718,CZCE.ZC
2015-06-29,419.4,420.0,411.8,420.0,50,2090000.0,698,CZCE.ZC
2015-06-30,416.2,418.2,413.2,416.6,130,5402600.0,700,CZCE.ZC
2015-07-01,414.0,417.4,414.0,415.0,60,2491400.0,726,CZCE.ZC
2015-07-02,414.0,415.2,412.2,415.2,66,2732200.0,720,CZCE.ZC
2015-07-03,415.0,417.2,413.6,414.2,86,3573100.0,732,CZCE.ZC
2015-07-06,413.2,413.4,404.2,409.2,432,17745300.0,702,CZCE.ZC
2015-07-07,409.2,409.2,400.0,406.8,316,12863000.0,606,CZCE.ZC
2015-07-08,402.6,402.6,390.6,390.6,174,6879500.0,524,CZCE.ZC
2015-07-09,370.2,401.0,370.2,395.0,136,5259400.0,488,CZCE.ZC
2015-07-10,396.4,397.0,392.6,393.4,76,3001700.0,506,CZCE.ZC
2015-07-13,395.0,396.8,381.8,390.0,62,2437100.0,514,CZCE.ZC
2015-07-14,392.6,392.6,390.8,391.2,18,704400.0,520,CZCE.ZC
2015-07-15,393.6,393.6,389.8,390.2,32,1253300.0,530,CZCE.ZC
