datetime,open,high,low,close,volume,amount,position,symbol
2005-01-05,2520.0,2550.0,2515.0,2548.0,9560,242426000.0,15620,DCE.B
2005-01-06,2544.0,2558.0,2538.0,2554.0,3694,94102600.0,14898,DCE.B
2005-01-07,2560.0,2587.0,2560.0,2577.0,7732,199369100.0,14282,DCE.B
2005-01-10,2584.0,2592.0,2567.0,2575.0,4962,127982900.0,13272,DCE.B
2005-01-11,2600.0,2600.0,2585.0,2590.0,3130,81073000.0,12726,DCE.B
2005-01-12,2585.0,2593.0,2582.0,2583.0,1660,42963600.0,12458,DCE.B
2005-01-13,2571.0,2585.0,2570.0,2578.0,1108,28557600.0,12368,DCE.B
2005-01-14,2580.0,2589.0,2561.0,2564.0,3090,79472300.0,12252,DCE.B
2005-01-17,2545.0,2572.0,2542.0,2556.0,1936,49424000.0,11618,DCE.B
2005-01-18,2552.0,2570.0,2540.0,2570.0,1834,46887300.0,11484,DCE.B
2005-01-19,2558.0,2575.0,2555.0,2567.0,1200,30748300.0,11186,DCE.B
2005-01-20,2570.0,2570.0,2553.0,2556.0,2660,68020800.0,10856,DCE.B
2005-01-21,2558.0,2560.0,2545.0,2547.0,5494,140079000.0,10636,DCE.B
2005-01-24,2542.0,2555.0,2530.0,2551.0,6876,175278400.0,10374,DCE.B
2005-01-25,2552.0,2552.0,2543.0,2544.0,3822,97403600.0,10694,DCE.B
2005-01-26,2553.0,2554.0,2547.0,2548.0,4456,113593000.0,11354,DCE.B
2005-01-27,2545.0,2549.0,2536.0,2543.0,5704,144932500.0,12226,DCE.B
2005-01-28,2540.0,2540.0,2518.0,2523.0,6140,155086900.0,13578,DCE.B
2005-01-31,2524.0,2524.0,2487.0,2495.0,7432,186067400.0,14144,DCE.B
2005-02-01,2508.0,2510.0,2496.0,2497.0,8072,201860500.0,14848,DCE.B
2005-02-02,2487.0,2488.0,2470.0,2488.0,5780,143538100.0,15678,DCE.B
2005-02-03,2489.0,2490.0,2482.0,2490.0,8238,204814900.0,16424,DCE.B
2005-02-04,2480.0,2493.0,2480.0,2487.0,7016,174601700.0,17196,DCE.B
2005-02-16,2538.0,2555.0,2510.0,2527.0,10842,274246700.0,18632,DCE.B
2005-02-17,2526.0,2540.0,2525.0,2533.0,6384,161581700.0,19568,DCE.B
2005-02-18,2553.0,2565.0,2545.0,2545.0,7498,191951400.0,21416,DCE.B
2005-02-21,2550.0,2563.0,2530.0,2558.0,11186,285092400.0,25902,DCE.B
2005-02-22,2560.0,2595.0,2550.0,2592.0,33272,856663200.0,31208,DCE.B
2005-02-23,2616.0,2625.0,2601.0,2608.0,14922,389699200.0,32302,DCE.B
