datetime,open,high,low,close,volume,amount,position,symbol
2013-12-09,126.0,131.55,124.75,131.55,62682,4058333800.0,12556,DCE.BB
2013-12-10,133.0,135.65,131.7,132.95,342330,22848162200.0,27272,DCE.BB
2013-12-11,132.95,136.6,132.0,136.25,343232,23013074800.0,49252,DCE.BB
2013-12-12,136.1,138.05,133.8,134.05,532196,36119885200.0,47298,DCE.BB
2013-12-13,133.7,135.1,132.3,132.85,244810,16349833700.0,37858,DCE.BB
2013-12-16,133.1,134.9,132.1,134.5,252466,16880999000.0,47976,DCE.BB
2013-12-17,134.95,134.95,132.4,132.55,197926,13231748600.0,44078,DCE.BB
2013-12-18,132.6,133.05,129.7,131.35,231182,15154559800.0,42176,DCE.BB
2013-12-19,131.4,132.1,130.55,131.35,128568,8447377600.0,43722,DCE.BB
2013-12-20,131.15,131.9,129.85,130.95,122328,7993775700.0,39572,DCE.BB
2013-12-23,130.9,133.35,130.6,131.75,187814,12400457200.0,46882,DCE.BB
2013-12-24,131.9,133.35,131.0,132.05,208442,13782609400.0,66380,DCE.BB
2013-12-25,132.35,133.2,130.55,130.6,169752,11231074800.0,73346,DCE.BB
2013-12-26,130.15,130.2,127.05,127.05,200080,12820077200.0,64060,DCE.BB
2013-12-27,126.05,126.45,124.35,124.5,266966,16712039600.0,67064,DCE.BB
2013-12-30,124.0,124.5,120.5,122.85,264712,16260032700.0,63302,DCE.BB
2013-12-31,122.5,123.75,121.7,122.85,131290,8062590900.0,59742,DCE.BB
2014-01-02,123.0,123.5,121.35,121.55,98992,6049068400.0,64480,DCE.BB
2014-01-03,120.95,122.65,120.1,122.5,125444,7608704900.0,55958,DCE.BB
2014-01-06,122.35,122.45,117.4,120.35,324644,19381774700.0,53322,DCE.BB
2014-01-07,120.95,122.35,120.15,121.1,235264,14269643100.0,53530,DCE.BB
2014-01-08,121.0,121.1,118.7,120.6,189634,11364697600.0,50766,DCE.BB
2014-01-09,120.7,124.6,120.05,123.65,319882,19768997700.0,57004,DCE.BB
2014-01-10,122.9,125.1,122.6,124.15,204376,12659658100.0,62000,DCE.BB
2014-01-13,124.6,124.85,123.4,123.8,131256,8139774000.0,66222,DCE.BB
2014-01-14,124.05,125.4,122.3,125.25,232054,14373742800.0,67636,DCE.BB
2014-01-15,125.05,125.7,124.2,124.5,203034,12683479600.0,69988,DCE.BB
2014-01-16,124.75,124.75,121.55,122.3,308076,18889211000.0,71426,DCE.BB
2014-01-17,122.05,125.0,122.05,124.8,212216,13126196800.0,69328,DCE.BB
2014-01-20,124.85,128.45,124.8,125.85,224422,14195176800.0,83564,DCE.BB
