datetime,open,high,low,close,volume,amount,position,symbol
2025-07-09,5935.0,6089.0,5930.0,6070.0,31731,5726411580.0,9140,DCE.BZ
2025-07-10,6070.0,6363.0,6056.0,6253.0,77235,14402063490.0,14483,DCE.BZ
2025-07-11,6231.0,6293.0,6141.0,6183.0,64475,12066854670.0,16038,DCE.BZ
2025-07-14,6201.0,6260.0,6143.0,6189.0,37605,7005246300.0,14760,DCE.BZ
2025-07-15,6216.0,6230.0,6111.0,6144.0,24596,4550421240.0,13970,DCE.BZ
2025-07-16,6151.0,6180.0,6126.0,6166.0,14049,2593653570.0,13891,DCE.BZ
2025-07-17,6155.0,6165.0,6102.0,6122.0,12912,2378027880.0,13126,DCE.BZ
2025-07-18,6125.0,6209.0,6125.0,6164.0,12909,2384079300.0,12958,DCE.BZ
2025-07-21,6165.0,6269.0,6165.0,6241.0,21105,3937665510.0,12910,DCE.BZ
2025-07-22,6259.0,6292.0,6200.0,6278.0,20494,3835691700.0,13685,DCE.BZ
2025-07-23,6278.0,6292.0,6152.0,6196.0,14798,2762420820.0,12060,DCE.BZ
2025-07-24,6219.0,6279.0,6176.0,6226.0,10431,1946871630.0,11978,DCE.BZ
2025-07-25,6225.0,6437.0,6225.0,6387.0,23994,4554214560.0,13432,DCE.BZ
2025-07-28,6439.0,6439.0,6223.0,6251.0,20076,3792309540.0,12222,DCE.BZ
2025-07-29,6279.0,6315.0,6236.0,6296.0,10474,1974309390.0,13067,DCE.BZ
2025-07-30,6295.0,6334.0,6276.0,6307.0,10003,1891928340.0,12826,DCE.BZ
2025-07-31,6310.0,6348.0,6280.0,6294.0,9450,1789986030.0,13020,DCE.BZ
2025-08-01,6300.0,6310.0,6252.0,6260.0,6234,1175305380.0,13078,DCE.BZ
2025-08-04,6270.0,6286.0,6182.0,6240.0,7340,1372208310.0,12859,DCE.BZ
2025-08-05,6200.0,6232.0,6190.0,6220.0,5643,1051434330.0,12769,DCE.BZ
2025-08-06,6205.0,6268.0,6200.0,6246.0,5622,1051630500.0,12918,DCE.BZ
