datetime,open,high,low,close,volume,amount,position,symbol
2005-01-05,1141.0,1152.0,1141.0,1151.0,115404,1323509000.0,140670,DCE.C
2005-01-06,1151.0,1157.0,1151.0,1154.0,116530,1343815000.0,149290,DCE.C
2005-01-07,1162.0,1164.0,1156.0,1158.0,142096,1646118200.0,146386,DCE.C
2005-01-10,1158.0,1159.0,1152.0,1155.0,125086,1444251400.0,147406,DCE.C
2005-01-11,1156.0,1158.0,1154.0,1155.0,126812,1466848900.0,144414,DCE.C
2005-01-12,1153.0,1158.0,1153.0,1157.0,153368,1772409800.0,143494,DCE.C
2005-01-13,1150.0,1156.0,1149.0,1155.0,139970,1615217800.0,141514,DCE.C
2005-01-14,1155.0,1157.0,1154.0,1156.0,130966,1513095600.0,136640,DCE.C
2005-01-17,1151.0,1156.0,1151.0,1156.0,104946,1212226800.0,132932,DCE.C
2005-01-18,1158.0,1158.0,1154.0,1156.0,88976,1028472600.0,132630,DCE.C
2005-01-19,1155.0,1160.0,1154.0,1158.0,132780,1535391900.0,133110,DCE.C
2005-01-20,1158.0,1159.0,1155.0,1156.0,130834,1513452900.0,124548,DCE.C
2005-01-21,1157.0,1158.0,1155.0,1156.0,89508,1035350100.0,130480,DCE.C
2005-01-24,1155.0,1157.0,1154.0,1157.0,133968,1548507100.0,123258,DCE.C
2005-01-25,1155.0,1159.0,1155.0,1158.0,123806,1432854700.0,121380,DCE.C
2005-01-26,1159.0,1160.0,1157.0,1157.0,103634,1200362700.0,122550,DCE.C
2005-01-27,1157.0,1158.0,1154.0,1155.0,104812,1212831800.0,120152,DCE.C
2005-01-28,1153.0,1155.0,1150.0,1153.0,113368,1308130700.0,117462,DCE.C
2005-01-31,1153.0,1153.0,1147.0,1148.0,71516,822306100.0,117188,DCE.C
2005-02-01,1151.0,1151.0,1146.0,1146.0,77344,887332200.0,121656,DCE.C
2005-02-02,1146.0,1149.0,1144.0,1145.0,123818,1418977400.0,127102,DCE.C
2005-02-03,1144.0,1150.0,1144.0,1149.0,107156,1228960000.0,127008,DCE.C
2005-02-04,1149.0,1151.0,1148.0,1150.0,93224,1070694200.0,123138,DCE.C
2005-02-16,1158.0,1160.0,1153.0,1154.0,123060,1422126700.0,121108,DCE.C
2005-02-17,1152.0,1154.0,1148.0,1153.0,94920,1092883700.0,117104,DCE.C
2005-02-18,1156.0,1157.0,1150.0,1151.0,91572,1056134100.0,116998,DCE.C
2005-02-21,1154.0,1154.0,1148.0,1153.0,132322,1523074000.0,125196,DCE.C
2005-02-22,1152.0,1162.0,1152.0,1161.0,113530,1312679600.0,128096,DCE.C
2005-02-23,1167.0,1169.0,1156.0,1157.0,118950,1381793100.0,125358,DCE.C
2005-02-24,1158.0,1161.0,1156.0,1159.0,154488,1789520000.0,127352,DCE.C
2005-02-25,1157.0,1159.0,1156.0,1156.0,68536,793581400.0,122830,DCE.C
2005-02-28,1167.0,1198.0,1165.0,1185.0,191376,2263120800.0,142634,DCE.C
2005-03-01,1185.0,1186.0,1165.0,1172.0,146244,1714441400.0,141948,DCE.C
2005-03-02,1167.0,1188.0,1166.0,1178.0,156960,1848504300.0,141450,DCE.C
2005-03-03,1175.0,1181.0,1171.0,1174.0,132666,1558498300.0,138276,DCE.C
2005-03-04,1176.0,1182.0,1170.0,1182.0,144194,1696403200.0,137756,DCE.C
2005-03-07,1185.0,1192.0,1181.0,1186.0,115476,1369659000.0,137228,DCE.C
2005-03-08,1174.0,1186.0,1173.0,1185.0,126466,1493490500.0,137350,DCE.C
2005-03-09,1190.0,1199.0,1186.0,1194.0,163104,1946755600.0,143800,DCE.C
2005-03-10,1196.0,1221.0,1196.0,1214.0,225174,2720462400.0,142030,DCE.C
2005-03-11,1221.0,1230.0,1202.0,1209.0,165240,2013360400.0,130814,DCE.C
2005-03-14,1226.0,1229.0,1204.0,1212.0,182040,2209672100.0,121086,DCE.C
2005-03-15,1205.0,1243.0,1205.0,1234.0,142170,1740442900.0,120876,DCE.C
2005-03-16,1245.0,1272.0,1240.0,1271.0,156102,1969099900.0,122920,DCE.C
2005-03-17,1261.0,1276.0,1251.0,1255.0,134492,1700382200.0,115140,DCE.C
2005-03-18,1263.0,1269.0,1215.0,1249.0,133840,1673516400.0,106494,DCE.C
2005-03-21,1263.0,1321.0,1260.0,1308.0,176932,2271108500.0,134052,DCE.C
2005-03-22,1286.0,1313.0,1280.0,1308.0,304674,3969180900.0,165024,DCE.C
2005-03-23,1306.0,1319.0,1295.0,1299.0,263286,3437516100.0,177228,DCE.C
2005-03-24,1305.0,1317.0,1291.0,1314.0,210718,2749367800.0,191924,DCE.C
2005-03-25,1321.0,1328.0,1308.0,1313.0,216352,2853322500.0,196732,DCE.C
2005-03-28,1328.0,1331.0,1305.0,1313.0,145334,1912534300.0,195150,DCE.C
2005-03-29,1316.0,1322.0,1308.0,1309.0,122094,1604395400.0,181970,DCE.C
2005-03-30,1311.0,1315.0,1294.0,1297.0,118868,1548224400.0,180218,DCE.C
2005-03-31,1309.0,1310.0,1300.0,1304.0,76796,1002799800.0,169624,DCE.C
2005-04-01,1304.0,1305.0,1285.0,1304.0,58010,752132000.0,170100,DCE.C
2005-04-04,1300.0,1312.0,1296.0,1309.0,34104,446207000.0,166280,DCE.C
2005-04-05,1307.0,1311.0,1301.0,1304.0,32690,426575700.0,166848,DCE.C
2005-04-06,1301.0,1306.0,1296.0,1306.0,31862,414459900.0,161804,DCE.C
2005-04-07,1311.0,1311.0,1299.0,1301.0,24764,322884200.0,156988,DCE.C
2005-04-08,1300.0,1302.0,1296.0,1301.0,18720,243386300.0,157176,DCE.C
2005-04-11,1305.0,1308.0,1298.0,1302.0,25038,326257600.0,154988,DCE.C
2005-04-12,1310.0,1312.0,1302.0,1306.0,19362,252669200.0,151748,DCE.C
2005-04-13,1304.0,1306.0,1299.0,1302.0,21938,285679600.0,144608,DCE.C
2005-04-14,1304.0,1304.0,1292.0,1300.0,23012,298507800.0,145086,DCE.C
2005-04-15,1299.0,1301.0,1295.0,1295.0,8670,112523200.0,143790,DCE.C
2005-04-18,1295.0,1298.0,1291.0,1294.0,8260,106804100.0,143150,DCE.C
2005-04-19,1293.0,1301.0,1292.0,1301.0,13000,168604000.0,141154,DCE.C
2005-04-20,1309.0,1312.0,1302.0,1304.0,42204,551127200.0,136402,DCE.C
2005-04-21,1305.0,1305.0,1289.0,1292.0,23280,301133900.0,131236,DCE.C
2005-04-22,1296.0,1296.0,1287.0,1293.0,8216,106061200.0,128010,DCE.C
2005-04-25,1297.0,1298.0,1291.0,1293.0,4458,57670400.0,126008,DCE.C
2005-04-26,1292.0,1294.0,1290.0,1291.0,6110,78916600.0,124318,DCE.C
2005-04-27,1292.0,1293.0,1286.0,1289.0,6868,88526000.0,122260,DCE.C
2005-04-28,1285.0,1288.0,1281.0,1284.0,3768,48430700.0,121820,DCE.C
2005-04-29,1281.0,1288.0,1280.0,1284.0,5546,71116900.0,119964,DCE.C
2005-05-09,1282.0,1285.0,1272.0,1279.0,13234,169385600.0,124336,DCE.C
2005-05-10,1301.0,1303.0,1296.0,1302.0,48564,630935700.0,136932,DCE.C
2005-05-11,1300.0,1302.0,1297.0,1298.0,33944,440958300.0,134030,DCE.C
2005-05-12,1296.0,1296.0,1281.0,1282.0,66308,854469100.0,141008,DCE.C
2005-05-13,1275.0,1278.0,1265.0,1271.0,67710,861651900.0,140622,DCE.C
2005-05-16,1269.0,1278.0,1268.0,1277.0,40064,510934100.0,141894,DCE.C
2005-05-17,1280.0,1282.0,1271.0,1281.0,37744,481736700.0,141200,DCE.C
2005-05-18,1280.0,1288.0,1272.0,1287.0,36350,464829900.0,140566,DCE.C
2005-05-19,1290.0,1292.0,1285.0,1291.0,38160,491553500.0,141126,DCE.C
2005-05-20,1289.0,1291.0,1285.0,1289.0,30442,392373100.0,141448,DCE.C
2005-05-23,1295.0,1298.0,1291.0,1296.0,29584,382829900.0,139050,DCE.C
2005-05-24,1305.0,1306.0,1294.0,1296.0,46688,606522000.0,138798,DCE.C
2005-05-25,1298.0,1299.0,1270.0,1280.0,74600,957548200.0,137754,DCE.C
2005-05-26,1288.0,1290.0,1280.0,1286.0,43624,560534400.0,135388,DCE.C
2005-05-27,1291.0,1295.0,1288.0,1292.0,40710,525478100.0,133764,DCE.C
2005-05-30,1283.0,1289.0,1278.0,1285.0,41464,532757400.0,126128,DCE.C
2005-05-31,1290.0,1294.0,1282.0,1283.0,34408,442583600.0,127046,DCE.C
2005-06-01,1280.0,1283.0,1278.0,1280.0,32446,415535500.0,126952,DCE.C
2005-06-02,1280.0,1286.0,1280.0,1280.0,19684,252449900.0,123386,DCE.C
2005-06-03,1275.0,1280.0,1273.0,1280.0,18450,235617100.0,121402,DCE.C
2005-06-06,1290.0,1301.0,1286.0,1298.0,60224,780750900.0,127634,DCE.C
2005-06-07,1292.0,1297.0,1291.0,1295.0,34970,452839400.0,127012,DCE.C
2005-06-08,1290.0,1294.0,1290.0,1293.0,30516,394342800.0,125140,DCE.C
2005-06-09,1288.0,1298.0,1286.0,1295.0,41540,537779400.0,127432,DCE.C
2005-06-10,1295.0,1305.0,1295.0,1299.0,67748,880466700.0,132404,DCE.C
2005-06-13,1301.0,1302.0,1295.0,1296.0,39768,516067200.0,130990,DCE.C
2005-06-14,1300.0,1300.0,1293.0,1294.0,59884,775928900.0,129876,DCE.C
2005-06-15,1298.0,1299.0,1295.0,1296.0,56704,735481400.0,127772,DCE.C
2005-06-16,1305.0,1305.0,1293.0,1295.0,75204,975978800.0,121978,DCE.C
2005-06-17,1295.0,1297.0,1292.0,1296.0,60062,777632400.0,117894,DCE.C
2005-06-20,1306.0,1308.0,1297.0,1299.0,71258,925891700.0,112594,DCE.C
2005-06-21,1299.0,1299.0,1293.0,1294.0,64592,837171600.0,111050,DCE.C
2005-06-22,1299.0,1299.0,1294.0,1297.0,69706,904217300.0,110670,DCE.C
2005-06-23,1296.0,1298.0,1291.0,1294.0,78790,1020793100.0,108984,DCE.C
2005-06-24,1297.0,1298.0,1293.0,1298.0,69500,900058700.0,107968,DCE.C
2005-06-27,1302.0,1302.0,1293.0,1294.0,70002,907424300.0,105172,DCE.C
2005-06-28,1280.0,1291.0,1275.0,1289.0,87020,1119747300.0,97710,DCE.C
2005-06-29,1289.0,1294.0,1287.0,1292.0,78662,1013832200.0,91420,DCE.C
2005-06-30,1293.0,1295.0,1285.0,1288.0,71656,925111500.0,90446,DCE.C
2005-07-01,1292.0,1292.0,1286.0,1288.0,67420,868692900.0,85192,DCE.C
2005-07-04,1287.0,1289.0,1286.0,1287.0,60366,777064000.0,84170,DCE.C
2005-07-05,1289.0,1289.0,1280.0,1284.0,64338,825552400.0,83316,DCE.C
2005-07-06,1289.0,1289.0,1284.0,1285.0,89522,1151162700.0,81792,DCE.C
2005-07-07,1285.0,1289.0,1285.0,1286.0,30202,388653400.0,82652,DCE.C
2005-07-08,1286.0,1287.0,1282.0,1287.0,72342,929506600.0,79796,DCE.C
2005-07-11,1284.0,1305.0,1283.0,1298.0,71532,926714700.0,82258,DCE.C
2005-07-12,1300.0,1300.0,1296.0,1297.0,45546,591344600.0,84732,DCE.C
2005-07-13,1299.0,1299.0,1292.0,1293.0,65282,846074900.0,80240,DCE.C
2005-07-14,1296.0,1298.0,1285.0,1292.0,75896,982047500.0,79604,DCE.C
2005-07-15,1294.0,1297.0,1290.0,1292.0,87460,1131530300.0,79938,DCE.C
2005-07-18,1296.0,1299.0,1286.0,1287.0,65844,851775600.0,77868,DCE.C
2005-07-19,1287.0,1289.0,1286.0,1288.0,56586,728487200.0,76434,DCE.C
2005-07-20,1285.0,1287.0,1280.0,1281.0,71250,914583600.0,64668,DCE.C
2005-07-21,1282.0,1285.0,1280.0,1283.0,61522,788557200.0,63726,DCE.C
2005-07-22,1280.0,1282.0,1270.0,1275.0,52038,665678000.0,59418,DCE.C
2005-07-25,1276.0,1280.0,1265.0,1268.0,47432,605100600.0,68360,DCE.C
2005-07-26,1268.0,1273.0,1265.0,1267.0,34240,434067800.0,77102,DCE.C
2005-07-27,1267.0,1272.0,1267.0,1271.0,64394,817196800.0,69328,DCE.C
2005-07-28,1259.0,1261.0,1233.0,1238.0,84662,1057080600.0,74570,DCE.C
