datetime,open,high,low,close,volume,amount,position,symbol
2019-09-27,8020.0,8068.0,7901.0,7940.0,39914,1592059990.0,15074,DCE.EB
2019-09-30,7905.0,7999.0,7905.0,7976.0,13738,546558700.0,13464,DCE.EB
2019-10-08,7950.0,7998.0,7920.0,7968.0,5470,217767900.0,14208,DCE.EB
2019-10-09,7971.0,8018.0,7940.0,7952.0,12898,514288150.0,15982,DCE.EB
2019-10-10,7950.0,7968.0,7835.0,7843.0,44770,1762197810.0,21110,DCE.EB
2019-10-11,7832.0,7880.0,7794.0,7826.0,29642,1161119200.0,22516,DCE.EB
2019-10-14,7828.0,7850.0,7756.0,7770.0,29722,1158599480.0,29566,DCE.EB
2019-10-15,7760.0,7760.0,7592.0,7649.0,63492,2434252750.0,41682,DCE.EB
2019-10-16,7675.0,7676.0,7490.0,7526.0,72992,2766093330.0,49354,DCE.EB
2019-10-17,7510.0,7518.0,7425.0,7478.0,77818,2903873410.0,56138,DCE.EB
2019-10-18,7490.0,7574.0,7467.0,7546.0,83618,3147442480.0,52790,DCE.EB
2019-10-21,7560.0,7585.0,7466.0,7494.0,51658,1943748760.0,50434,DCE.EB
2019-10-22,7503.0,7509.0,7409.0,7469.0,45254,1689719470.0,53952,DCE.EB
2019-10-23,7502.0,7515.0,7442.0,7447.0,35850,1339062100.0,57744,DCE.EB
2019-10-24,7430.0,7544.0,7400.0,7509.0,68886,2584160630.0,58202,DCE.EB
2019-10-25,7520.0,7530.0,7455.0,7456.0,30064,1126363660.0,57380,DCE.EB
2019-10-28,7450.0,7502.0,7411.0,7430.0,43822,1634231830.0,62422,DCE.EB
2019-10-29,7430.0,7456.0,7370.0,7383.0,48806,1808742540.0,68518,DCE.EB
2019-10-30,7370.0,7399.0,7325.0,7336.0,78382,2883459430.0,85466,DCE.EB
2019-10-31,7320.0,7354.0,7316.0,7325.0,46746,1713590450.0,90862,DCE.EB
2019-11-01,7316.0,7350.0,7244.0,7248.0,90632,3305120460.0,100808,DCE.EB
2019-11-04,7251.0,7321.0,7250.0,7312.0,62688,2281927180.0,104660,DCE.EB
2019-11-05,7313.0,7372.0,7305.0,7331.0,73658,2701981100.0,99802,DCE.EB
2019-11-06,7356.0,7362.0,7324.0,7330.0,40314,1479305230.0,103980,DCE.EB
2019-11-07,7327.0,7336.0,7228.0,7258.0,69388,2525655150.0,115178,DCE.EB
2019-11-08,7293.0,7294.0,7070.0,7087.0,144936,5195668810.0,141620,DCE.EB
2019-11-11,7088.0,7097.0,6953.0,6963.0,159342,5594653970.0,146960,DCE.EB
2019-11-12,6958.0,6982.0,6905.0,6951.0,140044,4858998220.0,153906,DCE.EB
2019-11-13,6950.0,7068.0,6941.0,6964.0,216358,7575754900.0,148480,DCE.EB
2019-11-14,6976.0,6982.0,6872.0,6940.0,151534,5243173470.0,151002,DCE.EB
2019-11-15,6940.0,6992.0,6925.0,6949.0,127474,4434010570.0,146132,DCE.EB
2019-11-18,6950.0,7019.0,6935.0,7004.0,124220,4335788910.0,143798,DCE.EB
2019-11-19,6997.0,7020.0,6911.0,6954.0,121994,4245727950.0,146794,DCE.EB
2019-11-20,6947.0,6950.0,6888.0,6930.0,115786,4007801450.0,156852,DCE.EB
2019-11-21,6932.0,6992.0,6912.0,6974.0,120230,4182504560.0,167874,DCE.EB
2019-11-22,6976.0,7046.0,6962.0,6986.0,141002,4935735990.0,173650,DCE.EB
2019-11-25,6986.0,7087.0,6986.0,7086.0,136864,4812072220.0,176850,DCE.EB
2019-11-26,7085.0,7156.0,7036.0,7150.0,196082,6961948570.0,177746,DCE.EB
2019-11-27,7153.0,7235.0,7126.0,7141.0,273166,9807716370.0,188986,DCE.EB
2019-11-28,7160.0,7194.0,7106.0,7152.0,161864,5789129170.0,189910,DCE.EB
2019-11-29,7164.0,7164.0,7070.0,7125.0,135114,4807910120.0,189486,DCE.EB
2019-12-02,7114.0,7144.0,7010.0,7056.0,153790,5436346760.0,193284,DCE.EB
2019-12-03,7055.0,7191.0,7053.0,7167.0,191566,6824587380.0,183236,DCE.EB
2019-12-04,7170.0,7264.0,7156.0,7176.0,217702,7841699130.0,185188,DCE.EB
2019-12-05,7200.0,7324.0,7200.0,7302.0,220546,8012875510.0,180650,DCE.EB
2019-12-06,7330.0,7343.0,7281.0,7327.0,128312,4693068170.0,180614,DCE.EB
2019-12-09,7326.0,7494.0,7268.0,7276.0,301988,11154831660.0,153414,DCE.EB
2019-12-10,7270.0,7381.0,7266.0,7376.0,250584,9174483290.0,151446,DCE.EB
2019-12-11,7396.0,7443.0,7246.0,7268.0,300926,11053091790.0,160198,DCE.EB
2019-12-12,7270.0,7331.0,7220.0,7326.0,189860,6910676050.0,165808,DCE.EB
2019-12-13,7333.0,7388.0,7261.0,7323.0,217204,7958331690.0,162126,DCE.EB
2019-12-16,7330.0,7383.0,7302.0,7346.0,184424,6772829790.0,158658,DCE.EB
2019-12-17,7330.0,7447.0,7330.0,7430.0,171806,6354654420.0,158610,DCE.EB
2019-12-18,7450.0,7480.0,7343.0,7364.0,164856,6111896130.0,150836,DCE.EB
2019-12-19,7376.0,7442.0,7344.0,7434.0,141424,5228935490.0,158528,DCE.EB
2019-12-20,7430.0,7466.0,7394.0,7404.0,139676,5186109750.0,157878,DCE.EB
2019-12-23,7420.0,7424.0,7315.0,7350.0,169854,6261976540.0,159432,DCE.EB
2019-12-24,7356.0,7380.0,7323.0,7359.0,103132,3790567820.0,158158,DCE.EB
2019-12-25,7370.0,7392.0,7346.0,7351.0,91274,3363166820.0,157148,DCE.EB
2019-12-26,7348.0,7375.0,7320.0,7366.0,78036,2867727090.0,159656,DCE.EB
2019-12-27,7367.0,7419.0,7352.0,7408.0,133284,4922129250.0,154914,DCE.EB
2019-12-30,7408.0,7426.0,7373.0,7375.0,125352,4640384510.0,149130,DCE.EB
2019-12-31,7382.0,7397.0,7237.0,7276.0,210796,7698309590.0,161604,DCE.EB
2020-01-02,7288.0,7336.0,7261.0,7291.0,38527,1405427845.0,81424,DCE.EB
2020-01-03,7294.0,7345.0,7271.0,7321.0,49829,1820438670.0,79582,DCE.EB
2020-01-06,7330.0,7410.0,7316.0,7387.0,59768,2201663475.0,75131,DCE.EB
2020-01-07,7390.0,7390.0,7281.0,7318.0,51068,1871437465.0,75409,DCE.EB
2020-01-08,7308.0,7438.0,7303.0,7374.0,72616,2675144205.0,68952,DCE.EB
2020-01-09,7344.0,7385.0,7266.0,7305.0,58620,2145422150.0,67645,DCE.EB
2020-01-10,7311.0,7428.0,7259.0,7428.0,72901,2674772355.0,68950,DCE.EB
2020-01-13,7438.0,7566.0,7422.0,7541.0,156246,5864286180.0,81191,DCE.EB
2020-01-14,7541.0,7587.0,7478.0,7541.0,89977,3382597565.0,84049,DCE.EB
2020-01-15,7551.0,7576.0,7480.0,7531.0,84802,3185735735.0,85644,DCE.EB
2020-01-16,7530.0,7550.0,7389.0,7467.0,85693,3201613190.0,75426,DCE.EB
2020-01-17,7459.0,7498.0,7440.0,7459.0,50251,1877759840.0,75284,DCE.EB
2020-01-20,7470.0,7530.0,7456.0,7515.0,59879,2247153915.0,75192,DCE.EB
2020-01-21,7510.0,7538.0,7421.0,7434.0,52832,1975040995.0,68443,DCE.EB
2020-01-22,7420.0,7438.0,7310.0,7394.0,57500,2118990190.0,59901,DCE.EB
2020-01-23,7395.0,7410.0,7266.0,7282.0,31343,1148612795.0,58260,DCE.EB
2020-02-03,6890.0,6930.0,6890.0,6890.0,23458,808872830.0,52889,DCE.EB
2020-02-04,6700.0,6876.0,6497.0,6865.0,52335,1777497050.0,50829,DCE.EB
2020-02-05,6810.0,7013.0,6810.0,6945.0,54850,1906063120.0,53123,DCE.EB
2020-02-06,6980.0,7022.0,6925.0,6991.0,33204,1157419910.0,54077,DCE.EB
2020-02-07,6973.0,6985.0,6943.0,6971.0,21261,740374990.0,54337,DCE.EB
2020-02-10,6950.0,6989.0,6923.0,6966.0,18906,658542280.0,56366,DCE.EB
2020-02-11,6943.0,6980.0,6913.0,6938.0,31114,1081862140.0,58774,DCE.EB
2020-02-12,6920.0,6948.0,6816.0,6868.0,52092,1792513875.0,63052,DCE.EB
2020-02-13,6890.0,6898.0,6831.0,6879.0,32509,1116601460.0,64599,DCE.EB
2020-02-14,6883.0,6915.0,6841.0,6886.0,31708,1089860575.0,63968,DCE.EB
2020-02-17,6899.0,6990.0,6870.0,6956.0,34639,1200785835.0,64734,DCE.EB
2020-02-18,6956.0,7008.0,6930.0,6938.0,35577,1239869125.0,67270,DCE.EB
2020-02-19,6956.0,7030.0,6935.0,7000.0,37556,1310797470.0,70837,DCE.EB
