datetime,open,high,low,close,volume,amount,position,symbol
2013-12-09,71.5,76.05,71.4,74.15,381842,14208955700.0,27074,DCE.FB
2013-12-10,73.95,74.85,72.3,72.6,429364,15786167400.0,37456,DCE.FB
2013-12-11,72.6,73.5,72.35,73.4,257088,9377093000.0,35208,DCE.FB
2013-12-12,73.5,75.8,73.3,75.35,407892,15331439300.0,40950,DCE.FB
2013-12-13,75.15,75.85,73.8,74.8,461736,17272264300.0,42202,DCE.FB
2013-12-16,74.9,75.65,73.6,74.7,273528,10183630500.0,40610,DCE.FB
2013-12-17,74.9,75.35,74.2,74.2,200904,7499169600.0,37974,DCE.FB
2013-12-18,74.0,74.4,72.95,73.6,186512,6867560300.0,33076,DCE.FB
2013-12-19,73.6,73.85,72.75,72.95,128378,4702813400.0,30656,DCE.FB
2013-12-20,72.95,73.65,72.6,73.3,100588,3677576900.0,32320,DCE.FB
2013-12-23,73.1,75.7,72.85,74.8,352236,13165155400.0,49832,DCE.FB
2013-12-24,75.0,75.35,74.25,74.55,211864,7926074200.0,38586,DCE.FB
2013-12-25,74.55,75.1,74.05,74.2,143258,5347814600.0,33922,DCE.FB
2013-12-26,74.25,74.3,71.7,71.7,267836,9695764700.0,56458,DCE.FB
2013-12-27,71.5,73.05,71.4,72.5,289764,10457025200.0,43006,DCE.FB
2013-12-30,72.1,72.3,69.35,70.9,366680,12960211800.0,45910,DCE.FB
2013-12-31,70.7,70.85,69.6,69.85,185018,6499616200.0,50708,DCE.FB
2014-01-02,69.8,70.05,69.05,69.4,128012,4447305800.0,51560,DCE.FB
2014-01-03,69.3,69.95,68.8,69.55,145246,5041917600.0,57384,DCE.FB
2014-01-06,69.45,69.55,66.65,66.75,348528,11726021000.0,88992,DCE.FB
2014-01-07,66.75,67.25,66.1,66.85,264794,8837971600.0,79876,DCE.FB
2014-01-08,66.5,66.8,65.2,65.75,208354,6878668400.0,79714,DCE.FB
2014-01-09,65.25,68.4,65.2,66.6,531612,17859100800.0,80218,DCE.FB
2014-01-10,66.35,67.4,66.1,66.95,200074,6695044800.0,69642,DCE.FB
2014-01-13,67.05,67.35,66.1,66.65,134468,4488921600.0,63780,DCE.FB
2014-01-14,66.75,68.1,66.3,67.8,203896,6844227600.0,59304,DCE.FB
2014-01-15,67.7,67.95,67.0,67.25,134192,4524591800.0,53928,DCE.FB
2014-01-16,67.35,67.35,64.75,64.75,338580,11071280900.0,87800,DCE.FB
2014-01-17,64.7,65.4,64.5,65.15,196258,6385307600.0,69732,DCE.FB
2014-01-20,65.2,66.7,65.0,65.7,211614,6961878400.0,69338,DCE.FB
2014-01-21,65.65,65.7,64.9,65.1,145718,4758004200.0,69192,DCE.FB
2014-01-22,64.95,66.1,64.8,65.15,193288,6325709200.0,65802,DCE.FB
2014-01-23,64.95,65.95,64.85,65.8,247574,8117835200.0,77598,DCE.FB
2014-01-24,65.65,66.45,65.55,65.75,169772,5588140200.0,75708,DCE.FB
2014-01-27,65.9,65.9,64.85,65.2,154176,5034439500.0,74136,DCE.FB
2014-01-28,65.1,65.5,62.7,63.9,350774,11168022200.0,65614,DCE.FB
2014-01-29,63.85,65.5,63.2,65.4,311328,10006353000.0,55228,DCE.FB
2014-01-30,65.5,65.65,64.35,64.8,148892,4835492000.0,53972,DCE.FB
2014-02-07,64.8,66.0,64.8,65.1,110984,3631452000.0,63040,DCE.FB
2014-02-10,65.05,65.7,64.45,65.65,175582,5713099300.0,78826,DCE.FB
2014-02-11,65.8,66.8,65.45,65.55,412296,13618358800.0,116294,DCE.FB
2014-02-12,65.55,65.7,64.2,65.2,226758,7391923300.0,114096,DCE.FB
2014-02-13,65.15,65.85,64.85,65.3,238134,7776895600.0,118358,DCE.FB
2014-02-14,65.4,65.7,65.1,65.4,160102,5236938400.0,117782,DCE.FB
2014-02-17,65.6,67.25,65.55,66.5,490334,16294478600.0,167914,DCE.FB
2014-02-18,66.45,67.1,65.0,65.4,505878,16693900200.0,184002,DCE.FB
2014-02-19,65.45,65.65,64.0,64.55,585322,18928585600.0,185726,DCE.FB
2014-02-20,64.65,65.05,64.35,64.75,287558,9308774800.0,162044,DCE.FB
2014-02-21,64.7,64.95,64.45,64.8,203328,6580258400.0,149138,DCE.FB
2014-02-24,64.85,64.9,63.1,64.55,364030,11671708800.0,126224,DCE.FB
2014-02-25,64.5,65.1,64.15,64.2,209260,6759399700.0,126776,DCE.FB
2014-02-26,64.2,64.6,63.4,64.15,206914,6640069600.0,128092,DCE.FB
2014-02-27,64.1,64.4,62.4,62.7,452786,14267478400.0,154320,DCE.FB
2014-02-28,62.7,63.1,61.9,62.0,317300,9915513700.0,161300,DCE.FB
2014-03-03,62.0,62.35,61.55,62.0,196958,6102420600.0,150534,DCE.FB
2014-03-04,62.0,63.1,61.35,62.4,286654,8896134800.0,143054,DCE.FB
2014-03-05,62.55,63.35,62.4,62.8,286348,8993618200.0,165450,DCE.FB
2014-03-06,62.75,63.35,62.3,62.5,275706,8646699900.0,183724,DCE.FB
2014-03-07,62.65,63.7,62.35,63.35,397782,12543805400.0,141584,DCE.FB
2014-03-10,63.0,63.75,60.45,62.25,513542,15910652700.0,127028,DCE.FB
2014-03-11,62.25,64.2,62.1,63.75,324232,10255647000.0,114420,DCE.FB
2014-03-12,63.2,65.75,63.05,64.75,381628,12300807200.0,125222,DCE.FB
2014-03-13,64.8,65.25,64.2,64.9,184328,5967929000.0,128780,DCE.FB
2014-03-14,64.9,65.2,63.3,63.5,255926,8212999800.0,133254,DCE.FB
2014-03-17,63.85,63.85,61.65,62.25,395486,12308212100.0,132998,DCE.FB
2014-03-18,62.5,63.6,62.35,63.05,216466,6817715100.0,122910,DCE.FB
2014-03-19,63.1,63.8,62.75,63.25,227166,7183036600.0,132742,DCE.FB
2014-03-20,63.3,63.55,62.6,63.05,154612,4879481700.0,128860,DCE.FB
2014-03-21,63.0,64.75,62.25,64.25,406630,12945725000.0,105968,DCE.FB
2014-03-24,64.25,64.5,63.8,64.35,146794,4709958800.0,106626,DCE.FB
2014-03-25,64.3,65.35,63.65,63.8,244580,7858440500.0,105086,DCE.FB
2014-03-26,63.6,64.65,63.55,64.45,106176,3413588000.0,105450,DCE.FB
2014-03-27,64.4,66.1,64.35,64.95,248830,8105768800.0,116550,DCE.FB
2014-03-28,64.9,65.95,64.9,65.85,117282,3843541000.0,116366,DCE.FB
2014-03-31,66.0,67.55,66.0,66.95,246918,8261459800.0,114664,DCE.FB
2014-04-01,67.0,68.0,66.5,66.6,202060,6809930700.0,106110,DCE.FB
2014-04-02,66.75,66.95,65.6,66.05,179682,5952857600.0,99248,DCE.FB
2014-04-03,66.0,67.2,65.65,67.2,111710,3711768000.0,100592,DCE.FB
2014-04-04,67.3,68.05,65.7,65.8,241074,8088202800.0,110302,DCE.FB
2014-04-08,65.75,66.35,64.05,66.1,211454,6937946300.0,105232,DCE.FB
2014-04-09,66.15,68.6,66.05,67.45,324386,10891515400.0,99732,DCE.FB
2014-04-10,67.15,68.4,67.15,67.6,287958,9769113600.0,103870,DCE.FB
2014-04-11,67.5,67.95,66.3,66.4,162810,5461873900.0,98072,DCE.FB
2014-04-14,66.4,68.05,65.65,66.25,257302,8614199300.0,88608,DCE.FB
2014-04-15,66.2,66.65,63.65,63.65,160190,5187181000.0,78444,DCE.FB
2014-04-16,63.2,63.45,61.25,61.65,175106,5454884600.0,65036,DCE.FB
2014-04-17,62.0,63.15,61.9,62.15,136232,4257471300.0,50500,DCE.FB
2014-04-18,63.75,64.0,63.0,63.2,145044,4596764900.0,68090,DCE.FB
2014-04-21,63.15,64.75,62.6,63.7,298076,9535165000.0,83482,DCE.FB
2014-04-22,63.6,64.1,63.05,63.55,149488,4747470200.0,84488,DCE.FB
2014-04-23,63.65,63.9,63.0,63.4,133022,4217581400.0,82436,DCE.FB
2014-04-24,63.6,63.85,63.15,63.5,116708,3703209200.0,85488,DCE.FB
2014-04-25,63.6,64.1,63.35,63.55,94282,2999291200.0,79624,DCE.FB
2014-04-28,63.45,63.8,62.3,63.4,119102,3772470600.0,79834,DCE.FB
2014-04-29,63.5,63.8,62.8,62.9,111394,3522078700.0,88830,DCE.FB
2014-04-30,62.7,63.2,62.45,62.8,138162,4340432600.0,84380,DCE.FB
2014-05-05,62.7,63.8,62.7,63.65,128622,4081572000.0,82876,DCE.FB
