datetime,open,high,low,close,volume,amount,position,symbol
2011-04-18,2233.0,2388.0,2233.0,2381.0,132702,31109082200.0,19488,DCE.J
2011-04-19,2375.0,2384.0,2320.0,2336.0,204462,47943881000.0,23270,DCE.J
2011-04-20,2350.0,2395.0,2328.0,2343.0,175506,41284932200.0,23484,DCE.J
2011-04-21,2353.0,2363.0,2323.0,2335.0,97576,22891350000.0,22246,DCE.J
2011-04-22,2336.0,2351.0,2297.0,2330.0,128218,29736098800.0,18880,DCE.J
2011-04-25,2340.0,2359.0,2317.0,2329.0,64954,15165091400.0,18038,DCE.J
2011-04-26,2315.0,2329.0,2303.0,2322.0,44336,10269163200.0,17852,DCE.J
2011-04-27,2332.0,2339.0,2315.0,2320.0,32038,7455898800.0,16356,DCE.J
2011-04-28,2330.0,2347.0,2326.0,2337.0,26286,6139532200.0,14190,DCE.J
2011-04-29,2337.0,2343.0,2323.0,2329.0,17654,4117706400.0,11762,DCE.J
2011-05-03,2330.0,2354.0,2326.0,2344.0,26594,6230842000.0,12876,DCE.J
2011-05-04,2341.0,2346.0,2320.0,2329.0,14518,3385485800.0,10782,DCE.J
2011-05-05,2309.0,2319.0,2293.0,2308.0,13896,3207532000.0,10736,DCE.J
2011-05-06,2255.0,2289.0,2255.0,2271.0,14736,3351935000.0,10206,DCE.J
2011-05-09,2280.0,2284.0,2273.0,2280.0,7240,1649553600.0,9292,DCE.J
2011-05-10,2285.0,2288.0,2275.0,2287.0,7890,1800361000.0,8290,DCE.J
2011-05-11,2293.0,2338.0,2286.0,2314.0,30078,6983378000.0,9430,DCE.J
2011-05-12,2290.0,2352.0,2288.0,2344.0,61826,14430103200.0,17712,DCE.J
2011-05-13,2360.0,2444.0,2353.0,2419.0,134808,32505755000.0,26414,DCE.J
2011-05-16,2415.0,2423.0,2396.0,2407.0,57056,13753587200.0,25800,DCE.J
2011-05-17,2414.0,2417.0,2371.0,2391.0,57660,13793401600.0,21764,DCE.J
2011-05-18,2400.0,2423.0,2370.0,2372.0,70386,16868029000.0,21830,DCE.J
2011-05-19,2394.0,2394.0,2363.0,2367.0,47602,11302192400.0,18316,DCE.J
2011-05-20,2364.0,2392.0,2362.0,2376.0,37048,8809309000.0,18196,DCE.J
2011-05-23,2388.0,2389.0,2350.0,2357.0,18982,4485878200.0,17736,DCE.J
2011-05-24,2356.0,2380.0,2345.0,2380.0,30504,7234447200.0,20964,DCE.J
2011-05-25,2382.0,2385.0,2366.0,2375.0,18206,4320948000.0,18796,DCE.J
2011-05-26,2385.0,2398.0,2377.0,2378.0,19554,4669179600.0,19388,DCE.J
2011-05-27,2379.0,2380.0,2351.0,2371.0,21708,5128421800.0,18558,DCE.J
