datetime,open,high,low,close,volume,amount,position,symbol
2013-03-25,1276.0,1286.0,1251.0,1258.0,722022,54874344500.0,139712,DCE.JM
2013-03-26,1255.0,1276.0,1249.0,1272.0,835326,63447634000.0,141544,DCE.JM
2013-03-27,1279.0,1279.0,1260.0,1261.0,499234,37939174600.0,126094,DCE.JM
2013-03-28,1264.0,1273.0,1248.0,1259.0,646266,48998378400.0,99004,DCE.JM
2013-03-29,1257.0,1268.0,1231.0,1240.0,734728,55198605600.0,96024,DCE.JM
2013-04-01,1235.0,1242.0,1202.0,1202.0,710132,51791801900.0,155262,DCE.JM
2013-04-02,1197.0,1231.0,1192.0,1228.0,1049448,76140051100.0,130106,DCE.JM
2013-04-03,1225.0,1233.0,1214.0,1216.0,606564,44471813900.0,103114,DCE.JM
2013-04-08,1199.0,1223.0,1197.0,1220.0,555970,40406335800.0,121180,DCE.JM
2013-04-09,1222.0,1232.0,1213.0,1223.0,551698,40512897200.0,143828,DCE.JM
2013-04-10,1225.0,1227.0,1211.0,1215.0,377802,27628031800.0,133686,DCE.JM
2013-04-11,1209.0,1225.0,1202.0,1206.0,403510,29397528400.0,137344,DCE.JM
2013-04-12,1206.0,1220.0,1203.0,1209.0,462186,33620987000.0,137526,DCE.JM
2013-04-15,1191.0,1195.0,1164.0,1174.0,442460,31359669400.0,128974,DCE.JM
2013-04-16,1160.0,1180.0,1151.0,1179.0,326226,22904003400.0,118742,DCE.JM
2013-04-17,1182.0,1189.0,1148.0,1165.0,702122,49036004200.0,121140,DCE.JM
2013-04-18,1149.0,1169.0,1127.0,1157.0,571028,39248124400.0,123652,DCE.JM
2013-04-19,1160.0,1167.0,1148.0,1163.0,428568,29790256800.0,123092,DCE.JM
2013-04-22,1161.0,1164.0,1146.0,1146.0,273978,18918689300.0,112424,DCE.JM
2013-04-23,1151.0,1153.0,1129.0,1134.0,239490,16378952800.0,104430,DCE.JM
2013-04-24,1134.0,1158.0,1129.0,1145.0,410522,28117974600.0,98632,DCE.JM
2013-04-25,1144.0,1148.0,1137.0,1142.0,158444,10865461800.0,87468,DCE.JM
2013-04-26,1147.0,1155.0,1136.0,1138.0,165514,11373640000.0,76072,DCE.JM
2013-05-02,1123.0,1123.0,1102.0,1119.0,111004,7448520100.0,82206,DCE.JM
2013-05-03,1128.0,1138.0,1124.0,1129.0,182180,12347654400.0,91990,DCE.JM
2013-05-06,1147.0,1149.0,1135.0,1140.0,119430,8176386700.0,86880,DCE.JM
2013-05-07,1135.0,1148.0,1131.0,1134.0,108358,7399214400.0,82130,DCE.JM
2013-05-08,1133.0,1149.0,1132.0,1148.0,89126,6101386900.0,85916,DCE.JM
2013-05-09,1146.0,1150.0,1138.0,1142.0,89712,6156320900.0,83144,DCE.JM
2013-05-10,1142.0,1153.0,1137.0,1150.0,87178,5986623400.0,81344,DCE.JM
