datetime,open,high,low,close,volume,amount,position,symbol
2025-11-19,6784.0,6826.0,6784.0,6814.0,938,31913790.0,2082,DCE.LF
2025-11-20,6777.0,6846.0,6774.0,6836.0,1560,53195010.0,2018,DCE.LF
2025-11-21,6840.0,6840.0,6773.0,6773.0,609,20716290.0,2124,DCE.LF
2025-11-24,6756.0,6817.0,6735.0,6793.0,862,29219385.0,2159,DCE.LF
2025-11-25,6782.0,6806.0,6755.0,6755.0,965,32750670.0,2126,DCE.LF
2025-11-26,6754.0,6767.0,6692.0,6699.0,2396,80624955.0,2246,DCE.LF
2025-11-27,6698.0,6732.0,6692.0,6692.0,1233,41377775.0,2247,DCE.LF
2025-11-28,6718.0,6791.0,6703.0,6790.0,1914,64633645.0,2264,DCE.LF
2025-12-01,6783.0,6822.0,6783.0,6810.0,2329,79239230.0,2322,DCE.LF
2025-12-02,6810.0,6837.0,6810.0,6836.0,1510,51533335.0,2441,DCE.LF
2025-12-03,6826.0,6839.0,6803.0,6812.0,1416,48298575.0,2340,DCE.LF
2025-12-04,6815.0,6820.0,6749.0,6771.0,1212,41069525.0,2418,DCE.LF
2025-12-05,6759.0,6759.0,6669.0,6675.0,1327,44527010.0,2515,DCE.LF
2025-12-08,6654.0,6661.0,6614.0,6631.0,2042,67773795.0,2589,DCE.LF
2025-12-09,6618.0,6624.0,6537.0,6543.0,1601,52631215.0,2629,DCE.LF
2025-12-10,6540.0,6567.0,6500.0,6542.0,3150,102831655.0,2724,DCE.LF
2025-12-11,6550.0,6592.0,6506.0,6507.0,1677,54959560.0,2669,DCE.LF
2025-12-12,6514.0,6516.0,6433.0,6444.0,2767,89634900.0,2682,DCE.LF
2025-12-15,6444.0,6564.0,6444.0,6501.0,2317,75566330.0,2716,DCE.LF
2025-12-16,6490.0,6500.0,6469.0,6479.0,2218,71921175.0,2822,DCE.LF
2025-12-17,6456.0,6482.0,6403.0,6412.0,1857,59853960.0,2872,DCE.LF
2025-12-18,6408.0,6470.0,6400.0,6401.0,1953,62827610.0,2927,DCE.LF
2025-12-19,6416.0,6416.0,6245.0,6248.0,4906,154939980.0,3012,DCE.LF
2025-12-22,6231.0,6273.0,6154.0,6154.0,4731,146900750.0,3066,DCE.LF
2025-12-23,6154.0,6259.0,6148.0,6218.0,4707,146058970.0,3112,DCE.LF
2025-12-24,6239.0,6331.0,6207.0,6323.0,2324,72830035.0,3094,DCE.LF
2025-12-25,6335.0,6360.0,6275.0,6300.0,1982,62566580.0,2813,DCE.LF
2025-12-26,6301.0,6362.0,6229.0,6346.0,1341,42271195.0,2941,DCE.LF
2025-12-29,6473.0,6500.0,6439.0,6452.0,1901,61501090.0,3168,DCE.LF
2025-12-30,6463.0,6484.0,6442.0,6461.0,1418,45783055.0,2926,DCE.LF
2025-12-31,6468.0,6497.0,6455.0,6473.0,798,25814565.0,2875,DCE.LF
2026-01-05,6516.0,6553.0,6436.0,6452.0,1427,46370695.0,2893,DCE.LF
2026-01-06,6487.0,6588.0,6485.0,6586.0,2330,75936630.0,3281,DCE.LF
2026-01-07,6586.0,6889.0,6586.0,6653.0,4012,133414135.0,4356,DCE.LF
2026-01-08,6659.0,6728.0,6609.0,6632.0,3948,131386510.0,3562,DCE.LF
2026-01-09,6646.0,6687.0,6606.0,6676.0,2497,83063950.0,2936,DCE.LF
2026-01-12,6639.0,6738.0,6627.0,6737.0,1145,38219705.0,2695,DCE.LF
2026-01-13,6715.0,6789.0,6682.0,6770.0,2096,70746830.0,2095,DCE.LF
2026-01-14,6801.0,6864.0,6791.0,6820.0,903,30793845.0,1739,DCE.LF
2026-01-15,6854.0,6886.0,6754.0,6787.0,2256,77126010.0,1244,DCE.LF
2026-01-16,6711.0,6774.0,6688.0,6696.0,785,26351615.0,1265,DCE.LF
2026-01-19,6696.0,6728.0,6659.0,6666.0,894,29963265.0,1268,DCE.LF
2026-01-20,6642.0,6661.0,6613.0,6641.0,875,29047865.0,1303,DCE.LF
2026-01-21,6639.0,6671.0,6619.0,6666.0,1020,33869485.0,1297,DCE.LF
2026-01-22,6685.0,6815.0,6685.0,6812.0,2789,94219805.0,618,DCE.LF
2026-01-23,6808.0,6903.0,6808.0,6863.0,1927,66036415.0,732,DCE.LF
2026-01-26,6913.0,6944.0,6878.0,6935.0,1246,43069900.0,738,DCE.LF
2026-01-27,6876.0,6884.0,6807.0,6869.0,761,26040025.0,1109,DCE.LF
2026-01-28,6865.0,6959.0,6865.0,6938.0,1044,36135920.0,1156,DCE.LF
2026-01-29,6965.0,7054.0,6931.0,7020.0,1701,59301765.0,1060,DCE.LF
2026-01-30,7030.0,7106.0,6918.0,6982.0,2253,79016875.0,1138,DCE.LF
2026-02-02,6998.0,7053.0,6810.0,6835.0,3570,123186930.0,1072,DCE.LF
2026-02-03,6835.0,6904.0,6783.0,6828.0,4597,157415800.0,1626,DCE.LF
2026-02-04,6849.0,6900.0,6833.0,6885.0,822,28200065.0,1595,DCE.LF
2026-02-05,6876.0,6907.0,6783.0,6808.0,851,29164905.0,3129,DCE.LF
2026-02-06,6747.0,6851.0,6746.0,6834.0,528,17994670.0,3128,DCE.LF
2026-02-09,6806.0,6818.0,6748.0,6748.0,1227,41590035.0,2822,DCE.LF
2026-02-10,6791.0,6804.0,6761.0,6803.0,2389,81110345.0,599,DCE.LF
2026-02-11,6795.0,6832.0,6795.0,6812.0,167,5686550.0,624,DCE.LF
2026-02-12,6780.0,6792.0,6697.0,6697.0,190,6404140.0,1291,DCE.LF
2026-02-13,6693.0,6710.0,6592.0,6605.0,610,20295730.0,1057,DCE.LF
2026-02-24,6725.0,6811.0,6683.0,6783.0,1201,40314515.0,1071,DCE.LF
2026-02-25,6795.0,6795.0,6740.0,6740.0,44,1488280.0,1060,DCE.LF
2026-02-26,6724.0,6724.0,6624.0,6630.0,104,3460760.0,1083,DCE.LF
2026-02-27,6632.0,6632.0,6555.0,6594.0,1938,63881660.0,1520,DCE.LF
2026-03-02,6662.0,6991.0,6627.0,6990.0,8457,288317260.0,1461,DCE.LF
2026-03-03,7033.0,7200.0,6978.0,7197.0,6081,215312865.0,1697,DCE.LF
2026-03-04,7318.0,7525.0,7149.0,7357.0,14489,531906550.0,2449,DCE.LF
2026-03-05,7230.0,7622.0,7209.0,7401.0,12262,454984480.0,1778,DCE.LF
2026-03-06,7477.0,7694.0,7378.0,7684.0,10163,383011645.0,1076,DCE.LF
2026-03-09,7892.0,7944.0,7852.0,7944.0,573,22697775.0,1189,DCE.LF
2026-03-10,8500.0,8613.0,7400.0,7723.0,2209,89515955.0,1157,DCE.LF
2026-03-11,7853.0,8238.0,7582.0,8159.0,4370,176173075.0,1286,DCE.LF
2026-03-12,8273.0,8617.0,8196.0,8245.0,5750,241490465.0,1282,DCE.LF
2026-03-13,8334.0,8584.0,8227.0,8396.0,1382,58280805.0,1269,DCE.LF
2026-03-16,8303.0,8887.0,8294.0,8675.0,3605,156248325.0,1335,DCE.LF
2026-03-17,8300.0,8608.0,8300.0,8502.0,1922,81635855.0,1364,DCE.LF
2026-03-18,8433.0,8682.0,8364.0,8433.0,3060,130402625.0,1309,DCE.LF
2026-03-19,8659.0,9300.0,8659.0,8921.0,5895,263185910.0,1437,DCE.LF
2026-03-20,8833.0,8949.0,8543.0,8807.0,4082,178587195.0,1789,DCE.LF
2026-03-23,8866.0,9523.0,8849.0,9523.0,8041,371368305.0,3182,DCE.LF
2026-03-24,9077.0,9311.0,8852.0,8920.0,9071,411927540.0,2435,DCE.LF
2026-03-25,9046.0,9088.0,8349.0,8707.0,10084,438780600.0,2319,DCE.LF
2026-03-26,8642.0,8863.0,8620.0,8767.0,5359,233484245.0,2525,DCE.LF
2026-03-27,8849.0,8950.0,8717.0,8869.0,4859,213734845.0,2475,DCE.LF
2026-03-30,8972.0,9200.0,8766.0,8797.0,6650,299549275.0,2318,DCE.LF
2026-03-31,8701.0,8914.0,8512.0,8603.0,5818,253110035.0,2264,DCE.LF
2026-04-01,8608.0,8690.0,8372.0,8377.0,5511,235593505.0,2104,DCE.LF
