datetime,open,high,low,close,volume,amount,position,symbol
2024-11-19,765.0,778.0,761.5,772.0,66189,4591062180.0,11420,DCE.LG
2024-11-20,770.0,775.0,764.5,770.0,25015,1731064320.0,10048,DCE.LG
2024-11-21,771.5,814.5,768.0,814.5,201745,14598072495.0,34955,DCE.LG
2024-11-22,815.5,827.0,802.0,809.5,282985,20804419575.0,27376,DCE.LG
2024-11-25,809.5,815.5,790.5,797.5,192107,13828144320.0,26222,DCE.LG
2024-11-26,794.0,806.0,793.0,797.0,91770,6604253415.0,27029,DCE.LG
2024-11-27,798.0,801.0,792.0,796.5,58989,4230452115.0,24904,DCE.LG
2024-11-28,795.0,815.0,794.0,797.5,124809,9044793360.0,23903,DCE.LG
2024-11-29,797.0,805.0,796.0,801.5,38599,2785745250.0,20915,DCE.LG
2024-12-02,802.0,806.5,797.0,801.0,23717,1711517220.0,20372,DCE.LG
2024-12-03,800.5,802.0,796.0,800.5,19275,1387622610.0,17436,DCE.LG
2024-12-04,800.0,810.0,798.5,800.0,29412,2128241430.0,17101,DCE.LG
2024-12-05,800.0,803.0,783.5,795.0,18780,1347919695.0,15065,DCE.LG
2024-12-06,795.0,796.0,789.0,793.0,13243,944972685.0,13715,DCE.LG
2024-12-09,795.0,800.0,794.0,795.5,10050,720434385.0,13541,DCE.LG
2024-12-10,808.0,812.0,799.0,804.0,19829,1435666905.0,13150,DCE.LG
2024-12-11,806.0,806.0,801.0,803.5,7793,563336775.0,11193,DCE.LG
2024-12-12,803.5,807.0,802.0,804.5,6282,454886145.0,11209,DCE.LG
2024-12-13,800.0,802.5,798.0,801.0,7307,526393305.0,10903,DCE.LG
2024-12-16,802.0,806.0,801.0,803.0,6200,448501770.0,10705,DCE.LG
2024-12-17,803.0,819.5,802.0,807.5,20534,1497283200.0,12745,DCE.LG
2024-12-18,808.0,814.0,806.5,808.5,12072,879933330.0,12298,DCE.LG
2024-12-19,809.0,813.0,808.0,810.5,9166,668683395.0,13191,DCE.LG
2024-12-20,812.0,829.5,810.5,829.0,23325,1717300665.0,18469,DCE.LG
2024-12-23,826.5,839.0,819.0,823.0,68630,5117593455.0,20154,DCE.LG
2024-12-24,822.0,831.0,822.0,829.0,18255,1359688545.0,21716,DCE.LG
2024-12-25,830.0,834.5,822.0,823.5,18936,1408418145.0,19732,DCE.LG
2024-12-26,822.0,826.5,814.0,816.0,22407,1652334705.0,18291,DCE.LG
2024-12-27,816.0,828.0,815.5,824.5,17417,1290905820.0,16613,DCE.LG
2024-12-30,822.0,827.5,819.0,823.5,8709,644600340.0,15869,DCE.LG
2024-12-31,821.0,831.5,820.0,827.5,15589,1160718210.0,16802,DCE.LG
2025-01-02,829.0,837.5,825.0,829.0,25704,1922703390.0,18483,DCE.LG
2025-01-03,829.0,832.0,823.0,829.0,14157,1053916470.0,17173,DCE.LG
2025-01-06,831.5,846.0,828.0,840.5,42290,3187990035.0,24438,DCE.LG
2025-01-07,839.5,849.0,836.0,848.0,35604,2704054860.0,27689,DCE.LG
2025-01-08,849.0,858.5,844.0,849.5,42102,3225143295.0,28772,DCE.LG
2025-01-09,848.5,852.5,843.0,847.0,23967,1828243890.0,27475,DCE.LG
2025-01-10,847.0,863.5,845.5,862.0,35287,2719228680.0,31970,DCE.LG
2025-01-13,862.5,881.5,862.0,869.5,57371,4506034050.0,33470,DCE.LG
2025-01-14,868.0,873.0,855.0,861.5,34862,2706472170.0,31037,DCE.LG
2025-01-15,860.0,871.5,844.0,855.0,59704,4599205560.0,28716,DCE.LG
2025-01-16,860.0,868.5,857.0,864.5,26469,2055915450.0,28763,DCE.LG
2025-01-17,865.5,869.5,857.5,864.5,22919,1781418510.0,28669,DCE.LG
2025-01-20,865.5,874.0,860.0,864.0,32289,2518362360.0,28688,DCE.LG
2025-01-21,865.0,865.5,854.5,856.5,18361,1420950060.0,27748,DCE.LG
2025-01-22,855.0,862.0,848.0,857.0,20405,1569612150.0,25293,DCE.LG
2025-01-23,857.0,861.5,856.0,861.0,10121,782295975.0,24832,DCE.LG
2025-01-24,861.5,873.5,859.0,870.5,15502,1208543850.0,25549,DCE.LG
2025-01-27,870.0,876.5,869.0,875.0,11114,873592695.0,25264,DCE.LG
2025-02-05,882.0,882.0,863.0,867.5,17762,1390427640.0,25210,DCE.LG
2025-02-06,870.0,890.0,863.0,890.0,33683,2661974010.0,33553,DCE.LG
2025-02-07,890.0,892.5,883.0,890.0,21534,1721156670.0,35505,DCE.LG
2025-02-10,890.0,898.0,886.5,898.0,26734,2149643925.0,40707,DCE.LG
2025-02-11,897.0,899.0,884.0,892.5,29537,2368202490.0,40024,DCE.LG
2025-02-12,893.0,901.0,890.5,892.0,34045,2744198010.0,42774,DCE.LG
2025-02-13,891.0,891.5,871.0,875.0,48911,3884534730.0,42727,DCE.LG
2025-02-14,874.5,890.0,874.0,876.0,40513,3213924930.0,41295,DCE.LG
2025-02-17,879.0,888.5,875.0,886.5,34973,2777454090.0,43175,DCE.LG
2025-02-18,886.0,889.0,879.0,885.0,23136,1841281155.0,42363,DCE.LG
2025-02-19,885.0,892.0,880.5,889.0,26141,2086948755.0,42630,DCE.LG
2025-02-20,888.0,902.0,885.0,897.0,34211,2749439250.0,43782,DCE.LG
2025-02-21,896.5,900.5,890.0,895.0,29653,2387289510.0,44000,DCE.LG
2025-02-24,890.0,890.5,873.5,874.5,43785,3472248060.0,42971,DCE.LG
2025-02-25,872.0,873.5,857.0,867.0,56101,4367361915.0,41771,DCE.LG
2025-02-26,866.0,875.0,860.0,862.5,28518,2224317330.0,40893,DCE.LG
2025-02-27,861.5,867.0,854.0,864.5,34638,2680575075.0,39687,DCE.LG
2025-02-28,863.0,868.0,858.5,865.0,16710,1298901285.0,38232,DCE.LG
2025-03-03,862.0,864.5,848.0,853.0,42299,3250395270.0,38817,DCE.LG
2025-03-04,854.0,857.0,849.5,853.5,20547,1578460635.0,37196,DCE.LG
2025-03-05,866.5,874.0,845.0,856.5,80405,6217813440.0,34965,DCE.LG
2025-03-06,856.5,862.5,852.0,860.5,25376,1961798400.0,33941,DCE.LG
2025-03-07,860.0,866.5,856.0,860.0,14823,1146041595.0,32673,DCE.LG
2025-03-10,859.0,864.0,855.0,862.0,15510,1201531545.0,31942,DCE.LG
2025-03-11,860.5,862.0,854.0,856.5,14372,1109046060.0,32127,DCE.LG
2025-03-12,857.0,857.0,832.0,834.0,50503,3828769245.0,39208,DCE.LG
2025-03-13,834.0,843.0,828.5,839.0,30443,2287762515.0,36109,DCE.LG
2025-03-14,838.0,844.5,835.5,843.5,15558,1176859080.0,34005,DCE.LG
2025-03-17,840.0,842.0,829.0,832.5,20780,1560102075.0,34919,DCE.LG
2025-03-18,832.5,839.0,831.5,834.0,13437,1009389195.0,34165,DCE.LG
2025-03-19,832.0,836.5,826.0,835.0,17488,1308385620.0,34431,DCE.LG
