datetime,open,high,low,close,volume,amount,position,symbol
2005-01-05,2131.0,2154.0,2127.0,2154.0,71172,1524487100.0,62704,DCE.M
2005-01-06,2152.0,2168.0,2146.0,2167.0,66174,1428185000.0,63948,DCE.M
2005-01-07,2174.0,2193.0,2162.0,2182.0,125558,2737007300.0,61888,DCE.M
2005-01-10,2193.0,2200.0,2170.0,2177.0,87462,1907620600.0,61274,DCE.M
2005-01-11,2196.0,2200.0,2182.0,2185.0,89982,1970553700.0,68346,DCE.M
2005-01-12,2175.0,2185.0,2171.0,2173.0,59888,1303544400.0,67496,DCE.M
2005-01-13,2158.0,2176.0,2158.0,2166.0,56822,1231672300.0,62516,DCE.M
2005-01-14,2173.0,2179.0,2149.0,2152.0,101698,2199147000.0,64886,DCE.M
2005-01-17,2130.0,2147.0,2128.0,2144.0,70536,1508776400.0,69090,DCE.M
2005-01-18,2145.0,2150.0,2133.0,2148.0,97068,2079356200.0,68762,DCE.M
2005-01-19,2141.0,2149.0,2138.0,2148.0,48676,1044026300.0,68706,DCE.M
2005-01-20,2151.0,2155.0,2134.0,2138.0,50328,1077632900.0,69594,DCE.M
2005-01-21,2146.0,2146.0,2132.0,2136.0,42586,910422900.0,69034,DCE.M
2005-01-24,2130.0,2156.0,2127.0,2155.0,79694,1708971900.0,71630,DCE.M
2005-01-25,2148.0,2151.0,2137.0,2138.0,43222,926682500.0,71148,DCE.M
2005-01-26,2149.0,2152.0,2140.0,2146.0,44316,950971100.0,66562,DCE.M
2005-01-27,2143.0,2145.0,2135.0,2140.0,27990,598631000.0,64782,DCE.M
2005-01-28,2131.0,2133.0,2108.0,2117.0,84258,1785963900.0,67622,DCE.M
2005-01-31,2118.0,2119.0,2086.0,2090.0,95226,1997273300.0,70350,DCE.M
2005-02-01,2098.0,2102.0,2092.0,2098.0,42160,884349900.0,66892,DCE.M
2005-02-02,2080.0,2087.0,2073.0,2087.0,51436,1070344900.0,64112,DCE.M
2005-02-03,2084.0,2097.0,2082.0,2096.0,26450,552171300.0,60480,DCE.M
2005-02-04,2088.0,2100.0,2086.0,2093.0,29572,619235200.0,55110,DCE.M
2005-02-16,2168.0,2168.0,2138.0,2141.0,53384,1146001000.0,53412,DCE.M
2005-02-17,2144.0,2157.0,2134.0,2156.0,55822,1198250900.0,58636,DCE.M
2005-02-18,2180.0,2198.0,2180.0,2187.0,90224,1976264800.0,58992,DCE.M
2005-02-21,2191.0,2223.0,2187.0,2223.0,95812,2112776300.0,74918,DCE.M
2005-02-22,2225.0,2293.0,2223.0,2293.0,245800,5575736000.0,84064,DCE.M
2005-02-23,2327.0,2350.0,2298.0,2308.0,273168,6340966000.0,89764,DCE.M
2005-02-24,2323.0,2361.0,2311.0,2359.0,345048,8063398900.0,98676,DCE.M
2005-02-25,2331.0,2344.0,2313.0,2326.0,302260,7039965600.0,93028,DCE.M
2005-02-28,2410.0,2422.0,2410.0,2422.0,50928,1232513100.0,87024,DCE.M
2005-03-01,2460.0,2488.0,2443.0,2468.0,380232,9363189800.0,93950,DCE.M
2005-03-02,2444.0,2560.0,2442.0,2560.0,540454,13614936700.0,113592,DCE.M
2005-03-03,2580.0,2600.0,2545.0,2567.0,512330,13166944100.0,111636,DCE.M
2005-03-04,2581.0,2612.0,2511.0,2556.0,734712,18854655500.0,115546,DCE.M
2005-03-07,2580.0,2602.0,2566.0,2584.0,523262,13511141300.0,127314,DCE.M
2005-03-08,2525.0,2536.0,2498.0,2523.0,429588,10835343800.0,107596,DCE.M
2005-03-09,2560.0,2568.0,2533.0,2534.0,244772,6243031400.0,115438,DCE.M
2005-03-10,2534.0,2562.0,2527.0,2558.0,323494,8243487900.0,107418,DCE.M
2005-03-11,2585.0,2623.0,2585.0,2612.0,334558,8718475500.0,106780,DCE.M
2005-03-14,2700.0,2709.0,2660.0,2709.0,203540,5485144500.0,113688,DCE.M
2005-03-15,2730.0,2801.0,2711.0,2801.0,241514,6668285000.0,111762,DCE.M
2005-03-16,2862.0,2871.0,2854.0,2871.0,88722,2546457200.0,70840,DCE.M
2005-03-17,2848.0,2903.0,2835.0,2856.0,569244,16323875900.0,113768,DCE.M
2005-03-18,2869.0,2883.0,2753.0,2753.0,482900,13637390200.0,100204,DCE.M
2005-03-21,2712.0,2735.0,2712.0,2713.0,99784,2709738200.0,93204,DCE.M
2005-03-22,2621.0,2699.0,2609.0,2666.0,491190,13126748200.0,95210,DCE.M
2005-03-23,2651.0,2690.0,2607.0,2610.0,531474,14040620600.0,111588,DCE.M
2005-03-24,2638.0,2657.0,2620.0,2653.0,466542,12319874400.0,111002,DCE.M
2005-03-25,2676.0,2712.0,2672.0,2711.0,325544,8758239900.0,116894,DCE.M
2005-03-28,2715.0,2719.0,2655.0,2682.0,441838,11880069600.0,119824,DCE.M
2005-03-29,2674.0,2692.0,2668.0,2669.0,240270,6437633500.0,117356,DCE.M
2005-03-30,2675.0,2678.0,2613.0,2617.0,446260,11779673300.0,127870,DCE.M
2005-03-31,2691.0,2744.0,2685.0,2742.0,457188,12418368400.0,135050,DCE.M
2005-04-01,2617.0,2651.0,2608.0,2636.0,342748,9005543000.0,115572,DCE.M
2005-04-04,2580.0,2626.0,2571.0,2608.0,345314,9011716200.0,129908,DCE.M
