datetime,open,high,low,close,volume,amount,position,symbol
2007-10-30,8700.0,8700.0,8550.0,8572.0,18646,1605368600.0,4286,DCE.P
2007-10-31,8502.0,8554.0,8500.0,8516.0,5142,438664600.0,3774,DCE.P
2007-11-01,8700.0,8700.0,8550.0,8598.0,3222,277293100.0,3526,DCE.P
2007-11-02,8550.0,8564.0,8520.0,8540.0,3304,282227600.0,3362,DCE.P
2007-11-05,8550.0,8628.0,8550.0,8600.0,4428,380725400.0,3640,DCE.P
2007-11-06,8596.0,8670.0,8596.0,8666.0,3726,321513000.0,3388,DCE.P
2007-11-07,8730.0,8878.0,8730.0,8816.0,4184,368862600.0,2866,DCE.P
2007-11-08,8760.0,8898.0,8760.0,8860.0,4490,397250200.0,2754,DCE.P
2007-11-09,8860.0,8948.0,8860.0,8910.0,4764,424167600.0,2498,DCE.P
2007-11-12,8910.0,8930.0,8820.0,8836.0,2406,213025100.0,2174,DCE.P
2007-11-13,8780.0,8970.0,8762.0,8948.0,2842,251508600.0,2144,DCE.P
2007-11-14,8950.0,8960.0,8872.0,8900.0,3498,311493700.0,2736,DCE.P
2007-11-15,8944.0,8970.0,8882.0,8900.0,3364,300277600.0,2696,DCE.P
2007-11-16,8900.0,8900.0,8702.0,8724.0,3674,324094700.0,2396,DCE.P
2007-11-19,8748.0,8798.0,8658.0,8722.0,8460,736174700.0,2264,DCE.P
2007-11-20,8688.0,8688.0,8360.0,8420.0,7378,630394700.0,2054,DCE.P
2007-11-21,8500.0,8692.0,8490.0,8690.0,7118,612386300.0,1904,DCE.P
2007-11-22,8620.0,8776.0,8620.0,8736.0,5548,485405300.0,1982,DCE.P
2007-11-23,8760.0,8776.0,8648.0,8710.0,11516,1002711200.0,2026,DCE.P
2007-11-26,8770.0,8866.0,8764.0,8804.0,11676,1028531600.0,2220,DCE.P
2007-11-27,8760.0,8760.0,8670.0,8700.0,9636,840379000.0,2124,DCE.P
2007-11-28,8632.0,8656.0,8550.0,8550.0,14248,1223626600.0,2616,DCE.P
2007-11-29,8576.0,8600.0,8400.0,8522.0,14088,1201002200.0,2746,DCE.P
2007-11-30,8500.0,8546.0,8460.0,8500.0,6076,517246500.0,2598,DCE.P
2007-12-03,8500.0,8600.0,8498.0,8510.0,4508,384998000.0,2550,DCE.P
2007-12-04,8510.0,8600.0,8510.0,8570.0,7216,618346000.0,2628,DCE.P
2007-12-05,8586.0,8636.0,8530.0,8576.0,12412,1062566800.0,2720,DCE.P
2007-12-06,8552.0,8552.0,8472.0,8480.0,13278,1129715000.0,2646,DCE.P
2007-12-07,8520.0,8560.0,8428.0,8558.0,13962,1189636800.0,3156,DCE.P
2007-12-10,8532.0,8566.0,8492.0,8522.0,14402,1226980600.0,3176,DCE.P
2007-12-11,8502.0,8608.0,8502.0,8576.0,18592,1588256100.0,3410,DCE.P
2007-12-12,8588.0,8588.0,8500.0,8518.0,15662,1336794800.0,3478,DCE.P
2007-12-13,8592.0,8874.0,8560.0,8710.0,15740,1368641000.0,3196,DCE.P
2007-12-14,8650.0,8728.0,8650.0,8712.0,14406,1253750300.0,3228,DCE.P
2007-12-17,8748.0,8798.0,8722.0,8786.0,7196,631562800.0,3380,DCE.P
2007-12-18,8786.0,8786.0,8680.0,8680.0,17510,1528669800.0,3294,DCE.P
2007-12-19,8650.0,8816.0,8650.0,8786.0,15608,1362076800.0,3430,DCE.P
2007-12-20,8808.0,8808.0,8742.0,8750.0,17482,1530195200.0,4086,DCE.P
2007-12-21,8752.0,8840.0,8710.0,8818.0,15848,1389516600.0,4060,DCE.P
2007-12-24,8798.0,9034.0,8770.0,8996.0,18810,1682048600.0,6008,DCE.P
2007-12-25,9044.0,9044.0,8956.0,9016.0,17068,1535311800.0,6036,DCE.P
2007-12-26,9040.0,9248.0,9020.0,9246.0,22664,2080111800.0,7570,DCE.P
2007-12-27,9258.0,9486.0,9258.0,9300.0,18712,1754442600.0,8474,DCE.P
2007-12-28,9300.0,9410.0,9208.0,9298.0,18694,1748789200.0,10338,DCE.P
2008-01-02,9300.0,9360.0,9244.0,9296.0,25098,2331401900.0,12690,DCE.P
2008-01-03,9380.0,9536.0,9380.0,9424.0,27024,2562624200.0,14354,DCE.P
2008-01-04,9450.0,9496.0,9410.0,9434.0,26854,2538825200.0,15132,DCE.P
2008-01-07,9420.0,9514.0,9404.0,9448.0,27720,2626247600.0,15470,DCE.P
