datetime,open,high,low,close,volume,amount,position,symbol
2014-03-03,10696.0,10790.0,10602.0,10632.0,44726,2382163200.0,18328,DCE.PP
2014-03-04,10632.0,10717.0,10602.0,10706.0,23872,1272393300.0,21784,DCE.PP
2014-03-05,10359.0,10360.0,10262.0,10299.0,17656,909551300.0,23234,DCE.PP
2014-03-06,10700.0,10700.0,10560.0,10640.0,37168,1975550500.0,28898,DCE.PP
2014-03-07,10200.0,10200.0,10129.0,10175.0,45330,2303681400.0,37846,DCE.PP
2014-03-10,10025.0,10150.0,10000.0,10077.0,79360,3994725400.0,46536,DCE.PP
2014-03-11,10096.0,10350.0,10050.0,10180.0,69412,3528732700.0,39284,DCE.PP
2014-03-12,10090.0,10193.0,10061.0,10191.0,46214,2342736900.0,49316,DCE.PP
2014-03-13,10200.0,10236.0,10165.0,10209.0,25802,1315661500.0,49944,DCE.PP
2014-03-14,10200.0,10210.0,10120.0,10171.0,45528,2313512600.0,52024,DCE.PP
2014-03-17,10165.0,10290.0,10140.0,10171.0,26120,1329822900.0,52644,DCE.PP
2014-03-18,10125.0,10290.0,10125.0,10284.0,56886,2911803900.0,51812,DCE.PP
2014-03-19,10300.0,10348.0,10214.0,10214.0,36210,1860987200.0,48670,DCE.PP
2014-03-20,10220.0,10260.0,10195.0,10240.0,25118,1284795300.0,43802,DCE.PP
2014-03-21,10206.0,10295.0,10202.0,10285.0,23768,1217851500.0,44088,DCE.PP
2014-03-24,10280.0,10324.0,10241.0,10310.0,24834,1277774000.0,47484,DCE.PP
2014-03-25,10315.0,10436.0,10290.0,10406.0,52928,2744645100.0,45170,DCE.PP
2014-03-26,10389.0,10560.0,10385.0,10527.0,118820,6237704800.0,52690,DCE.PP
2014-03-27,10530.0,10530.0,10474.0,10492.0,46228,2427101800.0,51682,DCE.PP
2014-03-28,10500.0,10625.0,10492.0,10620.0,75226,3970551200.0,58422,DCE.PP
2014-03-31,10618.0,10650.0,10563.0,10582.0,41398,2194517800.0,58034,DCE.PP
2014-04-01,10590.0,10724.0,10555.0,10705.0,100028,5335286600.0,71734,DCE.PP
2014-04-02,10681.0,10707.0,10650.0,10672.0,48420,2585083200.0,76276,DCE.PP
2014-04-03,10680.0,10705.0,10606.0,10685.0,70136,3739964900.0,80506,DCE.PP
2014-04-04,10685.0,10832.0,10685.0,10818.0,94598,5104141000.0,87828,DCE.PP
2014-04-08,10810.0,10838.0,10725.0,10756.0,71994,3873772500.0,90666,DCE.PP
2014-04-09,10790.0,10790.0,10660.0,10733.0,86312,4619130900.0,92590,DCE.PP
2014-04-10,10750.0,10805.0,10682.0,10682.0,75362,4050355300.0,94496,DCE.PP
2014-04-11,10670.0,10720.0,10619.0,10701.0,62548,3343356900.0,95732,DCE.PP
2014-04-14,10750.0,10774.0,10680.0,10758.0,73712,3958143300.0,102244,DCE.PP
2014-04-15,10766.0,10826.0,10728.0,10793.0,89442,4822244600.0,108252,DCE.PP
2014-04-16,10783.0,10806.0,10746.0,10772.0,54288,2924433100.0,108992,DCE.PP
2014-04-17,10770.0,10900.0,10760.0,10875.0,114016,6187804900.0,113784,DCE.PP
2014-04-18,10886.0,10887.0,10792.0,10874.0,80578,4369983300.0,108110,DCE.PP
2014-04-21,10875.0,10938.0,10834.0,10887.0,54852,2985792800.0,109696,DCE.PP
2014-04-22,10890.0,11040.0,10861.0,10975.0,145848,7999511700.0,123188,DCE.PP
2014-04-23,10985.0,10986.0,10867.0,10925.0,90662,4949057600.0,123264,DCE.PP
2014-04-24,10924.0,10949.0,10815.0,10893.0,125438,6823559500.0,121124,DCE.PP
2014-04-25,10900.0,10919.0,10685.0,10703.0,126660,6828446700.0,122218,DCE.PP
2014-04-28,10710.0,10728.0,10660.0,10706.0,67444,3606983600.0,117050,DCE.PP
2014-04-29,10700.0,10770.0,10656.0,10758.0,90210,4837855300.0,118032,DCE.PP
2014-04-30,10762.0,10775.0,10713.0,10747.0,79484,4269760700.0,125832,DCE.PP
2014-05-05,10750.0,10848.0,10675.0,10847.0,125622,6750867300.0,125364,DCE.PP
2014-05-06,10832.0,10890.0,10808.0,10850.0,133100,7218372400.0,124310,DCE.PP
2014-05-07,10850.0,10965.0,10823.0,10932.0,171048,9339906100.0,112828,DCE.PP
2014-05-08,10955.0,10955.0,10843.0,10872.0,91622,4987537300.0,106412,DCE.PP
2014-05-09,10884.0,10884.0,10750.0,10771.0,102862,5552882900.0,108646,DCE.PP
2014-05-12,10790.0,10830.0,10714.0,10751.0,125740,6770242900.0,104282,DCE.PP
2014-05-13,10773.0,10786.0,10725.0,10780.0,82388,4429722000.0,100942,DCE.PP
2014-05-14,10810.0,10815.0,10718.0,10752.0,91380,4917117600.0,103418,DCE.PP
2014-05-15,10740.0,10740.0,10667.0,10676.0,111384,5956239000.0,109596,DCE.PP
2014-05-16,10665.0,10692.0,10600.0,10691.0,113124,6018538300.0,119902,DCE.PP
2014-05-19,10688.0,10750.0,10640.0,10697.0,115126,6155475400.0,127830,DCE.PP
2014-05-20,10680.0,10705.0,10623.0,10695.0,95388,5084690800.0,133746,DCE.PP
2014-05-21,10681.0,10790.0,10655.0,10765.0,155160,8334392300.0,136476,DCE.PP
2014-05-22,10765.0,10926.0,10755.0,10922.0,161550,8750130700.0,145146,DCE.PP
2014-05-23,10914.0,11050.0,10883.0,11039.0,222240,12188965900.0,136714,DCE.PP
2014-05-26,11038.0,11081.0,10967.0,11056.0,163006,8986034500.0,140360,DCE.PP
2014-05-27,11041.0,11049.0,10825.0,10830.0,173612,9481504400.0,119182,DCE.PP
2014-05-28,10827.0,10874.0,10765.0,10872.0,92028,4984729700.0,111856,DCE.PP
2014-05-29,10840.0,10978.0,10840.0,10934.0,133552,7292486600.0,111856,DCE.PP
2014-05-30,10933.0,10994.0,10871.0,10985.0,124940,6836629400.0,112712,DCE.PP
2014-06-03,11000.0,11078.0,10970.0,11073.0,132976,7333820400.0,120034,DCE.PP
2014-06-04,11070.0,11146.0,11045.0,11065.0,174432,9684241400.0,120866,DCE.PP
2014-06-05,11060.0,11162.0,11034.0,11132.0,182358,10121272500.0,126122,DCE.PP
2014-06-06,11130.0,11168.0,11084.0,11119.0,145488,8089670900.0,122604,DCE.PP
2014-06-09,11095.0,11146.0,11038.0,11089.0,129654,7179797800.0,125608,DCE.PP
2014-06-10,11110.0,11372.0,11110.0,11364.0,323710,18169688300.0,151180,DCE.PP
2014-06-11,11350.0,11435.0,11291.0,11329.0,498442,28296081500.0,149308,DCE.PP
2014-06-12,11310.0,11387.0,11255.0,11351.0,259018,14684868600.0,146478,DCE.PP
2014-06-13,11400.0,11532.0,11367.0,11392.0,347034,19881152000.0,141054,DCE.PP
2014-06-16,11404.0,11449.0,11311.0,11422.0,250654,14278319600.0,137594,DCE.PP
