datetime,open,high,low,close,volume,amount,position,symbol
2025-11-19,6418.0,6454.0,6409.0,6438.0,756,24296600.0,2564,DCE.PPF
2025-11-20,6415.0,6457.0,6398.0,6432.0,1910,61426385.0,2820,DCE.PPF
2025-11-21,6432.0,6448.0,6393.0,6395.0,963,30889030.0,2872,DCE.PPF
2025-11-24,6393.0,6421.0,6355.0,6399.0,2137,68318220.0,2470,DCE.PPF
2025-11-25,6391.0,6404.0,6343.0,6343.0,1394,44463870.0,2352,DCE.PPF
2025-11-26,6343.0,6356.0,6298.0,6301.0,3931,124408990.0,1973,DCE.PPF
2025-11-27,6313.0,6353.0,6308.0,6331.0,2156,68250765.0,1844,DCE.PPF
2025-11-28,6353.0,6440.0,6344.0,6434.0,3393,108399060.0,1609,DCE.PPF
2025-12-01,6438.0,6457.0,6422.0,6434.0,1341,43189605.0,1557,DCE.PPF
2025-12-02,6469.0,6495.0,6467.0,6483.0,589,19079255.0,3414,DCE.PPF
2025-12-03,6480.0,6480.0,6443.0,6457.0,960,31010485.0,3338,DCE.PPF
2025-12-04,6457.0,6457.0,6407.0,6434.0,716,23016460.0,3216,DCE.PPF
2025-12-05,6425.0,6431.0,6361.0,6363.0,673,21506260.0,3225,DCE.PPF
2025-12-08,6343.0,6366.0,6317.0,6351.0,1515,48063725.0,3073,DCE.PPF
2025-12-09,6335.0,6346.0,6272.0,6273.0,556,17572555.0,2938,DCE.PPF
2025-12-10,6281.0,6282.0,6238.0,6240.0,702,21979585.0,2825,DCE.PPF
2025-12-11,6257.0,6287.0,6231.0,6241.0,344,10768340.0,2754,DCE.PPF
2025-12-12,6233.0,6251.0,6139.0,6161.0,2231,68960490.0,2752,DCE.PPF
2025-12-15,6180.0,6287.0,6179.0,6227.0,404,12623635.0,2759,DCE.PPF
2025-12-16,6253.0,6253.0,6215.0,6232.0,382,11899235.0,2787,DCE.PPF
2025-12-17,6223.0,6254.0,6213.0,6232.0,173,5393575.0,2774,DCE.PPF
2025-12-18,6260.0,6283.0,6254.0,6264.0,205,6427345.0,2755,DCE.PPF
2025-12-19,6230.0,6243.0,6186.0,6197.0,415,12876005.0,2707,DCE.PPF
2025-12-22,6179.0,6204.0,6105.0,6108.0,421,12919710.0,2668,DCE.PPF
2025-12-23,6108.0,6193.0,6088.0,6141.0,369,11318830.0,2626,DCE.PPF
2025-12-24,6158.0,6256.0,6140.0,6256.0,152,4700135.0,2620,DCE.PPF
2025-12-25,6263.0,6281.0,6228.0,6242.0,312,9762975.0,2591,DCE.PPF
2025-12-26,6242.0,6276.0,6183.0,6269.0,463,14405820.0,2558,DCE.PPF
2025-12-29,6278.0,6293.0,6229.0,6250.0,342,10724755.0,2515,DCE.PPF
2025-12-30,6255.0,6319.0,6246.0,6295.0,312,9828390.0,2684,DCE.PPF
2025-12-31,6313.0,6349.0,6302.0,6322.0,938,29679200.0,2585,DCE.PPF
2026-01-05,6349.0,6370.0,6287.0,6304.0,597,18893510.0,2541,DCE.PPF
2026-01-06,6304.0,6410.0,6304.0,6397.0,360,11450070.0,2488,DCE.PPF
2026-01-07,6427.0,6476.0,6404.0,6458.0,313,10066745.0,2414,DCE.PPF
2026-01-08,6489.0,6501.0,6435.0,6456.0,634,20511550.0,2338,DCE.PPF
2026-01-09,6456.0,6483.0,6432.0,6469.0,797,25716125.0,2149,DCE.PPF
2026-01-12,6460.0,6536.0,6428.0,6535.0,1866,60327130.0,699,DCE.PPF
2026-01-13,6511.0,6546.0,6477.0,6514.0,466,15183740.0,636,DCE.PPF
2026-01-14,6461.0,6490.0,6431.0,6474.0,251,8085895.0,851,DCE.PPF
2026-01-15,6504.0,6540.0,6448.0,6503.0,162,5253130.0,847,DCE.PPF
2026-01-16,6473.0,6489.0,6410.0,6415.0,1150,37032950.0,726,DCE.PPF
2026-01-19,6426.0,6438.0,6395.0,6396.0,1646,52828970.0,645,DCE.PPF
2026-01-20,6396.0,6396.0,6345.0,6363.0,1576,50143815.0,682,DCE.PPF
2026-01-21,6369.0,6401.0,6356.0,6399.0,1913,60997680.0,703,DCE.PPF
2026-01-22,6413.0,6519.0,6413.0,6519.0,2688,87041020.0,620,DCE.PPF
2026-01-23,6545.0,6580.0,6523.0,6563.0,3831,125491245.0,652,DCE.PPF
2026-01-26,6591.0,6657.0,6570.0,6650.0,724,23993260.0,677,DCE.PPF
2026-01-27,6714.0,6716.0,6656.0,6711.0,743,24851660.0,1033,DCE.PPF
2026-01-28,6725.0,6807.0,6723.0,6776.0,1622,54879495.0,1297,DCE.PPF
2026-01-29,6793.0,6896.0,6787.0,6871.0,874,29848900.0,1450,DCE.PPF
2026-01-30,6882.0,6957.0,6769.0,6824.0,2891,99029250.0,1876,DCE.PPF
2026-02-02,6860.0,6893.0,6675.0,6708.0,1824,61644635.0,1938,DCE.PPF
2026-02-03,6708.0,6770.0,6686.0,6731.0,1489,50033660.0,2099,DCE.PPF
2026-02-04,6741.0,6819.0,6734.0,6804.0,1048,35536190.0,2094,DCE.PPF
2026-02-05,6774.0,6780.0,6659.0,6680.0,1117,37492955.0,2027,DCE.PPF
2026-02-06,6723.0,6723.0,6609.0,6693.0,2155,71865360.0,1328,DCE.PPF
2026-02-09,6661.0,6682.0,6632.0,6635.0,386,12856425.0,1259,DCE.PPF
2026-02-10,6656.0,6690.0,6630.0,6686.0,473,15759560.0,1176,DCE.PPF
2026-02-11,6683.0,6717.0,6683.0,6694.0,762,25516125.0,1105,DCE.PPF
2026-02-12,6714.0,6727.0,6657.0,6658.0,739,24698920.0,1015,DCE.PPF
2026-02-13,6638.0,6655.0,6555.0,6577.0,720,23750855.0,950,DCE.PPF
2026-02-24,6675.0,6765.0,6648.0,6735.0,721,24150240.0,894,DCE.PPF
2026-02-25,6742.0,6768.0,6714.0,6717.0,546,18398215.0,805,DCE.PPF
2026-02-26,6745.0,6779.0,6668.0,6675.0,944,31712125.0,765,DCE.PPF
2026-02-27,6656.0,6656.0,6555.0,6610.0,1616,53368395.0,1014,DCE.PPF
2026-03-02,6678.0,6998.0,6637.0,6998.0,11446,389979160.0,1661,DCE.PPF
2026-03-03,7000.0,7223.0,7000.0,7222.0,5161,183558690.0,1895,DCE.PPF
2026-03-04,7373.0,7647.0,7188.0,7499.0,10597,394158255.0,2041,DCE.PPF
2026-03-05,7417.0,7719.0,7289.0,7453.0,10933,408420155.0,1770,DCE.PPF
2026-03-06,7500.0,7801.0,7427.0,7797.0,14899,567983690.0,2044,DCE.PPF
2026-03-09,8022.0,8034.0,7949.0,8034.0,1080,43219275.0,1952,DCE.PPF
2026-03-10,8727.0,8727.0,7520.0,7804.0,1926,78945390.0,1953,DCE.PPF
2026-03-11,7924.0,8291.0,7660.0,8190.0,3534,142006905.0,1915,DCE.PPF
2026-03-12,8371.0,8697.0,8276.0,8326.0,4656,197356100.0,1994,DCE.PPF
2026-03-13,8367.0,8761.0,8323.0,8606.0,2940,126502435.0,2056,DCE.PPF
2026-03-16,8500.0,9090.0,8448.0,8856.0,6490,286806785.0,2262,DCE.PPF
2026-03-17,8720.0,8767.0,8464.0,8668.0,5084,219585555.0,2126,DCE.PPF
2026-03-18,8648.0,8891.0,8531.0,8628.0,5687,248088350.0,2010,DCE.PPF
2026-03-19,8859.0,9341.0,8859.0,9155.0,6679,304850320.0,2172,DCE.PPF
2026-03-20,9100.0,9192.0,8762.0,9014.0,5256,236395615.0,2038,DCE.PPF
2026-03-23,9086.0,9793.0,9071.0,9793.0,5651,268182240.0,2503,DCE.PPF
2026-03-24,9333.0,9540.0,9072.0,9121.0,7083,330438780.0,2045,DCE.PPF
2026-03-25,9267.0,9267.0,8564.0,8977.0,8117,362469705.0,2024,DCE.PPF
2026-03-26,8889.0,9247.0,8889.0,9117.0,8520,386722255.0,2075,DCE.PPF
2026-03-27,9400.0,9400.0,9120.0,9310.0,6806,314057915.0,2151,DCE.PPF
2026-03-30,9580.0,9715.0,9244.0,9275.0,8093,384055995.0,2091,DCE.PPF
2026-03-31,9221.0,9392.0,9019.0,9096.0,6244,287333890.0,1859,DCE.PPF
2026-04-01,9096.0,9184.0,8738.0,8762.0,7516,338068810.0,1437,DCE.PPF
