datetime,open,high,low,close,volume,amount,position,symbol
2019-08-19,3690.0,3696.0,3662.0,3673.0,52502,1931703040.0,25730,DCE.RR
2019-08-20,3679.0,3679.0,3655.0,3662.0,21768,798064480.0,24242,DCE.RR
2019-08-21,3664.0,3675.0,3663.0,3671.0,15386,564674080.0,21638,DCE.RR
2019-08-22,3675.0,3675.0,3616.0,3633.0,23448,853295120.0,21882,DCE.RR
2019-08-23,3630.0,3639.0,3625.0,3635.0,7190,261171820.0,20906,DCE.RR
2019-08-26,3640.0,3664.0,3623.0,3632.0,13120,477922260.0,21592,DCE.RR
2019-08-27,3633.0,3648.0,3628.0,3641.0,6742,245391800.0,20960,DCE.RR
2019-08-28,3640.0,3643.0,3626.0,3627.0,6666,241916420.0,23000,DCE.RR
2019-08-29,3621.0,3636.0,3600.0,3623.0,7224,261845120.0,23748,DCE.RR
2019-08-30,3624.0,3640.0,3611.0,3619.0,11028,399902100.0,24854,DCE.RR
2019-09-02,3626.0,3635.0,3619.0,3623.0,8028,291126440.0,25300,DCE.RR
2019-09-03,3626.0,3626.0,3611.0,3618.0,5222,188943080.0,25322,DCE.RR
2019-09-04,3620.0,3635.0,3601.0,3625.0,14308,517719700.0,26442,DCE.RR
2019-09-05,3635.0,3635.0,3616.0,3618.0,7620,276069280.0,26050,DCE.RR
2019-09-06,3617.0,3709.0,3616.0,3658.0,60784,2227031940.0,32904,DCE.RR
2019-09-09,3663.0,3673.0,3623.0,3660.0,17402,635397920.0,33122,DCE.RR
2019-09-10,3663.0,3672.0,3645.0,3652.0,6618,241873940.0,33064,DCE.RR
2019-09-11,3653.0,3664.0,3630.0,3637.0,6696,243959140.0,31990,DCE.RR
2019-09-12,3635.0,3642.0,3628.0,3631.0,4166,151436980.0,31176,DCE.RR
2019-09-16,3635.0,3651.0,3629.0,3639.0,4980,181486040.0,31416,DCE.RR
2019-09-17,3642.0,3685.0,3639.0,3673.0,11958,437436960.0,32256,DCE.RR
2019-09-18,3681.0,3685.0,3656.0,3670.0,11186,410460300.0,31138,DCE.RR
2019-09-19,3666.0,3676.0,3663.0,3671.0,4758,174643520.0,29970,DCE.RR
2019-09-20,3668.0,3692.0,3645.0,3667.0,11402,418671760.0,28356,DCE.RR
2019-09-23,3664.0,3678.0,3662.0,3670.0,4758,174669040.0,27460,DCE.RR
2019-09-24,3666.0,3677.0,3655.0,3673.0,2942,107892320.0,26832,DCE.RR
2019-09-25,3666.0,3674.0,3645.0,3655.0,3610,132052160.0,26030,DCE.RR
2019-09-26,3651.0,3680.0,3650.0,3665.0,3314,121543520.0,25876,DCE.RR
2019-09-27,3650.0,3668.0,3640.0,3645.0,3812,139078960.0,24018,DCE.RR
2019-09-30,3642.0,3654.0,3638.0,3639.0,1928,70280860.0,23088,DCE.RR
2019-10-08,3636.0,3649.0,3630.0,3642.0,1454,52900580.0,22714,DCE.RR
