datetime,open,high,low,close,volume,amount,position,symbol
2009-05-26,6485.0,6540.0,6445.0,6460.0,38290,1241375600.0,10562,DCE.V
2009-05-27,6500.0,6535.0,6460.0,6485.0,34002,1104815600.0,10346,DCE.V
2009-06-01,6555.0,6595.0,6520.0,6570.0,26178,858462000.0,10352,DCE.V
2009-06-02,6590.0,6590.0,6545.0,6555.0,13496,442973800.0,9388,DCE.V
2009-06-03,6565.0,6595.0,6550.0,6580.0,14680,482211000.0,9452,DCE.V
2009-06-04,6545.0,6570.0,6530.0,6555.0,8532,279463600.0,8780,DCE.V
2009-06-05,6590.0,6695.0,6575.0,6655.0,19864,659734300.0,10196,DCE.V
2009-06-08,6650.0,6970.0,6620.0,6970.0,107348,3715744700.0,34972,DCE.V
2009-06-09,7020.0,7160.0,6910.0,7040.0,354866,12481870600.0,47952,DCE.V
2009-06-10,7120.0,7130.0,6955.0,6990.0,212152,7454756000.0,38412,DCE.V
2009-06-11,7025.0,7050.0,6930.0,6930.0,104918,3662275000.0,38284,DCE.V
2009-06-12,6955.0,6970.0,6790.0,6820.0,142654,4915522300.0,39346,DCE.V
2009-06-15,6800.0,6910.0,6755.0,6855.0,109950,3761737400.0,41324,DCE.V
2009-06-16,6805.0,6890.0,6800.0,6850.0,63206,2165199200.0,38970,DCE.V
2009-06-17,6830.0,6990.0,6800.0,6940.0,203342,7052322400.0,48112,DCE.V
2009-06-18,6965.0,7085.0,6910.0,6945.0,220516,7725135200.0,51930,DCE.V
2009-06-19,6970.0,7015.0,6890.0,6915.0,112430,3903760400.0,49088,DCE.V
2009-06-22,6850.0,6930.0,6815.0,6815.0,97436,3346900500.0,48676,DCE.V
2009-06-23,6755.0,6810.0,6715.0,6770.0,87904,2968951500.0,44500,DCE.V
2009-06-24,6795.0,6795.0,6715.0,6770.0,48840,1649884000.0,42586,DCE.V
2009-06-25,6770.0,6865.0,6750.0,6830.0,70950,2420600400.0,44944,DCE.V
2009-06-26,6880.0,6920.0,6825.0,6885.0,55012,1887286200.0,41706,DCE.V
2009-06-29,6865.0,6865.0,6770.0,6775.0,37896,1291570400.0,41510,DCE.V
2009-06-30,6820.0,6915.0,6800.0,6885.0,69850,2396230600.0,45808,DCE.V
2009-07-01,6855.0,6905.0,6820.0,6855.0,46090,1578048600.0,44132,DCE.V
2009-07-02,6830.0,6895.0,6815.0,6830.0,45880,1572326800.0,41624,DCE.V
2009-07-03,6800.0,6880.0,6770.0,6855.0,59916,2047745600.0,40392,DCE.V
2009-07-06,6850.0,6955.0,6840.0,6870.0,87866,3033409800.0,40502,DCE.V
2009-07-07,6890.0,6930.0,6880.0,6925.0,39946,1379663200.0,41646,DCE.V
2009-07-08,6890.0,6905.0,6845.0,6870.0,27928,960279600.0,35718,DCE.V
2009-07-09,6840.0,6870.0,6815.0,6865.0,27212,931202700.0,36460,DCE.V
2009-07-10,6880.0,6985.0,6865.0,6880.0,86988,3013008200.0,38422,DCE.V
2009-07-13,6905.0,6910.0,6840.0,6845.0,40486,1392441600.0,36908,DCE.V
2009-07-14,6870.0,6880.0,6840.0,6860.0,22902,785488800.0,38462,DCE.V
2009-07-15,6870.0,6950.0,6850.0,6930.0,58720,2028863200.0,46424,DCE.V
2009-07-16,6955.0,7000.0,6890.0,6930.0,55580,1930533800.0,47160,DCE.V
2009-07-17,6945.0,7030.0,6930.0,7000.0,105350,3679055100.0,60986,DCE.V
2009-07-20,7030.0,7075.0,6990.0,7005.0,73896,2595383300.0,62364,DCE.V
2009-07-21,7010.0,7010.0,6860.0,6905.0,55648,1928697500.0,55678,DCE.V
2009-07-22,6905.0,6945.0,6865.0,6875.0,38210,1319204400.0,51046,DCE.V
2009-07-23,6900.0,6915.0,6845.0,6895.0,31614,1087620600.0,50734,DCE.V
2009-07-24,6900.0,6935.0,6880.0,6905.0,27964,966105200.0,49408,DCE.V
