datetime,open,high,low,close,volume,amount,position,symbol
2025-11-19,4569.0,4578.0,4522.0,4537.0,1142,25979580.0,2738,DCE.VF
2025-11-20,4537.0,4537.0,4463.0,4499.0,1716,38515640.0,2810,DCE.VF
2025-11-21,4511.0,4549.0,4491.0,4498.0,1831,41332640.0,2945,DCE.VF
2025-11-24,4506.0,4563.0,4490.0,4539.0,1585,35963245.0,2756,DCE.VF
2025-11-25,4536.0,4566.0,4535.0,4536.0,626,14249005.0,2613,DCE.VF
2025-11-26,4523.0,4542.0,4510.0,4525.0,1168,26419865.0,2557,DCE.VF
2025-11-27,4526.0,4559.0,4518.0,4555.0,1188,26993990.0,2589,DCE.VF
2025-11-28,4579.0,4601.0,4572.0,4587.0,1591,36495305.0,2645,DCE.VF
2025-12-01,4595.0,4625.0,4566.0,4587.0,2188,50290840.0,2457,DCE.VF
2025-12-02,4596.0,4608.0,4585.0,4606.0,506,11625885.0,2484,DCE.VF
2025-12-03,4603.0,4603.0,4556.0,4575.0,474,10831930.0,2500,DCE.VF
2025-12-04,4563.0,4566.0,4524.0,4540.0,970,22018200.0,2470,DCE.VF
2025-12-05,4534.0,4540.0,4455.0,4466.0,869,19483570.0,2417,DCE.VF
2025-12-08,4446.0,4480.0,4434.0,4471.0,1827,40745385.0,2347,DCE.VF
2025-12-09,4464.0,4464.0,4399.0,4410.0,1104,24463610.0,2255,DCE.VF
2025-12-10,4412.0,4414.0,4354.0,4368.0,1159,25414480.0,2324,DCE.VF
2025-12-11,4364.0,4380.0,4315.0,4318.0,2744,59779550.0,2238,DCE.VF
2025-12-12,4319.0,4335.0,4244.0,4255.0,2082,44559935.0,2276,DCE.VF
2025-12-15,4264.0,4381.0,4264.0,4349.0,3782,82166375.0,2314,DCE.VF
2025-12-16,4343.0,4442.0,4340.0,4433.0,3458,76043760.0,2556,DCE.VF
2025-12-17,4447.0,4459.0,4420.0,4454.0,2613,57948345.0,2245,DCE.VF
2025-12-18,4456.0,4484.0,4446.0,4463.0,2774,61949810.0,1972,DCE.VF
2025-12-19,4463.0,4465.0,4399.0,4406.0,2287,50644285.0,1982,DCE.VF
2025-12-22,4405.0,4408.0,4334.0,4352.0,4702,102666250.0,1715,DCE.VF
2025-12-23,4371.0,4508.0,4371.0,4490.0,4215,94018680.0,1817,DCE.VF
2025-12-24,4474.0,4533.0,4464.0,4533.0,4718,105943970.0,1830,DCE.VF
2025-12-25,4533.0,4533.0,4450.0,4506.0,2371,53225910.0,1748,DCE.VF
2025-12-26,4494.0,4575.0,4464.0,4572.0,2992,67588150.0,1753,DCE.VF
2025-12-29,4572.0,4596.0,4519.0,4519.0,542,12384045.0,1770,DCE.VF
2025-12-30,4538.0,4575.0,4503.0,4555.0,372,8410170.0,1713,DCE.VF
2025-12-31,4549.0,4563.0,4509.0,4535.0,1265,28695165.0,1695,DCE.VF
2026-01-05,4530.0,4530.0,4476.0,4507.0,1984,44627305.0,1497,DCE.VF
2026-01-06,4586.0,4660.0,4563.0,4645.0,6400,147702375.0,3180,DCE.VF
2026-01-07,4648.0,4732.0,4640.0,4697.0,3684,86226455.0,2995,DCE.VF
2026-01-08,4682.0,4714.0,4607.0,4630.0,3791,88366430.0,1120,DCE.VF
2026-01-09,4593.0,4636.0,4574.0,4622.0,2095,48213985.0,1155,DCE.VF
2026-01-12,4472.0,4692.0,4386.0,4688.0,3796,87135235.0,1215,DCE.VF
2026-01-13,4694.0,4695.0,4605.0,4636.0,2319,53822100.0,1174,DCE.VF
2026-01-14,4890.0,4897.0,4858.0,4875.0,150,3656535.0,1213,DCE.VF
2026-01-15,4866.0,4910.0,4837.0,4874.0,471,11470970.0,1238,DCE.VF
2026-01-16,4610.0,4631.0,4578.0,4590.0,1164,26768425.0,1282,DCE.VF
2026-01-19,4571.0,4596.0,4571.0,4584.0,502,11506035.0,1266,DCE.VF
2026-01-20,4581.0,4607.0,4577.0,4593.0,1947,44677025.0,1258,DCE.VF
2026-01-21,4588.0,4602.0,4547.0,4564.0,597,13630490.0,1143,DCE.VF
2026-01-22,4770.0,4847.0,4732.0,4847.0,266,6347495.0,1373,DCE.VF
2026-01-23,4851.0,4924.0,4849.0,4924.0,602,14662935.0,1280,DCE.VF
2026-01-26,4917.0,4982.0,4897.0,4967.0,264,6512710.0,1318,DCE.VF
2026-01-27,4954.0,4960.0,4895.0,4906.0,238,5862265.0,1405,DCE.VF
2026-01-28,4902.0,4931.0,4890.0,4912.0,208,5120770.0,1348,DCE.VF
2026-01-29,4909.0,4919.0,4867.0,4895.0,113,2761425.0,1381,DCE.VF
2026-01-30,4934.0,5124.0,4907.0,5055.0,1315,33082840.0,1484,DCE.VF
2026-02-02,5055.0,5135.0,4957.0,5012.0,2257,56848730.0,1831,DCE.VF
2026-02-03,5012.0,5104.0,5009.0,5071.0,3263,82387025.0,2357,DCE.VF
2026-02-04,5048.0,5177.0,5046.0,5155.0,1905,48685975.0,2376,DCE.VF
2026-02-05,5108.0,5144.0,5023.0,5052.0,1677,42741840.0,2126,DCE.VF
2026-02-06,4994.0,5018.0,4943.0,4986.0,741,18456910.0,2197,DCE.VF
2026-02-09,4977.0,5034.0,4955.0,4994.0,1015,25316055.0,2062,DCE.VF
