datetime,open,high,low,close,volume,amount,position,symbol
2006-01-10,5072.0,5108.0,5050.0,5086.0,63540,3229974900.0,39860,DCE.Y
2006-01-11,5072.0,5094.0,5060.0,5080.0,37518,1903105900.0,39248,DCE.Y
2006-01-12,5070.0,5094.0,5066.0,5086.0,43268,2198618400.0,39260,DCE.Y
2006-01-13,5080.0,5080.0,5032.0,5036.0,43668,2202969700.0,38326,DCE.Y
2006-01-16,5056.0,5076.0,5038.0,5058.0,51524,2602625000.0,35972,DCE.Y
2006-01-17,5058.0,5066.0,5030.0,5030.0,45684,2309503800.0,34782,DCE.Y
2006-01-18,5008.0,5058.0,5008.0,5028.0,60752,3059996400.0,33892,DCE.Y
2006-01-19,5036.0,5104.0,5036.0,5092.0,66908,3391619800.0,41024,DCE.Y
2006-01-20,5080.0,5148.0,5060.0,5098.0,76374,3901784200.0,47796,DCE.Y
2006-01-23,5132.0,5142.0,5084.0,5096.0,69230,3539436400.0,48506,DCE.Y
2006-01-24,5100.0,5100.0,5008.0,5050.0,65334,3300512300.0,45578,DCE.Y
2006-01-25,5046.0,5076.0,5030.0,5058.0,60468,3054569300.0,46948,DCE.Y
2006-02-06,5198.0,5236.0,5150.0,5200.0,67300,3509066100.0,42456,DCE.Y
2006-02-07,5150.0,5176.0,5110.0,5164.0,63246,3259920700.0,37902,DCE.Y
2006-02-08,5100.0,5106.0,4970.0,5064.0,68622,3483519300.0,34456,DCE.Y
2006-02-09,5080.0,5106.0,5048.0,5058.0,60258,3056102000.0,35750,DCE.Y
2006-02-10,5122.0,5122.0,5060.0,5080.0,51916,2642592700.0,36434,DCE.Y
2006-02-13,5088.0,5088.0,5054.0,5070.0,46924,2376893700.0,36430,DCE.Y
2006-02-14,5070.0,5086.0,5064.0,5078.0,58968,2993822600.0,36038,DCE.Y
2006-02-15,5062.0,5078.0,5052.0,5068.0,62886,3187443200.0,35576,DCE.Y
2006-02-16,5062.0,5100.0,5062.0,5088.0,64064,3254265000.0,35902,DCE.Y
2006-02-17,5100.0,5160.0,5096.0,5144.0,73466,3767788800.0,39894,DCE.Y
2006-02-20,5196.0,5196.0,5148.0,5150.0,57210,2956099600.0,39214,DCE.Y
2006-02-21,5150.0,5172.0,5122.0,5122.0,49036,2523387500.0,38646,DCE.Y
2006-02-22,5110.0,5144.0,5102.0,5136.0,49354,2533265300.0,38694,DCE.Y
2006-02-23,5090.0,5130.0,5086.0,5104.0,53382,2730337900.0,36546,DCE.Y
2006-02-24,5112.0,5236.0,5112.0,5202.0,69788,3616730600.0,42396,DCE.Y
2006-02-27,5180.0,5194.0,5136.0,5150.0,59806,3084559200.0,40730,DCE.Y
2006-02-28,5182.0,5220.0,5166.0,5174.0,59092,3069051400.0,41998,DCE.Y
2006-03-01,5230.0,5290.0,5196.0,5268.0,123126,6468617500.0,52124,DCE.Y
2006-03-02,5284.0,5308.0,5252.0,5268.0,96778,5107963500.0,53610,DCE.Y
2006-03-03,5318.0,5346.0,5284.0,5296.0,90884,4823910200.0,50698,DCE.Y
2006-03-06,5280.0,5282.0,5238.0,5238.0,69708,3665975900.0,48984,DCE.Y
2006-03-07,5250.0,5278.0,5226.0,5238.0,87036,4571436400.0,49274,DCE.Y
2006-03-08,5204.0,5228.0,5196.0,5220.0,77646,4048675200.0,45618,DCE.Y
2006-03-09,5200.0,5236.0,5192.0,5236.0,65744,3431797400.0,46876,DCE.Y
2006-03-10,5228.0,5252.0,5204.0,5206.0,74606,3896262200.0,42780,DCE.Y
2006-03-13,5212.0,5246.0,5204.0,5232.0,85174,4455515100.0,53890,DCE.Y
2006-03-14,5206.0,5230.0,5202.0,5216.0,96166,5017056300.0,54828,DCE.Y
2006-03-15,5228.0,5240.0,5218.0,5222.0,105112,5496327200.0,53944,DCE.Y
2006-03-16,5220.0,5220.0,5200.0,5210.0,103994,5417159200.0,54384,DCE.Y
2006-03-17,5196.0,5202.0,5170.0,5172.0,94770,4911908000.0,52504,DCE.Y
2006-03-20,5172.0,5190.0,5170.0,5186.0,92036,4766046200.0,51716,DCE.Y
2006-03-21,5166.0,5172.0,5140.0,5150.0,79030,4076065200.0,48068,DCE.Y
2006-03-22,5150.0,5172.0,5148.0,5162.0,85730,4426175400.0,47254,DCE.Y
2006-03-23,5150.0,5156.0,5142.0,5154.0,107694,5548619100.0,44850,DCE.Y
2006-03-24,5162.0,5184.0,5162.0,5168.0,93440,4832085900.0,45750,DCE.Y
2006-03-27,5148.0,5174.0,5148.0,5166.0,90424,4670876500.0,49370,DCE.Y
2006-03-28,5166.0,5168.0,5146.0,5148.0,98624,5087385800.0,49598,DCE.Y
2006-03-29,5164.0,5166.0,5150.0,5154.0,91614,4724677700.0,50730,DCE.Y
2006-03-30,5160.0,5160.0,5132.0,5150.0,103454,5326025400.0,48352,DCE.Y
2006-03-31,5170.0,5180.0,5148.0,5156.0,124542,6432711300.0,48568,DCE.Y
2006-04-03,5108.0,5118.0,5074.0,5112.0,114478,5842151200.0,50768,DCE.Y
2006-04-04,5086.0,5110.0,5086.0,5092.0,96118,4906215000.0,49520,DCE.Y
2006-04-05,5086.0,5098.0,5078.0,5092.0,104764,5331114000.0,49584,DCE.Y
2006-04-06,5096.0,5104.0,5076.0,5076.0,109066,5556781000.0,50138,DCE.Y
2006-04-07,5084.0,5084.0,5018.0,5036.0,98068,4944168800.0,48664,DCE.Y
2006-04-10,5022.0,5022.0,4994.0,4996.0,120882,6048715200.0,48168,DCE.Y
2006-04-11,5000.0,5046.0,4996.0,5028.0,134958,6779000300.0,48492,DCE.Y
2006-04-12,5040.0,5042.0,5026.0,5036.0,128020,6439324800.0,49146,DCE.Y
2006-04-13,5004.0,5028.0,5004.0,5020.0,127494,6403855200.0,47764,DCE.Y
2006-04-14,5030.0,5038.0,5022.0,5032.0,117772,5922475500.0,47860,DCE.Y
2006-04-17,5030.0,5050.0,5024.0,5032.0,131390,6612005100.0,47684,DCE.Y
2006-04-18,5036.0,5040.0,5002.0,5028.0,121282,6098761500.0,45920,DCE.Y
2006-04-19,5048.0,5096.0,5044.0,5078.0,123438,6257230600.0,48084,DCE.Y
2006-04-20,5108.0,5108.0,5070.0,5078.0,111486,5671596500.0,47456,DCE.Y
2006-04-21,5080.0,5080.0,5050.0,5054.0,106772,5408664700.0,47290,DCE.Y
2006-04-24,5098.0,5146.0,5080.0,5124.0,120764,6190205900.0,48024,DCE.Y
2006-04-25,5096.0,5130.0,5090.0,5122.0,111928,5717422100.0,46984,DCE.Y
2006-04-26,5140.0,5154.0,5104.0,5130.0,111612,5735243100.0,47154,DCE.Y
2006-04-27,5120.0,5150.0,5116.0,5120.0,116548,5979508600.0,46498,DCE.Y
2006-04-28,5150.0,5184.0,5134.0,5178.0,99118,5114495600.0,43050,DCE.Y
2006-05-08,5160.0,5184.0,5140.0,5152.0,107388,5529216000.0,41018,DCE.Y
2006-05-09,5120.0,5174.0,5120.0,5166.0,106160,5459084600.0,42810,DCE.Y
2006-05-10,5152.0,5210.0,5152.0,5190.0,101356,5260388600.0,43100,DCE.Y
2006-05-11,5186.0,5268.0,5186.0,5236.0,100498,5259813000.0,43492,DCE.Y
2006-05-12,5302.0,5340.0,5230.0,5246.0,102206,5394909800.0,41632,DCE.Y
2006-05-15,5260.0,5268.0,5216.0,5250.0,100622,5279317500.0,40632,DCE.Y
2006-05-16,5160.0,5220.0,5152.0,5180.0,118706,6139958600.0,38104,DCE.Y
2006-05-17,5220.0,5280.0,5202.0,5236.0,96900,5057420000.0,38032,DCE.Y
2006-05-18,5230.0,5230.0,5176.0,5216.0,115470,6006388100.0,37368,DCE.Y
2006-05-19,5182.0,5212.0,5182.0,5210.0,88356,4597460300.0,37304,DCE.Y
2006-05-22,5170.0,5180.0,5154.0,5160.0,86926,4498436500.0,37144,DCE.Y
2006-05-23,5170.0,5198.0,5170.0,5184.0,104614,5416931500.0,33890,DCE.Y
2006-05-24,5210.0,5236.0,5194.0,5218.0,96954,5058994400.0,31910,DCE.Y
2006-05-25,5182.0,5208.0,5180.0,5204.0,96032,4985940800.0,31688,DCE.Y
2006-05-26,5228.0,5230.0,5202.0,5222.0,94244,4917797800.0,31546,DCE.Y
2006-05-29,5222.0,5272.0,5204.0,5262.0,87456,4584038100.0,31570,DCE.Y
2006-05-30,5250.0,5268.0,5228.0,5246.0,93812,4922905000.0,30802,DCE.Y
2006-05-31,5246.0,5264.0,5232.0,5232.0,95316,5000866000.0,28542,DCE.Y
2006-06-01,5226.0,5226.0,5160.0,5194.0,88444,4589690400.0,30680,DCE.Y
2006-06-02,5200.0,5224.0,5182.0,5202.0,95300,4958848600.0,30616,DCE.Y
2006-06-05,5258.0,5260.0,5230.0,5246.0,84392,4423124700.0,30536,DCE.Y
2006-06-06,5238.0,5238.0,5032.0,5226.0,85982,4483367000.0,30386,DCE.Y
2006-06-07,5210.0,5210.0,5182.0,5202.0,67012,3477539100.0,29794,DCE.Y
2006-06-08,5202.0,5202.0,5170.0,5176.0,55394,2871908400.0,29454,DCE.Y
2006-06-09,5160.0,5180.0,5156.0,5176.0,54696,2826187200.0,29070,DCE.Y
2006-06-12,5218.0,5218.0,5164.0,5188.0,60134,3121705300.0,29156,DCE.Y
2006-06-13,5192.0,5192.0,5162.0,5166.0,40790,2109318000.0,28970,DCE.Y
2006-06-14,5168.0,5168.0,5110.0,5134.0,36832,1891086700.0,28362,DCE.Y
2006-06-15,5120.0,5146.0,5120.0,5130.0,48892,2510538000.0,28464,DCE.Y
2006-06-16,5136.0,5148.0,5132.0,5146.0,40600,2086233900.0,28004,DCE.Y
2006-06-19,5134.0,5146.0,5114.0,5140.0,48440,2485916400.0,27462,DCE.Y
2006-06-20,5102.0,5138.0,5102.0,5124.0,60498,3100202600.0,26844,DCE.Y
2006-06-21,5086.0,5144.0,5086.0,5136.0,36330,1864481700.0,26658,DCE.Y
2006-06-22,5134.0,5160.0,5134.0,5150.0,32024,1649770600.0,26278,DCE.Y
2006-06-23,5150.0,5150.0,5126.0,5138.0,56918,2925786800.0,26108,DCE.Y
2006-06-26,5130.0,5140.0,5126.0,5130.0,46776,2401991800.0,26014,DCE.Y
2006-06-27,5122.0,5136.0,5116.0,5136.0,48068,2463898000.0,26016,DCE.Y
2006-06-28,5160.0,5160.0,5142.0,5142.0,56326,2902455900.0,26314,DCE.Y
2006-06-29,5154.0,5180.0,5148.0,5178.0,34648,1788827700.0,26312,DCE.Y
2006-06-30,5218.0,5218.0,5192.0,5204.0,52324,2720016700.0,21972,DCE.Y
2006-07-03,5238.0,5258.0,5218.0,5222.0,43074,2250542400.0,21762,DCE.Y
2006-07-04,5182.0,5226.0,5182.0,5190.0,50168,2606552700.0,21292,DCE.Y
