datetime,open,high,low,close,volume,amount,position,symbol
2025-11-28,373.5,375.7,370.15,371.55,10888,4064094850.0,2550,GFEX.PD
2025-12-01,380.75,390.4,374.55,382.35,22034,8435243950.0,3028,GFEX.PD
2025-12-02,375.0,377.65,372.05,374.25,9411,3523674250.0,3206,GFEX.PD
2025-12-03,381.0,387.35,376.25,381.5,14894,5689133150.0,3089,GFEX.PD
2025-12-04,382.9,384.4,377.5,379.25,6942,2644376950.0,3179,GFEX.PD
2025-12-05,377.55,381.95,376.5,381.75,4637,1760536550.0,3201,GFEX.PD
2025-12-08,380.5,385.5,378.7,383.7,4963,1897313900.0,3409,GFEX.PD
2025-12-09,383.9,386.45,379.8,380.45,5947,2280822500.0,3423,GFEX.PD
2025-12-10,388.15,390.0,385.6,387.65,5855,2271359300.0,3352,GFEX.PD
2025-12-11,382.55,387.2,382.55,385.25,4428,1706197800.0,3475,GFEX.PD
2025-12-12,389.0,391.9,386.5,389.45,5130,1996833050.0,3463,GFEX.PD
2025-12-15,390.0,413.65,389.55,407.6,30669,12412796750.0,5562,GFEX.PD
2025-12-16,410.4,432.05,410.0,423.85,52938,22520224750.0,7003,GFEX.PD
2025-12-17,432.0,455.15,432.0,455.15,56577,25202534350.0,9123,GFEX.PD
2025-12-18,463.7,476.6,462.3,476.6,68166,32195089750.0,12754,GFEX.PD
2025-12-19,484.0,486.95,463.1,480.2,106821,50762714050.0,14011,GFEX.PD
2025-12-22,498.8,508.45,498.0,508.45,27033,13644867150.0,16289,GFEX.PD
2025-12-23,512.0,555.15,512.0,532.55,176709,95545121700.0,21159,GFEX.PD
2025-12-24,577.0,578.45,558.0,578.45,98824,56618326250.0,24209,GFEX.PD
2025-12-25,516.1,541.0,515.65,529.05,93335,49154369350.0,21661,GFEX.PD
2025-12-26,560.0,576.6,512.5,515.65,155990,85639894800.0,27313,GFEX.PD
2025-12-29,502.2,538.0,494.1,494.1,67638,34786318500.0,25772,GFEX.PD
2025-12-30,450.0,457.1,447.45,447.45,40695,18264397550.0,20169,GFEX.PD
2025-12-31,436.9,439.05,392.0,425.2,81439,33872361450.0,14405,GFEX.PD
2026-01-05,467.0,467.0,437.25,452.85,32771,14707437400.0,13573,GFEX.PD
2026-01-06,461.0,476.5,451.0,471.9,34797,16283541100.0,13788,GFEX.PD
2026-01-07,498.0,500.0,456.4,475.95,43383,20726620450.0,12618,GFEX.PD
2026-01-08,475.0,489.0,452.5,460.7,35013,16483496900.0,12705,GFEX.PD
2026-01-09,468.6,511.8,464.0,499.05,39184,19107198900.0,12960,GFEX.PD
2026-01-12,516.0,529.6,500.65,505.1,23563,12014525100.0,13222,GFEX.PD
2026-01-13,494.4,504.9,474.2,483.25,21838,10651129900.0,13122,GFEX.PD
2026-01-14,499.95,509.95,489.3,495.5,18835,9451782350.0,12680,GFEX.PD
2026-01-15,480.0,489.3,465.0,478.6,15278,7296363400.0,12809,GFEX.PD
2026-01-16,480.05,488.0,463.55,469.35,12825,6090696900.0,12562,GFEX.PD
2026-01-19,490.0,495.0,474.0,477.95,5992,2879683250.0,12304,GFEX.PD
2026-01-20,480.2,494.3,472.1,490.0,10757,5215109450.0,11572,GFEX.PD
2026-01-21,505.0,506.45,482.85,485.8,7777,3835188700.0,11557,GFEX.PD
2026-01-22,476.05,487.65,467.7,483.75,6442,3085143100.0,11538,GFEX.PD
2026-01-23,505.0,506.15,492.05,497.95,11027,5502675100.0,11348,GFEX.PD
2026-01-26,527.9,548.55,518.0,534.8,17715,9461637200.0,11243,GFEX.PD
2026-01-27,508.0,527.7,493.85,523.0,12114,6218016400.0,10952,GFEX.PD
2026-01-28,514.5,525.0,500.9,504.0,13268,6787053550.0,11904,GFEX.PD
2026-01-29,524.0,545.5,510.95,526.6,16911,8904605200.0,11135,GFEX.PD
2026-01-30,511.25,522.0,455.35,464.05,19151,9431902650.0,10574,GFEX.PD
2026-02-02,414.05,419.45,413.7,413.7,4204,1743846700.0,10160,GFEX.PD
2026-02-03,418.0,451.05,414.15,450.55,15449,6700231800.0,9725,GFEX.PD
2026-02-04,455.0,462.05,445.05,461.0,9064,4093569250.0,9178,GFEX.PD
2026-02-05,455.8,459.6,421.2,442.7,13043,5703054100.0,8591,GFEX.PD
2026-02-06,416.25,422.55,388.65,410.5,12296,5007980050.0,8062,GFEX.PD
2026-02-09,436.5,443.0,424.3,438.15,6013,2607829050.0,8082,GFEX.PD
2026-02-10,431.15,435.85,428.6,429.05,3046,1315431450.0,7843,GFEX.PD
2026-02-11,432.0,441.85,429.7,439.1,2850,1244102050.0,7629,GFEX.PD
2026-02-12,431.55,436.65,422.4,430.05,2978,1281068650.0,7351,GFEX.PD
