datetime,open,high,low,close,volume,amount,position,symbol
2024-12-27,41600.0,42160.0,41225.0,41950.0,172813,21653923470.0,32846,GFEX.PS
2024-12-30,41900.0,43010.0,41750.0,42535.0,136506,17390054265.0,35565,GFEX.PS
2024-12-31,42570.0,42705.0,42230.0,42465.0,74312,9464951595.0,31540,GFEX.PS
2025-01-02,42315.0,42680.0,42315.0,42570.0,36858,4699125375.0,30447,GFEX.PS
2025-01-03,42570.0,42780.0,42365.0,42560.0,37079,4729803630.0,29242,GFEX.PS
2025-01-06,42600.0,43600.0,42560.0,43325.0,68310,8843222205.0,31663,GFEX.PS
2025-01-07,43325.0,43450.0,42765.0,43185.0,39615,5120364435.0,30357,GFEX.PS
2025-01-08,43185.0,43390.0,42650.0,42700.0,30253,3894799560.0,28183,GFEX.PS
2025-01-09,43000.0,43000.0,42165.0,42575.0,36908,4708887150.0,27681,GFEX.PS
2025-01-10,42660.0,43480.0,42435.0,43070.0,33598,4337263635.0,26973,GFEX.PS
2025-01-13,43270.0,43480.0,42865.0,43385.0,22370,2897825655.0,26759,GFEX.PS
2025-01-14,43305.0,43850.0,43120.0,43650.0,34850,4551842715.0,28130,GFEX.PS
2025-01-15,43550.0,44640.0,43550.0,44225.0,79215,10476811140.0,30974,GFEX.PS
2025-01-16,44235.0,44445.0,43800.0,44130.0,29190,3859538490.0,29862,GFEX.PS
2025-01-17,44130.0,45190.0,44015.0,44940.0,63067,8473085220.0,33745,GFEX.PS
2025-01-20,44505.0,45060.0,44505.0,44705.0,22940,3076138290.0,31434,GFEX.PS
2025-01-21,44780.0,44850.0,43940.0,44265.0,33834,4497793905.0,27276,GFEX.PS
2025-01-22,44000.0,44185.0,43360.0,43770.0,29641,3884535240.0,25171,GFEX.PS
2025-01-23,43760.0,43965.0,43315.0,43380.0,17719,2321489550.0,23863,GFEX.PS
2025-01-24,43310.0,43770.0,42965.0,43195.0,21936,2851359360.0,22291,GFEX.PS
2025-01-27,43325.0,43735.0,43100.0,43730.0,10720,1397836275.0,21281,GFEX.PS
2025-02-05,43540.0,44140.0,42820.0,43200.0,16243,2110429875.0,21144,GFEX.PS
2025-02-06,43200.0,43880.0,43180.0,43795.0,14408,1884191775.0,21881,GFEX.PS
2025-02-07,43800.0,44645.0,43740.0,44105.0,29414,3904419900.0,23491,GFEX.PS
2025-02-10,44000.0,44555.0,43805.0,44435.0,15906,2108399955.0,22558,GFEX.PS
2025-02-11,44500.0,44550.0,43705.0,43870.0,17071,2252008770.0,20978,GFEX.PS
2025-02-12,43810.0,44275.0,43800.0,43915.0,10612,1401339480.0,21113,GFEX.PS
2025-02-13,43950.0,44150.0,43620.0,43810.0,10801,1420295625.0,20722,GFEX.PS
2025-02-14,44100.0,44260.0,43845.0,44150.0,10245,1355390550.0,20607,GFEX.PS
2025-02-17,44100.0,44360.0,43915.0,44270.0,11211,1485490230.0,21064,GFEX.PS
2025-02-18,44270.0,44400.0,44085.0,44160.0,8338,1106473635.0,20826,GFEX.PS
2025-02-19,44270.0,44275.0,44015.0,44060.0,6023,796996275.0,20673,GFEX.PS
2025-02-20,43950.0,44080.0,43660.0,43765.0,12769,1678195650.0,21133,GFEX.PS
2025-02-21,43860.0,44100.0,43555.0,43825.0,9263,1217835885.0,20748,GFEX.PS
2025-02-24,43690.0,43920.0,43610.0,43900.0,5589,733640160.0,20892,GFEX.PS
2025-02-25,43840.0,44065.0,43710.0,43835.0,10150,1335875940.0,20268,GFEX.PS
2025-02-26,43805.0,44600.0,43660.0,44515.0,24931,3310707975.0,22666,GFEX.PS
2025-02-27,44500.0,44795.0,44310.0,44550.0,15975,2133416760.0,22751,GFEX.PS
2025-02-28,44535.0,44620.0,44155.0,44265.0,8912,1185761340.0,21465,GFEX.PS
2025-03-03,44265.0,44480.0,44125.0,44390.0,6564,873189690.0,21668,GFEX.PS
2025-03-04,44290.0,44415.0,43800.0,44100.0,8341,1104178605.0,21212,GFEX.PS
2025-03-05,44100.0,44145.0,43800.0,43875.0,8253,1087012260.0,22081,GFEX.PS
2025-03-06,43905.0,44480.0,43720.0,44400.0,19426,2570620605.0,24043,GFEX.PS
2025-03-07,44400.0,44450.0,43980.0,44015.0,8087,1072817670.0,23011,GFEX.PS
2025-03-10,44060.0,44200.0,43815.0,43850.0,7812,1031436270.0,23847,GFEX.PS
2025-03-11,43900.0,44180.0,43900.0,44150.0,8147,1076711370.0,24000,GFEX.PS
2025-03-12,44160.0,44255.0,43910.0,44050.0,6314,834737025.0,24087,GFEX.PS
2025-03-13,44060.0,44230.0,43950.0,44120.0,6781,896665665.0,24270,GFEX.PS
2025-03-14,43995.0,44185.0,43750.0,43770.0,12131,1598685570.0,25293,GFEX.PS
2025-03-17,43780.0,43780.0,43070.0,43220.0,25926,3367788660.0,27936,GFEX.PS
2025-03-18,43220.0,43495.0,42480.0,43080.0,37040,4776541545.0,29242,GFEX.PS
2025-03-19,43135.0,43660.0,42700.0,43610.0,25441,3300498675.0,29415,GFEX.PS
2025-03-20,43610.0,43990.0,43355.0,43695.0,27964,3662146710.0,28956,GFEX.PS
2025-03-21,43790.0,43890.0,43340.0,43515.0,13387,1748559420.0,29108,GFEX.PS
2025-03-24,43550.0,43750.0,43405.0,43640.0,9043,1182654990.0,28148,GFEX.PS
2025-03-25,43640.0,43860.0,43600.0,43795.0,9404,1234486620.0,27517,GFEX.PS
2025-03-26,43840.0,43990.0,43600.0,43640.0,12352,1622599125.0,27277,GFEX.PS
2025-03-27,43680.0,43880.0,43560.0,43760.0,7933,1040849235.0,27255,GFEX.PS
2025-03-28,43760.0,43850.0,43510.0,43650.0,7080,927221445.0,27368,GFEX.PS
2025-03-31,43635.0,43635.0,43285.0,43460.0,9308,1213076475.0,27527,GFEX.PS
2025-04-01,43500.0,43650.0,43325.0,43560.0,7083,924412125.0,26637,GFEX.PS
2025-04-02,43500.0,43780.0,43425.0,43680.0,11281,1477642425.0,28096,GFEX.PS
2025-04-03,43570.0,43775.0,43370.0,43650.0,14315,1870558710.0,31402,GFEX.PS
2025-04-07,43050.0,43635.0,42865.0,43265.0,23305,3022212405.0,31402,GFEX.PS
2025-04-08,43280.0,43420.0,40880.0,42405.0,54034,6848931015.0,35997,GFEX.PS
2025-04-09,42000.0,42340.0,41100.0,42245.0,31051,3891018570.0,35983,GFEX.PS
2025-04-10,42885.0,43300.0,42100.0,42190.0,21615,2755785735.0,36458,GFEX.PS
2025-04-11,41700.0,42085.0,41350.0,41835.0,27028,3386668185.0,37060,GFEX.PS
2025-04-14,42080.0,42150.0,41410.0,41550.0,23043,2878979610.0,40140,GFEX.PS
2025-04-15,41500.0,41580.0,40115.0,40485.0,65060,7943149590.0,49439,GFEX.PS
2025-04-16,40690.0,40800.0,39505.0,40265.0,74118,8888058105.0,54112,GFEX.PS
2025-04-17,40165.0,40680.0,39340.0,39440.0,64390,7758865485.0,56218,GFEX.PS
2025-04-18,39390.0,39400.0,37390.0,37615.0,201470,22913281845.0,62628,GFEX.PS
2025-04-21,37800.0,38710.0,37135.0,38420.0,159263,18104497515.0,66430,GFEX.PS
2025-04-22,38000.0,38550.0,37680.0,38020.0,129087,14757561660.0,66241,GFEX.PS
2025-04-23,38305.0,39325.0,38105.0,39135.0,89640,10354904670.0,60991,GFEX.PS
2025-04-24,38900.0,39840.0,38500.0,39375.0,107014,12557346360.0,59000,GFEX.PS
2025-04-25,39375.0,39415.0,38380.0,38390.0,95530,11169622290.0,56040,GFEX.PS
2025-04-28,38390.0,38495.0,37730.0,37780.0,80862,9251460015.0,55092,GFEX.PS
2025-04-29,37500.0,37835.0,36895.0,37320.0,116998,13079142030.0,58208,GFEX.PS
2025-04-30,37220.0,37920.0,36665.0,37245.0,124573,13940181165.0,54266,GFEX.PS
2025-05-06,37200.0,37350.0,36325.0,36410.0,80443,8849605710.0,53823,GFEX.PS
2025-05-07,36670.0,37140.0,35470.0,35520.0,135166,14628802470.0,63290,GFEX.PS
2025-05-08,35495.0,37320.0,34375.0,36950.0,455041,48863234205.0,67502,GFEX.PS
2025-05-09,37420.0,38175.0,36820.0,37830.0,443819,49949688015.0,67256,GFEX.PS
2025-05-12,38100.0,38640.0,37200.0,38450.0,322808,36731446875.0,69417,GFEX.PS
2025-05-13,38230.0,39340.0,37820.0,38270.0,321982,37274281275.0,52252,GFEX.PS
2025-05-14,38540.0,38870.0,37420.0,38420.0,236082,27042876930.0,44692,GFEX.PS
2025-05-15,38100.0,38475.0,37750.0,37920.0,136753,15628625445.0,37985,GFEX.PS
