datetime,open,high,low,close,volume,amount,position,symbol
2025-11-28,435.0,438.45,430.15,435.55,23948,10403599000.0,8048,GFEX.PT
2025-12-01,447.7,462.25,444.7,451.6,44391,20160378750.0,10624,GFEX.PT
2025-12-02,446.2,449.75,440.0,442.5,20751,9236291050.0,10493,GFEX.PT
2025-12-03,442.0,446.0,438.4,440.55,18148,8029498550.0,10664,GFEX.PT
2025-12-04,444.0,444.8,438.45,439.65,10934,4829738500.0,10387,GFEX.PT
2025-12-05,438.45,442.85,437.8,442.3,8194,3607917050.0,10524,GFEX.PT
2025-12-08,440.05,445.6,438.75,443.2,9834,4348322850.0,10877,GFEX.PT
2025-12-09,439.6,443.65,432.0,436.4,10108,4444734150.0,10806,GFEX.PT
2025-12-10,445.4,446.5,442.7,444.45,10263,4562679000.0,10091,GFEX.PT
2025-12-11,444.6,446.3,440.9,442.4,7324,3249487350.0,10349,GFEX.PT
2025-12-12,446.0,455.0,444.7,452.05,12412,5596140550.0,11170,GFEX.PT
2025-12-15,457.0,482.4,455.8,482.4,41832,19834025400.0,17844,GFEX.PT
2025-12-16,482.0,505.6,479.0,485.75,92961,45836308450.0,21372,GFEX.PT
2025-12-17,500.0,527.55,500.0,527.55,93342,48090064450.0,27001,GFEX.PT
2025-12-18,529.0,549.9,529.0,542.6,148823,80783858650.0,31548,GFEX.PT
2025-12-19,540.0,542.15,516.05,533.55,149426,79393927350.0,33474,GFEX.PT
2025-12-22,560.0,568.45,555.0,568.45,52413,29541057150.0,36318,GFEX.PT
2025-12-23,600.0,619.95,593.65,619.95,146122,89815425250.0,38913,GFEX.PT
2025-12-24,657.65,657.65,653.85,657.65,15803,10387909900.0,39147,GFEX.PT
2025-12-25,625.0,700.9,596.0,686.95,212434,137100814050.0,40666,GFEX.PT
2025-12-26,708.3,709.85,693.0,705.3,93934,66205437750.0,43198,GFEX.PT
2025-12-29,677.0,729.5,634.35,634.35,126019,85435785700.0,41795,GFEX.PT
2025-12-30,589.85,616.0,589.85,589.85,65864,39482613150.0,39384,GFEX.PT
2025-12-31,570.0,588.7,512.75,527.25,126223,69225604100.0,33266,GFEX.PT
2026-01-05,612.0,612.0,566.4,583.95,57471,33439143950.0,31924,GFEX.PT
2026-01-06,596.25,629.75,588.0,616.8,61267,37598814400.0,33188,GFEX.PT
2026-01-07,650.0,652.85,585.05,598.5,78981,48686338350.0,32262,GFEX.PT
2026-01-08,591.0,614.85,568.0,575.0,51507,30554242700.0,31499,GFEX.PT
2026-01-09,584.0,613.3,576.3,599.8,48581,28911797100.0,31994,GFEX.PT
2026-01-12,630.0,639.0,615.7,622.8,38798,24282242150.0,31930,GFEX.PT
2026-01-13,614.15,623.35,590.5,605.05,30480,18543177000.0,31250,GFEX.PT
2026-01-14,623.85,648.6,616.45,630.65,38565,24495762100.0,31534,GFEX.PT
2026-01-15,616.0,622.9,588.0,609.05,28226,17116828150.0,31282,GFEX.PT
2026-01-16,618.15,633.85,601.5,610.05,24678,15252385750.0,30594,GFEX.PT
2026-01-19,625.3,629.0,610.75,615.1,14583,8993576700.0,30983,GFEX.PT
2026-01-20,616.0,623.2,598.0,619.35,21609,13252312200.0,30557,GFEX.PT
2026-01-21,655.0,658.1,623.75,628.5,26077,16682767550.0,30413,GFEX.PT
2026-01-22,611.05,633.9,606.25,633.85,16793,10435056850.0,29581,GFEX.PT
2026-01-23,686.55,688.6,668.3,685.9,25095,17038731850.0,28152,GFEX.PT
2026-01-26,720.0,762.85,712.0,744.7,37268,27572535900.0,29193,GFEX.PT
2026-01-27,678.0,712.15,668.0,705.7,27584,19199365550.0,28337,GFEX.PT
2026-01-28,711.05,713.3,690.0,694.8,19086,13370050950.0,28875,GFEX.PT
2026-01-29,710.0,733.85,697.65,714.1,27692,19796524150.0,29335,GFEX.PT
2026-01-30,696.2,701.95,616.2,630.55,40153,26393631650.0,26982,GFEX.PT
2026-02-02,552.15,562.3,552.15,552.15,6299,3485807300.0,26857,GFEX.PT
2026-02-03,535.6,577.0,535.6,572.95,27866,15662743600.0,25431,GFEX.PT
