datetime,open,high,low,close,volume,amount,position,symbol
2022-12-23,18180.0,18220.0,17060.0,17060.0,30354,2645073248.0,7629,GFEX.SI
2022-12-26,16940.0,17435.0,16825.0,17170.0,23991,2061567728.0,7922,GFEX.SI
2022-12-27,17200.0,17410.0,17130.0,17165.0,13350,1154001024.0,8685,GFEX.SI
2022-12-28,17100.0,17575.0,16960.0,17425.0,21736,1887395568.0,8197,GFEX.SI
2022-12-29,17390.0,17665.0,17325.0,17515.0,12999,1137275152.0,7813,GFEX.SI
2022-12-30,17535.0,18520.0,17535.0,17895.0,37967,3430366896.0,7708,GFEX.SI
2023-01-03,17870.0,18040.0,17600.0,17770.0,15386,1370863248.0,7390,GFEX.SI
2023-01-04,17715.0,18050.0,17555.0,17640.0,14744,1315988272.0,7502,GFEX.SI
2023-01-05,17615.0,17800.0,17500.0,17585.0,10709,944738144.0,7552,GFEX.SI
2023-01-06,17530.0,17825.0,17530.0,17820.0,8604,760446368.0,7712,GFEX.SI
2023-01-09,17850.0,17920.0,17670.0,17695.0,12281,1092323328.0,12581,GFEX.SI
2023-01-10,17705.0,17785.0,17460.0,17475.0,14945,1321946624.0,19286,GFEX.SI
2023-01-11,17460.0,17555.0,17315.0,17350.0,20389,1777874080.0,28032,GFEX.SI
2023-01-12,17330.0,17770.0,17270.0,17445.0,34783,3048009376.0,38561,GFEX.SI
2023-01-13,17450.0,17690.0,17420.0,17520.0,31521,2767082096.0,52350,GFEX.SI
2023-01-16,17450.0,17670.0,17450.0,17515.0,23451,2055961008.0,59021,GFEX.SI
2023-01-17,17530.0,17800.0,17530.0,17615.0,37276,3287034400.0,73217,GFEX.SI
2023-01-18,17650.0,17825.0,17620.0,17710.0,43134,3822292720.0,81677,GFEX.SI
2023-01-19,17720.0,18375.0,17650.0,18330.0,45507,4069861952.0,89496,GFEX.SI
2023-01-20,18400.0,18625.0,18105.0,18590.0,54931,5042790144.0,91870,GFEX.SI
2023-01-30,18660.0,18720.0,17980.0,18075.0,32749,2994901472.0,94836,GFEX.SI
2023-01-31,18065.0,18260.0,17820.0,17860.0,36851,3330559632.0,99965,GFEX.SI
2023-02-01,17860.0,18060.0,17660.0,17900.0,48186,4299248640.0,103413,GFEX.SI
2023-02-02,17840.0,18020.0,17575.0,17625.0,46937,4190511328.0,105227,GFEX.SI
2023-02-03,17670.0,17820.0,17500.0,17745.0,61844,5467752192.0,84586,GFEX.SI
2023-02-06,17695.0,17820.0,17625.0,17765.0,24588,2177856752.0,67793,GFEX.SI
2023-02-07,17780.0,17850.0,17655.0,17715.0,24892,2208754448.0,57889,GFEX.SI
2023-02-08,17740.0,18025.0,17680.0,17875.0,36280,3230315808.0,51702,GFEX.SI
2023-02-09,17875.0,18105.0,17820.0,18020.0,23555,2118547824.0,53909,GFEX.SI
2023-02-10,18000.0,18105.0,17775.0,17955.0,19541,1752941920.0,54190,GFEX.SI
2023-02-13,17955.0,18080.0,17850.0,17920.0,17928,1611351904.0,53361,GFEX.SI
2023-02-14,17930.0,18035.0,17900.0,17945.0,18859,1695128400.0,51783,GFEX.SI
2023-02-15,18000.0,18110.0,17865.0,17885.0,25670,2305295056.0,50866,GFEX.SI
2023-02-16,17950.0,17950.0,17585.0,17630.0,32027,2851221104.0,47060,GFEX.SI
2023-02-17,17630.0,17750.0,17360.0,17375.0,27627,2433046256.0,47877,GFEX.SI
2023-02-20,17300.0,17495.0,17260.0,17470.0,32048,2785603872.0,48666,GFEX.SI
2023-02-21,17555.0,17800.0,17550.0,17675.0,34830,3071016480.0,46597,GFEX.SI
2023-02-22,17650.0,17755.0,17505.0,17575.0,41633,3674084704.0,47406,GFEX.SI
2023-02-23,17620.0,17700.0,17570.0,17620.0,39303,3466222128.0,46217,GFEX.SI
2023-02-24,17635.0,17680.0,17555.0,17635.0,44344,3904338656.0,45607,GFEX.SI
2023-02-27,17615.0,17745.0,17460.0,17480.0,42878,3774027632.0,46391,GFEX.SI
2023-02-28,17500.0,17580.0,17420.0,17520.0,68158,5963606784.0,44252,GFEX.SI
2023-03-01,17500.0,17595.0,17485.0,17540.0,29733,2607672432.0,45681,GFEX.SI
2023-03-02,17550.0,17620.0,17510.0,17525.0,30400,2666797456.0,47030,GFEX.SI
2023-03-03,17510.0,17560.0,17480.0,17490.0,53516,4689302272.0,44830,GFEX.SI
2023-03-06,17490.0,17520.0,17290.0,17300.0,36285,3162452048.0,47066,GFEX.SI
2023-03-07,17300.0,17410.0,17100.0,17130.0,38319,3316792672.0,50572,GFEX.SI
2023-03-08,17140.0,17330.0,17010.0,17175.0,23780,2035547776.0,50393,GFEX.SI
2023-03-09,17195.0,17220.0,17010.0,17075.0,38897,3324517120.0,51650,GFEX.SI
2023-03-10,17085.0,17115.0,16865.0,16960.0,42969,3650600768.0,51827,GFEX.SI
2023-03-13,16960.0,17040.0,16820.0,16970.0,37179,3148044608.0,52516,GFEX.SI
2023-03-14,16940.0,17060.0,16860.0,16905.0,27612,2340220928.0,51114,GFEX.SI
2023-03-15,16880.0,16960.0,16710.0,16740.0,28714,2423381776.0,51155,GFEX.SI
2023-03-16,16690.0,16710.0,15950.0,15975.0,45330,3701218624.0,53627,GFEX.SI
2023-03-17,16060.0,16310.0,16010.0,16120.0,44038,3561741168.0,54550,GFEX.SI
2023-03-20,16160.0,16295.0,16020.0,16080.0,34958,2829261280.0,52766,GFEX.SI
2023-03-21,16200.0,16330.0,15785.0,15870.0,45907,3665703296.0,58019,GFEX.SI
2023-03-22,15870.0,16030.0,15745.0,15965.0,49933,3961355696.0,58933,GFEX.SI
2023-03-23,15990.0,16070.0,15850.0,15895.0,34570,2757485296.0,58690,GFEX.SI
2023-03-24,15920.0,15980.0,15750.0,15895.0,42570,3382601456.0,60439,GFEX.SI
2023-03-27,15900.0,16065.0,15880.0,15915.0,34828,2778083920.0,60151,GFEX.SI
2023-03-28,15950.0,15995.0,15865.0,15910.0,42609,3393590976.0,60224,GFEX.SI
2023-03-29,15640.0,15890.0,15480.0,15750.0,55338,4362692864.0,61440,GFEX.SI
2023-03-30,15710.0,15790.0,15650.0,15730.0,34111,2678890800.0,62460,GFEX.SI
2023-03-31,15740.0,15820.0,15490.0,15515.0,54924,4311567616.0,65673,GFEX.SI
2023-04-03,15555.0,15600.0,15310.0,15310.0,53344,4117000896.0,66447,GFEX.SI
2023-04-04,15310.0,15310.0,14990.0,15070.0,62029,4694786560.0,68747,GFEX.SI
2023-04-06,15040.0,15335.0,14710.0,15225.0,90203,6756924416.0,67573,GFEX.SI
2023-04-07,15255.0,15310.0,15120.0,15225.0,56010,4266470800.0,69080,GFEX.SI
2023-04-10,15250.0,15290.0,14865.0,14930.0,56688,4261261900.0,68942,GFEX.SI
2023-04-11,14925.0,15050.0,14830.0,14965.0,44975,3367285375.0,68790,GFEX.SI
2023-04-12,14980.0,15310.0,14980.0,15155.0,66574,5049095950.0,72907,GFEX.SI
2023-04-13,15155.0,15230.0,15025.0,15065.0,47834,3614487225.0,73790,GFEX.SI
2023-04-14,15100.0,15220.0,15015.0,15085.0,65570,4953841125.0,75421,GFEX.SI
2023-04-17,15110.0,15400.0,15095.0,15395.0,80138,6114578250.0,73197,GFEX.SI
2023-04-18,15420.0,15545.0,15300.0,15480.0,73674,5689613700.0,71320,GFEX.SI
2023-04-19,15540.0,15660.0,15410.0,15440.0,69044,5363762575.0,67939,GFEX.SI
2023-04-20,15400.0,15450.0,15150.0,15160.0,73032,5565323675.0,71782,GFEX.SI
2023-04-21,15100.0,15225.0,15035.0,15140.0,55796,4220902675.0,69726,GFEX.SI
2023-04-24,15100.0,15295.0,15015.0,15120.0,49468,3756137900.0,72000,GFEX.SI
2023-04-25,15160.0,15410.0,15160.0,15400.0,53476,4087388575.0,72600,GFEX.SI
2023-04-26,15375.0,15550.0,15300.0,15325.0,67064,5171597900.0,72262,GFEX.SI
2023-04-27,15305.0,15475.0,15125.0,15175.0,59387,4540139450.0,66623,GFEX.SI
2023-04-28,15170.0,15275.0,15090.0,15190.0,50403,3822767025.0,60818,GFEX.SI
2023-05-04,15160.0,15325.0,15120.0,15190.0,42299,3217374150.0,65291,GFEX.SI
2023-05-05,15160.0,15295.0,15010.0,15225.0,57306,4339511400.0,69038,GFEX.SI
2023-05-08,15300.0,15360.0,15205.0,15235.0,44316,3382266775.0,70272,GFEX.SI
2023-05-09,15230.0,15240.0,15070.0,15100.0,44109,3338019025.0,70881,GFEX.SI
2023-05-10,15090.0,15160.0,14535.0,14565.0,110812,8176230475.0,80773,GFEX.SI
2023-05-11,14505.0,14520.0,14320.0,14400.0,77693,5603491425.0,81343,GFEX.SI
2023-05-12,14360.0,14450.0,14150.0,14150.0,62643,4484306250.0,82878,GFEX.SI
2023-05-15,14180.0,14270.0,14040.0,14085.0,57217,4042154700.0,82520,GFEX.SI
2023-05-16,14090.0,14215.0,14020.0,14050.0,53521,3770431975.0,84450,GFEX.SI
2023-05-17,14030.0,14080.0,13815.0,13860.0,64711,4494170075.0,86748,GFEX.SI
2023-05-18,13860.0,13920.0,13550.0,13620.0,88463,6052695300.0,87886,GFEX.SI
2023-05-19,13505.0,13520.0,13170.0,13250.0,99229,6615326350.0,90555,GFEX.SI
2023-05-22,13170.0,13190.0,12695.0,12880.0,112779,7311348025.0,89892,GFEX.SI
2023-05-23,12900.0,13280.0,12880.0,13150.0,95956,6294742475.0,86235,GFEX.SI
2023-05-24,13120.0,13275.0,13010.0,13090.0,72858,4774322725.0,85262,GFEX.SI
2023-05-25,13025.0,13035.0,12585.0,12635.0,89371,5730658225.0,88354,GFEX.SI
2023-05-26,12580.0,12985.0,12505.0,12860.0,102220,6486658500.0,87292,GFEX.SI
2023-05-29,12930.0,13230.0,12760.0,12880.0,74437,4796713175.0,88566,GFEX.SI
2023-05-30,12885.0,12945.0,12785.0,12880.0,55542,3573283350.0,88362,GFEX.SI
