datetime,open,high,low,close,volume,amount,position,symbol
2020-11-20,47170.0,47840.0,46880.0,47790.0,4705,1114311296.0,1651,INE.BC
2020-11-23,48000.0,48680.0,47960.0,48220.0,8386,2026040800.0,2312,INE.BC
2020-11-24,48220.0,48940.0,47820.0,48910.0,5692,1377166448.0,2445,INE.BC
2020-11-25,48950.0,49210.0,48610.0,48750.0,4635,1132817904.0,2314,INE.BC
2020-11-26,48600.0,49410.0,48500.0,49330.0,11076,2713973600.0,5028,INE.BC
2020-11-27,49150.0,50040.0,49090.0,49990.0,13868,3436081856.0,7110,INE.BC
2020-11-30,50000.0,51440.0,49930.0,51370.0,17011,4305881344.0,8596,INE.BC
2020-12-01,51460.0,51570.0,50410.0,50800.0,18733,4782930944.0,9501,INE.BC
2020-12-02,51040.0,51530.0,50680.0,50970.0,16539,4231882096.0,9925,INE.BC
2020-12-03,50620.0,51160.0,50340.0,50730.0,16404,4166556608.0,10367,INE.BC
2020-12-04,51000.0,51340.0,50540.0,51250.0,23877,6088049664.0,11316,INE.BC
2020-12-07,51120.0,51550.0,50850.0,50930.0,21534,5505901568.0,11313,INE.BC
2020-12-08,50790.0,51100.0,50660.0,50800.0,12908,3284599744.0,11311,INE.BC
2020-12-09,50670.0,51280.0,50510.0,51130.0,15641,3984471904.0,11099,INE.BC
2020-12-10,51130.0,51270.0,50500.0,51250.0,14764,3766166800.0,10936,INE.BC
2020-12-11,51280.0,52740.0,50900.0,51630.0,25834,6707761408.0,10992,INE.BC
2020-12-14,51520.0,51800.0,50970.0,51610.0,20221,5201115392.0,10459,INE.BC
2020-12-15,51610.0,51640.0,51110.0,51400.0,15381,3948705808.0,10491,INE.BC
2020-12-16,51530.0,51880.0,51250.0,51660.0,19269,4968672000.0,10458,INE.BC
2020-12-17,51790.0,52330.0,51590.0,52290.0,20557,5337640704.0,10398,INE.BC
2020-12-18,52370.0,53080.0,52200.0,52860.0,26301,6920517632.0,10572,INE.BC
2020-12-21,52810.0,53110.0,52330.0,52860.0,26596,7015868672.0,10291,INE.BC
2020-12-22,52270.0,52500.0,51510.0,51600.0,22496,5860257536.0,9957,INE.BC
2020-12-23,51550.0,51690.0,50870.0,51570.0,23936,6148273152.0,9927,INE.BC
2020-12-24,51570.0,52060.0,51570.0,51780.0,12885,3338458944.0,9988,INE.BC
2020-12-25,51750.0,52250.0,51460.0,52190.0,8564,2219319600.0,10392,INE.BC
2020-12-28,52190.0,52730.0,51940.0,52330.0,6378,1669364544.0,10507,INE.BC
2020-12-29,52370.0,52550.0,51710.0,51910.0,9283,2422540144.0,10596,INE.BC
2020-12-30,52030.0,52260.0,51740.0,52110.0,7803,2027713344.0,10320,INE.BC
2020-12-31,51820.0,51950.0,51330.0,51450.0,8723,2251289344.0,10556,INE.BC
2021-01-04,51380.0,51900.0,51350.0,51790.0,7207,1862866608.0,10707,INE.BC
2021-01-05,51960.0,52100.0,51330.0,51730.0,10822,2797540096.0,11197,INE.BC
2021-01-06,51720.0,52790.0,51690.0,52550.0,12268,3208450752.0,11041,INE.BC
2021-01-07,52740.0,53060.0,52290.0,52930.0,10550,2780482544.0,10879,INE.BC
2021-01-08,52670.0,54060.0,52580.0,53730.0,13380,3577644208.0,10695,INE.BC
2021-01-11,53450.0,53640.0,52100.0,52170.0,14983,3963410304.0,10330,INE.BC
2021-01-12,52220.0,52320.0,51520.0,52220.0,11680,3028094848.0,10077,INE.BC
2021-01-13,52410.0,52540.0,52070.0,52290.0,8582,2244902400.0,9898,INE.BC
2021-01-14,52200.0,52430.0,51990.0,52230.0,7473,1951806752.0,9865,INE.BC
2021-01-15,52400.0,53120.0,52160.0,52200.0,10806,2845206048.0,10134,INE.BC
2021-01-18,52390.0,52870.0,51850.0,52730.0,12208,3189516208.0,9940,INE.BC
2021-01-19,52560.0,52650.0,52190.0,52360.0,6356,1665440848.0,9893,INE.BC
2021-01-20,52410.0,52870.0,52190.0,52600.0,8990,2362376448.0,10059,INE.BC
2021-01-21,52430.0,52890.0,52230.0,52740.0,9218,2424801904.0,10171,INE.BC
2021-01-22,52770.0,52990.0,52150.0,52310.0,10436,2740528400.0,9738,INE.BC
2021-01-25,51880.0,52680.0,51720.0,52600.0,12234,3198285456.0,7792,INE.BC
2021-01-26,52380.0,52550.0,51960.0,52010.0,9438,2471007504.0,3916,INE.BC
2021-01-27,52290.0,52600.0,52090.0,52290.0,4249,1111581648.0,3196,INE.BC
2021-01-28,51860.0,52100.0,51190.0,51380.0,7999,2062494944.0,3320,INE.BC
2021-01-29,51260.0,52090.0,51130.0,51290.0,7927,2047240000.0,3307,INE.BC
2021-02-01,51480.0,51950.0,50980.0,51590.0,6320,1630142304.0,3269,INE.BC
2021-02-02,51310.0,51540.0,50970.0,51040.0,4263,1093175056.0,3158,INE.BC
2021-02-03,50880.0,51140.0,50640.0,50780.0,4684,1191162896.0,13214,INE.BC
2021-02-04,51140.0,51640.0,51010.0,51480.0,4429,1136562208.0,13383,INE.BC
2021-02-05,51410.0,51900.0,51240.0,51830.0,4466,1151449296.0,12964,INE.BC
2021-02-08,52110.0,52590.0,51770.0,52360.0,4771,1244291600.0,12813,INE.BC
2021-02-09,52450.0,53170.0,52390.0,53020.0,4420,1167542800.0,12316,INE.BC
2021-02-10,53110.0,54280.0,52960.0,54210.0,9295,2487251856.0,11287,INE.BC
2021-02-18,55100.0,56510.0,54940.0,56380.0,3791,1058144544.0,12029,INE.BC
2021-02-19,56500.0,57380.0,56100.0,57240.0,9582,2710944944.0,12213,INE.BC
2021-02-22,57360.0,59970.0,57320.0,59970.0,5772,1690420800.0,12158,INE.BC
2021-02-23,59710.0,61360.0,59370.0,60600.0,27135,8159163648.0,14593,INE.BC
2021-02-24,60190.0,61550.0,59420.0,60560.0,31309,9464111616.0,16151,INE.BC
2021-02-25,60920.0,63260.0,60650.0,62730.0,22637,6973623808.0,16740,INE.BC
2021-02-26,62690.0,62980.0,60720.0,60720.0,27921,8642306048.0,17202,INE.BC
2021-03-01,60000.0,60820.0,58180.0,60140.0,32700,9864183296.0,16572,INE.BC
2021-03-02,60020.0,60310.0,58610.0,59530.0,18098,5393577728.0,16164,INE.BC
2021-03-03,60400.0,61280.0,59990.0,60460.0,17006,5137278208.0,16749,INE.BC
2021-03-04,60460.0,60460.0,59230.0,59240.0,15486,4632123136.0,16989,INE.BC
2021-03-05,58040.0,59130.0,56520.0,58530.0,21835,6369390336.0,16665,INE.BC
2021-03-08,59250.0,59880.0,58390.0,58470.0,22476,6639859968.0,16522,INE.BC
2021-03-09,58740.0,59970.0,58460.0,58850.0,18360,5438630400.0,16484,INE.BC
2021-03-10,58680.0,58850.0,57780.0,58090.0,15169,4422756608.0,16631,INE.BC
2021-03-11,58660.0,60160.0,58080.0,59860.0,15995,4712365056.0,17092,INE.BC
2021-03-12,59870.0,59920.0,59150.0,59510.0,15557,4632000512.0,16874,INE.BC
2021-03-15,59600.0,60620.0,59430.0,60040.0,13237,3973546496.0,16678,INE.BC
