datetime,open,high,low,close,volume,amount,position,symbol
2023-08-21,918.0,950.0,894.1,903.2,268074,12287785984.0,14428,INE.EC
2023-08-22,895.4,957.0,885.0,895.1,332138,15335707648.0,15913,INE.EC
2023-08-23,895.0,930.7,894.4,901.6,263360,11981099776.0,16859,INE.EC
2023-08-24,905.0,920.7,866.0,874.8,261191,11717389568.0,20109,INE.EC
2023-08-25,880.0,888.0,852.0,861.5,229053,9963470592.0,21668,INE.EC
2023-08-28,872.1,890.0,826.2,847.9,204338,8770196224.0,22475,INE.EC
2023-08-29,848.1,867.8,831.2,855.7,207637,8863588608.0,20026,INE.EC
2023-08-30,861.1,875.0,855.7,864.0,169160,7328483328.0,17960,INE.EC
2023-08-31,865.0,872.0,842.3,857.3,198891,8489493760.0,19316,INE.EC
2023-09-01,866.5,895.8,857.3,883.7,213787,9407675648.0,20147,INE.EC
2023-09-04,895.0,900.0,872.8,877.8,157748,6964013056.0,21372,INE.EC
2023-09-05,878.0,971.1,877.2,969.0,347586,16406273024.0,30025,INE.EC
2023-09-06,972.0,980.4,918.0,928.6,346145,16217251584.0,27606,INE.EC
2023-09-07,930.0,961.0,910.0,920.1,312316,14545223936.0,29062,INE.EC
2023-09-08,915.0,934.7,890.4,891.0,242683,11011444736.0,28955,INE.EC
2023-09-11,892.9,918.6,888.8,905.3,181314,8204203264.0,29825,INE.EC
2023-09-12,909.0,921.8,898.0,905.3,145552,6600099584.0,30208,INE.EC
2023-09-13,910.0,918.8,868.6,876.4,195593,8758803456.0,32468,INE.EC
2023-09-14,878.0,890.6,866.0,870.5,141628,6223482112.0,34337,INE.EC
2023-09-15,878.0,889.8,871.5,884.5,116020,5102217728.0,31022,INE.EC
2023-09-18,884.8,914.5,880.0,897.7,153019,6886046976.0,31832,INE.EC
2023-09-19,900.0,908.1,886.0,894.9,105863,4741919232.0,31798,INE.EC
2023-09-20,898.0,916.0,894.0,908.7,100050,4519156992.0,32067,INE.EC
2023-09-21,906.0,911.3,878.2,882.0,119952,5359425280.0,31836,INE.EC
2023-09-22,890.0,890.0,870.0,877.8,103584,4560445952.0,32413,INE.EC
2023-09-25,876.3,884.4,831.6,834.1,144608,6215922432.0,41869,INE.EC
2023-09-26,824.0,830.0,773.6,773.7,268344,10656755200.0,53426,INE.EC
2023-09-27,774.4,781.3,730.3,753.4,392358,14727844352.0,52189,INE.EC
2023-09-28,759.6,768.0,706.7,716.9,372380,13622282496.0,55224,INE.EC
2023-10-09,711.0,744.1,689.0,737.0,234506,8394059520.0,58311,INE.EC
2023-10-10,739.3,753.0,716.3,727.2,305941,11210886656.0,63859,INE.EC
2023-10-11,734.0,755.1,728.0,744.0,290003,10803846912.0,63749,INE.EC
2023-10-12,741.0,800.5,727.4,786.5,406907,15654285056.0,61379,INE.EC
2023-10-13,781.0,799.9,770.2,781.8,313844,12272135680.0,58328,INE.EC
2023-10-16,788.0,823.0,781.6,781.7,345248,13879982336.0,61827,INE.EC
2023-10-17,777.5,778.0,723.6,723.6,419664,15540453376.0,73544,INE.EC
2023-10-18,725.0,744.0,714.0,732.7,457055,16655593472.0,72301,INE.EC
2023-10-19,727.4,759.7,720.0,756.9,401510,14874137088.0,67090,INE.EC
2023-10-20,760.0,773.9,712.0,736.4,469683,17530505728.0,69845,INE.EC
2023-10-23,738.8,769.4,730.1,757.8,462435,17431691008.0,68771,INE.EC
2023-10-24,755.0,776.8,744.1,770.4,421330,16083898112.0,66905,INE.EC
