datetime,open,high,low,close,volume,amount,position,symbol
2020-06-23,2611.0,2679.0,2602.0,2649.0,144505,3830378928.0,33377,INE.LU
2020-06-24,2660.0,2672.0,2588.0,2603.0,79323,2084899104.0,34207,INE.LU
2020-06-29,2577.0,2577.0,2486.0,2514.0,63816,1607171584.0,42496,INE.LU
2020-06-30,2540.0,2568.0,2522.0,2534.0,42512,1081053728.0,40329,INE.LU
2020-07-01,2526.0,2568.0,2516.0,2553.0,28865,733966176.0,39329,INE.LU
2020-07-02,2526.0,2575.0,2526.0,2553.0,39078,997045056.0,41683,INE.LU
2020-07-03,2560.0,2613.0,2560.0,2589.0,43286,1120111104.0,39595,INE.LU
2020-07-06,2576.0,2612.0,2565.0,2601.0,30837,798942528.0,37478,INE.LU
2020-07-07,2600.0,2609.0,2555.0,2574.0,26882,693148592.0,37095,INE.LU
2020-07-08,2575.0,2591.0,2564.0,2570.0,13873,357587008.0,37052,INE.LU
2020-07-09,2579.0,2583.0,2533.0,2563.0,14556,373702656.0,36747,INE.LU
2020-07-10,2568.0,2575.0,2480.0,2493.0,21575,544622448.0,37502,INE.LU
2020-07-13,2511.0,2557.0,2507.0,2542.0,15256,386628624.0,36363,INE.LU
2020-07-14,2549.0,2560.0,2485.0,2519.0,18192,458711984.0,38243,INE.LU
2020-07-15,2518.0,2539.0,2506.0,2520.0,13821,348944656.0,38565,INE.LU
2020-07-16,2529.0,2540.0,2503.0,2510.0,16460,414507760.0,38007,INE.LU
2020-07-17,2510.0,2535.0,2484.0,2491.0,19137,479889392.0,38953,INE.LU
2020-07-20,2485.0,2518.0,2436.0,2452.0,29044,716657648.0,39974,INE.LU
2020-07-21,2456.0,2487.0,2436.0,2487.0,18480,455505776.0,37574,INE.LU
2020-07-22,2530.0,2598.0,2516.0,2528.0,37610,959282976.0,36752,INE.LU
2020-07-23,2526.0,2588.0,2514.0,2588.0,16297,414793088.0,36810,INE.LU
2020-07-24,2568.0,2573.0,2486.0,2506.0,30403,769362256.0,38900,INE.LU
2020-07-27,2518.0,2521.0,2484.0,2486.0,22374,560061856.0,44380,INE.LU
