datetime,open,high,low,close,volume,amount,position,symbol
2019-08-13,9780.0,9980.0,9775.0,9855.0,18956,1868824896.0,17864,INE.NR
2019-08-14,9840.0,10220.0,9785.0,9995.0,37116,3698614608.0,23014,INE.NR
2019-08-15,9935.0,9980.0,9850.0,9865.0,12196,1208140704.0,23046,INE.NR
2019-08-16,9860.0,9940.0,9830.0,9875.0,10154,1003352304.0,22704,INE.NR
2019-08-19,9885.0,10080.0,9885.0,10030.0,13220,1321956400.0,25496,INE.NR
2019-08-20,10030.0,10035.0,9945.0,9975.0,5090,508477696.0,25008,INE.NR
2019-08-21,9960.0,9975.0,9835.0,9890.0,9092,898132608.0,23756,INE.NR
2019-08-22,9890.0,9925.0,9815.0,9910.0,3656,361135104.0,23148,INE.NR
2019-08-23,9860.0,9905.0,9780.0,9815.0,6312,620099808.0,21702,INE.NR
2019-08-26,9840.0,9940.0,9700.0,9915.0,10520,1033779600.0,21562,INE.NR
2019-08-27,9915.0,9980.0,9860.0,9900.0,4724,468530496.0,21966,INE.NR
2019-08-28,9930.0,10095.0,9860.0,9970.0,14340,1434622608.0,24574,INE.NR
2019-08-29,9965.0,10030.0,9905.0,9940.0,4078,406534000.0,24906,INE.NR
2019-08-30,9925.0,10080.0,9925.0,10065.0,7310,731852704.0,24738,INE.NR
2019-09-02,10080.0,10195.0,10000.0,10045.0,12106,1220227296.0,24118,INE.NR
2019-09-03,10025.0,10135.0,10010.0,10135.0,5134,517052304.0,24496,INE.NR
2019-09-04,10110.0,10475.0,9900.0,10395.0,19446,2001880496.0,26182,INE.NR
2019-09-05,10405.0,10455.0,10210.0,10310.0,7412,766828896.0,26610,INE.NR
2019-09-06,10325.0,10400.0,10160.0,10190.0,10156,1046495696.0,26616,INE.NR
2019-09-09,10195.0,10300.0,10115.0,10265.0,4602,470693200.0,27004,INE.NR
2019-09-10,10280.0,10315.0,10155.0,10270.0,4564,467251104.0,26836,INE.NR
2019-09-11,10260.0,10270.0,10155.0,10220.0,4804,490748704.0,27036,INE.NR
2019-09-12,10190.0,10250.0,10120.0,10145.0,4114,418789104.0,27040,INE.NR
2019-09-16,10225.0,10380.0,10200.0,10255.0,5002,513961696.0,26750,INE.NR
2019-09-17,10275.0,10415.0,10210.0,10255.0,6162,635439296.0,26992,INE.NR
2019-09-18,10250.0,10260.0,10050.0,10145.0,7318,744770496.0,25388,INE.NR
2019-09-19,10145.0,10195.0,10080.0,10105.0,2876,291834896.0,25004,INE.NR
2019-09-20,10075.0,10120.0,10025.0,10100.0,4506,453761504.0,24098,INE.NR
2019-09-23,10100.0,10265.0,10085.0,10210.0,5534,563735504.0,24518,INE.NR
2019-09-24,10210.0,10240.0,10100.0,10100.0,2152,218939300.0,24042,INE.NR
2019-09-25,10105.0,10125.0,10000.0,10025.0,6794,682912304.0,22248,INE.NR
2019-09-26,9995.0,10060.0,9910.0,9910.0,5566,555527504.0,21898,INE.NR
2019-09-27,9910.0,9930.0,9700.0,9785.0,12902,1264022208.0,20932,INE.NR
2019-09-30,9785.0,9875.0,9740.0,9745.0,4236,414837008.0,20640,INE.NR
2019-10-08,9725.0,9850.0,9600.0,9680.0,5480,531712896.0,21442,INE.NR
2019-10-09,9665.0,9790.0,9665.0,9770.0,5090,496320896.0,22276,INE.NR
2019-10-10,9780.0,9880.0,9700.0,9860.0,5286,517080304.0,22172,INE.NR
2019-10-11,9850.0,9865.0,9780.0,9860.0,6704,658617904.0,22838,INE.NR
2019-10-14,9845.0,9990.0,9795.0,9975.0,5584,553337504.0,22852,INE.NR
2019-10-15,9975.0,9975.0,9810.0,9820.0,3318,327642704.0,23266,INE.NR
2019-10-16,9815.0,9920.0,9790.0,9820.0,4328,426210096.0,23992,INE.NR
2019-10-17,9850.0,9950.0,9810.0,9845.0,4304,425351296.0,24004,INE.NR
2019-10-18,9850.0,10070.0,9850.0,9980.0,5990,596664000.0,24530,INE.NR
2019-10-21,9985.0,10010.0,9905.0,9960.0,3128,311448000.0,24534,INE.NR
2019-10-22,9955.0,10145.0,9945.0,10020.0,12028,1209057408.0,26996,INE.NR
2019-10-23,10020.0,10150.0,9975.0,10015.0,8186,823457104.0,27670,INE.NR
2019-10-24,9970.0,10035.0,9920.0,9990.0,4458,445225296.0,27996,INE.NR
2019-10-25,9990.0,10040.0,9930.0,9985.0,4346,433835008.0,28322,INE.NR
2019-10-28,9970.0,10085.0,9850.0,9920.0,6874,684967696.0,28066,INE.NR
2019-10-29,9865.0,9975.0,9865.0,9945.0,2802,278097696.0,27748,INE.NR
2019-10-30,9890.0,10085.0,9890.0,10085.0,6842,686117408.0,28688,INE.NR
2019-10-31,10060.0,10165.0,10025.0,10075.0,9862,993498400.0,29554,INE.NR
2019-11-01,10010.0,10080.0,9930.0,10040.0,5722,572106096.0,29336,INE.NR
2019-11-04,10040.0,10060.0,9960.0,9990.0,3306,330931904.0,29308,INE.NR
2019-11-05,9985.0,10230.0,9985.0,10225.0,11028,1116989296.0,30446,INE.NR
2019-11-06,10230.0,10260.0,10125.0,10165.0,5204,529506704.0,29898,INE.NR
2019-11-07,10155.0,10240.0,10060.0,10130.0,8390,853144496.0,30122,INE.NR
2019-11-08,10095.0,10220.0,10045.0,10165.0,11496,1165430800.0,30466,INE.NR
2019-11-11,10050.0,10235.0,10050.0,10120.0,6958,706867600.0,30384,INE.NR
2019-11-12,10125.0,10325.0,10050.0,10310.0,10568,1077018608.0,31088,INE.NR
2019-11-13,10295.0,10325.0,10180.0,10225.0,8876,910928896.0,30210,INE.NR
2019-11-14,10225.0,10385.0,10180.0,10360.0,6590,679765408.0,30476,INE.NR
2019-11-15,10450.0,10485.0,10115.0,10120.0,9222,954036800.0,33344,INE.NR
2019-11-18,10100.0,10420.0,10100.0,10385.0,9330,962806304.0,34596,INE.NR
2019-11-19,10430.0,10430.0,10295.0,10360.0,12014,1244438496.0,33442,INE.NR
2019-11-20,10305.0,10850.0,10305.0,10780.0,22726,2418418400.0,35834,INE.NR
2019-11-21,10750.0,10845.0,10670.0,10785.0,26196,2820530304.0,38676,INE.NR
2019-11-22,10785.0,11105.0,10770.0,10845.0,34774,3792665104.0,37828,INE.NR
2019-11-25,10850.0,11640.0,10160.0,10970.0,34552,3792602304.0,37050,INE.NR
2019-11-26,11000.0,11035.0,10690.0,10825.0,28916,3151437504.0,43866,INE.NR
2019-11-27,10800.0,10945.0,10735.0,10790.0,26362,2858404704.0,45702,INE.NR
2019-11-28,10710.0,10850.0,10710.0,10785.0,17822,1924202704.0,46798,INE.NR
2019-11-29,10785.0,10790.0,10625.0,10650.0,17468,1869900000.0,47992,INE.NR
2019-12-02,10565.0,10825.0,10565.0,10690.0,15132,1620776896.0,48752,INE.NR
2019-12-03,10695.0,10865.0,10600.0,10810.0,15748,1691450704.0,49940,INE.NR
2019-12-04,10800.0,10920.0,10695.0,10905.0,15450,1669337008.0,50610,INE.NR
2019-12-05,10895.0,11285.0,10850.0,11185.0,33314,3679653296.0,52340,INE.NR
2019-12-06,11120.0,11345.0,11120.0,11325.0,29194,3285910304.0,55236,INE.NR
