datetime,open,high,low,close,volume,amount,position,symbol
2018-03-27,429.9,431.7,412.6,424.0,40602,17613939456.0,3936,INE.SC
2018-03-28,429.0,429.2,406.5,410.4,67198,27830988544.0,6074,INE.SC
2018-03-29,410.5,412.0,401.6,409.7,66668,27123247104.0,7732,INE.SC
2018-03-30,407.4,421.7,405.0,420.3,58562,24132572160.0,7058,INE.SC
2018-04-02,420.5,421.3,413.8,416.6,24644,10277822720.0,6536,INE.SC
2018-04-03,414.3,414.3,400.5,402.5,52826,21423243008.0,8546,INE.SC
2018-04-04,403.8,406.9,399.0,401.5,44234,17798489600.0,9164,INE.SC
2018-04-09,398.2,403.5,397.7,402.3,15470,6196606464.0,9504,INE.SC
2018-04-10,404.2,415.2,403.8,413.5,61690,25302188400.0,8992,INE.SC
2018-04-11,415.0,421.8,414.1,417.8,66434,27784175800.0,12462,INE.SC
2018-04-12,421.0,429.9,416.9,428.7,110076,46726634800.0,14474,INE.SC
2018-04-13,425.3,428.7,423.3,427.0,63092,26884227200.0,13480,INE.SC
2018-04-16,427.7,431.0,423.5,424.4,65284,27935145800.0,13494,INE.SC
2018-04-17,426.0,427.5,421.5,427.4,55000,23383262600.0,13002,INE.SC
2018-04-18,422.8,431.4,420.6,429.7,80338,34180329600.0,14628,INE.SC
2018-04-19,435.0,444.0,432.5,440.6,84716,37094717200.0,15928,INE.SC
2018-04-20,440.7,443.0,435.3,436.7,68430,30107902600.0,15616,INE.SC
2018-04-23,435.1,441.2,432.4,439.7,70338,30693224000.0,15986,INE.SC
2018-04-24,434.2,449.2,432.2,447.3,91590,40388577200.0,18324,INE.SC
2018-04-25,447.0,448.9,436.6,438.0,98992,43876553400.0,16184,INE.SC
2018-04-26,437.1,445.0,434.4,441.4,109256,48016816400.0,16286,INE.SC
2018-04-27,444.0,445.5,440.4,444.2,80582,35665152600.0,16256,INE.SC
2018-05-02,439.7,444.4,436.0,443.5,33454,14762003800.0,17254,INE.SC
2018-05-03,441.6,448.0,439.1,447.0,111198,49224566600.0,21392,INE.SC
2018-05-04,443.8,448.8,442.8,446.9,100694,44865290400.0,20456,INE.SC
2018-05-07,448.3,461.6,448.3,458.3,135002,61392778000.0,22786,INE.SC
2018-05-08,460.6,462.4,456.9,459.1,110926,50978077600.0,23344,INE.SC
2018-05-09,459.1,466.6,445.3,465.2,244268,111350947200.0,25760,INE.SC
2018-05-10,466.3,478.4,466.0,476.4,165456,77877430200.0,30620,INE.SC
2018-05-11,474.2,474.3,467.0,471.2,165686,77952412200.0,28136,INE.SC
2018-05-14,471.7,472.6,462.7,465.6,168258,78853356200.0,24488,INE.SC
2018-05-15,467.5,475.6,467.5,472.8,150048,70686085200.0,27872,INE.SC
2018-05-16,478.0,478.0,470.5,473.1,193836,91898373800.0,25888,INE.SC
2018-05-17,472.0,485.3,470.5,481.9,220206,104998874800.0,31014,INE.SC
2018-05-18,485.0,488.6,481.9,486.5,179326,86945220800.0,29920,INE.SC
2018-05-21,484.8,486.0,477.0,482.4,175668,84742245000.0,26892,INE.SC
2018-05-22,480.0,486.5,478.3,485.1,133016,64225572800.0,29060,INE.SC
2018-05-23,486.0,493.8,482.6,484.6,218094,106463854800.0,30956,INE.SC
2018-05-24,484.5,487.4,478.1,485.0,217168,104904472400.0,30414,INE.SC
2018-05-25,481.1,483.8,476.6,477.4,180374,86698040200.0,30964,INE.SC
2018-05-28,467.4,470.5,456.6,462.8,245594,114042984000.0,30338,INE.SC
2018-05-29,462.5,466.0,459.2,463.8,145200,67198318600.0,30166,INE.SC
2018-05-30,467.0,468.3,458.5,463.9,224162,103892550800.0,30760,INE.SC
2018-05-31,466.0,476.8,465.3,472.5,234544,110700946800.0,33824,INE.SC
2018-06-01,470.5,483.9,469.9,474.7,275006,130939204200.0,33986,INE.SC
2018-06-04,472.9,473.1,467.6,470.9,202210,95162743800.0,31182,INE.SC
2018-06-05,468.7,471.4,461.6,466.2,212376,99000144000.0,30258,INE.SC
2018-06-06,461.7,466.7,455.8,465.0,238464,109878736000.0,33080,INE.SC
2018-06-07,461.0,466.0,458.0,465.8,251680,116243988400.0,33264,INE.SC
2018-06-08,467.7,474.2,466.6,468.3,228524,107535701000.0,34290,INE.SC
2018-06-11,469.0,476.3,466.8,467.5,192790,90655673600.0,32846,INE.SC
2018-06-12,466.4,473.0,463.9,472.1,235584,110515327800.0,33878,INE.SC
2018-06-13,469.2,471.7,463.0,464.5,217898,101946454000.0,32200,INE.SC
2018-06-14,466.3,472.0,464.4,468.1,222996,104515965800.0,31010,INE.SC
2018-06-15,470.7,472.2,465.5,467.2,182254,85335104800.0,28670,INE.SC
2018-06-19,463.1,465.5,458.0,460.3,75788,34922657200.0,31970,INE.SC
2018-06-20,461.1,465.7,458.8,464.2,223134,103150109200.0,32990,INE.SC
2018-06-21,465.0,468.7,458.7,459.8,312444,144831867000.0,34196,INE.SC
2018-06-22,458.0,461.8,453.7,459.0,271166,124057653200.0,35592,INE.SC
2018-06-25,464.4,472.0,464.3,466.5,254096,118679370600.0,34400,INE.SC
2018-06-26,468.4,471.9,465.3,471.5,184420,86321895000.0,35956,INE.SC
