datetime,open,high,low,close,volume,amount,position,symbol
2012-05-11,6110.0,6115.0,6000.0,6002.0,206804,18787538220.0,55020,SHFE.AG
2012-05-14,6040.0,6045.0,5960.0,5976.0,207668,18687338400.0,57028,SHFE.AG
2012-05-15,5895.0,5910.0,5711.0,5842.0,445150,38820192570.0,82238,SHFE.AG
2012-05-16,5750.0,5786.0,5643.0,5647.0,599202,51268266150.0,108376,SHFE.AG
2012-05-17,5705.0,5787.0,5691.0,5763.0,558288,48136846560.0,89738,SHFE.AG
2012-05-18,5808.0,5881.0,5768.0,5863.0,695576,60806044470.0,92162,SHFE.AG
2012-05-21,5957.0,5964.0,5903.0,5940.0,405766,36107784270.0,97686,SHFE.AG
2012-05-22,5920.0,5930.0,5882.0,5890.0,371088,32862402480.0,90716,SHFE.AG
2012-05-23,5800.0,5818.0,5759.0,5791.0,300170,26074785510.0,90202,SHFE.AG
2012-05-24,5785.0,5838.0,5766.0,5832.0,301270,26230087920.0,85938,SHFE.AG
2012-05-25,5858.0,5912.0,5804.0,5904.0,420278,36878526930.0,92544,SHFE.AG
2012-05-28,5940.0,5992.0,5916.0,5986.0,381418,34073802630.0,94920,SHFE.AG
2012-05-29,5933.0,5982.0,5922.0,5962.0,349920,31230683790.0,93104,SHFE.AG
2012-05-30,5817.0,5855.0,5798.0,5801.0,349610,30556500690.0,94548,SHFE.AG
2012-05-31,5836.0,5878.0,5826.0,5851.0,365958,32133135000.0,85856,SHFE.AG
2012-06-01,5800.0,5840.0,5771.0,5832.0,296984,25887221670.0,86528,SHFE.AG
2012-06-04,5923.0,5998.0,5901.0,5949.0,393688,35145990300.0,87274,SHFE.AG
2012-06-05,5954.0,5985.0,5921.0,5931.0,323394,28876335570.0,87988,SHFE.AG
2012-06-06,6001.0,6092.0,5991.0,6088.0,343846,31207195740.0,89946,SHFE.AG
2012-06-07,6145.0,6154.0,6110.0,6134.0,272726,25058314050.0,91644,SHFE.AG
2012-06-08,6005.0,6023.0,5905.0,5935.0,316480,28291435860.0,79718,SHFE.AG
2012-06-11,6054.0,6099.0,6031.0,6062.0,207094,18850024080.0,77300,SHFE.AG
2012-06-12,5992.0,6038.0,5978.0,5989.0,243702,21951716460.0,87952,SHFE.AG
2012-06-13,6050.0,6083.0,6040.0,6083.0,184636,16790766840.0,80188,SHFE.AG
2012-06-14,6068.0,6128.0,6061.0,6080.0,189246,17277143880.0,82052,SHFE.AG
2012-06-15,6050.0,6085.0,6032.0,6070.0,208546,18963522870.0,80836,SHFE.AG
2012-06-18,6087.0,6095.0,6003.0,6010.0,309918,28017159000.0,99022,SHFE.AG
2012-06-19,6058.0,6080.0,6045.0,6061.0,168258,15302432730.0,76972,SHFE.AG
2012-06-20,5996.0,6029.0,5990.0,6010.0,175782,15841118430.0,83302,SHFE.AG
2012-06-21,5900.0,5925.0,5893.0,5911.0,141540,12547217910.0,75606,SHFE.AG
2012-06-25,5700.0,5742.0,5691.0,5716.0,162514,13955706540.0,89926,SHFE.AG
2012-06-26,5830.0,5830.0,5783.0,5791.0,139496,12156309660.0,83698,SHFE.AG
2012-06-27,5767.0,5771.0,5725.0,5745.0,134318,11581561020.0,90242,SHFE.AG
2012-06-28,5778.0,5782.0,5733.0,5736.0,120340,10374138450.0,88594,SHFE.AG
2012-06-29,5651.0,5764.0,5632.0,5751.0,234654,20079163650.0,83390,SHFE.AG
2012-07-02,5831.0,5835.0,5785.0,5796.0,156980,13669027440.0,73088,SHFE.AG
2012-07-03,5820.0,5915.0,5810.0,5908.0,186102,16388498760.0,68056,SHFE.AG
2012-07-04,5952.0,5979.0,5932.0,5948.0,133860,11951620830.0,61944,SHFE.AG
2012-07-05,5960.0,5995.0,5944.0,5994.0,118224,10586326170.0,64576,SHFE.AG
2012-07-06,5929.0,5932.0,5864.0,5872.0,148200,13097879820.0,64902,SHFE.AG
2012-07-09,5790.0,5832.0,5782.0,5808.0,141662,12338625570.0,71908,SHFE.AG
2012-07-10,5813.0,5834.0,5795.0,5798.0,100886,8795715900.0,69612,SHFE.AG
2012-07-11,5755.0,5780.0,5750.0,5775.0,95462,8258879550.0,69574,SHFE.AG
