datetime,open,high,low,close,volume,amount,position,symbol
2005-01-05,15600.0,15870.0,15600.0,15830.0,59554,4701788300.0,30882,SHFE.AL
2005-01-06,15900.0,16020.0,15820.0,15920.0,23136,1840468800.0,28758,SHFE.AL
2005-01-07,15870.0,15980.0,15820.0,15930.0,20856,1659094800.0,26698,SHFE.AL
2005-01-10,15920.0,15960.0,15800.0,15870.0,15518,1232129200.0,25308,SHFE.AL
2005-01-11,15900.0,16050.0,15900.0,16030.0,26650,2132000000.0,27518,SHFE.AL
2005-01-12,16100.0,16100.0,15970.0,16030.0,15946,1277274600.0,28188,SHFE.AL
2005-01-13,16000.0,16060.0,15980.0,16040.0,8044,644324400.0,28722,SHFE.AL
2005-01-14,15980.0,16070.0,15960.0,16020.0,11156,893037800.0,28638,SHFE.AL
2005-01-17,16040.0,16180.0,16020.0,16100.0,17084,1376116200.0,28400,SHFE.AL
2005-01-18,16020.0,16090.0,15980.0,16020.0,9436,755823600.0,24564,SHFE.AL
2005-01-19,16060.0,16070.0,15980.0,16060.0,5736,459453600.0,24262,SHFE.AL
2005-01-20,16060.0,16080.0,16020.0,16080.0,5406,433831500.0,23124,SHFE.AL
2005-01-21,16080.0,16150.0,16070.0,16140.0,5006,403233300.0,22482,SHFE.AL
2005-01-24,16160.0,16370.0,16160.0,16330.0,13392,1091448000.0,23022,SHFE.AL
2005-01-25,16200.0,16280.0,16190.0,16260.0,5214,423116100.0,21456,SHFE.AL
2005-01-26,16190.0,16220.0,16070.0,16130.0,6104,492287600.0,20140,SHFE.AL
2005-01-27,16250.0,16280.0,16170.0,16180.0,3950,320542500.0,19456,SHFE.AL
2005-01-28,16150.0,16260.0,16130.0,16240.0,3406,275715700.0,18814,SHFE.AL
2005-01-31,16300.0,16320.0,16200.0,16210.0,4696,380845600.0,18524,SHFE.AL
2005-02-01,16240.0,16280.0,16220.0,16240.0,1352,109850000.0,17730,SHFE.AL
2005-02-02,16210.0,16260.0,16210.0,16260.0,1152,93484800.0,17228,SHFE.AL
2005-02-03,16180.0,16210.0,16140.0,16170.0,2798,226078400.0,16392,SHFE.AL
2005-02-04,16250.0,16290.0,16220.0,16280.0,2700,219375000.0,16566,SHFE.AL
2005-02-16,16550.0,16570.0,16380.0,16380.0,10220,840084000.0,19232,SHFE.AL
