datetime,open,high,low,close,volume,amount,position,symbol
2023-06-20,2713.0,2747.0,2712.0,2731.0,62189,3400394144.0,10400,SHFE.AO
2023-06-21,2726.0,2742.0,2715.0,2738.0,51494,2812818560.0,7871,SHFE.AO
2023-06-26,2730.0,2816.0,2721.0,2802.0,109336,6079458304.0,36851,SHFE.AO
2023-06-27,2797.0,2837.0,2766.0,2788.0,166881,9351903744.0,56895,SHFE.AO
2023-06-28,2791.0,2805.0,2775.0,2791.0,93064,5191069440.0,70248,SHFE.AO
2023-06-29,2782.0,2811.0,2782.0,2799.0,76690,4287974416.0,81331,SHFE.AO
2023-06-30,2794.0,2824.0,2793.0,2812.0,75550,4242732880.0,80875,SHFE.AO
2023-07-03,2812.0,2831.0,2811.0,2826.0,55043,3105101104.0,86524,SHFE.AO
2023-07-04,2820.0,2835.0,2810.0,2816.0,53993,3050313664.0,91724,SHFE.AO
2023-07-05,2816.0,2832.0,2815.0,2825.0,34750,1962784224.0,92545,SHFE.AO
2023-07-06,2824.0,2845.0,2816.0,2834.0,44365,2512297680.0,98721,SHFE.AO
2023-07-07,2830.0,2840.0,2826.0,2828.0,40786,2309541888.0,101645,SHFE.AO
2023-07-10,2827.0,2832.0,2802.0,2819.0,60664,3415364768.0,101022,SHFE.AO
2023-07-11,2823.0,2828.0,2815.0,2819.0,24002,1354460896.0,102931,SHFE.AO
2023-07-12,2816.0,2822.0,2783.0,2796.0,64753,3625743888.0,106873,SHFE.AO
2023-07-13,2803.0,2813.0,2777.0,2792.0,60909,3409396944.0,108390,SHFE.AO
2023-07-14,2798.0,2805.0,2777.0,2785.0,65374,3652506768.0,106420,SHFE.AO
2023-07-17,2788.0,2797.0,2736.0,2781.0,121555,6724021504.0,103880,SHFE.AO
2023-07-18,2776.0,2822.0,2776.0,2807.0,83402,4681016320.0,104460,SHFE.AO
2023-07-19,2803.0,2826.0,2803.0,2821.0,39959,2251867200.0,105538,SHFE.AO
2023-07-20,2820.0,2908.0,2817.0,2881.0,166378,9542379008.0,113120,SHFE.AO
2023-07-21,2888.0,2895.0,2853.0,2868.0,81280,4661706752.0,113437,SHFE.AO
2023-07-24,2868.0,2884.0,2863.0,2879.0,76305,4384445696.0,117256,SHFE.AO
2023-07-25,2879.0,2892.0,2857.0,2887.0,71454,4110582928.0,117507,SHFE.AO
2023-07-26,2892.0,2909.0,2877.0,2879.0,79179,4581402112.0,113806,SHFE.AO
2023-07-27,2871.0,2899.0,2865.0,2890.0,57100,3297525088.0,109476,SHFE.AO
2023-07-28,2893.0,2900.0,2874.0,2880.0,55795,3221160640.0,100070,SHFE.AO
2023-07-31,2882.0,2895.0,2872.0,2884.0,40890,2359189344.0,93410,SHFE.AO
2023-08-01,2890.0,2930.0,2883.0,2929.0,75662,4407137792.0,96291,SHFE.AO
2023-08-02,2920.0,2938.0,2914.0,2922.0,53148,3109612720.0,93364,SHFE.AO
2023-08-03,2910.0,2922.0,2875.0,2895.0,56211,3256072496.0,88183,SHFE.AO
2023-08-04,2894.0,2904.0,2869.0,2871.0,44485,2567957600.0,84493,SHFE.AO
