datetime,open,high,low,close,volume,amount,position,symbol
2008-01-10,222.5,222.85,213.7,215.12,87984,19153190660.0,23494,SHFE.AU
2008-01-11,218.0,219.23,215.5,218.1,85418,18603996600.0,25424,SHFE.AU
2008-01-14,218.85,220.25,217.6,220.1,60776,13326971320.0,27714,SHFE.AU
2008-01-15,220.7,224.6,220.3,223.8,88242,19688323900.0,29866,SHFE.AU
2008-01-16,220.6,220.6,215.4,215.89,94362,20524695760.0,29582,SHFE.AU
2008-01-17,214.03,216.8,213.5,216.47,61962,13352937760.0,30916,SHFE.AU
2008-01-18,214.0,214.9,212.42,214.7,58006,12397069000.0,29538,SHFE.AU
2008-01-21,214.7,216.33,213.8,214.2,43510,9363402780.0,30294,SHFE.AU
2008-01-22,208.0,209.5,204.72,206.42,78532,16301844940.0,29326,SHFE.AU
2008-01-23,212.0,214.25,210.9,212.51,60988,12965600900.0,26596,SHFE.AU
2008-01-24,213.02,217.08,212.61,216.7,57962,12428072960.0,30156,SHFE.AU
2008-01-25,220.1,221.4,218.32,219.8,72624,15963968800.0,32428,SHFE.AU
2008-01-28,219.6,221.97,219.2,220.33,62712,13839856180.0,33182,SHFE.AU
2008-01-29,223.6,224.3,222.56,222.56,47652,10644281740.0,34168,SHFE.AU
2008-01-30,221.0,222.05,220.01,220.1,36230,8009294340.0,35728,SHFE.AU
2008-01-31,220.0,221.04,218.22,219.35,43002,9438440740.0,33082,SHFE.AU
2008-02-01,220.61,221.0,218.56,218.75,28726,6311999880.0,32934,SHFE.AU
2008-02-04,216.0,216.94,215.0,215.6,31388,6770452700.0,32288,SHFE.AU
2008-02-05,215.5,215.58,214.7,215.26,17456,3754507780.0,32802,SHFE.AU
2008-02-13,216.01,216.16,213.5,213.69,22060,4726203280.0,34146,SHFE.AU
2008-02-14,214.6,216.18,214.43,216.1,29802,6413885400.0,35040,SHFE.AU
2008-02-15,216.0,216.51,215.33,216.25,22126,4779188620.0,35278,SHFE.AU
2008-02-18,215.2,215.7,214.2,215.48,22840,4910077440.0,36068,SHFE.AU
2008-02-19,215.51,218.38,215.5,218.38,42656,9249368860.0,44314,SHFE.AU
2008-02-20,222.0,222.25,219.51,219.81,50118,11065622860.0,43710,SHFE.AU
2008-02-21,221.81,224.1,221.81,223.58,50356,11224483940.0,44110,SHFE.AU
2008-02-22,221.5,224.45,221.5,222.45,40978,9138874180.0,42460,SHFE.AU
2008-02-25,223.6,225.8,223.0,225.78,39612,8895732620.0,46534,SHFE.AU
2008-02-26,222.96,222.96,218.92,219.43,46998,10346479460.0,37020,SHFE.AU
2008-02-27,224.9,226.0,224.02,224.68,37188,8367400420.0,37268,SHFE.AU
2008-02-28,225.0,225.5,223.42,223.5,22788,5115605420.0,37564,SHFE.AU
2008-02-29,226.0,226.5,225.23,225.43,31254,7055655840.0,36150,SHFE.AU
2008-03-03,226.55,228.99,226.23,228.45,41170,9380351620.0,40996,SHFE.AU
2008-03-04,229.02,229.85,226.73,227.2,31874,7271378800.0,38062,SHFE.AU
2008-03-05,224.0,224.99,223.5,224.75,23908,5363245260.0,37094,SHFE.AU
2008-03-06,227.0,228.69,227.0,227.95,22082,5036437600.0,36086,SHFE.AU
2008-03-07,226.5,227.63,226.5,227.58,14940,3395107600.0,35616,SHFE.AU
2008-03-10,226.0,226.0,224.63,225.2,15138,3409890160.0,35216,SHFE.AU
2008-03-11,225.0,225.47,224.11,224.6,13184,2965793020.0,36582,SHFE.AU
2008-03-12,224.97,225.25,223.79,224.26,14300,3209800360.0,35118,SHFE.AU
2008-03-13,226.51,226.98,225.35,226.48,19782,4474573240.0,36878,SHFE.AU
2008-03-14,228.0,228.6,227.57,227.87,23164,5281600980.0,40400,SHFE.AU
2008-03-17,231.22,233.59,231.22,232.36,42482,9875756940.0,41516,SHFE.AU
2008-03-18,226.0,228.19,226.0,227.58,35308,8022818360.0,38366,SHFE.AU
2008-03-19,225.5,226.29,225.5,226.2,18872,4262271280.0,39302,SHFE.AU
2008-03-20,214.55,214.55,214.55,214.55,6530,1401011500.0,36460,SHFE.AU
2008-03-21,209.48,210.47,207.52,210.11,24388,5101237960.0,35680,SHFE.AU
2008-03-24,209.75,209.99,206.31,206.81,26702,5564982600.0,37174,SHFE.AU
2008-03-25,209.0,210.85,208.1,210.19,25658,5377857380.0,36372,SHFE.AU
2008-03-26,212.97,213.45,211.58,211.8,26278,5588535940.0,37218,SHFE.AU
2008-03-27,213.98,214.5,213.1,213.3,18126,3874251240.0,34894,SHFE.AU
2008-03-28,213.11,213.28,211.2,211.76,13966,2959876080.0,35170,SHFE.AU
2008-03-31,209.02,209.47,208.41,208.98,14388,3008272820.0,37054,SHFE.AU
