datetime,open,high,low,close,volume,amount,position,symbol
2023-07-31,10790.0,11105.0,10765.0,10985.0,98875,5420856064.0,26887,SHFE.BR
2023-08-01,10990.0,11045.0,10855.0,10970.0,28220,1546009472.0,32618,SHFE.BR
2023-08-02,10980.0,11125.0,10910.0,11115.0,34104,1878118576.0,40458,SHFE.BR
2023-08-03,11110.0,11450.0,11105.0,11320.0,125082,7078012416.0,50425,SHFE.BR
2023-08-04,11390.0,11440.0,11250.0,11360.0,41173,2331439648.0,52551,SHFE.BR
2023-08-07,11390.0,11420.0,11255.0,11385.0,40097,2270064576.0,55892,SHFE.BR
2023-08-08,11510.0,11510.0,11270.0,11280.0,33336,1895387072.0,58286,SHFE.BR
2023-08-09,11225.0,11380.0,11175.0,11365.0,21325,1205461056.0,59772,SHFE.BR
2023-08-10,11365.0,11375.0,11220.0,11230.0,22536,1274882272.0,61759,SHFE.BR
2023-08-11,11200.0,11380.0,11200.0,11335.0,24133,1364956480.0,64156,SHFE.BR
2023-08-14,11335.0,11370.0,11230.0,11300.0,20017,1130740048.0,66777,SHFE.BR
2023-08-15,11295.0,11420.0,11285.0,11320.0,21199,1201738176.0,69476,SHFE.BR
2023-08-16,11300.0,11350.0,11230.0,11295.0,19124,1080376096.0,72243,SHFE.BR
2023-08-17,11300.0,11380.0,11250.0,11315.0,19886,1125471872.0,74564,SHFE.BR
2023-08-18,11330.0,11445.0,11270.0,11275.0,31607,1794037920.0,75511,SHFE.BR
2023-08-21,11285.0,11420.0,11275.0,11420.0,27737,1575370048.0,75520,SHFE.BR
2023-08-22,11430.0,11560.0,11320.0,11440.0,26211,1495183456.0,75477,SHFE.BR
2023-08-23,11420.0,11725.0,11405.0,11530.0,52583,3033671376.0,78025,SHFE.BR
2023-08-24,11550.0,11670.0,11520.0,11580.0,63012,3656962320.0,79707,SHFE.BR
2023-08-25,11610.0,11900.0,11545.0,11875.0,58503,3423681408.0,87981,SHFE.BR
2023-08-28,11900.0,12200.0,11780.0,11930.0,53682,3210665024.0,91410,SHFE.BR
2023-08-29,11945.0,12115.0,11825.0,12070.0,35585,2135689248.0,94611,SHFE.BR
2023-08-30,12030.0,12145.0,11950.0,12100.0,40845,2465737904.0,95440,SHFE.BR
2023-08-31,12130.0,12180.0,12020.0,12145.0,33493,2025061952.0,93387,SHFE.BR
2023-09-01,12250.0,13295.0,12190.0,13295.0,110900,7089007616.0,112433,SHFE.BR
2023-09-04,13900.0,14440.0,13590.0,13680.0,436830,30829937920.0,113282,SHFE.BR
2023-09-05,13745.0,14575.0,13570.0,14385.0,695790,49771975424.0,131897,SHFE.BR
2023-09-06,14300.0,14600.0,14020.0,14180.0,546732,39097638912.0,134842,SHFE.BR
2023-09-07,14200.0,14285.0,13465.0,14080.0,467673,32579824896.0,136399,SHFE.BR
2023-09-08,14080.0,14360.0,13515.0,13550.0,508994,35259820544.0,127557,SHFE.BR
2023-09-11,13625.0,13855.0,13340.0,13675.0,237916,16230900224.0,124473,SHFE.BR
2023-09-12,13745.0,14240.0,13730.0,14140.0,287303,20168250880.0,132633,SHFE.BR
2023-09-13,14140.0,14170.0,13590.0,13745.0,201718,13978310144.0,124504,SHFE.BR
2023-09-14,13820.0,13950.0,13580.0,13920.0,161526,11111451904.0,129664,SHFE.BR
2023-09-15,14000.0,14065.0,13710.0,13860.0,142188,9849565184.0,126004,SHFE.BR
2023-09-18,13900.0,13980.0,13665.0,13855.0,110107,7609665024.0,121960,SHFE.BR
2023-09-19,13895.0,14030.0,13725.0,13740.0,98674,6847848448.0,120067,SHFE.BR
2023-09-20,13740.0,13920.0,13565.0,13605.0,87657,6022292992.0,121243,SHFE.BR
2023-09-21,13500.0,13565.0,13150.0,13230.0,121727,8159405056.0,115026,SHFE.BR
2023-09-22,13300.0,13530.0,13280.0,13515.0,63709,4268588544.0,111770,SHFE.BR
2023-09-25,13530.0,13595.0,13070.0,13235.0,70314,4691193856.0,106714,SHFE.BR
2023-09-26,13245.0,13245.0,12785.0,12860.0,83263,5400501504.0,104531,SHFE.BR
2023-09-27,12840.0,12890.0,12645.0,12775.0,72612,4630701568.0,101412,SHFE.BR
2023-09-28,12820.0,13085.0,12755.0,12765.0,76802,4950381056.0,93608,SHFE.BR
2023-10-09,12550.0,12745.0,12445.0,12650.0,31325,1981411776.0,95622,SHFE.BR
2023-10-10,12600.0,12895.0,12390.0,12425.0,98599,6251889664.0,97924,SHFE.BR
2023-10-11,12515.0,12760.0,12435.0,12705.0,78976,4978239232.0,100894,SHFE.BR
2023-10-12,12700.0,12960.0,12650.0,12910.0,127318,8178299392.0,105433,SHFE.BR
2023-10-13,12965.0,13215.0,12890.0,13130.0,142880,9358895360.0,106050,SHFE.BR
2023-10-16,13380.0,13380.0,12955.0,13080.0,95828,6292106240.0,102879,SHFE.BR
2023-10-17,13100.0,13220.0,12820.0,12890.0,99415,6463856896.0,99809,SHFE.BR
2023-10-18,12890.0,12950.0,12530.0,12590.0,111515,7100024576.0,101075,SHFE.BR
2023-10-19,12650.0,12730.0,12555.0,12665.0,86695,5478979584.0,97104,SHFE.BR
