datetime,open,high,low,close,volume,amount,position,symbol
2013-10-10,4460.0,4522.0,4452.0,4502.0,204880,9210737320.0,54008,SHFE.BU
2013-10-11,4510.0,4524.0,4456.0,4466.0,180100,8091568640.0,60936,SHFE.BU
2013-10-14,4476.0,4490.0,4434.0,4444.0,148998,6641226240.0,67386,SHFE.BU
2013-10-15,4448.0,4494.0,4436.0,4442.0,201544,8993321280.0,63700,SHFE.BU
2013-10-16,4428.0,4484.0,4428.0,4432.0,206374,9188188200.0,67078,SHFE.BU
2013-10-17,4448.0,4460.0,4408.0,4410.0,142864,6334653080.0,73002,SHFE.BU
2013-10-18,4412.0,4430.0,4402.0,4404.0,88740,3917929240.0,75164,SHFE.BU
2013-10-21,4410.0,4466.0,4406.0,4452.0,154962,6893818240.0,58838,SHFE.BU
2013-10-22,4444.0,4454.0,4428.0,4440.0,57890,2569063480.0,56140,SHFE.BU
2013-10-23,4432.0,4444.0,4408.0,4436.0,85280,3774530640.0,54076,SHFE.BU
2013-10-24,4434.0,4482.0,4426.0,4458.0,161110,7184633880.0,53534,SHFE.BU
2013-10-25,4460.0,4464.0,4406.0,4406.0,115570,5109266080.0,40222,SHFE.BU
2013-10-28,4410.0,4412.0,4250.0,4268.0,355282,15303470400.0,93932,SHFE.BU
2013-10-29,4266.0,4288.0,4248.0,4270.0,231734,9885473280.0,92778,SHFE.BU
2013-10-30,4270.0,4328.0,4228.0,4316.0,391474,16748663200.0,60394,SHFE.BU
2013-10-31,4308.0,4324.0,4288.0,4292.0,128838,5546436160.0,53198,SHFE.BU
2013-11-01,4288.0,4340.0,4256.0,4310.0,191472,8244981400.0,42912,SHFE.BU
2013-11-04,4280.0,4336.0,4276.0,4314.0,93718,4044147600.0,42202,SHFE.BU
2013-11-05,4310.0,4332.0,4264.0,4308.0,125920,5411006600.0,39746,SHFE.BU
2013-11-06,4300.0,4316.0,4290.0,4308.0,71154,3062839280.0,41692,SHFE.BU
2013-11-07,4312.0,4324.0,4268.0,4274.0,113300,4863581680.0,61360,SHFE.BU
2013-11-08,4272.0,4284.0,4252.0,4260.0,103258,4405829680.0,67934,SHFE.BU
2013-11-11,4262.0,4286.0,4254.0,4278.0,61468,2626238360.0,63250,SHFE.BU
2013-11-12,4272.0,4308.0,4268.0,4304.0,88114,3780429800.0,50388,SHFE.BU
2013-11-13,4280.0,4290.0,4262.0,4286.0,65264,2789837400.0,52474,SHFE.BU
2013-11-14,4298.0,4302.0,4264.0,4266.0,51534,2208668520.0,56440,SHFE.BU
2013-11-15,4266.0,4284.0,4246.0,4270.0,105770,4515061600.0,56028,SHFE.BU
2013-11-18,4278.0,4314.0,4272.0,4292.0,49598,2129767760.0,51044,SHFE.BU
2013-11-19,4280.0,4306.0,4264.0,4296.0,72202,3094455480.0,53148,SHFE.BU
2013-11-20,4296.0,4326.0,4296.0,4310.0,75654,3261248720.0,52326,SHFE.BU
2013-11-21,4306.0,4312.0,4288.0,4298.0,33340,1433740960.0,50446,SHFE.BU
2013-11-22,4312.0,4350.0,4308.0,4338.0,75342,3257298920.0,50256,SHFE.BU
2013-11-25,4336.0,4368.0,4316.0,4356.0,84024,3645094800.0,51864,SHFE.BU
2013-11-26,4360.0,4444.0,4350.0,4370.0,221656,9756649400.0,47304,SHFE.BU
2013-11-27,4366.0,4384.0,4332.0,4336.0,76758,3338908400.0,43306,SHFE.BU
2013-11-28,4330.0,4358.0,4318.0,4346.0,47474,2060714160.0,38930,SHFE.BU
2013-11-29,4352.0,4366.0,4332.0,4352.0,41974,1825809000.0,36782,SHFE.BU
2013-12-02,4362.0,4372.0,4340.0,4354.0,46012,2003051880.0,38472,SHFE.BU
2013-12-03,4360.0,4410.0,4352.0,4382.0,81870,3587121240.0,41354,SHFE.BU
2013-12-04,4408.0,4412.0,4378.0,4388.0,93100,4092795200.0,46282,SHFE.BU
