datetime,open,high,low,close,volume,amount,position,symbol
2014-03-24,3314.0,3330.0,3266.0,3330.0,86810,2868577800.0,47616,SHFE.HC
2014-03-25,3326.0,3400.0,3320.0,3378.0,119854,4026114320.0,61256,SHFE.HC
2014-03-26,3370.0,3382.0,3354.0,3376.0,37876,1276066880.0,60560,SHFE.HC
2014-03-27,3368.0,3386.0,3350.0,3362.0,40230,1353649800.0,61430,SHFE.HC
2014-03-28,3376.0,3386.0,3360.0,3382.0,34290,1156738360.0,63080,SHFE.HC
2014-03-31,3396.0,3422.0,3382.0,3410.0,60970,2074750200.0,65640,SHFE.HC
2014-04-01,3412.0,3418.0,3396.0,3414.0,17896,609845240.0,64136,SHFE.HC
2014-04-02,3410.0,3426.0,3388.0,3390.0,28570,972744200.0,68700,SHFE.HC
2014-04-03,3384.0,3414.0,3382.0,3410.0,20706,703741040.0,68410,SHFE.HC
2014-04-04,3412.0,3440.0,3402.0,3440.0,21360,731329040.0,70094,SHFE.HC
2014-04-08,3450.0,3488.0,3442.0,3480.0,40286,1397631200.0,80872,SHFE.HC
2014-04-09,3488.0,3488.0,3444.0,3452.0,32902,1139111480.0,81834,SHFE.HC
2014-04-10,3450.0,3470.0,3442.0,3446.0,19630,678627240.0,81232,SHFE.HC
2014-04-11,3430.0,3452.0,3430.0,3434.0,13100,450766000.0,76840,SHFE.HC
2014-04-14,3432.0,3464.0,3432.0,3438.0,12642,435702680.0,77020,SHFE.HC
2014-04-15,3442.0,3448.0,3418.0,3448.0,20724,711190160.0,75524,SHFE.HC
2014-04-16,3446.0,3446.0,3410.0,3418.0,18538,633991040.0,68152,SHFE.HC
2014-04-17,3428.0,3428.0,3410.0,3412.0,5590,191121760.0,67404,SHFE.HC
2014-04-18,3410.0,3412.0,3346.0,3354.0,51760,1745025240.0,66498,SHFE.HC
2014-04-21,3340.0,3364.0,3340.0,3340.0,8292,277848280.0,64836,SHFE.HC
2014-04-22,3340.0,3366.0,3324.0,3354.0,23958,801302560.0,60950,SHFE.HC
2014-04-23,3358.0,3388.0,3336.0,3380.0,19844,666374360.0,58920,SHFE.HC
2014-04-24,3376.0,3396.0,3366.0,3390.0,12648,427664440.0,58086,SHFE.HC
2014-04-25,3398.0,3400.0,3372.0,3378.0,8566,289792240.0,58570,SHFE.HC
2014-04-28,3372.0,3372.0,3334.0,3336.0,17354,580151480.0,56630,SHFE.HC
2014-04-29,3334.0,3374.0,3334.0,3360.0,8736,293359000.0,55692,SHFE.HC
2014-04-30,3370.0,3370.0,3338.0,3344.0,9948,332848120.0,55210,SHFE.HC
2014-05-05,3334.0,3362.0,3224.0,3352.0,11568,386522000.0,53726,SHFE.HC
2014-05-06,3342.0,3364.0,3336.0,3344.0,4722,158189400.0,52980,SHFE.HC
2014-05-07,3338.0,3358.0,3330.0,3332.0,9532,318417800.0,52784,SHFE.HC
