datetime,open,high,low,close,volume,amount,position,symbol
2011-03-25,18935.0,19135.0,18860.0,18950.0,24858,11804668500.0,8494,SHFE.PB
2011-03-28,18900.0,19035.0,18500.0,18605.0,16960,7962261500.0,8262,SHFE.PB
2011-03-29,18530.0,18735.0,18485.0,18675.0,10618,4947755250.0,7968,SHFE.PB
2011-03-30,18800.0,18850.0,18695.0,18760.0,8086,3792135500.0,7320,SHFE.PB
2011-03-31,18700.0,18720.0,18580.0,18665.0,3056,1424873500.0,6776,SHFE.PB
2011-04-01,18780.0,18780.0,18570.0,18640.0,2550,1189956250.0,6716,SHFE.PB
2011-04-06,18675.0,19360.0,18675.0,19220.0,15400,7347376250.0,9362,SHFE.PB
2011-04-07,19200.0,19300.0,19035.0,19075.0,10426,4988211000.0,8644,SHFE.PB
2011-04-08,19090.0,19250.0,19005.0,19175.0,8434,4037203500.0,9388,SHFE.PB
2011-04-11,19250.0,19440.0,19145.0,19210.0,13938,6721270250.0,10242,SHFE.PB
2011-04-12,19000.0,19125.0,18790.0,18800.0,9256,4386907000.0,9154,SHFE.PB
2011-04-13,18610.0,18745.0,18540.0,18715.0,5566,2594888000.0,8776,SHFE.PB
2011-04-14,18555.0,18690.0,18540.0,18580.0,3846,1789207750.0,8574,SHFE.PB
2011-04-15,18605.0,18780.0,18505.0,18580.0,9992,4658987000.0,8818,SHFE.PB
2011-04-18,18575.0,18650.0,18525.0,18580.0,3334,1549064750.0,8898,SHFE.PB
2011-04-19,18300.0,18350.0,17950.0,17980.0,8390,3807629250.0,10212,SHFE.PB
2011-04-20,18065.0,18180.0,18065.0,18165.0,2930,1327296000.0,9508,SHFE.PB
2011-04-21,18300.0,18300.0,18140.0,18180.0,2504,1139579500.0,9250,SHFE.PB
2011-04-22,18235.0,18235.0,17880.0,17975.0,3420,1537694250.0,9506,SHFE.PB
2011-04-25,17980.0,18050.0,17760.0,17760.0,2102,938497750.0,9514,SHFE.PB
2011-04-26,17695.0,17695.0,17420.0,17645.0,3506,1537405250.0,8968,SHFE.PB
2011-04-27,17620.0,17790.0,17420.0,17550.0,2974,1312003750.0,8776,SHFE.PB
2011-04-28,17555.0,17850.0,17555.0,17755.0,3278,1454261000.0,8592,SHFE.PB
2011-04-29,17665.0,17725.0,17530.0,17550.0,1548,681227000.0,8520,SHFE.PB
2011-05-03,17550.0,17650.0,17460.0,17530.0,1902,834422750.0,8712,SHFE.PB
2011-05-04,17590.0,17595.0,17440.0,17480.0,1140,498796750.0,8546,SHFE.PB
2011-05-05,17310.0,17310.0,16450.0,16715.0,4070,1727812750.0,8648,SHFE.PB
2011-05-06,16220.0,16440.0,16190.0,16255.0,6540,2665713000.0,8950,SHFE.PB
2011-05-09,16330.0,16640.0,16330.0,16620.0,3246,1340855500.0,8668,SHFE.PB
2011-05-10,16505.0,16710.0,16465.0,16645.0,2760,1142762750.0,8604,SHFE.PB
2011-05-11,16690.0,17200.0,16595.0,16675.0,3638,1523600750.0,8608,SHFE.PB
2011-05-12,16450.0,16500.0,16220.0,16220.0,4424,1808850250.0,8802,SHFE.PB
2011-05-13,16475.0,16740.0,16340.0,16705.0,3836,1589833750.0,8680,SHFE.PB
2011-05-16,16575.0,16655.0,16460.0,16555.0,2872,1189326500.0,8702,SHFE.PB
2011-05-17,16505.0,16610.0,16230.0,16570.0,3932,1620950500.0,8828,SHFE.PB
2011-05-18,16735.0,16855.0,16620.0,16710.0,5218,2181089750.0,8574,SHFE.PB
