datetime,open,high,low,close,volume,amount,position,symbol
2009-03-30,3550.0,3580.0,3528.0,3544.0,145168,5151453200.0,48380,SHFE.RB
2009-03-31,3538.0,3566.0,3531.0,3549.0,70592,2506002900.0,44714,SHFE.RB
2009-04-01,3560.0,3561.0,3543.0,3547.0,28100,997518800.0,42076,SHFE.RB
2009-04-02,3545.0,3548.0,3456.0,3473.0,235446,8197167700.0,68888,SHFE.RB
2009-04-03,3481.0,3481.0,3436.0,3448.0,152376,5266917500.0,75038,SHFE.RB
2009-04-07,3410.0,3518.0,3410.0,3491.0,242578,8447990500.0,100482,SHFE.RB
2009-04-08,3480.0,3491.0,3456.0,3463.0,147288,5110325300.0,91910,SHFE.RB
2009-04-09,3476.0,3486.0,3460.0,3468.0,87688,3045146000.0,94832,SHFE.RB
2009-04-10,3483.0,3499.0,3470.0,3484.0,120978,4216230500.0,100164,SHFE.RB
2009-04-13,3485.0,3493.0,3464.0,3469.0,109820,3823170900.0,109430,SHFE.RB
2009-04-14,3475.0,3600.0,3469.0,3560.0,540646,19237918900.0,150640,SHFE.RB
2009-04-15,3570.0,3590.0,3550.0,3562.0,255606,9116222700.0,151496,SHFE.RB
2009-04-16,3582.0,3628.0,3570.0,3596.0,250464,9009792500.0,169328,SHFE.RB
2009-04-17,3594.0,3648.0,3581.0,3620.0,339250,12288725700.0,219892,SHFE.RB
2009-04-20,3620.0,3648.0,3608.0,3623.0,259196,9415708500.0,237828,SHFE.RB
2009-04-21,3580.0,3590.0,3486.0,3524.0,332448,11767293700.0,239554,SHFE.RB
2009-04-22,3550.0,3566.0,3508.0,3526.0,168524,5959142000.0,232948,SHFE.RB
2009-04-23,3529.0,3531.0,3488.0,3513.0,130386,4573762200.0,232986,SHFE.RB
2009-04-24,3513.0,3522.0,3497.0,3501.0,101444,3556994800.0,246048,SHFE.RB
2009-04-27,3510.0,3520.0,3492.0,3499.0,102472,3592028900.0,254508,SHFE.RB
2009-04-28,3496.0,3515.0,3496.0,3507.0,96548,3386644300.0,262534,SHFE.RB
2009-04-29,3507.0,3520.0,3503.0,3520.0,102694,3606408600.0,275054,SHFE.RB
2009-04-30,3536.0,3575.0,3523.0,3553.0,246912,8749854600.0,297600,SHFE.RB
2009-05-04,3573.0,3660.0,3571.0,3636.0,574332,20816228100.0,326102,SHFE.RB
2009-05-05,3636.0,3644.0,3570.0,3577.0,175954,6314473100.0,309944,SHFE.RB
