datetime,open,high,low,close,volume,amount,position,symbol
2018-11-28,5300.0,5314.0,5142.0,5184.0,1027208,53659305120.0,101512,SHFE.SP
2018-11-29,5160.0,5294.0,5122.0,5188.0,985508,51425545440.0,110832,SHFE.SP
2018-11-30,5208.0,5220.0,5114.0,5148.0,897506,46388192720.0,134838,SHFE.SP
2018-12-03,5158.0,5262.0,4970.0,4978.0,1415596,71858090000.0,207934,SHFE.SP
2018-12-04,4978.0,5114.0,4978.0,5058.0,1129600,56888650040.0,188012,SHFE.SP
2018-12-05,5060.0,5158.0,5040.0,5140.0,1494318,76270801840.0,166492,SHFE.SP
2018-12-06,5150.0,5264.0,5128.0,5132.0,1621966,84228666760.0,172558,SHFE.SP
2018-12-07,5112.0,5208.0,5086.0,5138.0,1295042,66717265640.0,175492,SHFE.SP
2018-12-10,5150.0,5224.0,5136.0,5166.0,1094212,56704014840.0,174892,SHFE.SP
2018-12-11,5160.0,5198.0,5074.0,5094.0,1022112,52415671080.0,178926,SHFE.SP
2018-12-12,5112.0,5152.0,5104.0,5138.0,598704,30709095200.0,160768,SHFE.SP
2018-12-13,5146.0,5158.0,5094.0,5126.0,689936,35377171560.0,148716,SHFE.SP
2018-12-14,5120.0,5164.0,5104.0,5132.0,575672,29552106200.0,141336,SHFE.SP
2018-12-17,5110.0,5150.0,5108.0,5132.0,328890,16871677680.0,142682,SHFE.SP
2018-12-18,5134.0,5162.0,5112.0,5126.0,294500,15121918160.0,144854,SHFE.SP
2018-12-19,5124.0,5144.0,5032.0,5062.0,462610,23481766160.0,154904,SHFE.SP
2018-12-20,5068.0,5082.0,5044.0,5066.0,203714,10315505400.0,147294,SHFE.SP
2018-12-21,5072.0,5072.0,5028.0,5048.0,269864,13631123240.0,148736,SHFE.SP
2018-12-24,5042.0,5064.0,4960.0,4982.0,395298,19818413320.0,180976,SHFE.SP
2018-12-25,4982.0,5038.0,4966.0,5000.0,380598,19037517960.0,159952,SHFE.SP
2018-12-26,4996.0,5012.0,4916.0,4938.0,473358,23412190080.0,171804,SHFE.SP
2018-12-27,4950.0,4998.0,4940.0,4952.0,241750,12006180680.0,155260,SHFE.SP
2018-12-28,4944.0,5058.0,4938.0,5048.0,209158,10425511480.0,135666,SHFE.SP
2019-01-02,5044.0,5118.0,5010.0,5082.0,319740,16190936400.0,162558,SHFE.SP
2019-01-03,5072.0,5108.0,5060.0,5082.0,246184,12517868560.0,155182,SHFE.SP
2019-01-04,5084.0,5236.0,5072.0,5140.0,597336,30825113880.0,145862,SHFE.SP
2019-01-07,5152.0,5186.0,5114.0,5170.0,332738,17151801640.0,137304,SHFE.SP
2019-01-08,5172.0,5192.0,5138.0,5158.0,221650,11442042680.0,135222,SHFE.SP
2019-01-09,5160.0,5340.0,5156.0,5304.0,686342,36185578600.0,151822,SHFE.SP
2019-01-10,5306.0,5362.0,5260.0,5272.0,686384,36430660040.0,145902,SHFE.SP
2019-01-11,5272.0,5328.0,5252.0,5324.0,401620,21246139400.0,146038,SHFE.SP
2019-01-14,5320.0,5378.0,5280.0,5294.0,505772,26919236000.0,142160,SHFE.SP
2019-01-15,5300.0,5302.0,5214.0,5242.0,463412,24309423760.0,139904,SHFE.SP
2019-01-16,5242.0,5320.0,5232.0,5318.0,393780,20791400640.0,137610,SHFE.SP
2019-01-17,5310.0,5342.0,5284.0,5316.0,424606,22574584200.0,145666,SHFE.SP
2019-01-18,5308.0,5418.0,5260.0,5380.0,713180,38134278040.0,145996,SHFE.SP
2019-01-21,5386.0,5472.0,5372.0,5448.0,617074,33404924560.0,146590,SHFE.SP
2019-01-22,5436.0,5530.0,5416.0,5430.0,675002,36938398000.0,139224,SHFE.SP
2019-01-23,5428.0,5466.0,5402.0,5442.0,447592,24333102160.0,142278,SHFE.SP
2019-01-24,5446.0,5480.0,5364.0,5394.0,526860,28552273720.0,143160,SHFE.SP
