datetime,open,high,low,close,volume,amount,position,symbol
2009-03-30,3381.0,3437.0,3381.0,3417.0,46374,1584211200.0,13722,SHFE.WR
2009-03-31,3410.0,3425.0,3401.0,3419.0,15124,516280700.0,13466,SHFE.WR
2009-04-01,3423.0,3423.0,3407.0,3409.0,6708,228887100.0,12012,SHFE.WR
2009-04-02,3400.0,3413.0,3336.0,3351.0,29940,1007322500.0,14688,SHFE.WR
2009-04-03,3364.0,3364.0,3313.0,3323.0,22776,759107900.0,18276,SHFE.WR
2009-04-07,3303.0,3370.0,3303.0,3355.0,29046,971493100.0,22220,SHFE.WR
2009-04-08,3349.0,3359.0,3330.0,3335.0,12312,411391300.0,21682,SHFE.WR
2009-04-09,3341.0,3358.0,3330.0,3343.0,8942,298908500.0,22718,SHFE.WR
2009-04-10,3355.0,3360.0,3341.0,3353.0,11020,369208200.0,23140,SHFE.WR
2009-04-13,3349.0,3378.0,3330.0,3353.0,11314,379683200.0,24312,SHFE.WR
2009-04-14,3360.0,3450.0,3350.0,3425.0,30060,1026331200.0,26772,SHFE.WR
2009-04-15,3430.0,3445.0,3412.0,3430.0,16922,580096300.0,27940,SHFE.WR
2009-04-16,3448.0,3498.0,3435.0,3479.0,19690,683790200.0,31384,SHFE.WR
2009-04-17,3491.0,3522.0,3467.0,3502.0,30902,1080333920.0,34078,SHFE.WR
2009-04-20,3532.0,3532.0,3490.0,3501.0,20912,733500200.0,37972,SHFE.WR
2009-04-21,3488.0,3488.0,3331.0,3422.0,24080,825723400.0,35568,SHFE.WR
2009-04-22,3460.0,3460.0,3415.0,3427.0,12266,421402100.0,35064,SHFE.WR
2009-04-23,3426.0,3435.0,3398.0,3416.0,9676,329827500.0,35618,SHFE.WR
2009-04-24,3406.0,3425.0,3404.0,3406.0,6964,237482400.0,35974,SHFE.WR
2009-04-27,3413.0,3426.0,3385.0,3401.0,7472,254518600.0,35882,SHFE.WR
2009-04-28,3408.0,3416.0,3403.0,3407.0,4228,144074600.0,35760,SHFE.WR
2009-04-29,3409.0,3432.0,3405.0,3429.0,5644,192645000.0,35572,SHFE.WR
2009-04-30,3441.0,3459.0,3425.0,3447.0,15536,534470800.0,37072,SHFE.WR
2009-05-04,3489.0,3598.0,3469.0,3543.0,35634,1257591600.0,39342,SHFE.WR
2009-05-05,3560.0,3560.0,3480.0,3487.0,13766,481938600.0,38814,SHFE.WR
2009-05-06,3487.0,3507.0,3477.0,3505.0,7526,263308700.0,40294,SHFE.WR
2009-05-07,3513.0,3550.0,3493.0,3496.0,12036,422778300.0,39554,SHFE.WR
2009-05-08,3498.0,3515.0,3490.0,3514.0,7460,261374200.0,38900,SHFE.WR
2009-05-11,3550.0,3560.0,3515.0,3537.0,19872,704579500.0,38766,SHFE.WR
2009-05-12,3538.0,3555.0,3532.0,3545.0,8556,303385400.0,37760,SHFE.WR
2009-05-13,3549.0,3554.0,3534.0,3538.0,6200,219752500.0,36458,SHFE.WR
2009-05-14,3528.0,3528.0,3492.0,3505.0,9782,342971700.0,37454,SHFE.WR
2009-05-15,3508.0,3525.0,3500.0,3507.0,4878,171338100.0,37092,SHFE.WR
2009-05-18,3502.0,3525.0,3485.0,3514.0,5030,176049600.0,36446,SHFE.WR
2009-05-19,3529.0,3530.0,3515.0,3524.0,3888,136921600.0,36760,SHFE.WR
2009-05-20,3522.0,3541.0,3514.0,3521.0,4364,153831000.0,35670,SHFE.WR
2009-05-21,3516.0,3539.0,3516.0,3523.0,3484,122915520.0,35412,SHFE.WR
2009-05-22,3522.0,3528.0,3506.0,3515.0,2950,103722000.0,35194,SHFE.WR
2009-05-25,3517.0,3530.0,3502.0,3511.0,3164,111098400.0,35032,SHFE.WR
2009-05-26,3513.0,3520.0,3501.0,3505.0,3658,128359220.0,34476,SHFE.WR
2009-05-27,3519.0,3519.0,3507.0,3512.0,1948,68394280.0,34422,SHFE.WR
2009-06-01,3530.0,3554.0,3530.0,3547.0,7284,258061100.0,32126,SHFE.WR
2009-06-02,3568.0,3581.0,3555.0,3563.0,8612,307259000.0,30754,SHFE.WR
2009-06-03,3570.0,3583.0,3563.0,3580.0,4300,153725000.0,31552,SHFE.WR
2009-06-04,3561.0,3645.0,3557.0,3626.0,26572,962330600.0,34700,SHFE.WR
2009-06-05,3658.0,3690.0,3630.0,3674.0,20636,757074600.0,33798,SHFE.WR
2009-06-08,3668.0,3694.0,3661.0,3690.0,13568,499435000.0,31590,SHFE.WR
2009-06-09,3693.0,3729.0,3675.0,3685.0,8990,331551200.0,30122,SHFE.WR
2009-06-10,3696.0,3715.0,3675.0,3709.0,9972,368959700.0,30952,SHFE.WR
2009-06-11,3714.0,3826.0,3703.0,3768.0,20508,771381500.0,31652,SHFE.WR
2009-06-12,3780.0,3828.0,3745.0,3765.0,38416,1458994900.0,32838,SHFE.WR
2009-06-15,3756.0,3789.0,3733.0,3755.0,16254,610298400.0,33348,SHFE.WR
2009-06-16,3738.0,3788.0,3738.0,3782.0,17734,669443600.0,33834,SHFE.WR
2009-06-17,3784.0,3788.0,3752.0,3766.0,10040,378459200.0,33546,SHFE.WR
2009-06-18,3766.0,3774.0,3742.0,3752.0,6782,254716500.0,32070,SHFE.WR
2009-06-19,3767.0,3832.0,3754.0,3807.0,15204,576652400.0,31544,SHFE.WR
2009-06-22,3810.0,3838.0,3810.0,3825.0,19816,758024200.0,32930,SHFE.WR
2009-06-23,3826.0,3826.0,3750.0,3791.0,21582,817084500.0,31024,SHFE.WR
2009-06-24,3791.0,3809.0,3777.0,3788.0,7646,289752200.0,31364,SHFE.WR
2009-06-25,3781.0,3800.0,3766.0,3781.0,5672,214798640.0,31256,SHFE.WR
2009-06-26,3778.0,3798.0,3766.0,3774.0,7386,279059000.0,31366,SHFE.WR
2009-06-29,3767.0,3771.0,3735.0,3738.0,10158,380873800.0,28902,SHFE.WR
2009-06-30,3739.0,3758.0,3732.0,3738.0,4896,183177500.0,27676,SHFE.WR
2009-07-01,3747.0,3762.0,3736.0,3759.0,6306,236779900.0,28504,SHFE.WR
2009-07-02,3769.0,3802.0,3769.0,3795.0,8214,311255800.0,28856,SHFE.WR
2009-07-03,3800.0,3805.0,3782.0,3784.0,5668,214964200.0,27926,SHFE.WR
2009-07-06,3789.0,3798.0,3778.0,3788.0,2544,96468480.0,27840,SHFE.WR
2009-07-07,3788.0,3798.0,3785.0,3788.0,2440,92465100.0,26816,SHFE.WR
2009-07-08,3788.0,3796.0,3765.0,3771.0,4848,183044400.0,26184,SHFE.WR
2009-07-09,3780.0,3792.0,3766.0,3790.0,2480,93691900.0,25838,SHFE.WR
2009-07-10,3795.0,3810.0,3790.0,3798.0,4460,169478500.0,24828,SHFE.WR
2009-07-13,3805.0,3825.0,3805.0,3812.0,4110,156836100.0,24792,SHFE.WR
2009-07-14,3840.0,3840.0,3815.0,3822.0,3892,148733100.0,23900,SHFE.WR
2009-07-15,3820.0,3875.0,3820.0,3875.0,7890,303777800.0,22178,SHFE.WR
2009-07-16,3898.0,3920.0,3870.0,3897.0,5550,216117000.0,20552,SHFE.WR
2009-07-17,3897.0,3899.0,3876.0,3881.0,3050,118416600.0,19482,SHFE.WR
2009-07-20,3890.0,3899.0,3885.0,3898.0,3322,129273200.0,18154,SHFE.WR
2009-07-21,3900.0,3919.0,3900.0,3914.0,2538,99130900.0,17496,SHFE.WR
2009-07-22,3930.0,3955.0,3910.0,3949.0,5590,220190100.0,15494,SHFE.WR
2009-07-23,3978.0,3998.0,3941.0,3990.0,2984,118643840.0,14510,SHFE.WR
2009-07-24,3999.0,4069.0,3983.0,4050.0,4632,186576960.0,14026,SHFE.WR
